"lagoslakeid","site_id","site_legacyid","site_legacyname","site_lat_decdeg","site_lon_decdeg"
373121,"373121-AA","USGS-06892450","OLATHE LK NR OLATHE, KS",38.8816389,-94.8753389
376907,"376907-AA","USGS-07144790","CHENEY RE NR CHENEY, KS",37.7261231,-97.7942177
386226,"386226-AA","USGS-371524094492700","PIT 35",37.2567243,-94.8244042
383842,"383842-AA","USGS-371653094535100","PIT 19",37.2814468,-94.8977397
385032,"385032-AA","USGS-371657094543600","PIT 20",37.2825581,-94.91024
385652,"385652-AA","USGS-371828094504900","PIT 30",37.3078339,-94.8471837
90362,"90362-AA","USGS-371841094482400","PIT 24",37.3114442,-94.806905
383253,"383253-AA","USGS-372013094505000","PIT 28",37.3369994,-94.8474622
385637,"385637-AA","USGS-372027094554300","PIT 15",37.3408894,-94.928853
385025,"385025-AA","USGS-372027094561600","PIT 14",37.3408896,-94.9380199
386795,"386795-AA","USGS-372040094554300","PIT 16",37.3445004,-94.9288532
28853,"28853-AA","USGS-372102094482800","PIT 23",37.3506094,-94.8080171
120220,"120220-AA","USGS-372248094382100","PIT 08",37.3800519,-94.6394018
83000,"83000-AA","USGS-372301094390900","PIT 10",37.3836629,-94.6527356
376818,"376818-AA","USGS-372344097185400","OXBOW LK NR BELLE PLAINE, KS",37.3955278,-97.315
78862,"78862-AA","USGS-372353094385300","PIT 09",37.3981069,-94.6482913
89324,"89324-AA","USGS-372456094450700","PIT 12",37.4156062,-94.7521839
44671,"44671-AA","USGS-372459094452700","PIT 13",37.4164396,-94.7577396
377843,"377843-AA","USGS-372828097160000","SAND QUARRY NR MULVANE, KS",37.4744444,-97.2665278
67382,"67382-AA","USGS-373106094383700","PIT 06",37.5183808,-94.6438485
30936,"30936-AA","USGS-373146094383700","PIT 04",37.5294917,-94.6438486
378299,"378299-AA","USGS-373146097312000","LAKE, KS  29S 02W 15AC",37.5294619,-97.5225478
378086,"378086-AA","USGS-373428097183600","28S 01E 34BDBB  PINE BAY PIT",37.5744444,-97.31
377060,"377060-AA","USGS-373821097202400","LAKE, KS  28S 01E 05DC",37.6391819,-97.3403227
376812,"376812-AA","USGS-373831097204500","28S 01E 05CACA  KINGSTON COVE PIT",37.6419444,-97.3458333
50810,"50810-AA","USGS-373833094385400","PIT 01",37.6425449,-94.6485713
377559,"377559-AA","USGS-374303097243900","27S 01W 03ADDC  BAREFOOT BAY PIT",37.7175833,-97.4108889
377088,"377088-AA","USGS-374306097105100","LAKE, KS  27S 02E 11BD",37.7183478,-97.1811529
376798,"376798-AA","USGS-374326097244900","LAKE, KS  27S 01W 10AB",37.7239018,-97.4139344
376803,"376803-AA","USGS-374610097225200","26S 01W 24DBCB  MOORINGS PIT",37.7694444,-97.3811944
377532,"377532-AA","USGS-374632097410900","LAKE, KS  26S 03W 19AC",37.7755667,-97.6861597
378078,"378078-AA","USGS-374644097240800","CROPLAND PIT, KS  26S 01W 23ABCB",37.7787778,-97.4022222
376821,"376821-AA","USGS-375043097185100","LAKE, KS  25S 01E 27CB",37.8452899,-97.3144858
376775,"376775-AA","USGS-375201097354400","LAKE, KS  25S 03W 24AB",37.866956,-97.5958789
20441,"20441-AA","USGS-375312095015900","BRONSON CITY LAKE, KS  25S 22E 07ACC",37.8866667,-95.0330556
377586,"377586-AA","USGS-375424097124100","LAKE, KS  25S 02E 04AC",37.9066794,-97.2117042
385674,"385674-AG","USGS-381422095463000","JOHN REDMOND RESERVOIR, KS  SITE 8",38.2394167,-95.77505
374663,"374663-AA","USGS-381604095144400","CRYSTAL LAKE, KS  20S 20E 31BCD",38.2677778,-95.2455556
112909,"112909-AE","USGS-383935094541500","16S 23E 18ADB 01",38.6597331,-94.904408
53987,"53987-AA","USGS-384546095001700","EDGERTON CITY LAKE, KS  15S 22E 07ADB",38.7627778,-95.0047222
371178,"371178-AB","USGS-385049094505300","CEDAR LK NR OLATHE, KS  13S 23E 10CAD",38.8470028,-94.8481556
