"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT","TROPHIC_STATE"
"1",40.36715,-83.05952,"LAGOS_3386","Lake","2012-09-05","DOC",6.32,"mg/L",NA
"2",38.59432,-75.29099,"LAGOS_142130","Lake","2005-05-16","DOC",3.4,"mg/L",NA
"3",35.10417,-93.65028,"LAGOS_390649","Lake","2012-06-26","DOC",5.24,"mg/L","Eutrophic"
"4",38.59432,-75.29099,"LAGOS_142130","Lake","2006-10-23","DOC",4.3,"mg/L",NA
"5",33.69667,-93.96111,"LAGOS_408132","Lake","2013-07-22","DOC",6.26,"mg/L","Eutrophic"
"6",36.15083,-78.83,"LAGOS_153842","Lake","2008-10-23","DOC",10.7,"mg/L","Eutrophic"
"7",34.59528,-112.4166,"LAGOS_454733","Lake","2011-07-08","DOC",10.3,"mg/L",NA
"8",35.6625,-78.61139,"LAGOS_152390","Lake","2008-04-28","DOC",5.18,"mg/L","Eutrophic"
"9",34.59528,-112.4166,"LAGOS_454733","Lake","2003-08-06","DOC",13.7,"mg/L",NA
"10",38.59432,-75.29099,"LAGOS_142130","Lake","2011-09-08","DOC",7.6,"mg/L",NA
"11",38.59432,-75.29099,"LAGOS_142130","Lake","2006-02-21","DOC",3.6,"mg/L",NA
"12",38.59432,-75.29099,"LAGOS_142130","Lake","2008-11-17","DOC",7,"mg/L",NA
"13",38.59432,-75.29099,"LAGOS_142130","Lake","2008-03-24","DOC",3.6,"mg/L",NA
"14",38.6718,-75.18588,"LAGOS_142394","Lake","2005-07-25","DOC",7.2,"mg/L",NA
"15",38.6718,-75.18588,"LAGOS_142394","Lake","2010-01-19","DOC",2.6,"mg/L",NA
"16",38.59432,-75.29099,"LAGOS_142130","Lake","2010-07-26","DOC",3.9,"mg/L",NA
"17",31.63733,-81.27427,"LAGOS_169226","Lake","2006-03-01","DOC",8.15,"mg/L",NA
"18",38.6718,-75.18588,"LAGOS_142394","Lake","2012-07-30","DOC",5.9,"mg/L",NA
"19",36.303,-91.535,"LAGOS_43619","Lake","2015-09-29","DOC",4.02,"mg/L",NA
"20",38.6718,-75.18588,"LAGOS_142394","Lake","2013-01-28","DOC",4.7,"mg/L",NA
"21",38.59432,-75.29099,"LAGOS_142130","Lake","2013-11-18","DOC",3.5,"mg/L",NA
"22",38.59432,-75.29099,"LAGOS_142130","Lake","2013-06-11","DOC",10,"mg/L",NA
"23",38.59432,-75.29099,"LAGOS_142130","Lake","2012-12-11","DOC",4.3,"mg/L",NA
"24",38.59432,-75.29099,"LAGOS_142130","Lake","2002-09-16","DOC",5.5,"mg/L",NA
"25",38.59506,-75.31243,"LAGOS_141830","Lake","2000-09-26","DOC",5,"mg/L",NA
"26",38.59432,-75.29099,"LAGOS_142130","Lake","2014-08-18","DOC",5.6,"mg/L",NA
"27",38.59584,-75.30421,"LAGOS_142280","Lake","2000-09-26","DOC",6,"mg/L",NA
"28",38.59432,-75.29099,"LAGOS_142130","Lake","2000-06-13","DOC",4,"mg/L",NA
"29",38.6718,-75.18588,"LAGOS_142394","Lake","2000-03-08","DOC",4,"mg/L",NA
"30",38.6718,-75.18588,"LAGOS_142394","Lake","2000-07-19","DOC",6,"mg/L",NA
"31",38.59506,-75.31243,"LAGOS_141830","Lake","2000-07-20","DOC",5,"mg/L",NA
"32",38.6718,-75.18588,"LAGOS_142394","Lake","2001-05-16","DOC",4,"mg/L",NA
"33",32.89492,-87.78727,"LAGOS_248118","Lake","2002-08-20","DOC",3.958,"mg/L","Eutrophic"
"34",34.14556,-94.09611,"LAGOS_409269","Lake","2012-05-22","DOC",6.58,"mg/L","Eutrophic"
"35",38.6718,-75.18588,"LAGOS_142394","Lake","2015-01-20","DOC",4.4,"mg/L",NA
"36",32.51853,-89.94125,"LAGOS_255758","Lake","2005-12-19","DOC",8,"mg/L","Eutrophic"
"37",38.59432,-75.29099,"LAGOS_142130","Lake","2015-03-11","DOC",5.2,"mg/L",NA
"38",38.59432,-75.29099,"LAGOS_142130","Lake","2015-06-24","DOC",3.7,"mg/L",NA
"39",32.51853,-89.94125,"LAGOS_255758","Lake","2004-10-26","DOC",7,"mg/L","Eutrophic"
"40",38.59432,-75.29099,"LAGOS_142130","Lake","2016-07-25","DOC",5.1,"mg/L",NA
"41",38.59432,-75.29099,"LAGOS_142130","Lake","2016-06-21","DOC",3.9,"mg/L",NA
"42",34.59528,-112.4166,"LAGOS_454733","Lake","2011-07-20","DOC",5.2,"mg/L","Eutrophic"
"43",34.5978,-93.3997,"LAGOS_292017","Lake","2011-08-08","DOC",3.64,"mg/L",NA
"44",34.95312,-93.16202,"LAGOS_391873","Lake","2016-03-15","DOC",4.58,"mg/L",NA
"45",39.19177,-77.00463,"LAGOS_142407","Lake","2007-12-17","DOC",3.19,"mg/L",NA
"46",39.19177,-77.00463,"LAGOS_142407","Lake","2007-10-15","DOC",3.04,"mg/L",NA
"47",35.10417,-93.65028,"LAGOS_390649","Lake","2013-09-16","DOC",5.53,"mg/L","Eutrophic"
"48",39.43227,-76.3107,"LAGOS_142824","Lake","2002-05-30","DOC",9.05,"mg/L",NA
"49",33.59443,-86.21167,"LAGOS_236199","Lake","2004-07-20","DOC",3.338,"mg/L",NA
"50",31.36214,-86.51637,"LAGOS_234508","Lake","2004-05-25","DOC",3.433,"mg/L","Eutrophic"
"51",39.5451,-79.35558,"LAGOS_80338","Lake","2000-05-01","DOC",2.1855,"mg/L",NA
"52",34.1878,-91.5133,"LAGOS_283323","Lake","2011-08-01","DOC",10.2,"mg/L",NA
"53",40.24332,-105.81362,"LAGOS_449545","Lake","2007-03-13","DOC",2.39,"mg/L","Oligotrophic"
"54",30.03605,-95.15354,"LAGOS_424032","Lake","2000-12-11","DOC",7.56,"mg/L","Eutrophic"
"55",36.0911,-94.3664,"LAGOS_392477","Lake","2014-04-14","DOC",6,"mg/L",NA
"56",40.32389,-81.18083,"LAGOS_494","Lake","2016-03-16","DOC",2.45,"mg/L",NA
"57",32.51853,-89.94125,"LAGOS_255758","Lake","2008-12-08","DOC",7,"mg/L","Eutrophic"
"58",38.59432,-75.29099,"LAGOS_142130","Lake","2015-04-15","DOC",3.8,"mg/L",NA
"59",32.51853,-89.94125,"LAGOS_255758","Lake","2004-04-28","DOC",7,"mg/L",NA
"60",29.76857,-95.0742,"LAGOS_423800","Lake","2017-08-15","DOC",7.41,"mg/L","Eutrophic"
"61",48.99164,-102.78601,"LAGOS_310696","Lake","2012-08-28","DOC",26,"mg/L",NA
"62",35.1539,-90.7198,"LAGOS_50675","Lake","2011-03-28","DOC",6.91,"mg/L",NA
"63",32.87747,-85.90135,"LAGOS_241072","Lake","2004-09-21","DOC",3.231,"mg/L",NA
"64",35.1539,-90.7198,"LAGOS_50675","Lake","2011-01-24","DOC",6.55,"mg/L",NA
"65",34.14556,-94.09611,"LAGOS_409269","Lake","2014-11-18","DOC",4.86,"mg/L",NA
"66",36.468,-94.327,"LAGOS_83001","Lake","2012-09-25","DOC",3.28,"mg/L",NA
"67",40.32389,-81.18083,"LAGOS_494","Lake","2015-08-13","DOC",3.63,"mg/L",NA
