UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,SITETYPE,PSTL_CODE,LAT_DD83,LON_DD83,AG_ECO9_NM,INDEX_VISIT,ANC,DOC,PH,NTL,PTL,NtoP
1002013,KSRS-1288,2013,1,4/30/2013,PROB,KS,39.12843,-95.65402,Temperate Plains,Y,4822.28,4.56,7.88,350,59,5.93220339
1002014,AZR9-0903,2013,1,5/6/2013,PROB,AZ,32.40882,-111.1606,Xeric,Y,3629.06,6.71,7.86,20225,3269,6.186907311
1002015,AZSS-1115,2013,1,5/7/2013,PROB,AZ,34.33749,-111.0138,Western Mountains,Y,1571.94,1.26,7.84,86,18,4.777777778
1002016,KSR9-0910,2013,1,5/6/2013,PROB,KS,39.49523,-97.2319,Southern Plains,Y,4437.6,5.73,8.33,1475,311,4.742765273
1002017,AZLS-1055,2013,1,5/8/2013,PROB,AZ,34.86995,-112.0693,Western Mountains,Y,5889.98,0.75,8,123,32,3.84375
1002018,KSRS-1270,2013,1,5/13/2013,PROB,KS,37.17128,-96.84909,Temperate Plains,Y,3929.21,2.87,8.23,309,28,11.03571429
1002019,KSS9-0933,2013,1,5/14/2013,PROB,KS,37.84409,-96.85665,Temperate Plains,Y,4171.87,6.98,8.05,625,66,9.46969697
1002020,AZR9-0903,2013,2,5/20/2013,PROB,AZ,32.40882,-111.1606,Xeric,N,3584.08,6.35,7.8,18200,4441,4.098176086
1002021,KYRM-1006,2013,1,5/21/2013,PROB,KY,38.51354,-85.02908,Southern Appalachians,Y,1994.72,1.95,7.9,985,104,9.471153846
1002022,KSR9-0902,2013,1,5/21/2013,PROB,KS,37.8236,-97.46279,Southern Plains,Y,3296.8,3.85,8.11,624,65,9.6
1002023,KYRM-1002,2013,1,5/22/2013,PROB,KY,38.68588,-85.17831,Southern Appalachians,Y,1649.69,2.59,7.88,1140,61,18.68852459
1002024,GAS9-0921,2013,1,5/21/2013,PROB,GA,34.42898,-82.90528,Southern Appalachians,Y,183.16,2.48,6.46,424,41,10.34146341
1002025,GAS9-0915,2013,1,5/23/2013,PROB,GA,33.92673,-85.05046,Southern Appalachians,Y,464.81,8.46,6.47,1741,92,18.92391304
1002026,PARM-1005,2013,1,5/29/2013,PROB,PA,40.59864,-79.75119,Southern Appalachians,Y,720.63,1.76,7.46,525,14,37.5
1002027,OHRM-1002,2013,1,5/28/2013,PROB,OH,40.14887,-80.70356,Southern Appalachians,Y,882.51,1.91,7.61,845,24,35.20833333
1002028,PARM-1001,2013,1,5/29/2013,PROB,PA,40.76001,-79.54689,Southern Appalachians,Y,783.85,1.91,7.57,426,16,26.625
1002029,NJS9-0908,2013,1,6/2/2013,PROB,NJ,41.04212,-74.0473,Southern Appalachians,Y,2962.79,2.61,8.13,1875,66,28.40909091
1002030,CARM-1007,2013,1,6/3/2013,PROB,CA,38.43501,-121.5249,Xeric,Y,1310,2.4,7.91,365,63.4,5.757097792
1002031,AZR9-0902,2013,1,5/27/2013,PROB,AZ,36.43346,-111.8641,Xeric,Y,2740.47,2.73,7.74,166,2,83
1002032,AZR9-0901,2013,1,5/30/2013,PROB,AZ,36.08766,-111.8706,Xeric,Y,2507.06,2.45,7.74,236,2,118
1002033,CARM-1003,2013,1,6/4/2013,PROB,CA,37.90976,-121.3253,Xeric,Y,1530,3.8,7.87,2090,266,7.857142857
1002034,NJRO-1019,2013,1,6/4/2013,PROB,NJ,40.75796,-74.16351,Southern Appalachians,Y,1318.51,6.02,7.61,1719,301,5.710963455
1002035,TXR9-0907,2013,1,6/4/2013,PROB,TX,30.57973,-94.99791,Coastal Plains,Y,1710.71,5,8.07,836,85,9.835294118
1002036,GAS9-0916,2013,1,6/4/2013,PROB,GA,32.80116,-82.92292,Coastal Plains,Y,289.5,4.39,7.32,356,85,4.188235294
1002037,NES9-0934,2013,1,6/5/2013,PROB,NE,40.90226,-96.60626,Temperate Plains,Y,6993.7,4.31,,6590,330,19.96969697
1002038,KSRS-1261,2013,1,6/5/2013,PROB,KS,39.35249,-99.83154,Southern Plains,Y,3520.79,5.94,7.93,415,55,7.545454545
1002039,KSRS-1277,2013,1,6/5/2013,PROB,KS,39.04576,-99.04318,Southern Plains,Y,3188.61,6.69,7.87,469,33,14.21212121
1002040,OKR9-0901,2013,1,6/3/2013,PROB,OK,35.92582,-99.51525,Southern Plains,Y,3270.49,3.46,8.4,246,37,6.648648649
1002041,PALS-1091,2013,1,6/5/2013,PROB,PA,41.75655,-77.5552,Northern Appalachians,Y,498.71,0.85,7.68,108,15,7.2
1002042,NJLS-1043,2013,1,6/5/2013,PROB,NJ,40.91547,-74.08986,Southern Appalachians,Y,2284.86,3.49,7.9,5100,611,8.346972177
1002043,DELS-1036,2013,1,6/5/2013,PROB,DE,38.85149,-75.66956,Coastal Plains,Y,356.46,2.84,6.91,2775,96,28.90625
1002044,NES9-0923,2013,1,6/4/2013,PROB,NE,41.41566,-98.08897,Southern Plains,Y,6614.042,4.99,,2870,600,4.783333333
1002045,NES9-0930,2013,1,6/3/2013,PROB,NE,41.67311,-97.67665,Southern Plains,Y,5135.374,6.77,,6890,700,9.842857143
1002046,WVRF-0001,2013,1,6/5/2013,HAND,WV,39.4955,-78.30457,Southern Appalachians,Y,51.76,1.61,6.44,223,13,17.15384615
1002047,OKS9-0935,2013,1,6/4/2013,PROB,OK,35.54539,-99.72271,Southern Plains,Y,6087.2,2.77,8.15,2368,111,21.33333333
1002048,PAS9-0918,2013,1,6/6/2013,PROB,PA,41.60763,-77.50377,Northern Appalachians,Y,198.77,0.77,7.05,153,19,8.052631579
