Master_Site,Site_Code,Date,Rep,CaQual,Ca,MgQual,Mg,NaQual,Na,KQual,K,SO4Qual,SO4,ClQual,Cl,NO3Qual,NO3,NH4Qual,NH4,NO2Qual,NO2,DOCQual,DOC,pHQual,pH,AlkalinityQual,Alkalinity,AlQual,Al,Total_NQual,Total_N,TONQual,TON,PO4_PQual,PO4_P,ConductivityQual,Conductivity,SiQual,Si,FeQual,Fe,POMQual,POM,POCQual,POC,SalinityQual,Salinity,FQual,F,BrQual,Br,TDPQual,TDP,LiQual,Li,BeQual,Be,Al27Qual,Al27,ScQual,Sc,VQual,V,CrQual,Cr,MnQual,Mn,Fe57Qual,Fe57,Ni58Qual,Ni58,CoQual,Co,Ni60Qual,Ni60,CuQual,Cu,ZnQual,Zn,AsQual,As,SeQual,Se,RbQual,Rb,SrQual,Sr,MoQual,Mo,CdQual,Cd,SbQual,Sb,CsQual,Cs,BaQual,Ba,PbQual,Pb,UQual,U,BQual,B,SQual,S,LaQual,La,CeQual,Ce,PrQual,Pr,WQual,W,TiQual,Ti,SnQual,Sn
Aber Las,CC51,03-Sep-08,1,,39.35,,40.833,,183.913,,1.769,,18.125,,164.789,<,0.714,,1.286,,,,21.4,,4.73,,-7.4,,137,,0.56,,,,,,,,,,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,10-Dec-08,1,,69,,63,,569.565,,5.821,,40,,645.07,<,0.714,,0.786,,,,5.83,,5.2,,-2.4,,37,,0.18,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,06-Mar-09,1,,102,,66.25,,521.739,,8.231,,44.375,,554.93,,3,,1,<,0.005,,5.91,,5.97,,66.8,,31,,0.18,,,<,0.005,,80.7,,1.66,,604,,,,,,,,0.02,,0.017,,0.02,,0.562,,0.006,,36.6,,0.501,,0.073,,0.359,,231,,483,,0.792,,1.41,,0.505,,44.4,,15.5,,1.22,,0.082,,0.527,,5.7,<,0.03,,0.031,,0.034,,0.008,,2.38,,0.463,,0.002,,2.82,,0.784,,0.06,,0.115,,0.018,<,0.01,,0.493,<,0.006
Aber Las,CC51,10-Jun-09,1,,165,,90,,352.174,,3.231,,35.625,,354.93,,4.143,,1.071,<,0.005,,7.22,,6.64,,194,,59,,0.19,,,,0.018,,71.8,,2.34,,1080,,,,,,,,0.029,,0.026,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,0.669,,,,,,,,,,,,
Aber Las,CC51,10-Sep-09,1,,76.5,,55,,230,,2.821,,19.375,,205.634,<,0.714,,1.429,,,,12.6,,6.05,,41.6,,93,,0.29,,,,,,40.1,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,09-Dec-09,1,,31.4,,35.917,,206.522,,6.154,,31.25,,235.211,,7,,0.929,,,,5.12,,4.88,,-9.76,,46,,0.14,,,,,,38.5,,,,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,04-Mar-10,1,,157,,90.833,,621.739,,7.154,,48.125,,639.437,,5.643,,1.214,,,,3.94,,6.38,,263,,24,,0.12,,,,,,101.8,,,,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aber Las,CC51,02-Jun-10,1,,188,,100.833,,439.13,,5.641,,45,,422.535,<,0.714,,1.429,,,,10.5,,6.24,,220,,51,,0.2,,,,,,79.7,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,03-Sep-08,1,,76.5,,101.667,,223.913,,5.41,,21.875,,202.535,<,0.714,,1.929,,,,33.5,,5.08,,-9.4,,262,,1,,,,,,,,,,2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afon Cadnant,CC54,10-Dec-08,1,,48.8,,72.583,,217.391,,6.359,,57.5,,266.197,,2.214,,0.857,,,,6.21,,5.46,,3.2,,44,,0.25,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
