Site Label,Collection Site or Zone,Date,Secchi Depth,Profile Depth,PAR,Notes/Angles
LCI - Breezeswept North,Breezeswept North,2017-07-19,NA,0,960,CC 50%
LCI - Breezeswept North,Breezeswept North,2017-08-23,NA,0,151,nr
LCI - Breezeswept North,Breezeswept North,2017-07-19,NA,0.25,787.3,CC 50%
LCI - Breezeswept North,Breezeswept North,2017-07-19,NA,0.5,574,CC 50%
LCI - Breezeswept North,Breezeswept North,2017-08-23,NA,0.5,94,nr
LCI - Breezeswept North,Breezeswept North,2017-08-23,NA,1,69,nr
LCI - Breezeswept North,Breezeswept North,2017-08-23,NA,1.5,43,nr
LCI - Breezeswept North,Breezeswept North,2017-07-19,NA,Surface,2715,CC 50%
LCI - Breezeswept North,Breezeswept North,2017-08-23,NA,Surface,457,nr
LCI - Breezeswept South,Breezeswept South,2017-07-19,0.9,0,1630,CC 50%
LCI - Breezeswept South,Breezeswept South,2017-08-24,NA,0,29.07,nr
LCI - Breezeswept South,Breezeswept South,2017-07-19,0.9,0.25,1120,CC 50%
LCI - Breezeswept South,Breezeswept South,2017-07-19,0.9,0.5,862,CC 50%
LCI - Breezeswept South,Breezeswept South,2017-08-24,NA,0.5,17.5,nr
LCI - Breezeswept South,Breezeswept South,2017-07-19,0.9,0.75,581,CC 50%
LCI - Breezeswept South,Breezeswept South,2017-08-24,NA,0.9,7.75,nr
LCI - Breezeswept South,Breezeswept South,2017-07-19,0.9,1,383,CC 50%
LCI - Breezeswept South,Breezeswept South,2017-07-19,0.9,1.25,215.4,CC 50%
LCI - Breezeswept South,Breezeswept South,2017-07-19,0.9,1.5,131.1,CC 50%
LCI - Breezeswept South,Breezeswept South,2017-07-19,0.9,Surface,3736,CC 50%
LCI - Breezeswept South,Breezeswept South,2017-08-24,NA,Surface,72,nr
LCI - CRAMP,CRAMP,2018-08-20,2.5,0,444.2,haze from wildfires
LCI - CRAMP,CRAMP,2018-08-20,2.5,0.5,301,haze from wildfires
LCI - CRAMP,CRAMP,2018-08-20,2.5,1,188.7,haze from wildfires
LCI - CRAMP,CRAMP,2018-08-20,2.5,1.5,98.8,haze from wildfires
LCI - CRAMP,CRAMP,2018-08-20,2.5,2,49.8,haze from wildfires
LCI - CRAMP,CRAMP,2018-08-20,2.5,2.5,20.4,haze from wildfires
LCI - CRAMP,CRAMP,2018-08-20,2.5,Surface,741,haze from wildfires
Chappell,Chappell,2017-06-21,2.2,0,1215,CC 20%
LCI - Chappel,Chappell,2017-08-24,>2.5,0,2088,CC 60%
Chappell,Chappell,2017-06-21,2.2,0.5,1001,CC 20%
LCI - Chappel,Chappell,2017-08-24,>2.5,0.5,977,CC 60%
Chappell,Chappell,2017-06-21,2.2,1,742,CC 20%
LCI - Chappel,Chappell,2017-08-24,>2.5,1,826,CC 60%
Chappell,Chappell,2017-06-21,2.2,1.5,568.7,CC 20%
LCI - Chappel,Chappell,2017-08-24,>2.5,1.5,734,CC 60%
Chappell,Chappell,2017-06-21,2.2,2,528.6,CC 20%
LCI - Chappel,Chappell,2017-08-24,>2.5,2,600,CC 60%
Chappell,Chappell,2017-06-21,2.2,surface,2154,CC 20%
LCI - Chappel,Chappell,2017-08-24,>2.5,Surface,3475,CC 60%
Court,Court Dock,2016-08-26,1.8,0,1219,CC 2%
Courtesy Dock,Court Dock,2016-07-14,2,0,1819,CC 85%
Court,Court Dock,2016-08-26,1.8,0.5,724,CC 2%
Courtesy Dock,Court Dock,2016-07-14,2,0.5,657,CC 85%
Court,Court Dock,2016-08-26,1.8,1,256,CC 2%
Courtesy Dock,Court Dock,2016-07-14,2,1,495.4,CC 85%
Court,Court Dock,2016-08-26,1.8,2,33,CC 2%
Courtesy Dock,Court Dock,2016-07-14,2,2,10.81,CC 85%
Court,Court Dock,2016-08-26,1.8,Surface,3551,CC 2%
Courtesy Dock,Court Dock,2016-07-14,2,Surface,4189,CC 85%
Court East,Court East,2016-07-14,na,0,1366,CC 85%
Court East,Court East,2017-06-20,1.5,0,4.54,CC 70%
LCI - Court East,Court East,2017-07-19,1.5,0,1848,CC 0-30%
LCI - Court East,Court East,2017-08-23,1.5,0,350,CC 75%
LCI - Court East,Court East,2017-07-19,1.5,0.25,1360,CC 0-30%
Court East,Court East,2016-07-14,na,0.5,222.8,CC 85%
Court East,Court East,2017-06-20,1.5,0.5,2.25,CC 70%
LCI - Court East,Court East,2017-07-19,1.5,0.5,1142,CC 0-30%
LCI - Court East,Court East,2017-08-23,1.5,0.5,155,CC 75%
LCI - Court East,Court East,2017-07-19,1.5,0.75,833.5,CC 0-30%
Court East,Court East,2016-07-14,na,1,155.3,CC 85%
LCI - Court East,Court East,2017-07-19,1.5,1,705.3,CC 0-30%
LCI - Court East,Court East,2017-08-23,1.5,1,31,"CC 75%, in plants"
LCI - Court East,Court East,2017-08-23,1.5,1.5,24,"CC 75%, in plants"
Court East,Court East,2016-07-14,na,Surface,2504,CC 85%
Court East,Court East,2017-06-20,1.5,surface,12.1,CC 70%
LCI - Court East,Court East,2017-07-19,1.5,Surface,3690,CC 0-30%
LCI - Court East,Court East,2017-08-23,1.5,Surface,964,CC 75%
LCI - Court West,Court West,2017-07-19,>1.5,0,1830,CC 0-30%
LCI - Court West,Court West,2017-08-23,2,0,366,CC 75%
LCI - Court West,Court West,2017-07-19,>1.5,0.25,1198,CC 0-30%
LCI - Court West,Court West,2017-07-19,>1.5,0.5,842.6,CC 0-30%
LCI - Court West,Court West,2017-08-23,2,0.5,114,CC 75%
LCI - Court West,Court West,2017-08-23,2,1,58,CC 75%
LCI - Court West,Court West,2017-08-23,2,1.5,31,CC 75%
LCI - Court West,Court West,2017-08-23,2,2,2.7,"CC 75%, in plants"
LCI - Court West,Court West,2017-07-19,>1.5,Surface,3770,CC 0-30%
LCI - Court West,Court West,2017-08-23,2,Surface,853,CC 75%
LCI - FDS 4,FDS,2017-08-22,NA,0,380,CC 80-100%
LCI - FDS 4,FDS,2017-08-22,NA,0.25,285,CC 80-100%
LCI - FDS 4,FDS,2017-08-22,NA,0.5,239,CC 80-100%
LCI - FDS 4,FDS,2017-08-22,NA,0.75,199,CC 80-100%
LCI - FDS 4,FDS,2017-08-22,NA,1,138,CC 80-100%
LCI - FDS 4,FDS,2017-08-22,NA,1.5,53,CC 80-100% dense plants past 1m
FDS 4,FDS,2017-06-22,NA,surface,1250,CC 100%
LCI - FDS 4,FDS,2017-08-22,NA,Surface,1015,CC 80-100%
FDS 5,FDS,2017-06-22,NA,0,515,CC 100%
FDS 6,FDS,2017-06-22,NA,0.5,344,CC 100%
FDS 7,FDS,2017-06-22,NA,1,210.8,CC 100%
FDS 8,FDS,2017-06-22,NA,1.5,146.4,CC 100%
FDS Aug 1 + Aug2,FDS,2017-07-18,1.85,0,622.2,CC 70% light clouds
FDS Aug 1 + Aug2,FDS,2017-07-18,1.85,0.5,328.8,CC 70% light clouds
FDS Aug 1 + Aug2,FDS,2017-07-18,1.85,1,163.4,CC 70% light clouds
FDS Aug 1 + Aug2,FDS,2017-07-18,1.85,1.5,94.52,CC 70% light clouds
FDS Aug 1 + Aug2,FDS,2017-07-18,1.85,2,38.82,CC 70% light clouds
FDS Aug 1 + Aug2,FDS,2017-07-18,1.85,Surface,1671,CC 70% light clouds
FDS,FDS,2016-08-25,1.9,0,1671,CC 60%
FDS,FDS,2016-07-15,2.05,0,365,CC 100%
FDS,FDS,2016-08-25,1.9,0.5,1198,CC 60%
FDS,FDS,2016-07-15,2.05,0.5,175.4,CC 100%
FDS,FDS,2016-08-25,1.9,1,702,CC 60%
FDS,FDS,2016-07-15,2.05,1,153.3,CC 100%
FDS,FDS,2016-08-25,1.9,2,22,CC 60%
FDS,FDS,2016-08-25,1.9,Surface,3822,CC 60%
FDS,FDS,2016-07-15,2.05,Surface,1133,CC 100%
LCI - Hessel Marina,Hessel Marina,2017-07-20,>4,0,1895,CC 30%
LCI - Hessel Marina,Hessel Marina,2017-08-24,>2.8,0,1490,CC 50-60%
LCI - HRAMP,Hessel Marina,2018-08-23,>2.1,0,797,nr
LCI - Hessel Marina,Hessel Marina,2017-07-20,>4,0.5,1673,CC 30%
LCI - Hessel Marina,Hessel Marina,2017-08-24,>2.8,0.5,852.1,CC 50-60%
LCI - HRAMP,Hessel Marina,2018-08-23,>2.1,0.5,730.1,nr
LCI - Hessel Marina,Hessel Marina,2017-07-20,>4,1,1400,CC 30%
LCI - Hessel Marina,Hessel Marina,2017-08-24,>2.8,1,447.5,CC 50-60%
LCI - HRAMP,Hessel Marina,2018-08-23,>2.1,1,593.5,nr
LCI - Hessel Marina,Hessel Marina,2017-07-20,>4,1.5,1199,CC 30%
LCI - Hessel Marina,Hessel Marina,2017-08-24,>2.8,1.5,217.5,CC 50-60%
LCI - HRAMP,Hessel Marina,2018-08-23,>2.1,1.5,446.8,nr
LCI - Hessel Marina,Hessel Marina,2017-08-24,>2.8,2,170.6,CC 50-60%
LCI - HRAMP,Hessel Marina,2018-08-23,>2.1,2,419.5,nr
LCI - HRAMP,Hessel Marina,2018-08-23,>2.1,2.5,301.2,nr
LCI - HRAMP,Hessel Marina,2018-08-23,>2.1,2.75,264.1,nr
LCI - Hessel Marina,Hessel Marina,2017-07-20,>4,Surface,3636,CC 30%
LCI - Hessel Marina,Hessel Marina,2017-08-24,>2.8,Surface,2752,CC 50-60%
LCI - HRAMP,Hessel Marina,2018-08-23,>2.1,Surface,1675,nr
Howell Dock,Howells Dock,2016-08-06,>1.8,0,1930,CC 30%
Howell Dock,Howells Dock,2017-06-21,2.3,0,729.7,CC 5%
LCI - Howell's Dock,Howells Dock,2017-08-25,>2.8,0,1464,CC 0-30%
LCI - Howell's Dock,Howells Dock,2018-08-22,>2.5,0,1447,nr
Howell Dock,Howells Dock,2016-08-06,>1.8,0.5,1477,CC 30%
Howell Dock,Howells Dock,2017-06-21,2.3,0.5,617.3,CC 5%
LCI - Howell's Dock,Howells Dock,2017-08-25,>2.8,0.5,997,CC 0-30%
LCI - Howell's Dock,Howells Dock,2018-08-22,>2.5,0.5,898.6,nr
Howell Dock,Howells Dock,2016-08-06,>1.8,1,1185,CC 30%
Howell Dock,Howells Dock,2017-06-21,2.3,1,547.3,CC 5%
LCI - Howell's Dock,Howells Dock,2017-08-25,>2.8,1,685,CC 0-30%
LCI - Howell's Dock,Howells Dock,2018-08-22,>2.5,1,312.9,nr
Howell Dock,Howells Dock,2016-08-06,>1.8,1.5,873.3,CC 30%
Howell Dock,Howells Dock,2017-06-21,2.3,1.5,364.1,CC 5%
LCI - Howell's Dock,Howells Dock,2017-08-25,>2.8,1.5,645,CC 0-30%
LCI - Howell's Dock,Howells Dock,2018-08-22,>2.5,1.5,179.9,nr
Howell Dock,Howells Dock,2017-06-21,2.3,2,283.6,CC 5%
LCI - Howell's Dock,Howells Dock,2017-08-25,>2.8,2,574,CC 0-30%
LCI - Howell's Dock,Howells Dock,2018-08-22,>2.5,2,100.3,nr
LCI - Howell's Dock,Howells Dock,2017-08-25,>2.8,2.5,274,CC 0-30%
Howell Dock,Howells Dock,2016-08-06,>1.8,Surface,4242,CC 30%
Howell Dock,Howells Dock,2017-06-21,2.3,surface,1903,CC 5%
LCI - Howell's Dock,Howells Dock,2017-08-25,>2.8,Surface,4292,CC 0-30%
LCI - Howell's Dock,Howells Dock,2018-08-22,>2.5,Surface,1422,nr
Neil,Neil,2017-06-23,1.9,0,1125,CC 70%
LCI - Neil's Dock,Neil,2017-08-24,>1.8,0,795,nr
LCI - Neil's Dock,Neil,2018-08-23,>1.5,0,503.2,nr
Neil,Neil,2017-06-23,1.9,0.5,868,CC 70%
LCI - Neil's Dock,Neil,2017-08-24,>1.8,0.5,631,nr
LCI - Neil's Dock,Neil,2018-08-23,>1.5,0.5,461,nr
Neil,Neil,2017-06-23,1.9,1,630,CC 70%
LCI - Neil's Dock,Neil,2017-08-24,>1.8,1,530,nr
LCI - Neil's Dock,Neil,2018-08-23,>1.5,1,346.9,nr
Neil,Neil,2017-06-23,1.9,1.5,600,CC 70%
LCI - Neil's Dock,Neil,2017-08-24,>1.8,1.5,536,nr
LCI - Neil's Dock,Neil,2018-08-23,>1.5,1.5,168.9,nr
Neil,Neil,2017-06-23,1.9,1.8,575,CC 70%
LCI - Neil's Dock,Neil,2017-08-24,>1.8,1.8,508,nr
LCI - Neil's Dock,Neil,2018-08-23,>1.5,2,34.04,nr
Neil,Neil,2017-06-23,1.9,surface,1800,CC 70%
LCI - Neil's Dock,Neil,2017-08-24,>1.8,Surface,2054,nr
LCI - Neil's Dock,Neil,2018-08-23,>1.5,Surface,1350,nr
LCI - Hessel Marina Control,Neil,2017-07-20,>2,0,1950,CC 10% + haze
LCI - Hessel Marina Control,Neil,2017-07-20,>2,0.5,1550,CC 10% + haze
LCI - Hessel Marina Control,Neil,2017-07-20,>2,1,1430,CC 10% + haze
LCI - Hessel Marina Control,Neil,2017-07-20,>2,1.5,1298,CC 10% + haze
LCI - Hessel Marina Control,Neil,2017-07-20,>2,2,1230,CC 10% + haze
LCI - Hessel Marina Control,Neil,2017-07-20,>2,Surface,3720,CC 10% + haze
LCI - Urie Point,Urie Point,2018-08-22,>3.2,0,2399,nr
LCI - Urie Point,Urie Point,2018-08-22,>3.2,0.5,1605,nr
LCI - Urie Point,Urie Point,2018-08-22,>3.2,1,1380,nr
LCI - Urie Point,Urie Point,2018-08-22,>3.2,1.5,1223,nr
LCI - Urie Point,Urie Point,2018-08-22,>3.2,2,966.1,nr
LCI - Urie Point,Urie Point,2018-08-22,>3.2,2.5,750.5,nr
LCI - Urie Point,Urie Point,2018-08-22,>3.2,3,576.6,nr
LCI - Urie Point,Urie Point,2018-08-22,>3.2,Surface,2565,nr
