Group,Common Name,Scientific Name
Aquatic Mosses,Aquatic Moss,"Several genra, especially Drepanocladus and Fontinalis"
Arrowheads,Arum-leaved arrowhead,Sagittaria cuneata
Bladderworts,Common Bladderwort,Utricularia macrorhiza
Bur-reeds,Floating Bur-reed,Sparganium fluctuans
Chara ,Chara spp.,
Chara,Small Nitella,Nitella tenuissima
Coontail,Coontail,Ceratophyllum demersum
Creeping Spearwort,Creeping Spearwort,Ranunculus flammula
Duckweeds,Forked Duckweed,Lemna trisulca
Duckweeds,Lemmna spp.,Lemna minor / Spirodela polyrhiza
Duckweeds,Small Duckweed,Lemna minor
Naiads,Slender Naiad,Najas flexilis
Pondweeds,Algal-leaved Pondweed,Potamogeton confervoides
Pondweeds,Clasping-leaf Pondweed,Potamogeton richardsonii
Pondweeds,Curly-leaf Pondweed,Potamogeton crispus
Pondweeds,Fern Pondweed,Potamogeton robbinsii
Pondweeds,Filiform Pondweed,Stuckenia filiformis
Pondweeds,Flatstem Pondweed,Potamogeton zosteriformis
Pondweeds,Floating-leaf Pondweed,Potamogeton natans
Pondweeds,Large-leaf Pondweed,Potamogeton amplifolius
Pondweeds,Leafy Pondweed,Potamogeton foliosus
Pondweeds,Long-leaf Pondweed,Potamogeton nodosus
Pondweeds,Oakes' Pondweed,Potamogeton oakesianus
Pondweeds,Ribbon-leaf Pondweed,Potamogeton epihydrus
Pondweeds,Sago Pondweed,Stuckenia pectinata
Pondweeds,Sheathed Pondweed,Stuckenia vaginata
Pondweeds,Small Pondweed,Potamogeton pusillus spp.
Pondweeds,Stiff Pondweed,Potamogeton strictifolius
Pondweeds,Variable Pondweed,Potamogeton gramineus
Pondweeds,Whitestem Pondweed,Potamogeton praelongus
Quillworts,Lake Quillwort,Isoetes lacustris
Quillworts,Spiny-spored Quillwort,Isoetes tenella
Rushes,Softstem Bulrush,Schoenoplectus tabernaemontani
Spatterdock,Spatterdock,Nuphar variegata
Spikerushes,Needle Spikerush,Eleocharis acicularis
Stoneworts,Chara spp.,Chara spp.
Water Celery,Eel Grass/Water Celery,Vallisneria americana
Water Crowfoot,White Water Crowfoot,Ranunculas aquatilis
Water Marigold,Water Marigold,Bidens becki
Water Stargrass,Water Stargrass,Heteranthera dubia
Waterlilies,White Waterlily,Nymphaea odorata
Watermilfoils,Alternate-flowered Watermilfoil,Myriophyllum alterniflorum
Watermilfoils,Eurasian Watermilfoil,Myriophyllum spicatum
Watermilfoils,Northern Watermilfoil,Myiophyllum sibiricum
Watermilfoils,Various-leaved Watermilfoil,Myriophyllum heterophyllum
Watershield,Watershield,Brasenia schreberi
Waterweeds,Elodea,Elodea canadensis
