Site Label,Collection Site or Zone,Date,Time,Site depth,Profile depth,Conductivity,Temp,pH,pH_mV,Turbidity,ODO_%,ODO_concentration
Chappell,Chappell,2017-06-21,16:20,nr,0,0.209,19.76,8.05,-109.7,-1.6,111,10.14
Chappell,Chappell,2017-06-21,16:20,nr,0.5,0.209,19.77,8.06,-110.4,-1.5,111.4,10.17
Chappell,Chappell,2017-06-21,16:20,nr,1,0.202,19.45,8.14,-114.9,-1.7,112.7,10.35
Court,Court Dock,2016-08-26,9:30,nr,0,0.246,21.18,6.91,-39.6,0.6,65.2,5.67
Court,Court Dock,2016-08-26,9:30,nr,0.5,0.247,21.13,6.95,-42.7,0.4,61.5,5.46
Court,Court Dock,2016-08-26,9:30,nr,1,0.248,21.09,6.96,-42.9,0.2,57.7,5.13
Court,Court Dock,2016-08-26,9:30,nr,1.5,0.298,20.47,6.88,-38,0.4,31.1,2.79
Court,Court Dock,2016-08-26,9:30,nr,2,0.36,19,6.7,-27.6,2.7,8.4,0.74
Court East,Court East,2016-07-14,11:00,1.4,na,na,na,na,na,na,na,na
Court East,Court East,2017-06-20,10:00,na,0,0.271,18.98,8.17,-116.3,-1.4,116.1,10.77
Courtesy Dock,Court Dock,2016-07-14,12:50,2.2,0.5,0.23,24.17,7.71,-89.7,-2.3,116.5,9.78
Courtesy Dock?,Court Dock,2016-08-26,13:40,nr,0,0.249,22.29,7.17,-54,1.1,76.1,6.61
Courtesy Dock?,Court Dock,2016-08-26,13:40,nr,0.5,0.25,22.21,7.17,-54.7,1.1,76.5,6.65
Courtesy Dock?,Court Dock,2016-08-26,13:40,nr,1,0.255,21.8,7.11,-50.9,-0.5,66.6,5.84
Courtesy Dock?,Court Dock,2016-08-26,13:40,nr,1.5,0.287,21.2,6.98,-42.6,-1.8,35.9,3.02
FDS,FDS,2016-07-15,9:35,nr,0,0.199,22.53,7.79,-93.5,-1.8,96.3,8.32
FDS,FDS,2016-07-15,9:35,nr,0.5,0.199,22.56,8.01,-106.3,-1.7,95.3,8.24
FDS,FDS,2016-07-15,9:35,nr,1,0.196,22.58,8.14,-113.8,3,96,8.29
FDS,FDS,2016-08-25,15:12,2,0,0.225,22.53,7.36,-66.5,0.4,88.2,7.62
FDS,FDS,2016-08-25,15:12,2,0.5,0.225,22.55,7.58,-77.5,0.7,87.9,7.6
FDS,FDS,2016-08-25,15:12,2,1,0.225,22.53,7.6,-79,0.9,90.2,7.83
FDS,FDS,2016-08-25,15:12,2,2,0.217,21.9,7.66,-82,na,85.7,7.47
FDS 4,FDS,2017-06-22,11:30,nr,0,0.203,19.77,8.22,-119.5,-0.9,108.3,9.88
FDS 5,FDS,2017-06-22,11:30,nr,0.5,0.204,19.78,8.28,-122.8,-1.1,109,9.94
FDS 6,FDS,2017-06-22,11:30,nr,1,0.205,19.78,8.31,-124.4,-1.1,110.9,10.13
FDS 7,FDS,2017-06-22,11:30,nr,2,0.209,19.74,8.29,-123.1,-1,109.1,9.94
FDS Aug 1 + Aug2,FDS,2017-07-18,16:00,2,0,0.25,21.32,7.98,-100.3,-0.2,115.3,10.19
FDS Aug 1 + Aug2,FDS,2017-07-18,16:00,2,0.5,0.254,21.09,7.94,-98.2,-0.3,116.3,10.4
FDS Aug 1 + Aug2,FDS,2017-07-18,16:00,2,1,0.252,20.52,7.85,-93.1,-0.3,112.9,10.16
FDS Aug 1 + Aug2,FDS,2017-07-18,16:00,2,2,0.268,18.89,7.86,-93.5,-0.2,124.5,11.56
Howell Dock,Howells Dock,2016-08-06,nr,1.8,0,0.003,21.46,8.02,-103.7,0.1,104.6,9.24
Howell Dock,Howells Dock,2016-08-06,nr,1.8,0.5,0.212,21.52,8.17,-111.3,-0.5,104.6,9.24
Howell Dock,Howells Dock,2016-08-06,nr,1.8,1,0.211,21.4,8.24,-114.8,-0.2,106.8,9.45
Howell Dock,Howells Dock,2016-08-06,nr,1.8,1.5,0.211,21.35,8.27,-116.5,0.2,107.7,9.54
Howell Dock,Howells Dock,2016-08-06,nr,1.8,2,0.211,21.3,8.3,-118.3,0.2,108,9.57
"Howell Dock, Shephard Bay",Howells Dock,2017-06-21,8:50,nr,0,0.19,18.57,8.09,-111.9,-1.3,97.9,9.15
"Howell Dock, Shephard Bay",Howells Dock,2017-06-21,8:50,nr,0.5,0.19,18.58,8.11,-113.2,-1.4,97.7,9.13
"Howell Dock, Shephard Bay",Howells Dock,2017-06-21,8:50,nr,1,0.19,18.56,8.12,-113.3,-1.8,97.8,9.15
LCI - Breezeswept North,Breezeswept North,2017-07-19,17:45,nr,0,0.233,22.43,7.8,7.72,1.3,108.7,9.42
LCI - Breezeswept North,Breezeswept North,2017-07-19,17:45,nr,0.5,0.236,22.19,7.31,-62.8,1.6,98.5,8.57
LCI - Breezeswept North,Breezeswept North,2017-07-19,17:45,nr,1,0.237,22.1,7.29,-62,2.8,113.2,9.94
LCI - Breezeswept North,Breezeswept North,2017-08-23,15:30,nr,0,0.246,20.01,7.57,-120.3,-3.5,81,7.28
LCI - Breezeswept North,Breezeswept North,2017-08-23,15:30,nr,0.5,0.249,20.01,7.52,-118.1,-3.5,79.2,7.2
LCI - Breezeswept North,Breezeswept North,2017-08-23,15:30,nr,1,0.248,19.98,7.51,-117.5,-2.9,78.6,7.15
LCI - Breezeswept North,Breezeswept North,2017-08-23,15:30,nr,1.5,0.246,19.79,7.42,-111.2,0.9,62.4,5.66
LCI - Breezeswept South,Breezeswept South,2017-07-19,17:30,nr,0,0.231,21.9,6.9,-39.2,5.8,99.2,8.7
LCI - Breezeswept South,Breezeswept South,2017-07-19,17:30,nr,0.5,0.225,21.42,7.05,-47.7,4.8,110.6,9.77
LCI - Breezeswept South,Breezeswept South,2017-07-19,17:30,nr,1,0.226,21.23,6.82,-35.3,7.6,93.4,8.28
LCI - Breezeswept South,Breezeswept South,2017-07-19,17:30,nr,1.5,0.238,20.73,6.7,-27.7,27.6,72.8,6.48
LCI - Breezeswept South,Breezeswept South,2017-07-19,17:30,nr,2,0.242,19.95,6.32,-6.6,45.1,46,4.17
LCI - Breezeswept South,Breezeswept South,2017-08-24,7:45,nr,0,0.237,18.4,7.69,-125.4,-3.4,58,5.41
LCI - Breezeswept South,Breezeswept South,2017-08-24,7:45,nr,0.5,0.238,18.4,7.52,-117.1,-3.3,55,5.14
