Site Label,Collection Site or Zone,Plot,Point,Date,Plant,Rake toss replicate,Rake Fullness
FDS-Aug2,FDS,2-Aug,1,2016-08-25,Eurasian Watermilfoil,1,3
FDS-Aug2,FDS,2-Aug,1,2016-08-25,Coontail,1,1
FDS-Aug2,FDS,2-Aug,1,2016-08-25,White Water Crowfoot,1,0
FDS-Aug2,FDS,2-Aug,1,2016-08-25,Elodea,1,2
FDS-Aug2,FDS,2-Aug,1,2016-08-25,Sheathed Pondweed,1,1
FDS-Aug1,FDS,1-Aug,1,2016-08-25,Eurasian Watermilfoil,1,2
FDS-Aug1,FDS,1-Aug,1,2016-08-25,Coontail,1,1
FDS-Aug1,FDS,1-Aug,1,2016-08-25,White Water Crowfoot,1,0
FDS-Aug1,FDS,1-Aug,1,2016-08-25,Algal-leaved Pondweed,1,0
FDS-Aug1,FDS,1-Aug,1,2016-08-25,Elodea,1,1
FDS-Aug1,FDS,1-Aug,1,2016-08-25,Sheathed Pondweed,1,1
FDS-Aug7,FDS,7-Aug,1,2016-08-25,Eurasian Watermilfoil,1,1
FDS-Aug7,FDS,7-Aug,1,2016-08-25,Coontail,1,1
FDS-Aug7,FDS,7-Aug,1,2016-08-25,Water Marigold,1,0
FDS-Aug7,FDS,7-Aug,1,2016-08-25,White Water Crowfoot,1,0
FDS-Aug7,FDS,7-Aug,1,2016-08-25,Elodea,1,1
FDS-Aug7,FDS,7-Aug,1,2016-08-25,Sheathed Pondweed,1,3
FDS-Aug7,FDS,7-Aug,1,2016-08-25,Flatstem Pondweed,1,1
FDS-Aug7,FDS,7-Aug,1,2016-08-25,Northern Watermilfoil,1,0
FDS-Aug6,FDS,6-Aug,1,2016-08-25,Eurasian Watermilfoil,1,1
FDS-Aug6,FDS,6-Aug,1,2016-08-25,Coontail,1,0
FDS-Aug6,FDS,6-Aug,1,2016-08-25,White Water Crowfoot,1,1
FDS-Aug6,FDS,6-Aug,1,2016-08-25,Elodea,1,1
FDS-Aug6,FDS,6-Aug,1,2016-08-25,Aquatic Moss,1,0
FDS-Aug6,FDS,6-Aug,1,2016-08-25,Sheathed Pondweed,1,2
FDS-Aug6,FDS,6-Aug,1,2016-08-25,Flatstem Pondweed,1,0
FDS-Aug6,FDS,6-Aug,1,2016-08-25,Northern Watermilfoil,1,0
HowellD-1,Howells Doc,1,1,2016-08-26,Eurasian Watermilfoil,1,2
HowellD-1,Howells Doc,1,1,2016-08-26,Eel Grass/Water Celery,1,2
CourtE,Court East,NA,1,2016-08-26,Eurasian Watermilfoil,1,1
CourtE,Court East,NA,1,2016-08-26,Coontail,1,0
CourtE,Court East,NA,1,2016-08-26,Water Marigold,1,0
CourtE,Court East,NA,1,2016-08-26,Curly-leaf Pondweed,1,0
CourtE,Court East,NA,1,2016-08-26,Eel Grass/Water Celery,1,1
CourtE,Court East,NA,1,2016-08-26,Elodea,1,2
CourtE,Court East,NA,1,2016-08-26,Flatstem Pondweed,1,0
CourtE-Bouy2,Court East,2,A+B+C,2017-06-20,Eurasian Watermilfoil,1,1
CourtE-Bouy2,Court East,2,A+B+C,2017-06-20,Elodea,1,2
CourtE-Bouy2,Court East,2,A+B+C,2017-06-20,Coontail,1,1
CourtE-Bouy2,Court East,2,A+B+C,2017-06-20,Small Pondweed,1,1
CourtE-Bouy2,Court East,2,A+B+C,2017-06-20,Curly-leaf Pondweed,1,1
