Site Label,Collection Site or Zone,Plot,Point,Date,Plant,% Cover,Depth from Surface
Court 2,Court Dock,NA,1,2016-07-15,Open water,0.15,NA
Court 2,Court Dock,NA,1,2016-07-15,Algal-leaved Pondweed,0.7,nr
Court 2,Court Dock,NA,1,2016-07-15,Curly-leaf Pondweed,0.01,nr
Court 2,Court Dock,NA,1,2016-07-15,Elodea,0.02,nr
Court 2,Court Dock,NA,1,2016-07-15,Eurasian Watermilfoil,0.1,nr
Court 2,Court Dock,NA,1,2016-07-15,Flatstem Pondweed,0.02,nr
Court 3,Court Dock,NA,1,2016-07-15,Open water,0.06,NA
Court 3,Court Dock,NA,1,2016-07-15,Algal-leaved Pondweed,0.9,nr
Court 3,Court Dock,NA,1,2016-07-15,Coontail,0.01,nr
Court 3,Court Dock,NA,1,2016-07-15,Curly-leaf Pondweed,0.01,nr
Court 3,Court Dock,NA,1,2016-07-15,Elodea,0.01,nr
Court 3,Court Dock,NA,1,2016-07-15,Eurasian Watermilfoil,0.01,nr
Court East,Court East,NA,1,2016-07-15,Clasping-leaf Pondweed,0.01,nr
Court East,Court East,NA,1,2016-07-15,Elodea,0.08,nr
Court East,Court East,NA,1,2016-07-15,Eurasian Watermilfoil,0.9,nr
FDS1-1,FDS,1,1,2016-07-15,Open water,0.5,NA
FDS1-1,FDS,1,1,2016-07-15,Eurasian Watermilfoil,0.5,nr
FDS2,FDS,2,1,2016-07-15,Elodea,0.49,nr
FDS2,FDS,2,1,2016-07-15,Eurasian Watermilfoil,0.01,nr
FDS2,FDS,2,1,2016-07-15,Water Stargrass,0.5,nr
FDS2-1,FDS,2,1,2016-07-15,Elodea,0.49,nr
FDS2-1,FDS,2,1,2016-07-15,Water Stargrass,0.5,nr
FDS8,FDS,8,1,2016-07-15,Open Water,0.99,NA
FDS8,FDS,8,1,2016-07-15,Eurasian Watermilfoil,0.01,nr
FDS8-1,FDS,8,1,2016-07-15,Open water,0.99,NA
FDS8-1,FDS,8,1,2016-07-15,Eurasian Watermilfoil,0.01,nr
FDS9,FDS,9,1,2016-07-15,Open Water,0.68,NA
FDS9,FDS,9,1,2016-07-15,Eurasian Watermilfoil,0.3,nr
FDS9,FDS,9,1,2016-07-15,Water Marigold,0.01,nr
FDS9,FDS,9,1,2016-07-15,Water Stargrass,0.01,nr
FDS9-1,FDS,9,1,2016-07-15,Open water,0.68,NA
FDS9-1,FDS,9,1,2016-07-15,Eurasian Watermilfoil,0.3,nr
FDS9-1,FDS,9,1,2016-07-15,Water Marigold,0.01,nr
FDS9-1,FDS,9,1,2016-07-15,Water Stargrass,0.01,nr
Court East,Court East,NA,1,2016-08-26,Open water,0.5,NA
Court East,Court East,NA,1,2016-08-26,Eel Grass/Water Celery,0.05,nr
Court East,Court East,NA,1,2016-08-26,Eurasian Watermilfoil,0.3,nr
Court East,Court East,NA,1,2016-08-26,Flatstem Pondweed,0.1,nr
Court East,Court East,NA,1,2016-08-26,Spatterdock,0.05,nr
Howell Dock,Howells Dock,NA,1,2016-08-26,Open water,0.4,NA
Howell Dock,Howells Dock,NA,1,2016-08-26,Eel Grass/Water Celery,0.2,nr
Howell Dock,Howells Dock,NA,1,2016-08-26,Eurasian Watermilfoil,0.4,nr
CourtE-Bouy1,Court East,1,A,2017-06-20,Coontail,0.02,0
CourtE-Bouy1,Court East,1,A,2017-06-20,Curly-leaf Pondweed,0.03,0
CourtE-Bouy1,Court East,1,A,2017-06-20,Eurasian Watermilfoil,0.55,0
CourtE-Bouy1,Court East,1,A,2017-06-20,Small Pondweed,0.35,0
CourtE-Bouy1,Court East,1,A,2017-06-20,Elodea,0.05,0.1
CourtE-Bouy2,Court East,2,C,2017-06-20,Clasping-leaf Pondweed,0.05,0
CourtE-Bouy2,Court East,2,A,2017-06-20,Curly-leaf Pondweed,floating,0
CourtE-Bouy2,Court East,2,B,2017-06-20,Curly-leaf Pondweed,0.1,0
CourtE-Bouy2,Court East,2,C,2017-06-20,Curly-leaf Pondweed,0.025,0
CourtE-Bouy2,Court East,2,B,2017-06-20,Elodea,0.3,0
CourtE-Bouy2,Court East,2,A,2017-06-20,Eurasian Watermilfoil,0.59,0
CourtE-Bouy2,Court East,2,B,2017-06-20,Eurasian Watermilfoil,0.4,0
CourtE-Bouy2,Court East,2,C,2017-06-20,Eurasian Watermilfoil,0.6,0
CourtE-Bouy2,Court East,2,C,2017-06-20,Elodea,0.3,0.1
CourtE-Bouy2,Court East,2,B,2017-06-20,Small Pondweed,0.2,0.1
CourtE-Bouy2,Court East,2,A,2017-06-20,Coontail,0.1,0.5
