Site Label,Collection Site or Zone,Date,Type,Collection depth,Analysis,Concentration,units
Court Dock UAV Les Chen,Court Dock,2016-07-14,Total,0.5,Chla,0.888,ug/L
Court Dock UAV Les Chen,Court Dock,2016-07-14,Total,0.5,AFDM,3.3,mg/L
Les Chen Court Dock,Court Dock,2016-07-14,Total,0.5,TSS,0.0183,g/L
LesChen-Court,Court Dock,2016-07-14,Total,0.5,Alkalinity,1.936,mequiv./L
LesChen-Court,Court Dock,2016-07-14,Dissolved,0.5,Ammonium,2.01,ug/L
LesChen-Court,Court Dock,2016-07-14,Dissolved,0.5,DOC,4.31,mgC/L
LesChen-Court,Court Dock,2016-07-14,Dissolved,0.5,Nitrate,0.173783422,mgN/L
LesChen-Court,Court Dock,2016-07-14,Dissolved,0.5,SRP,1.724703681,ug/L
LesChen-Court,Court Dock,2016-07-14,Dissolved,0.5,TDN,0.22,mgN/L
LesChen-Court,Court Dock,2016-07-14,Dissolved,0.5,TDP,3.857901954,ug/L
LesChen-Court,Court Dock,2016-07-14,Total,0.5,TP,5.580873371,ug/L
FDS,FDS,2016-07-15,Total,0.5,Alkalinity,1.664,mequiv./L
FDS UAV Les Chen,FDS,2016-07-15,Total,0.5,Chla,0,ug/L
FDS UAV Les Chen,FDS,2016-07-15,Total,0.5,AFDM,1.7,mg/L
Les Chen FDS dock,FDS,2016-07-15,Total,0.5,TSS,0.0019,g/L
LesChen-FDS,FDS,2016-07-15,Dissolved,0.5,Ammonium,3.85,ug/L
LesChen-FDS,FDS,2016-07-15,Dissolved,0.5,DOC,3.21,mgC/L
LesChen-FDS,FDS,2016-07-15,Dissolved,0.5,Nitrate,0.181120144,mgN/L
LesChen-FDS,FDS,2016-07-15,Dissolved,0.5,SRP,1.724703681,ug/L
LesChen-FDS,FDS,2016-07-15,Dissolved,0.5,TDN,0.18,mgN/L
LesChen-FDS,FDS,2016-07-15,Dissolved,0.5,TDP,3.370596084,ug/L
LesChen-FDS,FDS,2016-07-15,Total,0.5,TP,5.580873371,ug/L
FDS,FDS,2016-08-25,Dissolved,0.5,Ammonium,4.8,ug/L
FDS,FDS,2016-08-25,Dissolved,0.5,DOC,4.248,mgC/L
FDS,FDS,2016-08-25,Dissolved,0.5,Nitrate,0.005726375,mgN/L
FDS,FDS,2016-08-25,Dissolved,0.5,SRP,2.0655314,ug/L
FDS,FDS,2016-08-25,Dissolved,0.5,TDN,0.223,mgN/L
FDS,FDS,2016-08-25,Dissolved,0.5,TDP,9.1067,ug/L
FDS,FDS,2016-08-25,Total,0.5,TP,21.45103309,ug/L
FDS Aug 7,FDS,2016-08-25,Total,0.5,TSS,NA,NA
Les Chen FDS,FDS,2016-08-25,Total,0.5,Chla,0.592,ug/L
Les Chen FDS,FDS,2016-08-25,Total,0.5,AFDM,3.2,mg/L
Court,Court Dock,2016-08-26,Total,0.5,Alkalinity,2.176,mequiv./L
Court,Court Dock,2016-08-26,Dissolved,0.5,Ammonium,4.8,ug/L
Court,Court Dock,2016-08-26,Dissolved,0.5,DOC,6.407,mgC/L
Court,Court Dock,2016-08-26,Dissolved,0.5,Nitrate,0.175193499,mgN/L
Court,Court Dock,2016-08-26,Dissolved,0.5,SRP,4.176918,ug/L
Court,Court Dock,2016-08-26,Dissolved,0.5,TDN,0.3124,mgN/L
Court,Court Dock,2016-08-26,Dissolved,0.5,TDP,13.54960683,ug/L
Court,Court Dock,2016-08-26,Total,0.5,TP,23.24055098,ug/L
Court,Court Dock,2016-08-26,Total,0.5,TSS,NA,NA
Les Chen Court East,Court East,2016-08-26,Total,0.5,Chla,0.592,ug/L
Les Chen Court East,Court East,2016-08-26,Total,0.5,AFDM,0.6,mg/L
Howell Dock,Howells Dock,2016-08-26,Dissolved,0.5,Ammonium,13.76,ug/L
Howell Dock,Howells Dock,2016-08-26,Dissolved,0.5,DOC,2.919,mgC/L
Howell Dock,Howells Dock,2016-08-26,Dissolved,0.5,Nitrate,0.213673473,mgN/L
Howell Dock,Howells Dock,2016-08-26,Dissolved,0.5,SRP,2.0655314,ug/L
Howell Dock,Howells Dock,2016-08-26,Dissolved,0.5,TDN,0.2977,mgN/L
Howell Dock,Howells Dock,2016-08-26,Dissolved,0.5,TDP,4.619959846,ug/L
Howell Dock,Howells Dock,2016-08-26,Total,0.5,TP,17.87199731,ug/L
Howell Dock,Howells Dock,2016-08-26,Total,0.5,TSS,NA,NA
Les Chen Howell Dock,Howells Dock,2016-08-26,Total,0.5,Chla,0.592,ug/L
Les Chen Howell Dock,Howells Dock,2016-08-26,Total,0.5,AFDM,0.7,mg/L
Les Cheneaux Howell Deck,Howells Dock,2016-08-26,Total,0.5,Alkalinity,1.712,mequiv./L
Les Chen FDS Aug7,FDS,2016-08-27,Total,0.5,Alkalinity,1.968,mequiv./L
Court East,Court East,2017-06-20,Dissolved,0.5,Ammonium,3.91,ug/L
Court East,Court East,2017-06-20,Dissolved,0.5,DOC,7.63,mgC/L
Court East,Court East,2017-06-20,Dissolved,0.5,Nitrate,0.005726375,mgN/L
Court East,Court East,2017-06-20,Dissolved,0.5,SRP,2.0880386,ug/L
Court East,Court East,2017-06-20,Dissolved,0.5,TDN,0.419,mgN/L
Court East,Court East,2017-06-20,Dissolved,0.5,TDP,10.11210306,ug/L
Court East,Court East,2017-06-20,Total,0.5,TP,15.86907021,ug/L
Court East,Court East,2017-06-20,Total,0.5,TSS,0.0076,g/L
LCI Court East,Court East,2017-06-20,Total,0.5,Chla,0.888,ug/L
LCI Court East,Court East,2017-06-20,Total,0.5,AFDM,1.4,mg/L
LCI Chappel,Chappel,2017-06-21,Total,0.5,Chla,0.296,ug/L
LCI Chappel,Chappel,2017-06-21,Total,0.5,AFDM,0.9,mg/L
Chappel,Chappell,2017-06-21,Total,0.5,TSS,0.0144,g/L
Chappell,Chappell,2017-06-21,Dissolved,0.5,Ammonium,15.37,ug/L
Chappell,Chappell,2017-06-21,Dissolved,0.5,DOC,3.635,mgC/L
Chappell,Chappell,2017-06-21,Dissolved,0.5,Nitrate,0.107857846,mgN/L
Chappell,Chappell,2017-06-21,Dissolved,0.5,SRP,2.0880386,ug/L
Chappell,Chappell,2017-06-21,Dissolved,0.5,TDN,0.2955,mgN/L
Chappell,Chappell,2017-06-21,Dissolved,0.5,TDP,2.941575319,ug/L
Chappell,Chappell,2017-06-21,Total,0.5,TP,8.726755218,ug/L
Howell Dock,Howells Dock,2017-06-21,Total,0.5,TSS,0.0073,g/L
Howell's Dock,Howells Dock,2017-06-21,Dissolved,0.5,Ammonium,14.39,ug/L
Howell's Dock,Howells Dock,2017-06-21,Dissolved,0.5,DOC,2.738,mgC/L
Howell's Dock,Howells Dock,2017-06-21,Dissolved,0.5,Nitrate,0.108291414,mgN/L
Howell's Dock,Howells Dock,2017-06-21,Dissolved,0.5,SRP,2.0880386,ug/L
Howell's Dock,Howells Dock,2017-06-21,Dissolved,0.5,TDN,0.25,mgN/L
Howell's Dock,Howells Dock,2017-06-21,Dissolved,0.5,TDP,4.734207255,ug/L
Howell's Dock,Howells Dock,2017-06-21,Total,0.5,TP,6.941176471,ug/L
FDS 4,FDS,2017-06-22,Total,0.5,TSS,0.0044,g/L
FDS-4,FDS,2017-06-22,Dissolved,0.5,Ammonium,9.01,ug/L
FDS-4,FDS,2017-06-22,Dissolved,0.5,DOC,3.634,mgC/L
FDS-4,FDS,2017-06-22,Dissolved,0.5,Nitrate,0.027788267,mgN/L
FDS-4,FDS,2017-06-22,Dissolved,0.5,SRP,2.0880386,ug/L
FDS-4,FDS,2017-06-22,Dissolved,0.5,TDN,0.2325,mgN/L
FDS-4,FDS,2017-06-22,Dissolved,0.5,TDP,6.526839191,ug/L
FDS-4,FDS,2017-06-22,Total,0.5,TP,14.08349146,ug/L
LCI FDS 4,FDS,2017-06-22,Total,0.5,Chla,1.776,ug/L
LCI FDS 4,FDS,2017-06-22,Total,0.5,AFDM,1.5,mg/L
LCI Neil,Neil,2017-06-23,Total,0.5,Chla,2.57E-16,ug/L
LCI Neil,Neil,2017-06-23,Total,0.5,AFDM,0.7,mg/L
Neil,Neil,2017-06-23,Dissolved,0.5,Ammonium,35.83,ug/L
Neil,Neil,2017-06-23,Dissolved,0.5,DOC,2.348,mgC/L
Neil,Neil,2017-06-23,Dissolved,0.5,Nitrate,0.157876906,mgN/L
Neil,Neil,2017-06-23,Dissolved,0.5,SRP,2.0880386,ug/L
Neil,Neil,2017-06-23,Dissolved,0.5,TDN,0.3234,mgN/L
Neil,Neil,2017-06-23,Dissolved,0.5,TDP,0.797477377,ug/L
Neil,Neil,2017-06-23,Total,0.5,TP,8.726755218,ug/L
Neil,Neil,2017-06-23,Total,0.5,TSS,0.0011,g/L
FDS Aug 1+Aug2,FDS,2017-07-18,Total,0.5,TSS,-0.0021,g/L
FDS Aug1+Aug2,FDS,2017-07-18,Dissolved,0.5,Ammonium,6.46,ug/L
FDS Aug1+Aug2,FDS,2017-07-18,Dissolved,0.5,DOC,7.553,mgC/L
FDS Aug1+Aug2,FDS,2017-07-18,Dissolved,0.5,Nitrate,0.004956034,mgN/L
FDS Aug1+Aug2,FDS,2017-07-18,Dissolved,0.5,SRP,2.869193,ug/L
FDS Aug1+Aug2,FDS,2017-07-18,Dissolved,0.5,TDN,0.291,mgN/L
FDS Aug1+Aug2,FDS,2017-07-18,Dissolved,0.5,TDP,5.906265376,ug/L
FDS Aug1+Aug2,FDS,2017-07-18,Total,0.5,TP,18.67767635,ug/L
LCI FDS,FDS,2017-07-18,Total,0.5,Chla,1.48,ug/L
LCI FDS,FDS,2017-07-18,Total,0.5,AFDM,2.1,mg/L
Breezeswept North,Breezeswept North,2017-07-19,Dissolved,0.5,Ammonium,7.7,ug/L
Breezeswept North,Breezeswept North,2017-07-19,Dissolved,0.5,DOC,7.36,mgC/L
Breezeswept North,Breezeswept North,2017-07-19,Dissolved,0.5,Nitrate,0.011160383,mgN/L
Breezeswept North,Breezeswept North,2017-07-19,Dissolved,0.5,SRP,2.869193,ug/L
