x_dist,y_dist,distance,thalweg_dist,elevation,bed_surface,sed_depth,h20_surface,bed_material
2.296,5.57,,,244.177,,,,
-2.615,-36.303,,,241.0515,,,,
-9.472,7.681,0,0,242.682,242.682,,242.682,
-10.092,-6.687,14.38,14.38,239.498,239.498,0,240.108,cobbles
-10.792,-11.005,4.4,18.78,238.798,238.798,0,239.678,cobbles
-12.377,-12.586,2.27,21.05,239.895,239.895,0,240.125,cobbles
-15.564,-15.952,4.57,25.62,239.7,239.7,0,240.08,cobbles
-17.276,-22.834,7.15,32.77,239.707,239.757,0.05,240.077,gravel_sand
-11.589,-30.347,9.48,42.25,239.505,239.575,0.07,240.035,clay_cobbles
-9.531,-41.337,11.25,53.5,239.547,239.577,0.03,239.997,clay_cobbles
-3.481,-58.178,17.97,71.47,239.638,239.658,0.02,239.978,clay_cobbles
-6.413,-68.119,10.49,81.96,239.544,239.604,0.06,239.984,clay_cobbles
-10.701,-77.948,10.81,92.77,239.498,239.598,0.1,239.978,gravel_sand
-11.586,-86.286,8.4,101.17,239.526,239.586,0.06,239.966,gravel_sand
-8.154,-90.045,5.26,106.43,239.681,239.691,0.01,239.971,clay_bed
2.848,-88.82,11.12,117.55,239.522,239.542,0.02,239.912,clay_cobbles
15.502,-87.849,12.75,130.3,239.595,239.595,0,239.885,clay_cobbles
23.521,-83.61,9.19,139.49,239.428,239.478,0.05,239.868,clay_cobbles
32.539,-81.277,9.45,148.94,239.419,239.519,0.1,239.869,sand
47.815,-84.893,15.77,164.71,239.453,239.553,0.1,239.833,gravel_sand
57.163,-87.04,9.63,174.34,239.453,239.563,0.11,239.843,gravel_sand
65.721,-89.26,8.9,183.24,239.438,239.528,0.09,239.828,gravel_sand
70.506,-93.479,6.41,189.65,239.334,239.464,0.13,239.874,sand
75.821,-99.673,8.24,197.89,239.153,239.293,0.14,239.853,sand
73.776,-110.171,10.85,208.74,239.392,239.482,0.09,239.832,gravel_sand
72.506,-123.991,13.91,222.65,239.334,239.394,0.06,239.794,gravel_sand
60.853,-136.684,17.3,239.95,239.423,239.493,0.07,239.833,gravel_sand
51.734,-148.121,14.7,254.65,239.417,239.517,0.1,239.827,gravel_sand
44.123,-159.521,13.82,268.47,239.321,239.361,0.04,239.811,gravel_sand
46.893,-170.407,11.3,279.77,239.242,239.262,0.02,239.772,sand_clay_cobbles
51.603,-179.094,9.91,289.68,239.24,239.31,0.07,239.78,sand_clay_cobbles
53.014,-191.083,12.16,301.84,239.156,239.286,0.13,239.756,sand
47.287,-198.863,9.74,311.58,239.11,239.16,0.05,239.76,sand_clay_cobbles
38.358,-211.083,15.22,326.8,239.195,239.295,0.1,239.755,sand
33.125,-224.678,14.71,341.51,239.229,239.259,0.03,239.759,sand
36.108,-227.645,4.25,345.76,239.178,239.178,0,239.748,clay_cobbles
42.412,-233.698,8.82,354.58,239.299,239.299,0,239.709,clay_cobbles
59.272,-233.742,17.05,371.63,239.293,239.343,0.05,239.713,clay_cobbles
72.284,-233.147,13,384.63,239.291,239.351,0.06,239.751,sand_clay_cobbles
77.043,-229.264,6.21,390.84,239.274,239.284,0.01,239.734,clay_bed
85.688,-220.135,12.71,403.55,239.291,239.381,0.09,239.741,sand_clay_cobbles
93.95,-210.217,13,416.55,239.276,239.396,0.12,239.726,sand
105.775,-201.969,14.46,431.01,239.126,239.296,0.17,239.696,sand
113.968,-196.403,9.97,440.98,239.116,239.326,0.21,239.686,sand
129.227,-195.721,15.41,456.39,238.952,239.122,0.17,239.682,gravel_sand
134.416,-203.574,9.48,465.87,238.97,239.29,0.32,239.67,gravel_sand
135.249,-215.243,11.71,477.58,238.977,239.287,0.31,239.667,sand_clay_cobbles
136.71,-222.19,7.31,484.89,238.988,239.158,0.17,239.648,sand
139.567,-231.713,10.05,494.94,238.982,239.262,0.28,239.632,sand
139.405,-240.828,9.22,504.16,239.101,239.221,0.12,239.611,sand
133.32,-252.81,13.51,517.67,238.889,238.999,0.11,239.609,gravel_sand
128.135,-260.004,8.97,526.64,238.923,239.053,0.13,239.623,sand
121.368,-267.642,10.3,536.94,239.098,239.208,0.11,239.638,sand
113.79,-277.33,12.4,549.34,239.134,239.254,0.12,239.644,sand
110.509,-286.38,9.71,559.05,239.099,239.259,0.16,239.639,sand
112.607,-297.743,11.58,570.63,238.814,238.964,0.15,239.614,sand
113.76,-305.931,8.38,579.01,238.9,239.17,0.27,239.64,sand
113.567,-313.349,7.5,586.51,239.007,239.187,0.18,239.637,sand
117.327,-320.5,8.17,594.68,239.046,239.166,0.12,239.646,sand
125.784,-330.577,13.28,607.96,238.997,239.137,0.14,239.627,sand
133.315,-340.438,12.41,620.37,238.941,239.051,0.11,239.581,sand
141.398,-350.931,13.35,633.72,239.042,239.192,0.15,239.562,sand
146.959,-359.585,10.38,644.1,238.859,239.129,0.27,239.549,sand
149.285,-367.306,8.18,652.28,238.431,238.461,0.03,239.531,gravel_sand
142.635,-371.386,7.81,660.09,238.837,238.917,0.08,239.517,cobbles_gravel_sand
127.932,-372.871,14.84,674.93,238.871,238.961,0.09,239.561,gravel_sand
115.328,-375.386,12.96,687.89,238.947,239.127,0.18,239.567,gravel_sand
109.074,-376.695,6.44,694.33,238.778,239.088,0.31,239.548,sand
101.943,-378.342,7.36,701.69,238.693,238.773,0.08,239.523,gravel_sand
99.928,-382.869,4.99,706.68,238.579,238.629,0.05,239.519,cobbles
98.587,-388.471,5.83,712.51,238.531,238.571,0.04,239.501,cobbles_gravel
96.398,-396.586,8.48,720.99,238.767,238.867,0.1,239.517,gravel_sand
96.47,-403.878,7.33,728.32,238.645,238.745,0.1,239.525,gravel_sand
98.701,-408.233,4.94,733.26,238.749,238.809,0.06,239.509,cobbles_gravel
99.86,-411.043,3.03,736.29,238.745,238.825,0.08,239.525,cobbles_gravel
105.061,-416.646,7.69,743.98,238.453,238.683,0.23,239.503,gravel_sand
112.074,-419.85,7.81,751.79,238.522,238.622,0.1,239.492,cobbles_gravel_sand
118.641,-421.889,6.9,758.69,238.401,238.531,0.13,239.471,cobbles_gravel_sand
127.252,-421.125,8.74,767.43,238.506,238.626,0.12,239.456,cobbles_gravel_sand
132.715,-421.285,5.55,772.98,238.579,238.669,0.09,239.499,cobbles_sand
138.298,-421.122,5.67,778.65,238.483,238.743,0.26,239.513,cobbles_sand
143.177,-420.687,4.94,783.59,238.58,238.79,0.21,239.52,cobbles_sand
152.36,-421.426,9.31,792.9,238.707,238.787,0.08,239.497,cobbles_gravel_sand
160.636,-419.59,8.5,801.4,238.527,238.607,0.08,239.517,cobbles_gravel_sand
171.942,-416.46,11.82,813.22,238.933,239.073,0.14,239.513,gravel_sand
182.074,-414.14,10.47,823.69,238.916,239.036,0.12,239.516,gravel_sand
193.083,-412.752,11.14,834.83,238.747,239.047,0.3,239.527,gravel_sand
202.309,-414.407,9.46,844.29,238.592,238.982,0.39,239.512,sand
209.765,-417.663,8.2,852.49,238.353,238.553,0.2,239.493,sand
212.871,-424.704,7.72,860.21,238.437,238.537,0.1,239.477,gravel_sand
216.323,-429.964,6.32,866.53,238.807,238.907,0.1,239.477,gravel_sand
201.12,-415.077,2.56,869.09,238.752,238.802,0.05,239.502,gravel_sand
206.194,-439.119,7.97,877.06,238.843,238.943,0.1,239.493,gravel_sand
223.48,-448.485,9.62,886.68,238.699,238.809,0.11,239.509,gravel_sand
221.667,-453.794,5.61,892.29,238.697,238.757,0.06,239.507,gravel_sand
212.231,-461.279,12.14,904.43,238.539,238.689,0.15,239.429,gravel_sand
204.413,-471.447,12.89,917.32,238.598,238.878,0.28,239.478,gravel_sand
197.127,-487.256,17.51,934.83,238.869,238.919,0.05,239.469,sand
194.138,-501.01,14.18,949.01,238.705,238.905,0.2,239.475,sand
190.053,-510.813,10.75,959.76,238.848,238.908,0.06,239.488,sand
181.955,-516.742,10.12,969.88,238.998,239.028,0.03,239.468,gravel_sand
171.797,-519.633,10.72,980.6,238.794,238.864,0.07,239.454,gravel_sand
161.707,-521.897,10.37,990.97,238.619,238.839,0.22,239.439,gravel_sand
152.836,-525.676,9.67,1000.64,238.289,238.749,0.46,239.439,sand
144.746,-532.702,10.79,1011.43,238.376,238.576,0.2,239.426,sand
146.765,-539.345,6.93,1018.36,238.248,238.268,0.02,239.438,cobbles_sand
148.798,-509.7,4.02,1022.38,238.16,238.24,0.08,239.44,cobbles_sand
153.348,-544.815,5.07,1027.45,238.276,238.626,0.35,239.426,cobbles_sand
168.789,-548.177,15.82,1043.27,238.163,238.583,0.42,239.383,gravel_sand
179.674,-549.235,11.04,1054.31,238.019,238.379,0.36,239.359,gravel_sand
190.916,-547.399,11.37,1065.68,238.141,238.541,0.4,239.351,gravel_sand
200.048,-543.794,9.86,1075.54,238.458,238.728,0.27,239.368,sand
209.219,-537.331,11.29,1086.83,238.292,238.712,0.42,239.382,sand
221.316,-529.574,14.4,1101.23,238.365,238.625,0.26,239.395,sand
228.415,-530.039,7.29,1108.52,238.604,238.684,0.08,239.384,gravel_sand
233.712,-532.425,5.79,1114.31,238.581,238.641,0.06,239.381,gravel_sand
238.609,-536.124,6.21,1120.52,238.407,238.437,0.03,239.337,gravel
245.948,-548.513,14.42,1134.94,238.315,238.355,0.04,239.335,gravel
251.601,-559.653,12.57,1147.51,238.532,238.682,0.15,239.402,gravel_sand
258.91,-574.159,16.33,1163.84,238.511,238.671,0.16,239.321,gravel_sand
263.697,-589.82,16.47,1180.31,237.934,238.554,0.62,239.304,sand
272.91,-602.016,15.49,1195.8,238.442,238.662,0.22,239.292,sand
282.104,-609.69,12.11,1207.91,238.542,238.592,0.05,239.302,sand
292.368,-615.065,11.65,1219.56,237.96,238.04,0.08,239.3,sand
295.309,-613.522,3.43,1222.99,238.194,238.304,0.11,239.314,cobbles_sand
302.048,-606.323,9.92,1232.91,238.267,238.367,0.1,239.297,gravel_sand
304.824,-596.802,10.03,1242.94,238.344,238.444,0.1,239.284,gravel_sand
307.629,-586.617,10.62,1253.56,238.22,238.42,0.2,239.28,sand
307.692,-579.59,7.1,1260.66,237.892,238.34,0.448,239.272,sand
313.089,-584.464,,,239.465,,,,
