core_site,sample_date,sample_area,core_type,dist_leftbank,avg_coredepth,corevolume,dry_bulkd,totdry_weight,total_weight,4mm,2mm,1mm,point_50mm,point_25mm,point_125mm,point_063mm,silt_weight,clay_weight,sand_weight,om_weight,perc_silt,perc_clay,perc_sand,perc_om
1a,2005-06-10,reservoir,floodplain,,,,,80.204,40.3554,0.1,0,0,0.1,0.4,0.7,0.7,15.24584951,23.22155049,1.888,8.2,37.77895773,57.54261014,4.678432131,10.22392898
1a,2005-06-10,reservoir,floodplain,,,,,,40.3138,0,0,0.2,0.4,0.6,0.9,1.6,13.96081116,22.71998884,3.633,,34.63035278,56.35784481,9.01180241,
1a,2005-06-10,reservoir,floodplain,,,,,118.912,40.0467,0,0,0.1,0.2,0.5,1.1,4.2,16.21477271,15.54192729,8.29,38.36,40.48966011,38.80950811,20.70083178,32.25914962
1a,2005-06-10,reservoir,floodplain,,,,,57.632,40.0746,0,0,0,0.3,4.5,12.5,6.9,11.63091218,2.228687816,26.215,6.15,29.02315228,5.561347626,65.41550009,10.67115491
1a,2005-06-10,reservoir,floodplain,,,,,102.812,40.0708,0,0,0.1,0.5,5.7,15.4,7,7.269211663,2.728588337,30.073,2.21,18.14091973,6.809418173,75.0496621,2.149554527
1b,2005-06-10,reservoir,floodplain,,71.5,140.3545,0.186677306,26.201,23.8437,0.1,0,0,0.1,0.3,0.4,0.6,8.325297401,14.3084026,1.21,2.33,34.91613047,60.00915378,5.074715753,8.892790352
1b,2005-06-10,reservoir,floodplain,,71.5,140.3545,0.233551471,32.78,29.6971,0.2,0.1,0.1,0.2,0.2,0.2,0.4,13.97571344,14.80938656,0.912,3.082,47.06086937,49.8681237,3.071006933,9.402074436
1b,2005-06-10,reservoir,floodplain,,71.5,140.3545,0.242920605,34.095,30.0176,0,0.1,0.1,0.2,0.7,0.9,3.4,10.79623434,13.07536566,6.146,3.144,35.96634755,43.55899758,20.47465487,9.221293445
1b,2005-06-10,reservoir,floodplain,,68.8,135.0544,0.654965703,88.456,39.6361,0,0,0.1,0.9,7.4,11.8,4.3,9.567004924,5.187095076,24.882,4.46,24.13709957,13.08679481,62.77610562,5.042054807
1b,2005-06-10,reservoir,floodplain,,68.8,135.0544,0.842216174,113.745,42.473,0.1,0,0,0.4,7.3,18.1,6.9,6.306511197,2.228488803,33.938,2.47,14.8482829,5.246836351,79.90488075,2.171524023
1c,2005-06-10,reservoir,channel,,74.5,146.2435,0.320321929,46.845,41.1762,0,0,0,0.1,0.1,0.3,0.7,27.35821905,12.34398095,1.474,5.7,66.44182573,29.97843646,3.57973781,12.16778738
1c,2005-06-10,reservoir,channel,,74.5,146.2435,0.246356248,36.028,30.065,0,0.1,0.1,0.2,0.1,1.4,6.8,2.391691198,17.7413088,9.932,5.9,7.955068013,59.00984135,33.03509064,16.37615188
1c,2005-06-10,reservoir,channel,,74.5,146.2435,0.231504306,33.856,30.8418,0,0,0,0,0.3,1.3,1.3,18.56533834,9.379461665,2.897,2.911,60.19537879,30.41152483,9.393096382,8.598180529
1c,2005-06-10,reservoir,channel,,44,86.372,0.673586347,58.179,40.48,0,0,0.3,3,8.5,11.5,5.7,8.122098859,0.271901141,32.086,8.699,20.06447347,0.671692542,79.26383399,14.95213049
1d,2005-06-10,reservoir,channel,,65.2,127.9876,0.282668008,36.178,32.6453,0,0,0.1,0.3,0.6,0.9,2,18.84598133,9.149318665,4.65,3.48,57.72953943,28.02644995,14.24401062,9.619105534
1d,2005-06-10,reservoir,channel,,65.2,127.9876,0.678018808,86.778,39.0199,0,0,2.1,6.3,5.9,4.2,2.5,7.590075881,8.648824119,22.781,3.11,19.45180762,22.16516218,58.3830302,3.58385766
1f,2005-06-10,reservoir,channel,,80,157.04,0.248624554,27.488,24.9692,0,0,0.1,0.8,1.3,1.2,1,8.869735503,11.6124645,4.487,2.448,35.52270599,46.5071548,17.97013921,8.905704307
1f,2005-06-10,reservoir,channel,,80,157.04,0.228960774,38.705,34.2653,0,0,0.1,0.2,0.5,1.1,2.2,17.25482143,12.57447857,4.436,4.49,50.35654562,36.69741275,12.94604162,11.6005684
1f,2005-06-10,reservoir,channel,,80,157.04,0.228432247,30.457,26.7255,0.1,0,0.1,0.2,1.2,1.4,0.9,6.268488416,16.77301158,3.684,3.736,23.45508378,62.76032846,13.78458775,12.26647405
1f,2005-06-10,reservoir,channel,,42.2,82.8386,0.456683237,32.198,28.7824,0,0,0,0.3,1,1.3,1.8,10.51741,13.30399,4.961,3.56,36.5411154,46.22265691,17.23622769,11.05658737
1f,2005-06-10,reservoir,channel,,42.2,82.8386,0.387065933,37.058,33.6312,0,0,0.1,0.4,0.9,1.7,1.3,10.87765592,18.50854408,4.245,3.16,32.3439423,55.03384975,12.62220795,8.52717362
1f,2005-06-10,reservoir,channel,,42.2,82.8386,0.646824065,27.282,23.5884,0,0,0,0.2,0.5,0.8,1.6,11.6360707,8.1483293,3.804,3.78,49.32963109,34.54379822,16.12657069,13.8552892
2a,2005-06-10,reservoir,floodplain,,77.8,152.7214,0.267316827,39.044,34.4726,0,0,0,0.3,0.8,1.3,1.8,17.80620808,12.07139192,4.595,4.53,51.65322048,35.01735267,13.32942685,11.60229485
