core_site,sample_date,sample_area,core_type,dist_leftbank,avg_coredepth,nh4_n,kcl_nh4,no3,kcl_no3,srp,srp1,naoh_p
0a,6/24/2005,channel,channel,7.3,,0.414184,0.040890907,0.005384,0.000531543,0.1483,6.316097,26.89990204
0a,6/24/2005,channel,channel,3.5,,,,,,0.2867,12.210553,-0.894690206
0a,6/24/2005,channel,channel,5.4,,0.111794,0.011021028,0.018415,0.001815413,0.2501,10.651759,23.59193577
0c,6/24/2005,channel,channel,2.5,,0.178886,0.017609316,0.013514,0.001330301,0.3495,14.885205,46.51626563
0c,6/24/2005,channel,channel,5,,0.185919,0.018163247,0.012839,0.001254299,0.1208,5.144872,8.152229441
0c,6/24/2005,channel,channel,7.5,,0.154328,0.014986648,-0.001986,-0.000192859,0.124,5.28116,20.64566067
0c,6/24/2005,channel,channel,7.5,,0.161076,0.015792229,0.007273,0.00071306,0.114,4.85526,18.98068804
0c,6/24/2005,channel,channel,7.5,,,,,,0.0987,4.203633,4.623441487
10a,6/10/2005,reservoir,channel,,24,0.102066,0.013056927,0.013126,0.001679161,0.01863752,0.79638123,1.146532147
10a,6/10/2005,reservoir,channel,,24,,,,,0.01717326,0.7338134,1.017066389
10a,6/10/2005,reservoir,channel,,24,,,,,0.186975125,7.989447091,11.07338474
10a,6/10/2005,reservoir,channel,,5,0.172883,0.015634201,0.015195,0.001374118,0.026849742,1.147289476,4.445135512
1a,6/10/2005,reservoir,floodplain,,73,5.210466,0.913635981,0.008377,0.001468876,0.074436285,3.180662458,13.4318516
1a,6/10/2005,reservoir,floodplain,,6,0.55803,0.089499599,0.017016,0.00272911,0.054459595,2.327058494,2.306759015
1a,6/10/2005,reservoir,floodplain,,103,4.805134,0.954535956,-0.002369,-0.0004706,0.064425589,2.752905418,73.8044348
1a,6/10/2005,reservoir,floodplain,,73,,,,,0.104453615,4.463302969,13.37118924
1a_channel,6/24/2005,channel,channel,9.5,,0.448347,0.061638621,0.008927,0.001227281,0.3805,16.205495,29.03690199
1a_channel,6/24/2005,channel,channel,4,,0.06298,0.006056235,0.007465,0.000717844,0.2195,9.348505,13.54463199
1a_channel,6/24/2005,channel,channel,2,,0.085085,0.007889564,0.008986,0.000833233,0.3164,13.475476,18.60996547
1a_channel,6/24/2005,channel,channel,6,,1.023804,0.090408506,0.006645,0.000586796,0.3616,15.400544,40.63468074
1b,6/10/2005,reservoir,floodplain,,55,2.118646,0.467485878,0.004748,0.001047661,0.113045623,4.830439471,9.538782525
1b,6/10/2005,reservoir,floodplain,,55,2.205733,0.424424283,0.006039,0.001162017,,,
1b,6/10/2005,reservoir,floodplain,,140,3.469492,0.394933637,-0.013021,-0.001482186,0.194873458,8.32694286,91.60553202
1b,6/10/2005,reservoir,floodplain,6,,,,,,0.085081159,3.635517924,3.486972879
1b,6/10/2005,reservoir,floodplain,,6,0.649453,0.120716171,0.007039,0.001308364,0.086458197,3.694358758,3.543409513
1b_channel,6/24/2005,channel,channel,1.5,,0.695584,0.089729618,0.007839,0.001011223,0.1929,8.215611,22.09091422
1c,6/10/2005,reservoir,channel,,6,5.35305,1.099188912,0.005829,0.00119692,0.098560678,4.211497771,9.342275446
1c,6/10/2005,reservoir,channel,,55,2.687273,0.559615369,0.006667,0.00138838,0.248683866,10.62626159,156.498698
1c,6/10/2005,reservoir,channel,,127,2.577773,0.543604597,-0.004472,-0.000943062,0.050920024,2.175812626,10.25842822
1d,6/10/2005,reservoir,channel,,40,2.480522,0.270799345,0.00718,0.000783843,,,
1d,6/10/2005,reservoir,channel,,40,3.007548,0.394122395,0.010086,0.001321714,0.078306115,3.346020294,16.76362873
1d,6/10/2005,reservoir,channel,,6,1.274368,0.24654053,0.005545,0.001072741,0.083757084,3.578940199,8.990053251
1d,6/10/2005,reservoir,channel,,6,,,,,0.082168194,3.51104693,8.819509997
1d,6/10/2005,reservoir,channel,3,,0.073412,0.007085075,0.002835,0.000273609,0.1236,5.264124,28.0903095
1f,6/10/2005,reservoir,channel,,164,4.984774,0.982027975,0.002313,0.000455674,0.104244435,4.454364708,8.264127472
1f,6/10/2005,reservoir,channel,,6,0.606222,0.1316443,0.002009,0.000436265,0.139831268,5.974990082,21.40806192
1f,6/10/2005,reservoir,channel,,51,11.61682,2.226297432,0.006518,0.001249138,0.157443558,6.727563233,7.559059813
2a,6/10/2005,reservoir,floodplain,,169,7.7909,0.891203386,-0.005128,-0.000586593,0.199082166,8.506780953,9.177668522
2a,6/10/2005,reservoir,floodplain,,6,0.970091,0.175106679,0.00704,0.001270758,0.014587406,0.623319858,2.274889994
2a,6/10/2005,reservoir,floodplain,,43,13.700076,2.311468871,0.007969,0.001344525,0.301911681,12.90068613,13.04813
2a,6/10/2005,reservoir,floodplain,,119,8.902644,1.527040137,0.007904,0.001355746,0.258270169,11.03588432,47.89880348
2a,6/10/2005,reservoir,floodplain,,169,,,,,0.20044909,8.565189616,9.240683586
2a,6/10/2005,reservoir,floodplain,,119,8.65395,1.410816759,0.009007,0.001468373,,,
2a,6/10/2005,reservoir,floodplain,,6,,,,,0.120990073,5.169905819,7.568300131
2a,6/10/2005,reservoir,floodplain,,169,,,,,0.140935322,6.022166309,51.69241467
2a_channel,6/24/2005,channel,channel,1.5,,2.187852,0.223619861,0.010442,0.001067274,0.3471,14.782989,83.51971186
2a_channel,6/24/2005,channel,channel,3,,0.000124,1.07E-05,0.053617,0.004620482,0.617,26.27803,27.63781027
2b,6/10/2005,reservoir,floodplain,,53,2.108264,0.398462294,0.00294,0.000555661,0.09404691,4.018624464,10.32004228
2b,6/10/2005,reservoir,floodplain,,170,0.527668,0.116175253,0.028533,0.006282034,0.031844272,1.360705743,15.37520613
2b,6/10/2005,reservoir,floodplain,,130,1.601347,0.322137799,0.008412,0.001692215,0.069171812,2.955711527,6.374189189
2b,6/10/2005,reservoir,floodplain,,6,0.618239,0.117782244,0.009322,0.001775957,,,
2b,6/10/2005,reservoir,floodplain,,6,0.703899,0.114306431,0.015176,0.002464437,0.106657074,4.557456772,5.090424184
2b,6/10/2005,reservoir,floodplain,,183,0.907752,0.091039214,0.007682,0.000770434,0.034395568,1.469722621,14.36679004
2b_channel,6/24/2005,channel,channel,1.8,,0.304685,0.026330185,0.011223,0.000969866,0.1409,6.000931,7.402159862
2b_channel,6/24/2005,channel,channel,2.8,,0.270063,0.027944972,0.012166,0.001258886,0.0892,3.799028,14.46697639
2b_channel,6/24/2005,channel,channel,3.7,,0.369829,0.027613604,0.023421,0.001748749,0.1074,4.574166,8.157956126
2c,6/10/2005,reservoir,channel,,26,4.475072,0.75477686,0.003371,0.000568561,0.094622155,4.043204683,6.260769097
2c,6/10/2005,reservoir,channel,,43,4.705314,0.839335355,0.00597,0.00106493,0.156181782,6.673647545,55.38296718
2c,6/10/2005,reservoir,channel,,58,2.900953,0.740416794,0.00549,0.001401225,0.088788569,3.793935553,3.753027553
2c,6/10/2005,reservoir,channel,3.7,,0.169072,0.015224579,0.025191,0.002268397,0.4668,19.881012,141.0000851
2c,6/10/2005,reservoir,channel,,43,,,,,0.138096326,5.90085601,21.49674321
2d,6/10/2005,reservoir,floodplain,,27,0.295035,0.031004098,0.008683,0.000912463,0.120089702,5.131432966,13.98210618
2d,6/10/2005,reservoir,floodplain,,7,0.061586,0.008471252,0.046999,0.006464787,0.235515948,10.06359646,47.44741376
3a,6/10/2005,reservoir,channel,,27,2.617474,0.4147479,0.000588,9.32E-05,0.152711898,6.525379402,9.18679347
3a,6/10/2005,reservoir,channel,,6,1.628591,0.23851655,0.007584,0.001110721,0.19058348,8.1436321,11.46021967
3a,6/10/2005,reservoir,channel,,49,2.060129,0.479880969,0.005823,0.001356394,0.056869496,2.430033564,9.906374089
3a,6/10/2005,reservoir,channel,2.5,,1.410871,0.154222205,0.005836,0.000637933,0.1593,6.784587,37.92390721
3a,6/10/2005,reservoir,channel,7.5,,1.206812,0.11263038,-0.000844,-7.88E-05,0.1874,7.981366,22.90205452
3a,6/10/2005,reservoir,channel,7.5,,1.19985,0.113945869,0.008459,0.000803324,0.1435,6.111665,47.78471462
3a,6/10/2005,reservoir,channel,5,,0.333045,0.029968686,0.020035,0.001802827,0.1828,7.785452,14.28523303
3a,6/10/2005,reservoir,channel,,6,,,,,0.18504021,7.906768173,11.1268902
3b,6/24/2005,channel,channel,4.35,,0.090903,0.008556784,0.014274,0.001343625,0.1503,6.401277,24.96597894
3b,6/24/2005,channel,channel,6.55,,0.072078,0.007988252,0.007965,0.000882744,0.0855,3.641445,9.218848101
3b,6/24/2005,channel,channel,2.18,,0.893939,0.08018325,0.008016,0.000719008,0.3067,13.062353,21.33674126
3b,6/24/2005,channel,channel,6.55,,,,,,0.0857,3.649963,9.240412658
3c,6/24/2005,channel,channel,5.4,,0.153631,0.016449948,0.007259,0.000777253,0.0692,2.947228,20.02192935
3c,6/24/2005,channel,channel,3.6,,0.224293,0.026272739,0.016915,0.001981352,0.4091,17.423569,53.16926762
3c,6/24/2005,channel,channel,1.8,,0.722401,0.06459814,0.007531,0.000673433,0.6623,28.207357,71.24869159
4a,6/10/2005,reservoir,channel,,6,0.408652,0.075106047,0.003844,0.000706488,0.11151344,4.764969291,5.291470618
4a,6/10/2005,reservoir,channel,,27,0.892779,0.164294994,0.018923,0.003482333,0.13096718,5.596227601,6.667732159
4a,6/10/2005,reservoir,channel,,59,5.196434,0.971296075,0.00665,0.001242991,0.114687476,4.900595849,36.19347008
5a,6/10/2005,reservoir,channel,,51,9.159147,1.724886441,0.006478,0.001219962,0.16788745,7.173830739,10.57619156
5a,6/10/2005,reservoir,channel,,6,7.02498,1.320733221,0.005571,0.001047377,0.116961578,4.997768228,9.249987466
5a,6/10/2005,reservoir,channel,,6,,,,,0.1171193,5.004507689,9.26246102
5a,6/10/2005,reservoir,channel,,27,9.486984,1.859828269,0.003037,0.000595373,0.168233069,7.188599038,35.29012783
6a,6/10/2005,reservoir,channel,,4,10.41334,1.771277428,0.010301,0.001752169,0.26975811,11.52676404,59.6314746
6a,6/10/2005,reservoir,channel,,21,18.254624,2.597413773,0.009059,0.001288987,0.181222675,7.743644903,8.949086909
6a,6/10/2005,reservoir,channel,,21,19.614272,2.695749313,0.011288,0.001551402,,,
6a,6/10/2005,reservoir,channel,,41,19.780595,2.967831208,0.004484,0.000672768,0.193867161,8.28394379,8.196243979
7a,6/10/2005,reservoir,channel,,4,0.053234,0.014020016,0.0139,0.003660785,0.027245563,1.164202907,51.97334406
7c,6/10/2005,reservoir,channel,,37,0.06203,0.015526909,0.007493,0.001875594,0.0435157,1.859425861,3.508350681
7c,6/10/2005,reservoir,channel,,4,0.898574,0.174209771,0.015248,0.002956185,0.045411872,1.940449291,3.035271845
8a,6/10/2005,reservoir,channel,,4,0.459216,0.037493142,0.005644,0.00046081,0.03882339,1.658923455,5.419547385
8b,6/10/2005,reservoir,floodplain,,176,0.027556,0.003402816,0.049163,0.006071005,0.01853293,0.791912099,4.03624923
8b,6/10/2005,reservoir,floodplain,,43,2.080842,0.344852834,0.00654,0.001083858,0.057815828,2.47047033,2.658134636
8b,6/10/2005,reservoir,floodplain,,4,0.355551,0.059091075,0.003381,0.000561908,0.056869496,2.430033564,-6075.08391
8b,6/10/2005,reservoir,floodplain,,116,2.093686,0.358323806,0.013451,0.002302071,0.078513747,3.354892409,6.888896118
8c,6/10/2005,reservoir,floodplain,,4,0.046788,0.007640105,0.079277,0.012945297,0.096668014,4.130624238,10.3059487
8c,6/10/2005,reservoir,floodplain,,23,0.056738,0.009210714,0.005465,0.000887175,0.05797355,2.477209792,3.705624221
up1a,6/24/2005,channel,channel,3.3,,0.936255,0.088071699,0.000316,2.97E-05,0.1237,5.268383,10.9416054
up1a,6/24/2005,channel,channel,4.9,,0.537187,-0.005931875,0.001472,-1.63E-05,0.3011,12.823849,65.49463228
up1a,6/24/2005,channel,channel,5.6,,0.317447,0.028284892,0.006203,0.000552694,0.1733,7.380847,16.02789794
up1a,6/24/2005,channel,channel,1.7,,0.49564,0.044907944,0.014129,0.001280172,0.1581,6.733479,54.25849315
up1a,6/24/2005,channel,channel,1.7,,,,,,0.1271,5.413189,43.61957293
up1b,6/24/2005,channel,channel,3.8,,0.156737,0.014307218,0.016556,0.00151126,0.156,6.64404,34.58636127
up1b,6/24/2005,channel,channel,2,,0.011361,0.001118847,0.00916,0.00090209,0.2498,10.638982,24.24562899
up2a,6/24/2005,channel,channel,1.9,,0.51099,0.061006447,0.023095,0.002757283,0.1983,8.445597,14.1089158
up2a,6/24/2005,channel,channel,0.95,,0.37209,0.034718632,0.006344,0.00059194,0.1013,4.314367,12.05130447
up2a,6/24/2005,channel,channel,2.85,,0.322685,0.029843975,0.00985,0.000910991,0.4037,17.193583,90.44493951
up2a,6/24/2005,channel,channel,2.85,,0.351628,0.034510212,0.005731,0.000562464,0.2308,9.829772,51.70842714
up2a,6/24/2005,channel,channel,2.85,,,,,,0.2663,11.341717,13.51330514
up2b,6/24/2005,channel,channel,2.4,,0.090881,0.008745706,0.007781,0.000748785,0.1015,4.322885,8.069600523
up2b,6/24/2005,channel,channel,1.2,,0.645275,0.07327924,0.006437,0.000731004,0.1279,5.447261,22.27007768
up2b,6/24/2005,channel,channel,3.6,,-0.006596,-0.000664109,0.052319,0.005267667,0.1032,4.395288,21.49285086
