core_site,sample_date,sample_area,core_type,lat_decimal,long_decimal,notes
1a,2005-06-10,reservoir,floodplain,,,
1b,2005-06-10,reservoir,floodplain,43.67058889,-89.64189578,
1c,2005-06-10,reservoir,channel,43.67054567,-89.64207506,
1d,2005-06-10,reservoir,channel,43.67049262,-89.64234941,
1f,2005-06-10,reservoir,channel,43.67060658,-89.64151821,
2a,2005-06-10,reservoir,floodplain,43.67020969,-89.6435446,
2b,2005-06-10,reservoir,floodplain,43.67043171,-89.64358807,
2c,2005-06-10,reservoir,channel,43.67058693,-89.64363424,
2d,2005-06-10,reservoir,floodplain,43.67069106,-89.64366956,
3a,2005-06-10,reservoir,channel,43.67108599,-89.64152364,
4a,2005-06-10,reservoir,channel,43.67077555,-89.64175181,
5a,2005-06-10,reservoir,channel,43.67091702,-89.64252326,
6a,2005-06-10,reservoir,channel,43.67139053,-89.64227064,
7a,2005-06-10,reservoir,channel,43.67068124,-89.64484574,
7c,2005-06-10,reservoir,channel,43.6706557,-89.64471264,
8a,2005-06-10,reservoir,channel,43.67046708,-89.6459024,
8b,2005-06-10,reservoir,floodplain,43.67035312,-89.64572312,
8c,2005-06-10,reservoir,floodplain,43.67057711,-89.64612514,
10a,2005-06-10,reservoir,channel,43.67031382,-89.64856986,
up1a,2005-06-24,channel,channel,,,upstream_channel_location
up1b,2005-06-24,channel,channel,,,upstream_channel_location
up2a,2005-06-24,channel,channel,,,upstream_channel_location
up2b,2005-06-24,channel,channel,,,upstream_channel_location
0a,2005-06-24,channel,channel,,,
0c,2005-06-24,channel,channel,,,
3b,2005-06-24,channel,channel,,,
3c,2005-06-24,channel,channel,,,
1a_channel,2005-06-24,channel,channel,,,
1b_channel,2005-06-24,channel,channel,,,
2a_channel,2005-06-24,channel,channel,,,
2b_channel,2005-06-24,channel,channel,,,
