sampledate,sample_type,sample_time,streamname,stationid,sampling_method,br,cl,do,doc,doc_qual,nh4_n,no2,no3,no32_2,ph_field,so4,srp,tdn,tdp,tn_1,tot_om,tp,tss,turbid,wtemp,ysi_cond
6/3/2005,surface,10:30:00,big_spring_creek,dn3,syringe_filter,,2.805403189,,,,0.012808,,2.263573733,2.128492,,7.997647124,0.0075,2.264904448,0.007559949,2.311125047,2.123142251,0.015115504,9.766454352,,16,375.6
6/3/2005,surface,12:30:00,big_spring_creek,dn2,syringe_filter,,2.696462283,,,,0.008639,,2.1728242,2.077553,,7.813550745,0.0076,2.10417032,0.006720443,2.10417032,2.697095436,0.01595501,8.713692946,,17.8,366.7
6/3/2005,surface,15:30:00,big_spring_creek,dn1,syringe_filter,,2.721915124,,,,0.0089,,2.230575531,2.173805,,7.966605957,0.006,2.127033484,0.005880937,2.218815655,3.87755102,0.017634022,10.20408163,,18.6,337.5
6/3/2005,surface,16:30:00,big_spring_creek,up1,syringe_filter,,2.242746749,,,,0.013348,,2.480235668,2.398425,,6.864897358,0.0137,2.574125616,0.009238961,2.422367458,2.4,0.013436492,8.8,,17.6,356.9
6/5/2005,surface,,big_spring_creek,res_benthos,core,,,,,,4.975553,,,0.002313,,,,,,,,,,,,
6/8/2005,surface,9:00:00,big_spring_creek,dn2,syringe_filter,,2.449281889,9.96,,,0.080571,,2.201496874,1.911659,,7.922614117,0.0094,2.137921142,0.007305633,2.263984091,2.588996764,0.017044127,12.62135922,,15,379
6/8/2005,surface,9:30:00,big_spring_creek,dn1,syringe_filter,,2.69711184,10.54,,,0.002007,,2.190789678,2.089902,,7.844905855,0.0088,2.265750276,0.006494092,2.1738363,0.881057269,0.015421044,5.50660793,,15.3,377
6/8/2005,surface,17:00:00,big_spring_creek,up1,syringe_filter,,2.18756552,12.64,,,0.014316,,2.511702393,2.365463,,7.150557083,0.0132,2.521232194,0.009159367,2.474484374,1.875,0.015875416,8.125,,18.4,354
6/14/2005,surface,11:30:00,big_spring_creek,up1,syringe_filter,,,,,,,,,,,,,,,,3.892215569,,10.47904192,,,
6/14/2005,surface,12:10:00,big_spring_creek,dn2,syringe_filter,,,,,,,,,,,,,,,,4.050632911,,5.316455696,,,
6/22/2005,surface,13:00:00,big_spring_creek,up1,syringe_filter,,,,,,,,,,,,,,,,4.262295082,,2.62295082,,,
6/22/2005,surface,14:15:00,big_spring_creek,bh,syringe_filter,,,,,,,,,,,,,,,,3.943661972,,1.971830986,,,
6/24/2005,surface,10:00:00,big_spring_creek,dn2,syringe_filter,,2.383919763,9.51,,,0,,2.010997206,1.92846,,7.72324075,0.0146,2.025984842,0.016424057,2.172998442,3.116883117,0.023815043,3.116883117,4,17.9,375
6/24/2005,surface,15:30:00,big_spring_creek,dn1,syringe_filter,,2.221889037,10.78,,,0,,1.952113697,1.903017,,7.739777543,0.0147,2.004988159,0.018906068,2.278047611,3.571428571,0.02783302,4.047619048,4.5,22.8,348
6/24/2005,surface,18:00:00,big_spring_creek,up1,syringe_filter,,2.188007072,10.47,,,0,,2.413410515,2.228285,,7.538527079,0.0115,2.36211062,0.010790657,2.36211062,4.466501241,0.016471444,4.466501241,6,23.1,341
6/29/2005,surface,9:45:00,big_spring_creek,dn2,syringe_filter,,2.330395602,8.96,,,0.020454,,2.058487051,2.013376,,7.568212693,0.0226,2.18585922,0.020533281,2.101805401,3.728813559,0.023818164,2.033898305,3.1,15.9,380
6/29/2005,surface,10:45:00,big_spring_creek,dn1,syringe_filter,,2.28416321,9.08,,,0.003519,,2.090397541,1.982498,,7.738255529,0.0211,2.122814645,0.017248399,2.18585922,4.727272727,0.023818164,1.818181818,2.9,16.4,378
6/29/2005,surface,11:15:00,big_spring_creek,up1,syringe_filter,,2.326771273,11.73,,,0,,2.610014558,2.456195,,7.322399091,0.01,2.568724204,0.005751309,2.564657163,4.337349398,0.009857412,13.4939759,4.1,15.8,365
7/6/2005,surface,11:50:00,big_spring_creek,dn2,syringe_filter,,2.255622065,,,,0,,2.085766897,1.985902,,7.526823945,0.0107,2.102511,0.022442,2.247431,4.943820225,0.023494,5.168539326,,,
7/6/2005,surface,12:15:00,big_spring_creek,dn1,syringe_filter,,2.226418132,,,,0,,2.091716248,1.962406,,7.799883908,0.0105,2.255968,0.015151,2.367212,4.827586207,0.024715,8.505747126,,,
7/6/2005,surface,12:30:00,big_spring_creek,up1,syringe_filter,,2.319610697,,,,0,,2.593077787,2.52628,,7.219884926,0.007,2.759545,0.010962,2.566658,6.133333333,0.015587,9.866666667,,,
7/13/2005,surface,10:20:00,big_spring_creek,dn2,syringe_filter,,2.407146214,,,,0.007878,,2.051054453,0.992779,,7.722170933,0.0079,2.20794627,0.014402878,2.163971303,0.490196078,0.019473474,5.147058824,,,
7/13/2005,surface,10:55:00,big_spring_creek,dn1,syringe_filter,,2.192227158,,,,0.008604,,2.018683684,1.824389,,7.751267626,0.0079,2.044117208,0.012712679,2.086121663,1.590909091,0.017783275,3.181818182,,,
7/13/2005,surface,11:25:00,big_spring_creek,up1,syringe_filter,,2.266024856,,,,0.016875,,2.569279075,2.444069,,7.46948601,0.0081,2.527846294,0.012712679,2.696447937,1.369863014,0.017783275,4.109589041,,,
7/20/2005,surface,12:30:00,big_spring_creek,dn2,syringe_filter,,2.307622223,,,,0,,2.080974578,1.985782,,7.598658224,0.0073,,0.012525,,4.303797468,0.0211391,6.582278481,,,
7/20/2005,surface,13:10:00,big_spring_creek,dn1,syringe_filter,,2.659997648,,,,0,,2.101334867,2.004615,,7.791951876,0.0078,,0.014874263,,4.047619048,0.025837703,6.666666667,,,
7/20/2005,surface,13:40:00,big_spring_creek,up1,syringe_filter,,2.593072089,,,,0,,2.563161398,2.461326,,7.621032889,0.0038,,0.011741852,,4.728132388,0.018006675,5.673758865,,,
7/29/2005,surface,10:00:00,big_spring_creek,dn2,syringe_filter,,2.485055742,,,,0.026762,,2.094640463,2.075613,,7.269278982,0.0164,2.227915,0.024119,2.419989,4.166666667,0.027484,2.884615385,,,
7/29/2005,surface,10:40:00,big_spring_creek,dn1,syringe_filter,,2.67809166,,,,0.021351,,2.248467827,2.050126,,7.875188015,0.0148,1.971156,0.021241,2.271725,4.377104377,0.049404,7.407407407,,,
7/29/2005,surface,11:00:00,big_spring_creek,up1,syringe_filter,,2.597306535,,,,0.014644,,2.645768539,2.441029,,7.674091504,0.0122,2.964601,0.020983,2.768425,4.473684211,0.020777,5.263157895,,,
8/4/2005,surface,8:40:00,big_spring_creek,dn2,syringe_filter,,2.379502437,,,,0.027978,,2.095236018,2.042326,,7.386393569,0.0147,2.233626,0.026448,2.309131,,0.031905,,,,
8/4/2005,surface,11:10:00,big_spring_creek,dn1,syringe_filter,,2.399826776,,,,0.022973,,2.115914057,2.045648,,7.135384603,0.015,2.222599,0.016486,2.329585,,0.031321,,,,
8/4/2005,surface,13:05:00,big_spring_creek,up1,syringe_filter,,2.463010642,,,,0.019327,,2.583596093,2.466459,,7.233155173,0.0133,2.507967,0.020002,2.628285,,0.023454,,,,
8/23/2005,surface,11:30:00,big_spring_creek,bh,syringe_filter,,,,,,,,,,,,,,,,8.463949843,,28.52664577,,,
8/23/2005,surface,15:30:00,big_spring_creek,dn1,syringe_filter,,,,,,,,,,,,,,,,5.688622754,,13.47305389,,,
8/23/2005,surface,17:00:00,big_spring_creek,up1,syringe_filter,,,,,,,,,,,,,,,,4.639175258,,9.793814433,,,
8/26/2005,surface,10:15:00,big_spring_creek,dn2,isco,,,,,,,,,,,,,,,,4.966139955,,10.60948081,,,
8/26/2005,surface,12:15:00,big_spring_creek,dn1,isco,,,,,,,,,,,,,,,,4.285714286,,10.71428571,,,
8/26/2005,surface,13:00:00,big_spring_creek,up1,isco,,,,,,,,,,,,,,,,5.966587112,,13.36515513,,,
8/26/2005,surface,14:40:00,big_spring_creek,up1,isco,,,,3.058,,0.032224,,,2.430835,,,0.0066,2.613,0.011667,2.990284,5.649717514,0.030008,14.40677966,,,
8/26/2005,surface,15:05:00,big_spring_creek,dn1,isco,,,,,,0.014944,,,2.191777,,,0.005,2.47907,0.009175,2.413925,5.099150142,0.030464,11.898017,,,
8/26/2005,surface,15:25:00,big_spring_creek,dn2,isco,,,,2.864,,0.010099,,,2.1515,,,0.0106,2.927121,0,2.309404,5.163043478,0.026016,6.793478261,,,
8/26/2005,surface,16:40:00,big_spring_creek,up1,isco,,,,1.532,,0.035014,,,2.421322,,,0.0114,2.401883,0.013668,2.883897,6.648199446,0.039354,20.77562327,,,
8/26/2005,surface,17:05:00,big_spring_creek,dn1,isco,,,,,,0.029977,,,2.093488,,,0.0071,2.466022,0.013624,2.493482,4.08719346,0.026296,10.08174387,,,
8/26/2005,surface,17:25:00,big_spring_creek,dn2,isco,,,,1.816,,0.014065,,,2.143007,,,0.0113,2.339362,0.005575,2.387713,5.714285714,0.030737,9.142857143,,,
8/26/2005,surface,18:40:00,big_spring_creek,up1,isco,,,,1.474,,0.06238,,,2.411837,,,0.0156,2.486507,0.013886,2.874616,8.498583569,0.040279,27.76203966,,,
8/26/2005,surface,19:05:00,big_spring_creek,dn1,isco,,,,,,0.041814,,,2.083043,,,0.013,2.391296,0.01254,2.245028,4.619565217,2.198718,11.95652174,,,
8/26/2005,surface,19:25:00,big_spring_creek,dn2,isco,,,,1.309,,0.034888,,,2.072461,,,0.0161,2.274721,0.008287,2.36817,6.811989101,0.035006,16.34877384,,,
8/26/2005,surface,20:40:00,big_spring_creek,up1,isco,,,,1.21,,0.070975,,,2.514785,,,0.0128,2.529938,0.013939,3.05502,8.092485549,0.045114,27.74566474,,,
8/26/2005,surface,21:05:00,big_spring_creek,dn1,isco,,,,1.582,,0.059391,,,2.167565,,,0.0127,2.381695,0.015163,2.436393,6.111111111,0.034084,15.55555556,,,
8/26/2005,surface,21:25:00,big_spring_creek,dn2,isco,,,,1.399,,0.044694,,,2.055089,,,0.0136,2.227202,0.009653,2.371299,6.703910615,0.037003,19.55307263,,,
8/26/2005,surface,22:40:00,big_spring_creek,up1,isco,,,,1.224,,0.060101,,,2.493159,,,0.0194,2.655,0.01423,2.989499,5.915492958,0.032672,18.30985915,,,
8/26/2005,surface,23:05:00,big_spring_creek,dn1,isco,,,,,,0.067348,,,2.102554,,,0.0118,2.510477,0.017394,2.825666,4.683195592,0.04054,14.60055096,,,
8/26/2005,surface,23:25:00,big_spring_creek,dn2,isco,,,,1.466,,0.050989,,,2.082877,,,0.0126,2.352075,0.010677,2.505127,7.162534435,0.038645,19.00826446,,,
8/27/2005,surface,0:40:00,big_spring_creek,up1,isco,,,,1.481,,0.056772,,,2.584098,,,0.0179,2.571463,0.012272,3.022049,6.486486486,0.035689,17.02702703,,,
8/27/2005,surface,1:05:00,big_spring_creek,dn1,isco,,,,1.51,,0.043048,,,2.033671,,,0.0142,2.389744,0.015821,2.578135,4.057971014,1.078327,9.275362319,,,
8/27/2005,surface,1:25:00,big_spring_creek,dn2,isco,,,,1.442,,0.041291,,,2.180036,,,0.013,2.252458,0.008308,2.405994,6.35359116,0.034278,15.46961326,,,
8/27/2005,surface,2:40:00,big_spring_creek,up1,isco,,,,1.271,,0.087815,,,2.636008,,,0.0206,2.737583,0.013755,3.34158,6.59025788,0.039688,20.34383954,,,
8/27/2005,surface,3:05:00,big_spring_creek,dn1,isco,,,,,,0.061755,,,2.222099,,,0.009,2.456305,0.010813,2.789511,4.913294798,4.461267,12.71676301,,,
8/27/2005,surface,3:25:00,big_spring_creek,dn2,isco,,,,1.523,,0.041933,,,2.155392,,,0.0134,2.318269,0.009818,2.456647,7.417582418,0.03755,20.6043956,,,
8/27/2005,surface,4:40:00,big_spring_creek,up1,isco,,,,1.086,,0.060012,,,2.584103,,,0.0135,2.767039,0.013282,3.281026,6.720430108,0.034029,16.93548387,,,
8/27/2005,surface,5:05:00,big_spring_creek,dn1,isco,,,,1.224,,0.038564,,,2.217374,,,0.0179,2.500487,0.011932,2.669137,6.077348066,4.946836,14.64088398,,,
8/27/2005,surface,5:25:00,big_spring_creek,dn2,isco,,,,1.661,,0.04622,,,2.215973,,,0.0124,2.327849,0.01275,2.409933,8.011049724,0.033403,24.86187845,,,
8/27/2005,surface,6:40:00,big_spring_creek,up1,isco,,,,1.921,,0.054393,,,2.623963,,,0.0096,2.687425,0.014315,3.171054,6.811989101,0.039109,23.16076294,,,
8/27/2005,surface,7:05:00,big_spring_creek,dn1,isco,,,,,,0.044952,,,2.244136,,,0.0091,2.609802,0.01181,2.485191,3.38028169,3.38879,8.732394366,,,
8/27/2005,surface,7:25:00,big_spring_creek,dn2,isco,,,,1.251,,0.045914,,,2.265246,,,0.0158,2.37222,0.01254,2.452119,5.769230769,0.027653,15.10989011,,,
8/27/2005,surface,8:40:00,big_spring_creek,up1,isco,,,,1.137,,0.055218,,,2.656195,,,0.0112,2.853409,0.016205,3.411122,6.478873239,0.041159,21.97183099,,,
8/27/2005,surface,9:05:00,big_spring_creek,dn1,isco,,,,1.221,,0.022571,,,2.256595,,,0.0115,2.486632,0.011296,2.663187,4.519774011,0.02514,9.604519774,,,
8/27/2005,surface,9:25:00,big_spring_creek,dn2,isco,,,,1.44,,0.033204,,,2.281352,,,0.0108,2.542057,0.022078,2.341543,5.524861878,0.012949,9.944751381,,,
8/27/2005,surface,10:40:00,big_spring_creek,up1,isco,,,,1.089,,0.047664,,,2.545852,,,0.0346,4.525613,,3.069518,6.442577031,0.039621,20.72829132,,,
8/27/2005,surface,11:05:00,big_spring_creek,dn1,isco,,,,,,0.024775,,,2.152852,,,0.0105,2.637648,0.012635,2.77788,4.50928382,0.036309,10.61007958,,,
8/27/2005,surface,11:25:00,big_spring_creek,dn2,isco,,,,1.326,,0.035214,,,2.214855,,,0.0101,2.486288,0.01068,2.35162,4.775280899,0.02397,7.584269663,,,
8/27/2005,surface,12:40:00,big_spring_creek,up1,isco,,,,1.027,,0.021099,,,2.51983,,,0.0177,2.355066,0,2.959875,5.382436261,0.038186,16.4305949,,,
8/27/2005,surface,13:05:00,big_spring_creek,dn1,isco,,,,1.24,,0.026876,,,1.770977,,,0.0123,2.386972,0.012667,2.435932,6.077348066,0.029969,18.50828729,,,
8/27/2005,surface,13:25:00,big_spring_creek,dn2,isco,,,,1.441,,0.013564,,,2.188879,,,0.0118,2.293889,0.015535,2.261389,5.322128852,0.024365,9.243697479,,,
8/27/2005,surface,14:40:00,big_spring_creek,up1,isco,,,,1.248,,0.047497,,,2.477942,,,0.0178,2.565422,0.014547,2.772793,6.060606061,0.033933,16.25344353,,,
8/27/2005,surface,15:05:00,big_spring_creek,dn1,isco,,,,,,0.031892,,,2.092209,,,0.011,2.341792,0.014597,2.532839,5.163043478,0.038798,16.0326087,,,
8/27/2005,surface,15:25:00,big_spring_creek,dn2,isco,,,,1.269,,0.027229,,,2.085724,,,0.011,2.316432,0.014723,2.255222,4.407713499,0.027255,5.785123967,,,
8/27/2005,surface,16:40:00,big_spring_creek,up1,isco,,,,1.104,,0.022662,,,2.461551,,,0.0162,2.41319,0.01728,2.936988,7.183908046,0.040827,16.95402299,,,
8/27/2005,surface,17:05:00,big_spring_creek,dn1,isco,,,,1.241,,0.032334,,,2.053,,,0.0137,2.377949,0.015886,2.414714,4.87804878,0.034353,14.36314363,,,
8/27/2005,surface,17:25:00,big_spring_creek,dn2,isco,,,,1.331,,0.037667,,,2.055094,,,0.012,2.343679,0.014495,2.275466,6.301369863,0.032067,12.05479452,,,
8/27/2005,surface,18:40:00,big_spring_creek,up1,isco,,,,1.092,,0.025051,,,2.388332,,,0.0152,2.443006,0.016418,2.895987,6.811989101,0.040575,18.25613079,,,
8/27/2005,surface,19:05:00,big_spring_creek,dn1,isco,,,,,,0.031967,,,1.720996,,,0.0109,2.384356,0.014219,2.396869,4.507042254,0.032445,13.23943662,,,
8/27/2005,surface,19:25:00,big_spring_creek,dn2,isco,,,,1.428,,0.028862,,,2.096689,,,0.0122,2.181414,0.012891,2.165173,5.747126437,0.026602,12.35632184,,,
8/27/2005,surface,20:40:00,big_spring_creek,up1,isco,,,,1.007,,0.031536,,,2.391295,,,0.0163,2.369417,0.012628,2.964974,8.130081301,0.046457,30.62330623,,,
8/27/2005,surface,21:05:00,big_spring_creek,dn1,isco,,,,1.191,,0.04526,,,2.085938,,,0.0136,2.215293,0.013055,2.45186,6.086956522,0.036355,19.71014493,,,
8/27/2005,surface,21:25:00,big_spring_creek,dn2,isco,,,,1.406,,0.029977,,,2.019583,,,0.012,2.146777,0.014436,2.137975,7.56302521,0.02987,23.24929972,,,
8/27/2005,surface,22:40:00,big_spring_creek,up1,isco,,,,1.418,,0.062682,,,2.491389,,,0.0209,1.132958,0.013844,3.190828,7.466666667,0.044923,26.93333333,,,
8/27/2005,surface,23:05:00,big_spring_creek,dn1,isco,,,,,,0.041852,,,2.02551,,,0.013,2.455771,0.020294,2.190937,4.775280899,1.89723,17.69662921,,,
8/27/2005,surface,23:25:00,big_spring_creek,dn2,isco,,,,1.344,,0.03202,,,2.052871,,,0.0135,2.327758,0.014493,2.324373,7.222222222,0.030203,19.72222222,,,
8/28/2005,surface,0:40:00,big_spring_creek,up1,isco,,,,1.066,,0.051175,,,2.475243,,,0.0159,2.89825,0.013716,3.202268,7.142857143,0.045209,29.06403941,,,
8/28/2005,surface,1:05:00,big_spring_creek,dn1,isco,,,,1.139,,0.054507,,,2.136344,,,0.0109,2.283173,0.014858,2.462112,5.205479452,0.033999,13.69863014,,,
8/28/2005,surface,1:25:00,big_spring_creek,dn2,isco,,,,1.177,,0.042888,,,2.092173,,,0.0115,2.204611,0.012471,2.36419,6.59025788,0.026474,20.91690544,,,
8/28/2005,surface,2:40:00,big_spring_creek,up1,isco,,,,1.149,,0.057223,,,2.540204,,,0.019,3.293344,0.043767,2.925619,7.228915663,0.018857,24.57831325,,,
8/28/2005,surface,3:05:00,big_spring_creek,dn1,isco,,,,,,0.046259,,,2.208362,,,0.0096,2.435353,0.023425,2.636334,5.691056911,0.037572,17.61517615,,,
8/28/2005,surface,3:25:00,big_spring_creek,dn2,isco,,,,1.128,,0.039603,,,1.967302,,,0.0088,2.253633,0.012986,2.270441,7.73480663,0.02292,20.99447514,,,
8/28/2005,surface,4:40:00,big_spring_creek,up1,isco,,,,1.02,,0.05193,,,2.592299,,,0.013,2.966602,0.011451,3.054305,8.894230769,0.049182,33.17307692,,,
8/28/2005,surface,5:05:00,big_spring_creek,dn1,isco,,,,1.181,,0.055614,,,2.186293,,,0.0142,0.023298,,2.489471,5.780346821,0.036146,15.89595376,,,
8/28/2005,surface,5:25:00,big_spring_creek,dn2,isco,,,,1.086,,0.04998,,,2.051259,,,0.0131,2.459659,0.015948,2.302376,6.336088154,0.035494,19.55922865,,,
8/28/2005,surface,6:40:00,big_spring_creek,up1,isco,,,,1.24,,0.066663,,,2.606725,,,0.0161,3.146005,0.018849,3.066438,10.66350711,0.061567,45.26066351,,,
8/28/2005,surface,7:05:00,big_spring_creek,dn1,isco,,,,,,0.049074,,,2.185569,,,0.0143,2.55119,,2.537074,5.763688761,0.043671,22.47838617,,,
8/28/2005,surface,7:25:00,big_spring_creek,dn2,isco,,,,1.126,,0.036477,,,2.203492,,,0.0103,2.305873,0.015854,2.339693,6.35359116,0.013951,14.91712707,,,
8/28/2005,surface,8:40:00,big_spring_creek,up1,isco,,,,0.9102,,0.045416,,,2.575818,,,0.0282,3.151448,0.01145,0,7.551487414,0,30.43478261,,,
8/28/2005,surface,9:05:00,big_spring_creek,dn1,isco,,,,1.042,,0.029667,,,2.199745,,,0.0125,2.272019,,2.562749,5.714285714,1.678221,18.28571429,,,
8/28/2005,surface,9:25:00,big_spring_creek,dn2,isco,,,,1.206,,0.041939,,,2.179389,,,0.0093,2.37365,0.01484,2.35168,4.610951009,0.030632,9.798270893,,,
