streamname,stationid,lat_decimal,long_decimal,wb_id
east_branch_pecatonica_river,06reach,42.97733,-89.88385,5577215
east_branch_pecatonica_river,100m,,,5577215
east_branch_pecatonica_river,200m,,,5577215
east_branch_pecatonica_river,300m,,,5577215
east_branch_pecatonica_river,400m,,,5577215
east_branch_pecatonica_river,500m,,,5577215
east_branch_pecatonica_river,600m,,,5577215
big_spring_creek,a,,,176400
allequash_creek,all0,,,2332100
allequash_creek,all1,46.0318,-89.60771,2332100
allequash_creek,all2,46.03237,-89.60748,2332100
allequash_creek,all3,46.032818,-89.607717,2332100
aurora_creek,aurora0,46.04123,-89.54051,1592600
aurora_creek,aurora1,46.04126,-89.54024,1592600
aurora_creek,aurora2,46.04115,-89.5399,1592600
aurora_creek,aurora3,46.04045,-89.53968,1592600
big_spring_creek,b,,,176400
unknown,barber,,,
big_spring_creek,bc,43.6716,-89.64223,176400
big_spring_creek,bh,,,176400
east_branch_pecatonica_river,bridge,42.97733,-89.88385,5577215
big_spring_creek,bw,43.66813,-89.64195,176400
big_spring_creek,c,,,176400
circle_lily_creek,circ0,46.151275,-89.925774,2326400
circle_lily_creek,circ1,46.15123,-89.92599,2326400
circle_lily_creek,circ2,46.15143,-89.92727,2326400
circle_lily_creek,circ3,46.15051,-89.92796,2326400
big_spring_creek,d,,,176400
big_spring_creek,dam,43.67033,-89.64214,176400
baraboo_river,dn,43.581283,-90.131137,1271100
big_spring_creek,dn1,43.6696,-89.641911,176400
big_spring_creek,dn1.5,,,176400
big_spring_creek,dn2,43.6666,-89.64049,176400
big_spring_creek,dn3,,,176400
east_branch_pecatonica_river,drainage_channel_upstream_bridge,42.97758,-89.88385,5577215
boulder_creek,eb1,43.45769,-89.635122,1273200
boulder_creek,eb2,43.45769,-89.635122,1273200
unknown,f,,,
unknown,gauge,,,
big_spring_creek,gv,,,176400
unknown,hwy92,,,
unknown,hwyn,,,
unknown,j,,,
unknown,kingsley,,,
little_tamarack_creek,littletam0,,,1625000
little_tamarack_creek,littletam1,46.071329,-89.304744,1625000
little_tamarack_creek,littletam2,46.070987,-89.302824,1625000
little_tamarack_creek,littletam3,46.069967,-89.301086,1625000
lost_creek,lost1,46.08756,-89.97964,2315800
lost_creek,lost2,46.08664,-89.9788,2315800
lost_creek,lost3,46.08627,-89.97851,2315800
big_spring_creek,lw,43.67081,-89.65475,176400
big_spring_creek,mc,,,176400
muskellunge_creek,musk1,45.948422,-89.401137,1596400
muskellunge_creek,musk2,45.947614,-89.40312,1596400
muskellunge_creek,musk3,45.947373,-89.405191,1596400
muskellunge_creek,muskyculvert,,,1596400
north_creek,north0,46.084519,-89.665837,2333200
north_creek,north1,46.084295,-89.665722,2333200
north_creek,north1b,,,2333200
north_creek,north1c,,,2333200
north_creek,north2,46.082916,-89.664724,2333200
north_creek,north2b,,,2333200
north_creek,north2c,,,2333200
north_creek,north3,46.081777,-89.66585,2333200
north_creek,north3b,,,2333200
powell_creek,powell1,46.09013,-89.89989,2317100
powell_creek,powell2,46.09201,-89.90008,2317100
powell_creek,powell3,46.09313,-89.90037,2317100
unknown,q,,,
east_branch_pecatonica_river,ref,,,5577215
big_spring_creek,res,43.670346,-89.64214,176400
big_spring_creek,res_benthos,,,176400
rice_creek,rice0,46.143457,-89.752411,2334500
rice_creek,rice1,46.141682,-89.74695,2334500
rice_creek,rice2,46.141287,-89.747711,2334500
rice_creek,rice3,46.140105,-89.748334,2334500
unknown,riffle,,,
rowan_creek,rowan,43.38631,-89.395039,1263700
big_spring_creek,rw,43.67064,-89.64103,176400
big_spring_creek,sb,,,176400
schlapbach_creek,schlapbach,43.01416,-89.691331,888500
schlapbach_creek,schlep1,,,888500
schlapbach_creek,schlep2,,,888500
stevenson_creek,steven0,46.06544,-89.64447,2332800
stevenson_creek,steven1,46.06533,-89.64425,2332800
stevenson_creek,steven2,46.06456,-89.64367,2332800
stevenson_creek,steven3,46.06352,-89.64329,2332800
big_spring_creek,stump,,,176400
east_branch_pecatonica_river,treat,,,5577215
baraboo_river,up,43.599138,-90.152873,1271100
big_spring_creek,up0,43.671602,-89.655289,176400
big_spring_creek,up1,43.67078,-89.65402,176400
big_spring_creek,dn1,,,176400
big_spring_creek,up2,43.6703,-89.65228,176400
big_spring_creek,upe,43.67116,-89.65523,176400
big_spring_creek,upw,43.67109,-89.65524,176400
boulder_creek,wb1,43.457113,-89.636276,1273200
boulder_creek,wb2,43.457113,-89.636276,1273200
east_branch_pecatonica_river,weather,42.97733,-89.88385,5577215
schlapbach_creek,p,,,888500
unknown,gvb1,,,
unknown,gvb2,,,
big_spring_creek,up1.5,,,176400
