"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","GREEN LAKE 5",1984,1984-05-31,"DNS","NP","13.1","52.94","NP","NP","NP","NP","107.78","14.81","10.01","12.53","3.949","NP","47.261","NP","23.962","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5",1984,1984-06-14,"DNS","NP","14.2","59.99","NP","NP","NP","NP","106.79","18.1","12.61","15.09","8.181","NP","50.384","NP","30.95","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5",1984,1984-06-21,"DNS","NV","10.8","50.97","NP","NP","NV","NP","86.83","11.52","10.01","9.72","5.642","NP","33.104","NP","30.784","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5",1984,1984-06-28,"DNS","NV","7.98","39.99","NP","NP","NV","NP","73.35","8.23","7.4","7.16","3.667","NP","20.82","NP","24.128","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5",1984,1984-07-12,"DNS","NV","6.52","49.99","NP","NP","NV","NP","54.89","7.4","6.09","5.11","2.257","NP","19.571","NP","23.462","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5",1984,1984-07-26,"DNS","NV","6.61","44.91","NP","NP","NV","NP","46.41","6.75","7.83","3.32","1.693","NP","20.195","NP","16.973","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5",1984,1984-08-09,"DNS","NV","7.18","47.37","NP","NP","NV","NP","48.9","6.75","7.83","3.07","2.821","NP","19.363","NP","14.976","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5",1984,1984-08-23,"DNS","NV","8.68","55.89","NP","NP","NV","NP","39.92","7.98","10.44","4.09","2.257","NP","23.943","NP","23.296","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5",1984,1984-09-14,"DNS","NV","11.68","59.99","NP","NP","NV","NP","51.4","12.01","11.75","5.37","2.257","NP","37.06","NP","36.608","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5",1985,1985-05-30,"DNS","5.82","14.6","52.61","NP","NP","1.51","NP","81.34","15.63","11.31","9.97","7.053","37.0414","65.583","NP","35.942","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
