"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","MARTINELLI",1984,1984-05-24,"DNS","NP","19.1","80.97","NP","NP","NP","NP","146.71","21.39","12.61","24.55","11.284","1.1473","46.429","NP","32.115","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-05-31,"DNS","NP","15.3","60.97","NP","NP","NP","NP","108.78","15.63","17.83","11.76","7.899","0.6556","38.101","NP","28.454","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-06-07,"DNS","NP","12.4","92.28","NP","NP","NP","NP","88.32","12.34","20.88","6.65","4.796","0.6556","21.653","NP","42.765","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-06-14,"DNS","NP","11.8","69.99","NP","NP","NP","NP","83.33","11.52","16.53","8.69","7.617","8.195","20.82","NP","34.445","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-06-21,"DNS","NP","10.2","89.98","NP","NP","NP","NP","67.86","9.87","19.14","5.11","4.231","0.6556","17.489","NP","45.76","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-06-28,"DNS","NP","8.3","75.89","NP","NP","NP","NP","72.85","8.56","16.53","5.63","3.103","0.6556","12.908","NP","40.435","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-07-05,"DNS","NP","8.1","67.85","NP","NP","NP","NP","65.37","7.24","17.4","9.21","2.821","0.6556","17.489","NP","32.282","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-07-12,"DNS","NP","6.8","65.89","NP","NP","NP","NP","60.88","6.42","13.92","3.58","1.975","0.6556","11.451","NP","17.139","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-07-19,"DNS","NP","8.6","75.89","NP","NP","NP","NP","51.9","6.99","16.53","2.38","1.411","1.4751","8.328","NP","23.795","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-07-26,"DNS","NP","8.1","79","NP","NP","NP","NP","54.39","6.91","16.53","2.1","2.257","0.6556","12.492","NP","23.795","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-08-02,"DNS","NP","7.35","83.92","NP","NP","NP","NP","50.4","6.66","16.53","2.94","1.693","0.8195","11.867","NP","24.794","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-08-09,"DNS","NP","9.17","81.95","NP","NP","NP","NP","60.38","8.06","19.14","3.58","0.564","0.4917","15.407","NP","27.789","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-08-17,"DNS","NP","8.9","85.88","NP","NP","NP","NP","40.92","7.24","20.88","4.6","1.693","0.4917","13.325","NP","20.8","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-08-23,"DNS","NP","9.83","87.85","NP","NP","NP","NP","44.41","8.06","22.18","2.63","1.411","0.622713","8.953","NP","23.795","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-08-30,"DNS","NP","8.86","93.91","NP","NP","NP","NP","39.42","7.81","16.53","2.61","1.269","0.6556","11.326","NP","26.624","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","MARTINELLI",1984,1984-09-07,"DNS","NP","10.22","94.9","NP","NP","NP","NP","44.91","9.62","21.75","3.15","1.975","0.4917","14.782","NP","38.605","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
