"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","SADDLE STREAM",1994,1994-05-26,"0750","6.64","19.49","153.91","NP","NP","0.229086765276777","u","126.7075499002","25.33728200065811","41.496663737831561","10.562119584676","5.3874143231884464","6.2253144509546825","27.7946650899006","NP","79.7942035177669","193.317393864044","204.332701988642","0.0277010070901103","NP","NP","NP","NP","6.2253144509546825","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM",1994,1994-06-02,"1450","6.75","13.8","81.31","NP","NP","0.177827941003892","1.2850992739189102","83.1709331337325","16.205988812109247","28.316905758205813","7.16075904045829","4.0617155106761063","5.8705037827655557","19.9871748961083","NP","52.5777967670726","111.22939418955","136.317513959429","0.101346932415654","NP","NP","NP","NP","7.1556030566844662","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM",1994,1994-06-09,"1430","6.96","14.93","100.07","NP","NP","0.109647819614318","0.49976082874624284","77.4728892215569","15.876933201711088","33.406119235487047","6.34238657869163","2.6513976250246802","4.886710566422976","20.2161946084596","NP","67.7526169621876","127.824302799907","133.707736885807","0.0224960356404904","NP","NP","NP","NP","5.3864713951692185","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM",1994,1994-06-16,"1530","6.91","13.74","97.16","NP","NP","0.123026877081238","0.10709160615990919","75.692250499002","14.807502467917077","33.319124133311298","4.52662267914685","3.2155247792852508","3.6610009854059919","18.5922366481508","NP","69.8319447411522","122.628762412842","128.575618262618","0.0236733763710089","NP","NP","NP","NP","3.7680925915659009","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM",1994,1994-06-23,"0745","6.94","16.19","123.59","NP","NP","0.114815362149688","u","92.2076746506986","18.015794669299112","41.366171084567938","4.09186230883331","2.5949849095986233","3.4352123783765478","23.7764101368289","NP","85.9431745353557","153.396607424804","155.796318075549","0.00776120814168453","NP","NP","NP","NP","3.4352123783765478","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM",1994,1994-06-30,"0750","7.03","15.68","140.47","NP","NP","0.0933254300796991","0.64254963695945511","101.956671656687","18.920697597894044","52.32755395871213","5.57516239578538","2.8488421290158801","2.5159301926138098","25.462828018688","NP","87.1929074983978","171.297600340318","179.515960676117","0.0234265753923196","NP","NP","NP","NP","3.158479829573265","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM",1994,1994-07-07,"0732","7.06","18.58","156.13","NP","NP","0.0870963589956081","0.071394404106606121","111.661152694611","20.64823955248437","51.892578447833387","3.55480538079894","1.4385242433644543","1.9675864326851589","25.9625073910907","NP","109.976500747703","185.49861806714","187.91526683883","0.00647176998331996","NP","NP","NP","NP","2.0389808367917648","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM",1994,1994-07-14,"0740","7.04","19.78","168.08","NP","NP","0.091201083935591","u","113.797919161677","21.388614675880223","56.546816414235884","3.17119328934581","1.4103178856514258","0.77413236695809529","24.4218293261824","NP","114.327422915331","194.686279578792","194.995744625074","0.000794147605126229","NP","NP","NP","NP","0.77413236695809529","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM",1994,1994-07-21,"0740","6.97","19.9","159.04","NP","NP","0.107151930523761","0.85673284927927351","119.406931137725","23.116156630470549","58.634698866453824","4.98695718889059","1.0154288776690266","1.4676259456913889","24.8590487770347","NP","125.75304422132","186.382103600395","207.108628603343","0.0526734769250317","NP","NP","NP","NP","2.3243587949706623","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM",1994,1994-07-28,"0750","6.94","18.56","151.61","NP","NP","0.114815362149688","u","109.791482035928","22.704837117472852","60.37460090996877","3.32463812592706","u","0.20966084938448412","25.462828018688","NP","131.399985758029","177.282488868073","196.310373551447","0.050932141904807","NP","NP","NP","NP","0.20966084938448412","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
