"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","FLUME",2005,2005-06-16,"1650","6.8","25.5","145.54","NP","NP","0.158489319246111","u","167.165668662675","34.756498848305363","37.103411077956309","8.33716945424787","3.77965193354582","5.6930984486709919","75.1809255727575","u","49.5834223456526","230.193675954974","247.52123736243","0.0362717615138449","13.708368138105335","10.8385986706362","2.8697694674691387","5.1455002219652","5.6930984486709919","0.19238716342739071","0.096855427132433655","0.095531736294957051","0.096855427132433655","u","-15.5246982497757","NP","NP","NP","NP","NP","NP","NP","2.60371881374549","NP","NaN"
"NWT","FLUME",2005,2005-06-23,"1621","6.63","25.4","137.91","NP","NP","0.234422881531992","u","167.764471057884","34.230009871668315","33.797597195277909","7.46764871362079","3.27193749471131","6.1446756627298811","77.2004630362184","0.19971589074707818","39.6403546250801","224.726792084407","243.494149719983","0.0400822687751908","13.352395639229796","13.7454932282408","u","7.60081756551089","6.1446756627298811","0.21014399173500356","0.098082262542777812","0.11206172919222575","0.031510298960418417","0.066571963582359395","-15.4828619514659","NP","NP","NP","NP","NP","NP","NP","2.34873685862231","NP","NaN"
"NWT","FLUME",2005,2005-06-30,"1550","6.71","25.1","134.39","NP","NP","0.194984459975804","0.87465284471003157","163.622754491018","32.436656794998356","32.840651071344688","8.15815047823641","3.58220742955462","7.7735791848708731","74.4938664357038","u","35.746670939258","220.239653050129","238.127850140283","0.0390258841773148","14.518694624715316","12.9526583706369","1.5660362540784067","4.304426341056","8.648232029580905","u","u","u","u","u","-15.5639905870386","NP","NP","NP","NP","NP","NP","NP","2.13183688739244","NP","NaN"
"NWT","FLUME",2005,2005-07-07,"1445","6.6","24.4","130.94","NP","NP","0.251188643150958","0.66432493021197003","158.333333333333","31.663376110562687","31.405231885444852","7.54437113191141","3.07449299072011","8.2574119142196825","72.328589155292","u","31.9568468276009","214.600494060232","229.861826034615","0.0343366159163429","16.353245232638667","15.7490343906845","0.60421084195420782","6.82729754625281","8.9217368444316527","0.1914186091560664","0.057112416865758374","0.13430619229030802","0.057112416865758374","u","-15.5622343077166","NP","NP","NP","NP","NP","NP","NP","2.05252525252525","NP","NaN"
"NWT","FLUME",2005,2005-07-14,"1330","6.76","23.3","130.68","NP","NP","0.173780082874937","0.87793698729893554","156.636726546906","30.511681474169137","29.839320046281397","7.62109355020204","3.97709643753702","9.9669542245854768","66.7071962157616","u","26.8410952075767","211.331246877884","225.660538687733","0.0327907578200849","14.378832987070474","13.9374013864793","0.44143160059114628","3.09251017459492","10.844891211884413","u","u","u","u","u","-15.698108215761","NP","NP","NP","NP","NP","NP","NP","1.73185375067458","NP","NaN"
"NWT","FLUME",2005,2005-07-21,"1535","6.54","22.4","128.19","NP","NP","0.28840315031266","u","155.439121756487","30.865416255347153","29.53483718866628","7.54437113191141","2.59498490959862","9.8701876787157143","65.6037376017056","u","23.5227871537421","206.25891019002","223.672149482725","0.0405023989333528","14.543611271748519","14.4322360013422","0.11137527040630424","4.5620483226265","9.8701876787157143","0.10534641957771033","0.04168011880932395","0.063666300768386391","0.04168011880932395","u","-15.6645662922998","NP","NP","NP","NP","NP","NP","NP","1.70082298974636","NP","NaN"
"NWT","FLUME",2005,2005-07-28,"1500","6.85","22.9","127.48","NP","NP","0.141253754462275","u","155.588822355289","30.297795327410331","29.491339637578406","7.493222853051","2.98987391758102","9.8863154363606753","62.7722211580902","u","24.3719646799117","203.128410512032","223.012433927791","0.046660684314121","14.907936915904532","14.1677911285313","0.74014578737318537","4.28147569217067","9.8863154363606753","u","u","u","u","u","-15.686095880729","NP","NP","NP","NP","NP","NP","NP","1.48211130742049","NP","NaN"
"NWT","FLUME",2005,2005-08-04,"1330","6.52","23.1","136.61","NP","NP","0.301995172040202","0.71173081453875653","155.688622754491","32.379072063178675","31.840207396323589","7.39092629533016","3.10269934843314","9.5315047681715477","61.5438427009336","u","31.7574948372855","210.788046817538","228.312554495902","0.0399100061032591","15.295322952586977","16.7945340444216","u","6.55129846171129","10.243235582710303","0.25828113901982308","u","0.36805062310324788","u","u","-15.6027501405908","NP","NP","NP","NP","NP","NP","NP","1.83105123674912","NP","NaN"
"NWT","FLUME",2005,2005-08-11,"1420","6.55","22.1","130.86","NP","NP","0.281838293126445","0.69138340936837361","153.393213572854","31.062849621586043","29.6653298419299","7.31420387703954","2.84884212901588","9.0799275541126594","60.1072645052758","u","26.9580217902158","202.896034188404","222.408818615905","0.0458795245312625","16.530089171610726","16.7839676726138","u","7.01265670913279","9.7713109634810333","u","u","u","u","u","-15.6084719329717","NP","NP","NP","NP","NP","NP","NP","1.39450824499411","NP","NaN"
"NWT","FLUME",2005,2005-08-18,"1425","6.74","23","130.19","NP","NP","0.181970085860998","1.3242234073693302","151.996007984032","31.317867719644617","30.361290659335882","7.67224182906245","2.93346120215497","9.5476325258165087","62.355821681088","u","33.4329915260272","205.026915409059","222.853601685305","0.0416627669735995","17.627920923558012","16.3029121777435","1.3250087458145039","5.43105624455767","10.871855933185838","0.14205462646090269","u","0.14205462646090269","u","u","-15.5571284299277","NP","NP","NP","NP","NP","NP","NP","1.46","NP","NaN"
