"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-07-16,"1005","6.35","17.96","30.18","NP","NP","0.446683592150963","0.41408754381831547","98.7960379241517","21.635406383678841","9.0909881773656149","15.4723543552759","3.24373113699828","30.1266512807859","81.2811779108405","u","28.476821192053","144.831560328625","145.855557976441","0.00352267982766958","32.720055402057589","30.278366781611656","2.4416886204459338","u","30.5407388246042","0.36159359462775226","0.31639439529928326","0.045199199328468997","0.31639439529928326","u","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-07-23,"0945","6.42","24.6","40.375","NP","NP","0.380189396320561","0.38552978217567307","138.237185628743","30.519907864429086","10.917885323056312","19.2573269909468","4.11812822610216","38.9485347125792","125.565262290031","u","30.4457736950794","209.006925228712","199.698024985671","-0.0227765781602549","38.488723253871363","37.739082010751993","0.74964124311937042","u","39.3340644947548","0.27119519597081426","0.23891005359333636","0.032285142377477899","0.23891005359333636","u","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-07-30,"1035","6.36","38.7","57.26","NP","NP","0.436515832240165","0.52117914997822468","214.982714570858","50.510036196117142","17.920991048203987","27.5944964451946","4.62584266493668","45.3835100129183","217.67282660293","u","51.3173823257139","324.942179280785","311.965933242592","-0.0203738118310058","48.098410046620536","46.649103643256439","1.4493064033640977","0.74441448035987889","45.9046891628966","0.3906502227674824","0.33253696648802222","0.058113256279460179","0.33253696648802222","u","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-08-06,"1035","6.61","39.9","60.15","NP","NP","0.245470891568502","u","217.920768463074","51.661730832510692","18.660449416697841","28.4128689069613","4.17454094152822","44.0932894013215","214.549830525413","u","56.31275368511","322.967660868263","316.901288510812","-0.00948064812855379","44.799988576895345","43.372100494763217","1.427888082132128","u","44.0932894013215","0.16142571188738941","0.15496868341189385","0.0064570284754955631","0.15496868341189385","u","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-08-13,"1005","6.59","41.1","71.14","NP","NP","0.257039578276886","0.56401579244218836","226.601382235529","52.155314248107928","24.750106569000167","28.9499258349957","4.62584266493668","46.0447480763617","225.251297084371","0.19371085426486731","56.3804030477818","347.061887825669","333.277784258352","-0.0202606200004388","44.985614027572517","45.23549444194564","u","u","46.6087638688039","0.13882611222315488","0.13236908374765935","0.0064570284754955354","0.067798798992703579","0.06457028475495577","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-08-20,"1115","6.54","45.6","72.97","NP","NP","0.28840315031266","0.42836642463963676","257.228368263473","53.224744981901942","24.532618813560799","32.9906398649685","4.71046173807576","47.157563353864","264.247108105632","0.15496868341189388","54.226304920601","389.085133197572","368.693141498857","-0.0269102353282489","46.79189245146965","47.263095518573252","u","u","47.5859297785036","0.17433976883838059","0.18079679731387613","u","0.12914056950991151","0.051656227803964623","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-08-27,"1040","6.54","51.9","74.14","NP","NP","0.28840315031266","0.9566850150285221","295.734680638723","68.772622573214875","24.228135955945682","34.5506623702112","5.2463825346233","46.75436941274","325.561931094215","u","54.1408530940682","451.702683041578","424.531189703435","-0.0310094076288344","43.686235872832285","45.599605902889337","u","u","47.7110544277685","0.11622651255892039","0.13882611222315488","u","0.13882611222315488","u","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-09-03,"1245","6.78","69.8","69.145","NP","NP","0.165958690743756","0.39266922258633369","428.614845309381","89.667653833497852","29.969812699545017","40.3559920208685","6.4310495585705","53.5925386542031","466.409054190228","u","61.6748558000427","595.577642403002","589.166931776623","-0.00541104873243921","54.93799396003341","57.244033212676783","u","3.2588253358873089","53.9852078767895","0.15819719764964163","0.10331245560792923","0.054884742041712398","0.10331245560792923","u","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-09-10,"1040","6.67","74.7","69.07","NP","NP","0.213796208950223","0.78533844517266738","459.553443113773","96.248766041460996","29.926315148457142","42.4274973147154","6.20539869686627","51.1733750074591","508.382121472055","u","61.9062878302357","634.830895176381","629.155156272529","-0.00449034931781565","53.78854405391705","54.259747121020652","u","2.3010336683888966","51.9587134526318","0.42293536514496033","0.23245302511784077","0.19048234002711956","0.23245302511784077","u","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","GREEN LAKE 5 ROCK GLACIER",1998,1998-09-17,"1000","6.69","121.1","68.29","NP","NP","0.204173794466953","1.2351231910442859","755.807210578842","157.5353734781178","38.799815570383387","54.293898010332","8.85679632189095","67.4462824712241","878.124037076209","u","68.1086662394075","1022.71711586932","1007.87559462319","-0.00730896017180023","68.374420812896687","69.35252414915719","u","0.671118486888858","68.6814056622683","0.061341770517207975","0.032285142377477885","0.02905662813973009","0.032285142377477885","u","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
