"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","SADDLE STREAM 007",1994,1994-05-17,"DNS","6.04","16.9","QNS","NP","NP","0.91","0.79","63.94","17.69","13.35","12.94","7.02","1.11","11.76","NP","7.37","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM 007",1994,1994-05-18,"DNS","6.22","9.7","69.81","NP","NP","0.6","0.36","62.6","17.11","12.35","11.48","4.46","1.27","11.53","NP","5.74","104.51","87.07","0.09","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM 007",1994,1994-05-19,"DNS","6.07","9.64","69.50","NP","NP","0.85","u","56.73","15.3","11.61","10.92","4.01","1.08","10.51","NP","7.96","95.41","85.10","0.06","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM 007",1994,1994-05-20,"DNS","5.98","10.12","56.16","NP","NP","1.05","0.50","60.65","16.45","11","9.18","3.86","1.31","11.49","NP","8.34","98.83","72.82","0.15","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM 007",1994,1994-05-23,"DNS","6.21","10.07","64.48","NP","NP","0.62","1.07","62.6","16.04","11","8.57","3.05","1.18","11.24","NP","7.70","99.91","79.95","0.11","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM 007",1994,1994-05-24,"DNS","6.01","10.63","68.20","NP","NP","0.98","0.36","65.23","16.12","12.88","8.95","12.61","1.16","11.72","NP","9.51","104.52","93.69","0.05","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM 007",1994,1994-05-25,"DNS","6.05","10.49","66.28","NP","NP","0.89","0.93","63.94","15.55","12.4","8.31","4.03","1.06","11.47","NP","10.37","102.02","82.85","0.10","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM 007",1994,1994-05-27,"DNS","6.07","12.48","65.99","NP","NP","0.85","0.43","76.23","18.59","24.05","7.47","3.1","2.53","19.36","NP","QNS","127.62","90.99","0.17","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM 007",1994,1994-06-06,"DNS","6.23","11.38","67.28","NP","NP","0.59","0.43","67.55","14.73","23.73","3.32","2.68","u","14.68","NP","24.71","110.34","84.64","0.13","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
"NWT","SADDLE STREAM 007",1995,1995-06-27,"0845","5.8","7.14","62.27","NP","NP","1.58","u","43.2","11.93","2.7","5.4","2.12","3.48","5.98","NP","4.88","64.80","73.84","-0.07","7.99","6.40","1.58","2.92","3.48","0.04","u","0.04","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NaN
