"SITECODE","SDATE","FIELDNAME","VALUE"
"T05",01-JAN-96,"CALCIUM",4.438
"T05",01-JAN-96,"SODIUM",4.079
"T05",01-JAN-96,"CHLORIDE",12.027
"T05",01-JAN-96,"CHLORIDE",12.669
"T05",01-JAN-96,"MAGNESIUM",2.413
"T05",01-JAN-96,"MAGNESIUM",2.492
"T05",01-JAN-96,"NH4N",0
"T05",01-JAN-96,"NO3N",0.779
"T05",01-JAN-96,"NO3N",0.782
"T05",01-JAN-96,"NO3N",0.842
"T05",01-JAN-96,"PO4P",0.105
"T05",01-JAN-96,"PO4P",0.133
"T05",01-JAN-96,"PO4P",0.137
"T05",01-JAN-96,"POTASSIUM",3.68
"T05",01-JAN-96,"POTASSIUM",3.753
"T05",01-JAN-96,"SO4S",1.731
"T05",01-JAN-96,"SO4S",1.8
"T05",01-JAN-96,"SO4S",2.26
"T05",01-JAN-96,"SODIUM",4.022
"T05",01-JAN-96,"CALCIUM",4.676
"T05",03-JAN-96,"CALCIUM",4.128
"T03",03-JAN-96,"SODIUM",3.3
"T05",03-JAN-96,"MAGNESIUM",2.344
"T05",03-JAN-96,"NH4N",0
"T05",03-JAN-96,"NO3N",0.759
"T05",03-JAN-96,"PO4P",0.133
"T05",03-JAN-96,"POTASSIUM",3.697
"T05",03-JAN-96,"SO4S",1.743
"T05",03-JAN-96,"SODIUM",4.048
"T03",03-JAN-96,"ALUMINIUM",0.23
"T03",03-JAN-96,"CALCIUM",4.66
"T03",03-JAN-96,"CHLORIDE",12.26
"T03",03-JAN-96,"CONDY",89.5
"T03",03-JAN-96,"IRON",0.54
"T03",03-JAN-96,"MAGNESIUM",2.07
"T03",03-JAN-96,"NH4N",0.78
"T03",03-JAN-96,"NO3N",0.723
"T03",03-JAN-96,"PH",3.88
"T03",03-JAN-96,"PHAQCS",3.72
"T03",03-JAN-96,"PHAQCU",4.04
"T03",03-JAN-96,"PO4P",0.119
"T03",03-JAN-96,"POTASSIUM",3.82
"T03",03-JAN-96,"SO4S",1.88
"T05",03-JAN-96,"CHLORIDE",11.679
"T04",04-JAN-96,"ALUMINIUM",0.36
"T04",04-JAN-96,"CALCIUM",9.7
"T04",04-JAN-96,"CHLORIDE",10.8
"T04",04-JAN-96,"DOC",1.1
"T04",04-JAN-96,"IRON",0.38
"T04",04-JAN-96,"MAGNESIUM",2.2
"T04",04-JAN-96,"TOTALP",0.106
"T04",04-JAN-96,"NO3N",0.742
"T04",04-JAN-96,"PO4P",0.091
"T04",04-JAN-96,"POTASSIUM",3.68
"T04",04-JAN-96,"SO4S",1.67
"T04",04-JAN-96,"SODIUM",3.71
"T04",04-JAN-96,"TOTALN",0.83
"T04",04-JAN-96,"NH4N",0.78
"T07",08-JAN-96,"Q1",511
"T02",08-JAN-96,"SODIUM",3.913
"T07",08-JAN-96,"SODIUM",3.936
"T07",08-JAN-96,"ALUMINIUM",0.396
"T07",08-JAN-96,"CALCIUM",4.907
"T07",08-JAN-96,"CONDY",88
"T07",08-JAN-96,"IRON",0.382
"T07",08-JAN-96,"MAGNESIUM",2.43
"T07",08-JAN-96,"NH4N",0.76
"T07",08-JAN-96,"PH",4.05
"T07",08-JAN-96,"PO4P",0.115
"T07",08-JAN-96,"POTASSIUM",3.861
"T02",08-JAN-96,"ALKY",0
"T02",08-JAN-96,"ALUMINIUM",0.411
"T02",08-JAN-96,"CALCIUM",4.935
"T02",08-JAN-96,"CHLORIDE",10.1
"T02",08-JAN-96,"CONDY",90
"T02",08-JAN-96,"DOC",6.3
"T02",08-JAN-96,"IRON",0.385
"T02",08-JAN-96,"MAGNESIUM",2.44
"T02",08-JAN-96,"NH4N",0.778
"T02",08-JAN-96,"NO3N",0.696
"T02",08-JAN-96,"PH",4.13
"T02",08-JAN-96,"PO4P",0.111
"T02",08-JAN-96,"POTASSIUM",3.844
"T02",08-JAN-96,"Q1",511
"T02",08-JAN-96,"SO4S",1.7
"T07",08-JAN-96,"Q2",999
"T08",11-JAN-96,"CHLORIDE",10
"T08",11-JAN-96,"CONDY",98.1
"T08",11-JAN-96,"DOC",2.6
"T08",11-JAN-96,"NH4N",0.73
"T08",11-JAN-96,"NO3N",0.702
"T08",11-JAN-96,"TOTALP",0.092
"T08",11-JAN-96,"PHAQCS",4.06
"T08",11-JAN-96,"PHAQCU",4.09
"T08",11-JAN-96,"PO4P",0.084
"T08",11-JAN-96,"SO4S",1.68
"T08",11-JAN-96,"TOTALN",0.67
"T08",11-JAN-96,"PH",4.2
"T03",17-JAN-96,"PHAQCU",3.91
"T03",17-JAN-96,"PO4P",0.121
"T03",17-JAN-96,"POTASSIUM",3.84
"T03",17-JAN-96,"SO4S",1.83
"T03",17-JAN-96,"SODIUM",3.26
"T01",17-JAN-96,"ALUMINIUM",0.288
"T01",17-JAN-96,"CALCIUM",5.17
"T01",17-JAN-96,"CHLORIDE",7.9
"T01",17-JAN-96,"CONDY",87
"T01",17-JAN-96,"DOC",8.5
"T01",17-JAN-96,"IRON",0.114
"T01",17-JAN-96,"MAGNESIUM",2.45
"T01",17-JAN-96,"NH4N",0.875
"T01",17-JAN-96,"NO3N",0.72
"T01",17-JAN-96,"PH",3.9
"T01",17-JAN-96,"PO4P",0.133
"T01",17-JAN-96,"POTASSIUM",4.07
"T01",17-JAN-96,"SO4S",1.1
"T01",17-JAN-96,"SODIUM",4.59
"T03",17-JAN-96,"ALKY",90.9
"T03",17-JAN-96,"ALUMINIUM",0.231
"T03",17-JAN-96,"CALCIUM",4.59
"T03",17-JAN-96,"CHLORIDE",12.53
"T03",17-JAN-96,"IRON",0.517
"T03",17-JAN-96,"MAGNESIUM",2.08
"T03",17-JAN-96,"NH4N",0.84
"T03",17-JAN-96,"NO3N",0.734
"T03",17-JAN-96,"PH",3.74
"T03",17-JAN-96,"PHAQCS",3.57
"T04",18-JAN-96,"SODIUM",3.91
"T04",18-JAN-96,"SO4S",1.59
"T04",18-JAN-96,"TOTALP",0.097
"T04",18-JAN-96,"ALUMINIUM",0.42
"T04",18-JAN-96,"CALCIUM",4.61
"T04",18-JAN-96,"CHLORIDE",10.1
"T04",18-JAN-96,"COLOUR",0
"T04",18-JAN-96,"DOC",6.5
"T04",18-JAN-96,"IRON",0.33
"T04",18-JAN-96,"MAGNESIUM",2.26
"T04",18-JAN-96,"NH4N",0.74
"T04",18-JAN-96,"NO3N",0.7
"T04",18-JAN-96,"PO4P",0.093
"T04",18-JAN-96,"POTASSIUM",3.69
"T04",18-JAN-96,"TOTALN",0.76
"T08",25-JAN-96,"PO4P",0.077
"T08",25-JAN-96,"POTASSIUM",3.81
"T08",25-JAN-96,"PHAQCU",4.08
"T08",25-JAN-96,"SODIUM",3.67
"T08",25-JAN-96,"TOTALN",0.75
"T08",25-JAN-96,"TOTALP",0.097
"T08",25-JAN-96,"ALUMINIUM",0.35
"T08",25-JAN-96,"CALCIUM",4.57
"T08",25-JAN-96,"CHLORIDE",9.3
"T08",25-JAN-96,"CONDY",95.1
"T08",25-JAN-96,"DOC",1.4
"T08",25-JAN-96,"IRON",0.34
"T08",25-JAN-96,"MAGNESIUM",2.11
"T08",25-JAN-96,"NH4N",0.72
"T08",25-JAN-96,"NO3N",0.658
"T08",25-JAN-96,"SO4S",1.64
"T08",25-JAN-96,"PHAQCS",4.01
"T08",25-JAN-96,"PH",4.19
"T01",31-JAN-96,"NH4N",0.857
"T01",31-JAN-96,"MAGNESIUM",2.49
"T01",31-JAN-96,"IRON",0.11
"T01",31-JAN-96,"DOC",7.3
"T01",31-JAN-96,"CONDY",87
"T01",31-JAN-96,"CHLORIDE",7.9
"T01",31-JAN-96,"CALCIUM",5.4
"T01",31-JAN-96,"ALUMINIUM",0.315
"T01",31-JAN-96,"TOTALN",0.55
"T01",31-JAN-96,"SODIUM",4.04
"T01",31-JAN-96,"SO4S",1.8
"T01",31-JAN-96,"POTASSIUM",3.9
"T01",31-JAN-96,"PO4P",0.124
"T01",31-JAN-96,"PH",4.1
"T03",31-JAN-96,"SODIUM",3.25
"T01",31-JAN-96,"NO3N",0.78
"T03",31-JAN-96,"POTASSIUM",3.8
"T03",31-JAN-96,"PO4P",0.122
"T03",31-JAN-96,"PHAQCU",3.97
"T03",31-JAN-96,"PHAQCS",3.5
"T03",31-JAN-96,"PH",3.74
"T03",31-JAN-96,"NO3N",0.708
"T03",31-JAN-96,"NH4N",0.846
"T03",31-JAN-96,"MAGNESIUM",2.05
"T03",31-JAN-96,"IRON",0.526
"T03",31-JAN-96,"CHLORIDE",12.48
"T03",31-JAN-96,"CALCIUM",4.61
"T03",31-JAN-96,"ALUMINIUM",0.286
"T03",31-JAN-96,"ALKY",95
"T03",31-JAN-96,"SO4S",1.83
"T04",01-FEB-96,"ALUMINIUM",0.38
"T04",01-FEB-96,"TOTALP",0.099
"T04",01-FEB-96,"CHLORIDE",10.6
