"SITECODE","FROMDATE","FROMHOUR","FROMMINS","SDATE","SHOUR","SMINS","LAB_NID","PHDATE","PHHOUR","PHMINS","FILTDATE","COMPDATE"
"T04",,,,23-DEC-15,,,"",24-DEC-15,9,0,24-DEC-15,04-MAR-16
"T06",,,,14-DEC-15,,,"",,,,,14-DEC-15
"T04",,,,09-DEC-15,,,"",15-DEC-15,10,55,15-DEC-15,22-FEB-16
"T04",,,,25-NOV-15,,,"",26-NOV-15,11,20,26-NOV-15,04-FEB-16
"T06",,,,24-NOV-15,,,"",,,,,24-NOV-15
"T04",,,,11-NOV-15,,,"",12-NOV-15,12,30,12-NOV-15,25-JAN-16
"T06",,,,03-NOV-15,,,"",,,,,03-NOV-15
"T04",,,,28-OCT-15,,,"",29-OCT-15,11,0,29-OCT-15,21-DEC-15
"T04",,,,14-OCT-15,,,"",15-OCT-15,12,0,15-OCT-15,17-DEC-15
"T06",,,,13-OCT-15,,,"",,,,,13-OCT-15
"T04",,,,16-SEP-15,,,"",17-SEP-15,11,15,17-SEP-15,04-NOV-15
"T06",,,,16-SEP-15,,,"",,,,,16-SEP-15
"T04",,,,02-SEP-15,,,"",03-SEP-15,11,30,03-SEP-15,02-OCT-15
"T04",,,,19-AUG-15,,,"",25-AUG-15,10,0,25-AUG-15,02-OCT-15
"T06",,,,13-AUG-15,,,"",,,,,13-AUG-15
"T04",,,,05-AUG-15,,,"",07-AUG-15,11,30,07-AUG-15,17-SEP-15
"T04",,,,22-JUL-15,,,"",23-JUL-15,13,45,23-JUL-15,11-SEP-15
"T04",,,,08-JUL-15,,,"",09-JUL-15,11,0,09-JUL-15,08-SEP-15
"T06",,,,07-JUL-15,,,"",,,,,07-JUL-15
"T04",,,,24-JUN-15,,,"",25-JUN-15,7,45,25-JUN-15,02-SEP-15
"T06",,,,15-JUN-15,,,"",,,,,15-JUN-15
"T04",,,,10-JUN-15,,,"",11-JUN-15,11,0,11-JUN-15,27-AUG-15
"T04",,,,27-MAY-15,,,"",28-MAY-15,11,30,28-MAY-15,20-AUG-15
"T04",,,,13-MAY-15,,,"",14-MAY-15,11,30,14-MAY-15,25-AUG-15
"T06",,,,13-MAY-15,,,"",,,,,13-MAY-15
"T04",,,,29-APR-15,,,"",30-APR-15,11,0,30-APR-15,28-JUL-15
"T04",,,,15-APR-15,,,"",16-APR-15,11,0,16-APR-15,27-JUL-15
"T06",,,,14-APR-15,,,"",,,,,14-APR-15
"T04",,,,31-MAR-15,,,"",01-APR-15,11,0,01-APR-15,13-JUL-15
"T06",,,,25-MAR-15,,,"",,,,,25-MAR-15
"T04",,,,18-MAR-15,,,"",19-MAR-15,12,30,19-MAR-15,13-JUL-15
"T04",,,,04-MAR-15,,,"",09-MAR-15,11,0,09-MAR-15,11-JUN-15
"T04",,,,18-FEB-15,,,"",19-FEB-15,11,20,19-FEB-15,29-MAY-15
"T06",,,,10-FEB-15,,,"",,,,,10-FEB-15
"T04",,,,04-FEB-15,,,"",06-FEB-15,11,40,06-FEB-15,28-APR-15
"T04",,,,22-JAN-15,,,"",23-JAN-15,11,30,23-JAN-15,12-MAR-15
"T06",,,,13-JAN-15,,,"",,,,,13-JAN-15
"T04",,,,07-JAN-15,,,"",09-JAN-15,11,30,09-JAN-15,12-MAR-15
"T09",,,,05-JAN-15,,,"",05-JAN-15,14,0,05-JAN-15,02-MAR-15
"T05",,,,31-DEC-14,,,"",31-DEC-14,,,31-DEC-14,
"T04",,,,29-DEC-14,,,"",05-JAN-15,14,0,05-JAN-15,15-APR-15
"T05",,,,24-DEC-14,,,"",24-DEC-14,,,24-DEC-14,
"T04",,,,23-DEC-14,,,"",05-JAN-15,12,0,05-JAN-15,15-APR-15
"T05",,,,17-DEC-14,,,"",17-DEC-14,,,17-DEC-14,
"T05",,,,10-DEC-14,,,"",10-DEC-14,,,10-DEC-14,
"T06",,,,10-DEC-14,,,"",,,,,10-DEC-14
"T04",,,,10-DEC-14,,,"",11-DEC-14,13,40,11-DEC-14,11-MAR-15
"T05",,,,03-DEC-14,,,"",03-DEC-14,,,03-DEC-14,
"T05",,,,26-NOV-14,,,"",26-NOV-14,,,26-NOV-14,
"T09",,,,26-NOV-14,,,"",27-NOV-14,15,55,26-NOV-14,02-MAR-15
"T04",,,,26-NOV-14,,,"",27-NOV-14,9,45,27-NOV-14,30-MAR-15
"T05",,,,19-NOV-14,,,"",19-NOV-14,,,19-NOV-14,
"T05",,,,12-NOV-14,,,"",12-NOV-14,,,12-NOV-14,
