"SITECODE","LCODE","SDATE","SHOUR","SMINS","LAB_NID","PHDATE","PHHOUR","PHMINS","FILTDATE","COMPDATE"
"T08","02",31-DEC-15,9,2,"",04-JAN-16,13,35,,
"T08","01",31-DEC-15,12,25,"",04-JAN-16,13,35,,
"T08","04",31-DEC-15,9,35,"",04-JAN-16,13,35,,
"T08","03",31-DEC-15,11,35,"",,,,,
"T02","01",30-DEC-15,14,55,"",11-JAN-16,10,12,11-JAN-16,22-JAN-16
"T04","01",29-DEC-15,10,45,"",04-JAN-16,11,20,04-JAN-16,16-MAR-16
"T04","03",29-DEC-15,11,40,"",04-JAN-16,11,20,04-JAN-16,16-MAR-16
"T07","02",29-DEC-15,14,10,"",15-JAN-16,12,49,15-JAN-16,28-JAN-16
"T07","01",29-DEC-15,15,20,"",15-JAN-16,12,45,15-JAN-16,28-JAN-16
"T04","02",29-DEC-15,13,56,"",04-JAN-16,11,20,04-JAN-16,16-MAR-16
"T08","03",23-DEC-15,12,20,"",,,,,
"T08","04",23-DEC-15,10,35,"",23-DEC-15,19,10,,
"T02","01",23-DEC-15,,,"",,,,,
"T04","01",23-DEC-15,12,30,"",24-DEC-15,9,0,24-DEC-15,04-MAR-16
"T04","02",23-DEC-15,12,13,"",24-DEC-15,9,0,24-DEC-15,04-MAR-16
"T05","01",23-DEC-15,10,10,"",23-DEC-15,,,23-DEC-15,
"T04","03",23-DEC-15,13,0,"",24-DEC-15,9,0,24-DEC-15,04-MAR-16
"T05","03",23-DEC-15,9,27,"",23-DEC-15,,,23-DEC-15,
"T05","02",23-DEC-15,9,25,"",23-DEC-15,,,23-DEC-15,
"T06","01",23-DEC-15,10,33,"",,,,,
"T07","02",23-DEC-15,9,20,"",15-JAN-16,11,57,15-JAN-16,28-JAN-16
"T07","01",23-DEC-15,11,10,"",15-JAN-16,11,53,15-JAN-16,28-JAN-16
"T08","01",23-DEC-15,13,55,"",23-DEC-15,16,10,,
"T08","02",23-DEC-15,10,0,"",23-DEC-15,17,10,,
"T08","02",16-DEC-15,9,56,"",16-DEC-15,14,51,,
"T08","03",16-DEC-15,11,25,"",,,,,
"T04","01",16-DEC-15,11,30,"",17-DEC-15,11,50,17-DEC-15,04-MAR-16
"T02","01",16-DEC-15,14,20,"",11-JAN-16,10,4,11-JAN-16,22-JAN-16
"T08","01",16-DEC-15,12,15,"",16-DEC-15,14,51,,
"T04","03",16-DEC-15,11,48,"",17-DEC-15,11,50,17-DEC-15,04-MAR-16
"T06","01",16-DEC-15,9,41,"",,,,,
"T04","02",16-DEC-15,12,0,"",17-DEC-15,11,50,17-DEC-15,04-MAR-16
"T08","04",16-DEC-15,10,30,"",16-DEC-15,14,51,,
"T07","01",15-DEC-15,11,10,"",17-DEC-15,12,33,17-DEC-15,14-JAN-16
"T07","02",15-DEC-15,9,50,"",17-DEC-15,12,37,17-DEC-15,14-JAN-16
"T08","01",10-DEC-15,12,55,"",,,,,
"T08","02",10-DEC-15,10,37,"",11-DEC-15,10,46,,
"T08","03",10-DEC-15,12,15,"",,,,,
"T08","04",10-DEC-15,11,6,"",11-DEC-15,10,46,,
"T04","03",09-DEC-15,13,5,"",17-DEC-15,11,50,17-DEC-15,22-FEB-16
"T05","02",09-DEC-15,9,42,"",09-DEC-15,,,09-DEC-15,
"T07","01",09-DEC-15,10,55,"",17-DEC-15,11,40,17-DEC-15,14-JAN-16
"T04","01",09-DEC-15,12,0,"",15-DEC-15,10,55,15-DEC-15,22-FEB-16
"T05","03",09-DEC-15,9,44,"",09-DEC-15,,,09-DEC-15,
"T02","01",09-DEC-15,10,25,"",10-DEC-15,9,54,10-DEC-15,22-JAN-16
"T06","01",09-DEC-15,10,35,"",,,,,
"T07","02",09-DEC-15,9,10,"",17-DEC-15,11,44,17-DEC-15,14-JAN-16
"T04","02",09-DEC-15,12,25,"",15-DEC-15,10,55,15-DEC-15,22-FEB-16
"T05","01",09-DEC-15,9,50,"",09-DEC-15,,,09-DEC-15,
