Region,Lake code,Latitude,Longitude,Notes
Russia,NEER1,67o 31.756 N,62o 49.284 E,
Russia,NEER2,67o 33.183 N,62o 46.038 E,
Russia,NEER3,67o 30.9022 N,62o 44.623 E,
Russia,NEER4,67o 33.984 N,62o 40.877 E,
,,,,
Alaska,Jan Lake,63o 33. 888 N,143o 55.022 W,
Alaska,Rup-13,67o 04.19 N,154o 14.40 W,
Alaska,ACE-13-W3,64o 51.389 N,147o 55.586 W,
Alaska,Lake3-13,67o 04.33 N,154o 13.53 W,
,,,,
Greenland,AT1,66o 58.036 N,53o 24.239 W,
Greenland,AT2,66o 58.395 N,53o 23.616 W,
Greenland,AT6,66o 57.56 N,53o 24.14 W,
,,,,
Norway,Nor1,69o 19.813 N,20o 71.188 E,Camping Lake
Norway,Nor2,69o 19.801 N ,20o 71.222 E,
Norway,Nor3,69o19.050 N,20o 73.064 E,Dalmuttlado
