"VMV_Code","National_Variable_Code","Variable_Common_Name","Variable_Common_Name_fr","variable_type","Variable_type_fr","measurement_unit","description","Description_fr","National_Method_Code","Method_Title","Method_Title_fr"
77,635,"Nitrogen total","Azote total","Nitrogen","Azote","mg/L","milligram per liter","milligramme par litre",23,"Total nitrogen measurement by persulfate oxidation method","Azote total par la méthode d'oxydation au persulfate"
78,365,"Alkalinity total HCO3","Alcalinité totale HCO3","Physical","Physique","mg/L","milligram per liter","milligramme par litre",30,"Total alkalinity using titration with strong acid method","Alcalinité totale par titration avec un acide fort"
79,4541,"Chlorophyll corrected","Chlorophylle corrigée","Chlorophyll","Chlorophylle","µg/L","microgram per liter","microgramme par litre",35,"Chlorophyll A - colourimetric method","Chlorophylle A - méthode colorimétrique"
80,414,"Chlorophyll A","Chlorophylle A","Chlorophyll","Chlorophylle","µg/L","microgram per liter","microgramme par litre",41,"Chlorophyll A - colourimetric method","Chlorophylle A - méthode colorimétrique"
157,864,"Turbidity","Turbidité","Physical","Physique","NTU","nephelometric turbidity unit","unité de turbidité néphélométrique",188,"Turbidity in water","Turbidité dans l'eau"
160,1073,"Solids total","Solides totaux","Physical","Physique","mg/L","milligram per liter","milligramme par litre",189,"Solids in water","Solides dans l'eau"
201,837,"Total dissolved solids (filterable residue) (calcd.)","Solides dissous totaux (résidus filtrables) (calc.)","Physical","Physique","mg/L","milligram per liter","milligramme par litre",8,"Calculated value","Valeur calculée"
202,837,"Total dissolved solids (filterable residue) (calcd.)","Solides dissous totaux (résidus filtrables) (calc.)","Physical","Physique","mg/L","milligram per liter","milligramme par litre",9,"Calculated value","Valeur calculée"
210,762,"Saturation index (calcd.)","Indice de saturation (calc.)","Physical","Physique","pH","pH unit","unité pH",15,"Calculated value","Valeur calculée"
211,824,"Stability index (calcd.)","Indice de stabilité (clac.)","Physical","Physique","pH","pH unit","unité pH",16,"Calculated value","Valeur calculée"
444,612,"Nitrogen nitrite","Azote nitrites","Nitrogen","Azote","mg/L","milligram per liter","milligramme par litre",617,"Ions by ion exchange chromatography; equivalent to BC MELP EMS CODE X044","Ions par chromatographie d'échange d'ions - méthode équivalente à la BC MELP EMS CODE X044"
725,166,"Azinphos ethyl","Azinphos-éthyl","Insecticides","Insecticides","ng/L","nanogram per liter","nanogramme par litre",303,"Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS. LEEQ Method No. Q0515E0.","Analyse des pesticides organophosphorés et des triazines dans les eaux de surface à l'aide de CG-SM/SM. LEEQ Méthode No. Q0515E0."
726,302,"Azinphos-methyl","Azinphos-méthyl","Insecticides","Insecticides","ng/L","nanogram per liter","nanogramme par litre",303,"Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS. LEEQ Method No. Q0515E0.","Analyse des pesticides organophosphorés et des triazines dans les eaux de surface à l'aide de CG-SM/SM. LEEQ Méthode No. Q0515E0."
