"","uid","domainID","siteID","namedLocation","decimalLatitude","decimalLongitude","coordinateUncertainty","additionalCoordUncertainty","elevation","elevationUncertainty","geodeticDatum","altLocation","altLatitude","altLongitude","altCoordinateUncertainty","altGeodeticDatum","collectDate","aquaticSiteType","samplingImpractical","waterChemSamplesCollected","parentSampleID","eventID","samplerType","dissolvedOxygen","dissolvedOxygenSaturation","specificConductance","waterTemp","swcSamplingProtocolVersion","lowerSegmentDepth","upperSegmentDepth","maxDepth","lakeSampleDepth1","lakeSampleDepth2","aCollectedBy","bCollectedBy","remarks","fieldDataQF"
"1","b8333cbc-4ef1-455c-82a2-1778268cac41","D01","HOPB","HOPB.AOS.S2",42.471741,-72.330664,1,10,213.6,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-08T14:03Z","stream",NA,"Y","HOPB.SS.20200908","HOPB.20200908","Grab",8.2,86,132,17.2,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-4647-8125","0000-0003-4958-6412",NA,NA
"2","56e86c95-8054-46d7-b503-05b07404bdf6","D01","HOPB","HOPB.AOS.S2",42.471741,-72.330664,1,10,213.6,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-22T13:05Z","stream",NA,"Y","HOPB.SS.20200922","HOPB.20200922","Grab",10.42,87.6,136.2,6.9,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-4647-8125","0000-0003-4958-6412",NA,NA
"3","9bb2fafa-f5ef-4e2a-9ece-03a8760dcdbb","D02","LEWI","LEWI.AOS.S2",39.094218,-77.981434,1,10,126.8,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-16T13:30Z","stream",NA,"Y","LEWI.SS.20200916","LEWI.20200916","Grab",10.09,94.4,594,12.3,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-7904-875X","0000-0001-7904-875X",NA,NA
"4","61ecbf5b-e5c1-4742-a8d6-eebe783343ab","D02","LEWI","LEWI.AOS.S2",39.094218,-77.981434,1,10,126.8,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-23T13:25Z","stream",NA,"Y","LEWI.SS.20200923","LEWI.20200923","Grab",10.04,92.2,600,11.5,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-7904-875X","0000-0001-7904-875X",NA,NA
"5","358f3c07-45f7-4a87-b425-ee4077016cfa","D02","POSE","POSE.AOS.S2",38.895193,-78.147862,1,10,271.9,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-08T13:08Z","stream",NA,"Y","POSE.SS.20200908","POSE.20200908","Grab",8.21,86.4,149.8,17.8,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-7904-875X","0000-0001-7904-875X",NA,NA
"6","0cceea70-e13d-4d91-a443-8635aefd08e8","D02","POSE","POSE.AOS.S2",38.895193,-78.147862,1,10,271.9,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-22T13:00Z","stream",NA,"Y","POSE.SS.20200922","POSE.20200922","Grab",10.18,89.2,142.6,9.5,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-7904-875X","0000-0001-7904-875X",NA,NA
"7","71a96ea9-8d1d-4443-aa17-9babebf3d349","D03","BARC","BARC.AOS.buoy.c0",29.675982,-82.008414,10,10,27,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-08T16:00Z","lake","logistical",NA,"BARC.C0.20200908","BARC.20200908",NA,NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-6607-7236","0000-0001-6607-7236","COVID19",NA
"8","1d753e90-b7ca-457f-95c5-975db4c85590","D03","FLNT","FLNT.AOS.buoy.c0",31.184609,-84.438438,10,10,30,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-14T04:00Z","river","logistical",NA,"FLNT.C0.20200914","FLNT.20200914",NA,NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-6607-7236",NA,"COVID19",NA
"9","8c1144c1-c48b-48b3-929c-59f0b5ae7551","D03","SUGG","SUGG.AOS.buoy.c0",29.688149,-82.017318,10,10,30,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-08T04:00Z","lake","logistical",NA,"SUGG.C0.20200908","SUGG.20200908",NA,NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-6607-7236","0000-0001-6607-7236","COVID19",NA
"10","1f5fbdab-45a9-416e-92ae-63adce7ab8de","D04","CUPE","CUPE.AOS.S2",18.110265,-66.986411,1.2,10,149.9,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-08T12:46Z","stream",NA,"Y","CUPE.SS.20200908","CUPE.20200908","Grab",7.95,95.2,272.6,23.5,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-9776-3076","0000-0003-1220-2331",NA,NA
"11","8ec97a86-4efe-4554-b7ce-a490362f0128","D04","CUPE","CUPE.AOS.S2",18.110265,-66.986411,1.2,10,149.9,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-14T12:35Z","stream",NA,"Y","CUPE.SS.20200914","CUPE.20200914","Grab",8.2,98.7,270.2,24,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-9776-3076","0000-0003-1220-2331",NA,NA
"12","dab8971f-278a-407b-9ac7-0efe8beb0e82","D04","CUPE","CUPE.AOS.S2",18.110265,-66.986411,1.2,10,149.9,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-23T12:40Z","stream",NA,"Y","CUPE.SS.20200923","CUPE.20200923","Grab",7.85,95.3,289.3,24.3,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-1220-2331","0000-0002-4299-7043",NA,NA
"13","a5b0ff45-ac87-4a4c-a221-ee6c8576add7","D04","CUPE","CUPE.AOS.S2",18.110265,-66.986411,1.2,10,149.9,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-28T12:13Z","stream",NA,"Y","CUPE.SS.20200928","CUPE.20200928","Grab",8.28,99.3,286,23.7,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-1220-2331","0000-0002-4299-7043",NA,NA
"14","5acbf42d-fef2-4461-890b-007aa8090982","D04","GUIL","GUIL.AOS.S2",18.174097,-66.799717,1,10,546.3,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T12:01Z","stream",NA,"Y","GUIL.SS.20200901","GUIL.20200901","Grab",7.9,96.8,152.8,22.6,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-9776-3076","0000-0003-1220-2331",NA,NA
"15","e1a56190-0050-4459-a8b7-8002262a8a81","D04","GUIL","GUIL.AOS.S2",18.174097,-66.799717,1,10,546.3,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-09T12:37Z","stream",NA,"Y","GUIL.SS.20200909","GUIL.20200909","Grab",7.8,94.5,213.6,21.9,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-9776-3076","0000-0003-1220-2331",NA,NA
"16","08aae79b-2b8c-41ee-b2c2-346a3f24ff74","D04","GUIL","GUIL.AOS.S2",18.174097,-66.799717,1,10,546.3,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-15T12:11Z","stream",NA,"Y","GUIL.SS.20200915","GUIL.20200915","Grab",7.82,93.3,209.1,21.8,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-9776-3076","0000-0003-1220-2331",NA,NA
"17","506a5c43-686b-48b2-9796-a5b396658f0f","D04","GUIL","GUIL.AOS.S2",18.174097,-66.799717,1,10,546.3,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-21T12:34Z","stream",NA,"Y","GUIL.SS.20200921","GUIL.20200921","Grab",7.61,95.4,222.6,21.4,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-1220-2331","0000-0002-4299-7043",NA,NA
"18","a14c080d-43c8-4aad-a78c-1b2df97eaa0e","D05","CRAM","CRAM.AOS.buoy.c1",46.210592,-89.476861,10,10,509,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T17:30Z","lake",NA,"Y","CRAM.C1.20200901","CRAM.20200901","Kemmerer",8.66,95.9,10.1,20.5,"NEON.DOC.002905vG",4,0,17.5,0.5,NA,"0000-0003-1075-1249","0000-0001-8490-5154",NA,NA
