"","siteID","domainID","namedLocation","DateTime","analyte","analyteConcentration","analyteUnits","sampleCondition"
"1","HOPB","D01","HOPB.AOS.S2",2016-10-18 13:50:00,"NO3+NO2 - N",0.014,"milligramsPerLiter","GOOD"
"2","HOPB","D01","HOPB.AOS.S2",2016-10-18 13:50:00,"TP",0.003,"milligramsPerLiter","GOOD"
"3","HOPB","D01","HOPB.AOS.S2",2016-10-18 13:50:00,"DOC",2.105,"milligramsPerLiter","GOOD"
"4","HOPB","D01","HOPB.AOS.S2",2016-11-10 14:50:00,"DOC",2.998,"milligramsPerLiter","GOOD"
"5","HOPB","D01","HOPB.AOS.S2",2016-11-10 14:50:00,"TP",0.018,"milligramsPerLiter","GOOD"
"6","HOPB","D01","HOPB.AOS.S2",2016-11-10 14:50:00,"NO3+NO2 - N",0.049,"milligramsPerLiter","GOOD"
"7","HOPB","D01","HOPB.AOS.S2",2016-11-17 14:40:00,"DOC",4.333,"milligramsPerLiter","GOOD"
"8","HOPB","D01","HOPB.AOS.S2",2016-11-17 14:40:00,"TP",0.005,"milligramsPerLiter","GOOD"
"9","HOPB","D01","HOPB.AOS.S2",2016-11-17 14:40:00,"NO3+NO2 - N",0.006,"milligramsPerLiter","GOOD"
"10","HOPB","D01","HOPB.AOS.S2",2016-12-07 14:50:00,"TP",0.003,"milligramsPerLiter","GOOD"
"11","HOPB","D01","HOPB.AOS.S2",2016-12-07 14:50:00,"NO3+NO2 - N",0.031,"milligramsPerLiter","GOOD"
"12","HOPB","D01","HOPB.AOS.S2",2016-12-07 14:50:00,"DOC",2.87,"milligramsPerLiter","GOOD"
"13","HOPB","D01","HOPB.AOS.S2",2016-12-14 14:50:00,"NO3+NO2 - N",0.046,"milligramsPerLiter","GOOD"
"14","HOPB","D01","HOPB.AOS.S2",2016-12-14 14:50:00,"DOC",2.726,"milligramsPerLiter","GOOD"
"15","HOPB","D01","HOPB.AOS.S2",2017-01-17 15:30:00,"NO3+NO2 - N",0.071,"milligramsPerLiter","GOOD"
"16","HOPB","D01","HOPB.AOS.S2",2017-01-17 15:30:00,"DOC",2.77,"milligramsPerLiter","GOOD"
"17","HOPB","D01","HOPB.AOS.S2",2017-01-17 15:30:00,"TP",0.003,"milligramsPerLiter","GOOD"
"18","HOPB","D01","HOPB.AOS.S2",2017-01-25 15:02:00,"NO3+NO2 - N",0.037,"milligramsPerLiter","GOOD"
"19","HOPB","D01","HOPB.AOS.S2",2017-01-25 15:02:00,"DOC",2.327,"milligramsPerLiter","GOOD"
"20","HOPB","D01","HOPB.AOS.S2",2017-01-25 15:02:00,"TP",0.004,"milligramsPerLiter","GOOD"
"21","HOPB","D01","HOPB.AOS.S2",2017-02-14 15:40:00,"TP",0.001,"milligramsPerLiter","GOOD"
"22","HOPB","D01","HOPB.AOS.S2",2017-02-14 15:40:00,"NO3+NO2 - N",0.079,"milligramsPerLiter","GOOD"
"23","HOPB","D01","HOPB.AOS.S2",2017-02-14 15:40:00,"DOC",1.862,"milligramsPerLiter","GOOD"
"24","HOPB","D01","HOPB.AOS.S2",2017-02-21 14:55:00,"NO3+NO2 - N",0.066,"milligramsPerLiter","GOOD"
"25","HOPB","D01","HOPB.AOS.S2",2017-02-21 14:55:00,"TP",0.0184,"milligramsPerLiter","GOOD"
"26","HOPB","D01","HOPB.AOS.S2",2017-02-21 14:55:00,"DOC",2.037,"milligramsPerLiter","GOOD"
"27","HOPB","D01","HOPB.AOS.S2",2017-03-06 15:35:00,"NO3+NO2 - N",0.045,"milligramsPerLiter","GOOD"
"28","HOPB","D01","HOPB.AOS.S2",2017-03-16 14:30:00,"NO3+NO2 - N",0.085,"milligramsPerLiter","GOOD"
"29","HOPB","D01","HOPB.AOS.S2",2017-03-16 14:30:00,"DOC",1.818,"milligramsPerLiter","GOOD"
"30","HOPB","D01","HOPB.AOS.S2",2017-03-16 14:30:00,"TP",0.012,"milligramsPerLiter","GOOD"
"31","HOPB","D01","HOPB.AOS.S2",2017-03-20 13:00:00,"TP",0.008,"milligramsPerLiter","GOOD"
