"","SITE_ID","VISIT_ID","VISIT_NO","DATE_COL","TOC","DOC_PPM","NH4N_PPM","NO3_NO2","NTL_PPM","PTL_PPB","NO3N_PPM","CHLA_PPB","DIN_PPM","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","ECO_REG","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","PCT_WATER_BSN","PCT_DEVELOPED_BSN","PCT_FOREST_BSN","PCT_AGRIC_BSN","PCT_WETLAND_BSN","TSTATE_TP","TSTATE_TN","TSTATE_CHL","PTL_COND","NTL_COND","CHLA_COND","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","ECO_REG_NAME"
"1","NLA06608-0001",7468,1,"7/31/2007",0.37,0.63,0.01,0.12,0.151,6,0.131,0.24,0.141,"PROB_Lake",-114.0218399,48.97902855,"Region_8",7.59453197,"NO","WMT","NATURAL",66.2930555,1605.73,10010001,"NLA_MT-10001",31.5,0,41.9,0,0,"OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",55.6511989445515,1.07803241236525e-05,7.13928749910759e-07,9.35246662383094e-06,1.9371234273665e-07,5.24562864279767e-05,1.00663953737417e-05,"Western Mountains"
"2","NLA06608-0002",7469,1,"6/14/2007",15.9,14.02,0.019,0.005,0.695,36,0.005,3.84,0.024,"PROB_Lake",-79.98379054,33.03606404,"Region_4",60.65422715,"YES","CPL","MAN-MADE",14.43799807,4.9,3050201,"NLA_SC-10001",0,1,59.9,0.3,32.8,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",42.690489256582,4.96180481187977e-05,1.35646462483044e-06,3.56964374955379e-07,1.1622740564199e-06,0.00116736053288926,1.71342899978582e-06,"Coastal Plains"
"3","NLA06608-0002",7470,2,"7/23/2007",16.34,13.745,0.0095,0,0.488,23.5,0.0085,20.4665,0.018,"PROB_Lake",-79.98379054,33.03606404,"Region_4",60.65422715,"YES","CPL","MAN-MADE",14.43799807,4.9,3050201,"NLA_SC-10001",0,1,59.9,0.3,32.8,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",45.919884601845,3.4839722995645e-05,6.78232312415221e-07,6.06839437424145e-07,7.58706675718546e-07,0.00114446294754371,1.28507174983937e-06,"Coastal Plains"
"4","NLA06608-0002",7470,2,"7/23/2007",16.19,13.745,0.0095,0.005,0.488,23.5,0.0085,20.4665,0.018,"PROB_Lake",-79.98379054,33.03606404,"Region_4",60.65422715,"YES","CPL","MAN-MADE",14.43799807,4.9,3050201,"NLA_SC-10001",0,1,59.9,0.3,32.8,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",45.919884601845,3.4839722995645e-05,6.78232312415221e-07,6.06839437424145e-07,7.58706675718546e-07,0.00114446294754371,1.28507174983937e-06,"Coastal Plains"
"5","NLA06608-0003",7471,1,"8/29/2007",6.75,6,0.005,0.005,0.738,43,0.005,16.96,0.01,"PROB_Lake",-97.85986605,28.04774206,"Region_6",210.5049403,"YES","CPL","NATURAL",5.701736559,17.6,12110111,"NLA_TX-10010",1.4,11.3,10.3,44.1,0.4,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",37.9521806447673,5.2687941743414e-05,3.56964374955379e-07,3.56964374955379e-07,1.38827178961266e-06,0.000499583680266445,7.13928749910759e-07,"Coastal Plains"
"6","NLA06608-0003",7472,2,"9/6/2007",7.46,5.87,0.011,0.005,0.843,50,0.005,12.864,0.016,"PROB_Lake",-97.85986605,28.04774206,"Region_6",210.5049403,"YES","CPL","NATURAL",5.701736559,17.6,12110111,"NLA_TX-10010",1.4,11.3,10.3,44.1,0.4,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",37.2826177829856,6.0184193617477e-05,7.85321624901835e-07,3.56964374955379e-07,1.61426952280542e-06,0.000488759367194005,1.14228599985721e-06,"Coastal Plains"
"7","NLA06608-0004",7473,1,"7/10/2007",9.09,8,0.024,0.005,0.344,18,0.005,4.6,0.029,"PROB_Lake",-108.4045832,37.41662013,"Region_8",9.171940265,"YES","WMT","MAN-MADE",65.38630923,2213,14080202,"NLA_CO-10001",7.7,0.4,37,1.7,1.8,"MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED",42.2605131057963,2.45591489969301e-05,1.71342899978582e-06,3.56964374955379e-07,5.8113702820995e-07,0.000666111573688593,2.0703933747412e-06,"Western Mountains"
"8","NLA06608-0004",7474,2,"9/11/2007",8.49,7.86,0.017,0,0.59,45,0.0025,13.57,0.0195,"PROB_Lake",-108.4045832,37.41662013,"Region_8",9.171940265,"YES","WMT","MAN-MADE",65.38630923,2213,14080202,"NLA_CO-10001",7.7,0.4,37,1.7,1.8,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","3:MOST DISTURBED","3:MOST DISTURBED","3:MOST DISTURBED",28.992677595837,4.21217962447348e-05,1.21367887484829e-06,1.7848218747769e-07,1.45284257052487e-06,0.000654454621149043,1.39216106232598e-06,"Western Mountains"
"9","NLA06608-0004",7474,2,"9/11/2007",8.44,7.86,0.017,0.005,0.59,45,0.0025,13.57,0.0195,"PROB_Lake",-108.4045832,37.41662013,"Region_8",9.171940265,"YES","WMT","MAN-MADE",65.38630923,2213,14080202,"NLA_CO-10001",7.7,0.4,37,1.7,1.8,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","3:MOST DISTURBED","3:MOST DISTURBED","3:MOST DISTURBED",28.992677595837,4.21217962447348e-05,1.21367887484829e-06,1.7848218747769e-07,1.45284257052487e-06,0.000654454621149043,1.39216106232598e-06,"Western Mountains"
"10","NLA06608-0005",7475,1,"7/18/2007",1.79,1.45,0.005,0.005,0.085,4,0.005,1.205,0.01,"PROB_Lake",-114.8403862,43.92920926,"Region_10",15.02738514,"NO","WMT","NATURAL",19.48761255,2138,17060201,"NLA_ID-10004",5.4,0,46.6,0,2.2,"OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",46.9902507644392,6.06839437424145e-06,3.56964374955379e-07,3.56964374955379e-07,1.29141561824433e-07,0.000120732722731057,7.13928749910759e-07,"Western Mountains"
