"","VISIT_ID","NTL_PPM","PTL_PPB","NH4N_PPM","NO3N_PPM","DOC_PPM","CHLA_PPB","SITE_ID","VISIT_NO","DATE_COL","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","PCT_DEVELOPED_BSN","PCT_AGRIC_BSN","PCT_WATER_BSN","PCT_WETLAND_BSN","PCT_FOREST_BSN","ECO_REG","CHLA_COND","NTL_COND","PTL_COND","TROPHIC_STATE","DIN_PPM","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","ECO_REG_NAME","TSTATE_TP","TSTATE_TN","TSTATE_CHL"
"1",1000001,0.396,22,0.0021,0,4.78,3.944,"NLA12_MS-116",1,"6/5/2012","PROB",-89.76398489,34.0051522,"Region_4",86.11680828,"No","MAN_MADE",23.67721306,100.53,8030205,"NLA_MS-10033",4.398148,5.169753,25.925926,0.385802,48.533951,"CPL","Poor","Good","Good","Mesotrophic",0.0021,39.8035065298779,2.82715784964661e-05,1.49925037481259e-07,0,7.10278590034383e-07,0.000398001665278934,1.49925037481259e-07,"Coastal Plains","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"2",1000011,0.99,45,0.0099,0,6.95,23.04,"NLA12_MS-119",1,"6/7/2012","PROB",-90.01403557,32.9204524,"Region_4",355.5231534,"No","MAN_MADE",8.523870462,90.21,8060201,"NLA_MS-10036",0,60.039762,4.17495,0,9.74155,"CPL","Fair","Poor","Fair","Eutrophic",0.0099,48.6487302031841,7.06789462411651e-05,7.06789462411651e-07,0,1.45284257052487e-06,0.000578684429641965,7.06789462411651e-07,"Coastal Plains","EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"3",1000013,0.261,18,0.011,0.002,5.61,0.952,"NLA12_VT-101",1,"6/18/2012","PROB",-71.81189261,44.44652025,"Region_1",81.24782053,"No","NATURAL",82.15968773,312.89,1080103,"NLA_VT-10011",4.210186,0,5.206202,1.970496,84.354473,"NAP","Good","Good","Fair","Oligotrophic",0.013,32.063935815735,1.86335403726708e-05,7.85321624901835e-07,1.42785749982152e-07,5.8113702820995e-07,0.000467110741049126,9.28107374883987e-07,"Northern Appalachians","MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"4",1000014,0.445,30,0.004,0.002,6.5,7.064,"NLA12_TX-141",1,"6/18/2012","PROB",-94.35710738,31.70876097,"Region_6",24.85716519,"No","MAN_MADE",214.6028942,94.15,12020005,"NLA_TX-10120",2.92405,10.491885,5.421881,18.87994,42.69855,"CPL","Poor","Good","Good","Eutrophic",0.006,32.8010377885105,3.17698293710288e-05,2.85571499964304e-07,1.42785749982152e-07,9.6856171368325e-07,0.000541215653621982,4.28357249946455e-07,"Coastal Plains","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"5",1000015,4.065,54,3.18,0.078,0.23,1.245333333,"NLA12_TX-169",1,"6/19/2012","PROB",-94.907485,32.19966096,"Region_6",24.85716519,"No","MAN_MADE",30.07304761,124.94,12020004,"NLA_TX-10148",5.820035,10.929328,2.42725,4.331501,52.125519,"CPL","Good","Poor","Poor","Oligotrophic",3.258,166.462195518471,0.000290212036838724,0.000227029342471621,5.56864424930392e-06,1.74341108462985e-06,1.9150707743547e-05,0.000232597986720925,"Coastal Plains","EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"6",1000016,0.16,20,0.0025,0.002,3.22,1.424,"NLA12_OR-133",1,"6/20/2012","PROB",-123.2788429,43.59526826,"Region_10",13.16103073,"No","MAN_MADE",14.30226557,108.12,17100303,"NLA_OR-10087",58.343484,12.423873,13.398295,14.616322,0.974421,"WMT","Good","Good","Good","Oligotrophic",0.0045,17.6904473466124,1.14228599985721e-05,1.7848218747769e-07,1.42785749982152e-07,6.45707809122167e-07,0.000268109908409659,3.21267937459842e-07,"Western Mountains","MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"7",1000017,0.625,197,0.0098,0.002,7.12,20.22857143,"NLA12_OR-131",1,"6/21/2012","PROB",-123.3427366,44.54893671,"Region_10",44.38030524,"Yes","MAN_MADE",39.04864208,90.61,17090003,"NLA_OR-10019",24.659686,46.858639,0,12.722513,9.47644,"WMT","Fair","Poor","Poor","Eutrophic",0.0118,7.01556446169591,4.46205468694224e-05,6.99650174912544e-07,1.42785749982152e-07,6.36022191985334e-06,0.000592839300582848,8.42435924894695e-07,"Western Mountains","HYPEREUTROPHIC (> 100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
"8",1000018,0.806,88,0.012,0,4.87,26.6,"NLA12_TX-158",1,"6/24/2012","PROB",-97.56163797,26.06969798,"Region_6",44.38204899,"Yes","MAN_MADE",14.04966974,9.62,12110208,"NLA_TX-10137",15.150467,48.2532,8.359276,4.277643,2.121527,"CPL","Fair","Poor","Poor","Eutrophic",0.012,20.2535519337636,5.75426572428072e-05,8.56714499892911e-07,0,2.84111436013753e-06,0.000405495420482931,8.56714499892911e-07,"Coastal Plains","EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"9",1000019,0.895,383,0.065,0.107,7.99,3.024,"NLA12_ID-107",1,"6/25/2012","PROB",-116.1413012,43.46019017,"Region_10",42.93237433,"Yes","MAN_MADE",33.42354611,973.07,17050114,"NLA_ID-10005",1.184153,0.158544,0.026872,0.011644,0.447864,"XER","Good","Poor","Poor","Mesotrophic",0.172,5.16741200235578,6.38966231170129e-05,4.64053687441993e-06,7.63903762404512e-06,1.23653045446895e-05,0.000665278934221482,1.22795744984651e-05,"Xeric","HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","MESOTROPHIC (2-7 ug/L)"
"10",1000020,0.25,14,0.03,0.007,3.23,3.76,"NLA12_VT-102",1,"6/26/2012","PROB",-72.23382351,44.71962755,"Region_1",81.24782053,"No","NATURAL",83.35219021,396.91,1110000,"NLA_VT-10005",4.126035,18.921577,4.929116,0.885028,66.602474,"NAP","Good","Good","Good","Mesotrophic",0.037,39.4876056844027,1.7848218747769e-05,2.14178624973228e-06,4.99750124937531e-07,4.51995466385517e-07,0.000268942547876769,2.64153637466981e-06,"Northern Appalachians","MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)"
