"","VISIT_ID","SITE_ID","VISIT_NO","DATE_COL","DOC_PPM","NO3N_PPM","CHLA_PPB","NTL_PPM","NH4N_PPM","PTL_PPB","DIN_PPM","SITE_TYPE","ECO_REG","ECO_REG_NAME","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","TSTATE_TP","TSTATE_TN","TSTATE_CHL"
"1",2010177,"NLA17_NV-10018",1,"30-May-17",7.72,0.1623,5.19,1.343,0.599,92.325,0.7613,"PROB","XER","Xeric",-119.7789,39.54188,"Region_09",6.532128325,"Urban","MAN_MADE",7.933418,1353,"H16050102","NLA_NV-10109",32.1666271141355,9.58806311130149e-05,4.27643321196545e-05,1.15870636110516e-05,2.9807486738602e-06,0.000642797668609492,5.43513957307061e-05,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","MESOTROPHIC (2-7 ug/L)"
"2",2010178,"NLA17_NV-10036",1,"31-May-17",7.12,0.0196,12.16,0.9,0.027,234.695,0.0466,"PROB","XER","Xeric",-119.7898,39.4578,"Region_09",15.19126674,"Urban","MAN_MADE",2.288759,1371,"H16050102","NLA_NV-10178",8.47983692236262,6.42535874919683e-05,1.92760762475905e-06,1.39930034982509e-06,7.57721971309634e-06,0.000592839300582848,3.32690797458414e-06,"HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"3",2010179,"NLA17_ND-10011",1,"1-Jun-17",27.17,0.0507,6.14,2.75,0.014,63.3475,0.0647,"PROB","NPL","Northern Plains",-99.77111,47.17341,"Region_08",25.38016783,"Non-Urban","NATURAL",35.57998,540,"H10130103","NLA_ND-10100",95.995757928853,0.000196330406225459,9.99500249875062e-07,3.61961876204755e-06,2.04519877191832e-06,0.00226228143213988,4.61911901192261e-06,"EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","MESOTROPHIC (2-7 ug/L)"
"4",2010180,"NLA17_NV-10242",1,"1-Jun-17",62.55,1.0637,0.6,2.323,0.086,700.47,1.1497,"PROB","XER","Xeric",-118.7144,38.69493,"Region_09",5.397955312,"Non-Urban","NATURAL",14378.43,1206,"H16050304","NLA_NV-10066",7.33345275068537,0.000165845648604269,6.13978724923253e-06,7.59406011280074e-05,2.26149474527902e-05,0.00520815986677768,8.208038837724e-05,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"5",2010181,"NLA17_OH-10016",1,"1-Jun-17",6.92,0.0995,305.28,1.735,0.051,170.41125,0.1505,"PROB","NAP","Northern Appalachians",-81.17701,41.49185,"Region_05",128.2437846,"Urban","MAN_MADE",1.196706,348,"H04110003","NLA_OH-10072",22.5138643622212,0.000123866638109517,3.64103662454487e-06,7.10359106161205e-06,5.50179374436349e-06,0.000576186511240633,1.07446276861569e-05,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"6",2010182,"NLA17_TN-10003",1,"2-Jun-17",3.9,0,52.16,1.278,0.011,463.12625,0.011,"PROB","SAP","Southern Appalachians",-87.03213,35.67353,"Region_04",49.23238577,"Urban","MAN_MADE",33.43314,192,"H07010105","NLA_TN-10029",6.10211354597441,9.1240094238595e-05,7.85321624901835e-07,0,1.49522118117232e-05,0.000324729392173189,7.85321624901835e-07,"HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"7",2010183,"NLA17_AZ-10004",1,"1-Jun-17",10.59,0,2.64,0.615,0.019,192.115,0.019,"PROB","WMT","Western Mountains",-112.4386,34.60431,"Region_09",2.978293527,"Urban","MAN_MADE",119.1798,1567,"H15060202","NLA_AZ-10008",7.07884933384082,4.39066181195117e-05,1.35646462483044e-06,0,6.20250778747525e-06,0.000881765195670275,1.35646462483044e-06,"HYPEREUTROPHIC (> 100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"8",2010184,"NLA17_MI-10011",1,"5-Jun-17",5.29,0.0011,2.74,0.52,0.019,12.9225,0.0201,"PROB","UMW","Upper Midwest",-86.14407,43.37318,"Region_05",247.1927677,"Urban","NATURAL",20.79842,198,"H04090005","NLA_MI-10091",88.9827105846242,3.71242949953595e-05,1.35646462483044e-06,7.85321624901835e-08,4.1720795816906e-07,0.000440466278101582,1.43499678732063e-06,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)"
"9",2010185,"NLA17_ND-10015",1,"5-Jun-17",17.13,0,9.34,1.866,0.019,49.725,0.019,"PROB","NPL","Northern Plains",-99.73059,47.08001,"Region_08",137.7322426,"Non-Urban","NATURAL",7.124819,529,"H10130103","NLA_ND-10085",82.9823397405198,0.000133219104733348,1.35646462483044e-06,0,1.60539104042999e-06,0.0014263114071607,1.35646462483044e-06,"EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)"
"10",2010186,"NLA17_CA-10064",1,"5-Jun-17",4,2.1821,9.95,0.701,0.034,362.0075,2.2161,"PROB","XER","Xeric",-122.5184,38.08325,"Region_09",8.765044119,"Urban","MAN_MADE",40.65087,1,"H18050002","NLA_CA-10183",4.28202578329706,5.00464053687442e-05,2.42735774969658e-06,0.000155786392518027,1.16875534855396e-05,0.000333055786844296,0.000158213750267723,"HYPEREUTROPHIC (> 100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)"
