"","SITE_ID","LAT_DD83","LON_DD83","ECO_TYPE"
"1","NLA_1",41.9215,-119.4433,"River/Stream"
"2","NLA_2",41.9957,-117.7707,"River/Stream"
"3","NLA_3",32.8996,-116.5887,"River/Stream"
"4","NLA_4",41.7718,-117.806,"River/Stream"
"5","NLA_5",33.7606,-116.5497,"River/Stream"
"6","NLA_6",41.3974,-117.4647,"River/Stream"
"7","NLA_7",41.7713,-117.383,"River/Stream"
"8","NLA_8",38.3275,-114.2775,"River/Stream"
"9","NLA_9",36.6417,-114.5318,"River/Stream"
"10","NLA_10",39.2143,-114.5413,"River/Stream"
"11","NLA_11",38.8586,-115.6673,"River/Stream"
"12","NLA_12",40.2661,-81.8741,"River/Stream"
"13","NLA_13",39.2179,-117.0595,"River/Stream"
"14","NLA_14",38.4925,-96.5833,"River/Stream"
"15","NLA_15",40.3166,-116.9015,"River/Stream"
"16","NLA_16",43.295,-104.8345,"River/Stream"
"17","NLA_17",36.0383,-99.9305,"River/Stream"
"18","NLA_18",41.4088,-118.9109,"River/Stream"
"19","NLA_19",40.686,-116.7625,"River/Stream"
"20","NLA_20",46.7414,-101.4838,"River/Stream"
"21","NLA_21",35.5454,-99.7227,"River/Stream"
"22","NLA_22",40.8147,-115.8061,"River/Stream"
"23","NLA_23",39.8925,-105.0565,"River/Stream"
"24","NLA_24",43.5166,-104.8414,"River/Stream"
"25","NLA_25",40.0641,-82.5339,"River/Stream"
"26","NLA_26",39.0872,-95.2902,"River/Stream"
"27","NLA_27",38.4541,-81.7807,"River/Stream"
"28","NLA_28",43.5307,-104.101,"River/Stream"
"29","NLA_29",46.5346,-100.4418,"River/Stream"
"30","NLA_30",39.6927,-84.2325,"River/Stream"
"31","NLA_31",39.5445,-95.7311,"River/Stream"
"32","NLA_32",41.4177,-116.0343,"River/Stream"
"33","NLA_33",41.9578,-115.8638,"River/Stream"
"34","NLA_34",44.2142,-72.9655,"River/Stream"
"35","NLA_35",41.4898,-111.2582,"River/Stream"
