PUBLICATION_DATE,UID,SITE_ID,DATE_COL,SITESAMP,VISIT_NO,AG_ECO3,AG_ECO3_NM,AG_ECO9,AG_ECO9_NM,BOAT_WADE,BORD_RIV,CH0813_WGT,CHNG_SF,CNTYNAME,COMID,DESC_CODE,ELEVATION,EPA_REG,EVALSTAT,EVALUATED,FEOW_ID,FRAME14,FRAME18_ID,FS_EW,GNIS_ID,GNIS_NAME,HUC2,HUC2_REG,HUC8,HUC8_NM,LAT_DD83,LON_DD83,MAJ_BAS_NM,MAJ_BASIN,MISS_BASIN,MISS_BASIN_NM,NA_L1CODE,NA_L1NAME,NA_L2CODE,NA_L2NAME,NA_L3CODE,NA_L3NAME,NARS_NAME,NARS_OWN,NFWAWGTCAT,NRS13_EVAL,NRS13_MDC,NRS13_PNL,NRS13_SF,NRS13_STRA,NRS13_TNT,NRS13_URBN,NRS13_VST,NRS13_WGTD,NRSA_USE,OWN_CODE,OWN_DESC,OWN_TYPE,OWNSHP,PSTL_CODE,REACHCODE,RT_NRSA,SITETYPE,SO,SORT13_ID,SORT18_ID,SOURCE,STATE,STATECTY,STATEID,STRAH_CAL,STRAH_CAT,STRAH_ORD,STUDY,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,WGT_EXT_SP,XCOORD,YCOORD
4/29/2019,1002013,KSRS-1288,4/30/2013,Y,1,PLNLOW,Plains and Lowlands,TPL,Temporate Plains,,,0,0,Shawnee,3645992,,279.71,Region_7,Target-Sampled,YES,143,NRSA14_ST,KS45590,,478471,Indian Creek,H10L,MS,H10270102,Middle Kansas,39.12843,-95.65402,Missouri Region,H10,H10L,Lower Missouri Region,9,GREAT PLAINS,9.2,TEMPERATE PRAIRIES,9.2.4,Central Irregular Plains,Indian Creek,Private,,Target_Sampled,KS_RiverStream,Base_NewRiverStream,Include,KS,Target,Urban,1,987.90857,YES,,,,,KS,1.03E+13,In,PROB,2,KS1288,KS_10059,NHDPlusV1,KS,20177,SPB-288,2,SmallStreams,2,NRSA,40,Central Irregular Plains,40b,Osage Cuestas,341.4498869,29633.54,182571.8
4/29/2019,1002014,AZR9-0903,5/6/2013,Y,1,WMTNS,West,XER,Xeric,Wadeable,,0,0,Pima,15890430,,605.28,Region_9,Target-Sampled,YES,131,NRSA14_ST,AZ35540,,34066,Santa Cruz River,H15,CO,H15050303,Lower Santa Cruz,32.40882122,-111.1606295,Lower Colorado Region,H15,,,10,NORTH AMERICAN DESERTS,10.2,WARM DESERTS,10.2.2,Sonoran Desert,Santa Cruz River,Private,AZ_6th,Target_Sampled,AZ_Rivers_AZ_6th,Base_09River_RVT,Include,AZ,Target,NonUrban,2,1,YES,,,,,AZ,1.51E+13,Im,PROB,6,AZ0903,AZ_10001,NHDPlusV1,AZ,4019,,6,RiversOther,6,NRSA,81,Sonoran Basin and Range,81n,Gila/Salt Intermediate Basins,11.64978217,-1412464.646,-456533.697
4/29/2019,1002015,AZSS-1115,5/7/2013,Y,1,WMTNS,West,WMT,Western Mountains,,,0,0,Gila,22428278,101,1860.93,Region_9,Target-Sampled,YES,131,NRSA14_ST,AZ150091,West,27620,Christopher Creek,H15,CO,H15060105,Tonto,34.33749,-111.0138,Lower Colorado Region,H15,,,13,TEMPERATE SIERRAS,13.1,UPPER GILA MOUNTAINS,13.1.1,Arizona/New Mexico Mountains,Christopher Creek,USFS,,Target_Sampled,AZ_SmallStreams_WMT,Base_NewSmallStreams,Include,AZ,Target,NonUrban,1,448.07652,YES,130,National Forest-National Grassland,Federal,Forest Service (USFS),AZ,1.51E+13,R,PROB,2,AZ1115,AZ_10029,NHDPlusV1,AZ,4007,,2,SmallStreams,2,NRSA,23,Arizona/New Mexico Mountains,23l,Mogollon Transition Conifer Forests,5.786235186,-1365016,-246034
4/29/2019,1002016,KSR9-0910,5/6/2013,Y,1,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Wadeable,,0,0,Clay,5926470,,371.31,Region_7,Target-Sampled,YES,143,NRSA14_ST,KS10145,,485443,Republican River,H10L,MS,H10250017,Lower Republican,39.49523,-97.2319,Missouri Region,H10,H10L,Lower Missouri Region,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.2,Central Great Plains,Republican River,Private,KS_7th+,Target_Sampled,KS_Rivers_KS_7th+,Base_09River,Include,KS,Target,NonUrban,1,1,YES,,,,,KS,1.03E+13,In,PROB,7,KS0910,KS_10050,NHDPlusV1,KS,20027,,7,RiversMajor,7,NRSA,27,Central Great Plains,27a,Smoky Hills,116.9397185,-104977.1,224307.4
4/29/2019,1002017,AZLS-1055,5/8/2013,Y,1,WMTNS,West,WMT,Western Mountains,,,0,0,Yavapai,20451460,,1090.26,Region_9,Target-Sampled,YES,131,NRSA14_ST,AZ40869,,35027,Sycamore Creek,H15,CO,H15060202,Upper Verde,34.86995,-112.0693,Lower Colorado Region,H15,,,13,TEMPERATE SIERRAS,13.1,UPPER GILA MOUNTAINS,13.1.1,Arizona/New Mexico Mountains,Sycamore Creek,Private,,Target_Sampled,AZ_LargeStreams_WMT,Base_NewLargeStreams,Include,AZ,Target,NonUrban,1,792.229,YES,,,,,AZ,1.51E+13,R,PROB,4,AZ1055,AZ_10011,NHDPlusV1,AZ,4025,,4,LargeStreams,4,NRSA,23,Arizona/New Mexico Mountains,23h,Lower Mogollon Transition,36.99076842,-1450079,-171643.9
4/29/2019,1002018,KSRS-1270,5/13/2013,Y,1,PLNLOW,Plains and Lowlands,TPL,Temporate Plains,,,0,0,Cowley,21036819,,352.17,Region_7,Target-Sampled,YES,144,NRSA14_ST,KS89430,,469074,Silver Creek,H11,MS,H11060001,Kaw Lake,37.17128,-96.84909,Arkansas-White-Red Region,H11,H11,Arkansas-White-Red Region,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.4,Flint Hills,Silver Creek,Private,,Target_Sampled,KS_RiverStream,Base_NewRiverStream,Include,KS,Target,NonUrban,1,987.90857,YES,,,,,KS,1.11E+13,R,PROB,3,KS1270,KS_10056,NHDPlusV1,KS,20035,SPB-270,3,LargeStreams,3,NRSA,28,Flint Hills,28a,Flint Hills,341.4498869,-74683.38,-36504.41
4/29/2019,1002019,KSS9-0933,5/14/2013,Y,1,PLNLOW,Plains and Lowlands,TPL,Temporate Plains,Wadeable,,0,0,Butler,20081368,,390.92,Region_7,Target-Sampled,YES,144,NRSA14_ST,KS80503,,474386,West Branch Walnut River,H11,MS,H11030017,Upper Walnut River,37.84409,-96.85665,Arkansas-White-Red Region,H11,H11,Arkansas-White-Red Region,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.4,Flint Hills,West Branch Walnut River,Private,KS_4th5th,Target_Sampled,KS_Streams_KS_4th5t,Base_09Stream,Include,KS,Target,NonUrban,1,1,YES,,,,,KS,1.10E+13,In,PROB,4,KS0933,KS_10004,NHDPlusV1,KS,20015,,4,LargeStreams,4,NRSA,28,Flint Hills,28a,Flint Hills,1491.309785,-74669.44,38899.92
4/29/2019,1002020,AZR9-0903,5/20/2013,Y,2,WMTNS,West,XER,Xeric,Wadeable,,0,0,Pima,15890430,,605.28,Region_9,Target-Sampled,YES,131,NRSA14_ST,AZ35540,,34066,Santa Cruz River,H15,CO,H15050303,Lower Santa Cruz,32.40882122,-111.1606295,Lower Colorado Region,H15,,,10,NORTH AMERICAN DESERTS,10.2,WARM DESERTS,10.2.2,Sonoran Desert,Santa Cruz River,Private,AZ_6th,Target_Sampled,AZ_Rivers_AZ_6th,Base_09River_RVT,Include,AZ,Target,NonUrban,2,1,YES,,,,,AZ,1.51E+13,Im,PROB,6,AZ0903,AZ_10001,NHDPlusV1,AZ,4019,,6,RiversOther,6,NRSA,81,Sonoran Basin and Range,81n,Gila/Salt Intermediate Basins,11.64978217,-1412464.646,-456533.697
4/29/2019,1002021,KYRM-1006,5/21/2013,Y,1,EHIGH,Eastern Highlands,SAP,Southern Appalachians,,,0,0,Henry,1824466,,132.31,Region_4,Target-Sampled,YES,150,NRSA14_ST,KY20701,,513130,Kentucky River,H05,MS,H05100205,Lower Kentucky,38.51354,-85.02908,Ohio-Tennessee Region,H05_06,H05,Ohio Region,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,8.3.3,Interior Plateau,Kentucky River,Private,,Target_Sampled,KY_RiversMajor_SAP,Base_NewRiversMajor,Include,KY,Target,NonUrban,1,461.86666,YES,,,,,KY,5.10E+12,Im,PROB,6,KY1006,KY_10045,NHDPlusV1,KY,21103,,6,RiversMajor,6,NRSA,71,Interior Plateau,71k,Hills of the Bluegrass,147.4464971,945516.6,168235.9
4/29/2019,1002022,KSR9-0902,5/21/2013,Y,1,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Wadeable,,0,0,Sedgwick,22077841,,411.83,Region_7,Target-Sampled,YES,144,NRSA14_ST,KS72858,,78956,Arkansas River,H11,MS,H11030010,Gar-Peace,37.8236,-97.46279,Arkansas-White-Red Region,H11,H11,Arkansas-White-Red Region,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9.4.2,Central Great Plains,Arkansas River,Private,KS_7th+,Target_Sampled,KS_Rivers_KS_7th+,Base_09River,Include,KS,Target,NonUrban,1,1,YES,,,,,KS,1.10E+13,Im,PROB,7,KS0902,KS_10007,NHDPlusV1,KS,20173,,7,RiversMajor,7,NRSA,27,Central Great Plains,27d,Prairie Tableland,116.9397185,-127534.5,37249.42
