"","DATE_COL","SITE_ID","DOC","TP","NO3 as N","UNITS","LAT","LON","ECO_TYPE"
"1",2000-01-04,"BC08NA0033",0.5,0.002,0.153,"mg/L",51.4192,-116.4378,"River/Stream"
"2",2000-01-04,"BC08NF0001",0.5,0.004,0.115,"mg/L",50.8856,-116.0431,"River/Stream"
"3",2000-01-07,"BC08MH0027",4.5,0.107,3.5,"mg/L",49.0024,-122.2323,"River/Stream"
"4",2000-01-10,"BC08EF0001",1.9,0.009,0.106,"mg/L",54.6344,-128.4092,"River/Stream"
"5",2000-01-10,"YT10AA0001",1.2,0.008,0.09,"mg/L",60.0477,-128.9018,"River/Stream"
"6",2000-01-11,"AL05DA0001",0.794,0.002,0.121,"mg/L",52.0028,-116.4719,"River/Stream"
"7",2000-01-11,"AL07AA0015",0.451,0.004,0.117,"mg/L",52.6644,-117.8808,"River/Stream"
"8",2000-01-11,"AL07AA0023",0.501,0.006,0.122,"mg/L",53.0417,-118.0872,"River/Stream"
"9",2000-01-11,"BC08MH0027",5.2,0.109,3.5,"mg/L",49.0024,-122.2323,"River/Stream"
"10",2000-01-11,"MA05OB0001",11.7,0.138,0.341,"mg/L",49.0314,-98.2778,"River/Stream"
"11",2000-01-11,"SA05MD0002",23.3,0.124,0.16,"mg/L",51.5331,-101.8889,"River/Stream"
"12",2000-01-12,"AL05BA0011",0.529,0.004,0.087,"mg/L",51.4433,-116.2117,"River/Stream"
"13",2000-01-12,"AL05BE0013",0.582,0.013,0.088,"mg/L",51.1228,-115.3867,"River/Stream"
"14",2000-01-12,"MA05KH0001",4.21,0.018,0.072,"mg/L",53.8417,-101.3344,"River/Stream"
"15",2000-01-12,"MA05PF0022",8.99,0.022,0.065,"mg/L",50.3008,-95.5556,"River/Stream"
"16",2000-01-12,"SA05KH0002",11.6,0.026,0.037,"mg/L",53.6,-102.1167,"River/Stream"
"17",2000-01-13,"MA05OC0001",10.4,0.102,0.442,"mg/L",49.0081,-97.2108,"River/Stream"
"18",2000-01-16,"YT09FB0003",1.7,0.005,0.228,"mg/L",67.58,-139.78,"River/Stream"
"19",2000-01-17,"BC08NA0033",2.9,0.002,0.19,"mg/L",51.4192,-116.4378,"River/Stream"
"20",2000-01-17,"NW07RD0001",2.4,0.012,0.022,"mg/L",62.8889,-108.4719,"River/Stream"
"21",2000-01-18,"AL07DD0001",5.61,0.032,0.181,"mg/L",58.1725,-111.3703,"River/Stream"
"22",2000-01-18,"BC08NK0003",0.6,0.006,0.44,"mg/L",49.1797,-115.167,"River/Stream"
"23",2000-01-19,"AL05AK0001",1.6,0.292,0.891,"mg/L",50.7375,-110.0956,"River/Stream"
"24",2000-01-19,"AL05CK0001",3.11,0.007,0.428,"mg/L",50.9028,-110.2969,"River/Stream"
"25",2000-01-19,"SA05FE0001",13.3,0.034,0.38,"mg/L",52.9403,-109.8733,"River/Stream"
"26",2000-01-20,"AL05EF0003",1.84,0.042,0.366,"mg/L",53.6014,-110.0083,"River/Stream"
"27",2000-01-20,"AL06AD0001",12.5,0.454,0.01,"mg/L",54.3542,-110.2119,"River/Stream"
"28",2000-01-23,"AL07KC0001",2.81,0.027,0.087,"mg/L",59.1139,-112.4264,"River/Stream"
"29",2000-01-25,"BC08EF0001",2.3,0.016,0.12,"mg/L",54.6344,-128.4092,"River/Stream"
"30",2000-01-26,"PE01CD0050",5.3,0.034,0.252,"mg/L",46.4531,-62.3825,"River/Stream"
"31",2000-01-30,"YT09FB0003",1.5,0.004,0.23,"mg/L",67.58,-139.78,"River/Stream"
"32",2000-01-31,"BC08NA0033",0.5,0.002,0.156,"mg/L",51.4192,-116.4378,"River/Stream"
"33",2000-01-31,"BC08NF0001",0.5,0.004,0.114,"mg/L",50.8856,-116.0431,"River/Stream"
"34",2000-02-01,"BC08MH0027",4.3,0.114,3.44,"mg/L",49.0024,-122.2323,"River/Stream"
"35",2000-02-03,"PE01CA0001",3.4,0.0148,2.74,"mg/L",46.7442,-64.1817,"River/Stream"
"36",2000-02-03,"PE01CB0143",1.2,0.0683,6.52,"mg/L",46.3933,-63.6586,"River/Stream"
"37",2000-02-07,"BC08EF0001",2,0.007,0.112,"mg/L",54.6344,-128.4092,"River/Stream"
"38",2000-02-08,"AL05AK0001",1.41,0.391,0.961,"mg/L",50.7375,-110.0956,"River/Stream"
"39",2000-02-08,"AL05CK0001",2.53,0.008,0.46,"mg/L",50.9028,-110.2969,"River/Stream"
"40",2000-02-08,"MA05PF0022",9.59,0.018,0.079,"mg/L",50.3008,-95.5556,"River/Stream"
"41",2000-02-09,"AL05EF0003",2.24,0.038,0.486,"mg/L",53.6014,-110.0083,"River/Stream"
"42",2000-02-09,"AL06AD0001",12.4,0.273,0.01,"mg/L",54.3542,-110.2119,"River/Stream"
"43",2000-02-09,"MA05OC0001",9.99,0.068,0.333,"mg/L",49.0081,-97.2108,"River/Stream"
"44",2000-02-09,"SA05FE0001",10.8,0.029,0.158,"mg/L",52.9403,-109.8733,"River/Stream"
"45",2000-02-13,"YT09FB0003",0.5,0.002,0.238,"mg/L",67.58,-139.78,"River/Stream"
"46",2000-02-14,"BC08NA0033",0.5,0.003,0.162,"mg/L",51.4192,-116.4378,"River/Stream"
"47",2000-02-14,"BC08NF0001",0.5,0.003,0.118,"mg/L",50.8856,-116.0431,"River/Stream"
"48",2000-02-14,"BC08NK0003",0.5,0.005,0.31,"mg/L",49.1797,-115.167,"River/Stream"
"49",2000-02-15,"AL05DA0001",0.321,0.002,0.112,"mg/L",52.0028,-116.4719,"River/Stream"
"50",2000-02-15,"AL07AA0015",0.433,0.004,0.118,"mg/L",52.6644,-117.8808,"River/Stream"
"51",2000-02-15,"AL07AA0023",0.842,0.009,0.122,"mg/L",53.0417,-118.0872,"River/Stream"
"52",2000-02-15,"SA05LC0001",14.3,0.022,0.411,"mg/L",52.8667,-102.1831,"River/Stream"
"53",2000-02-15,"SA05MD0002",19.7,0.181,0.314,"mg/L",51.5331,-101.8889,"River/Stream"
"54",2000-02-16,"AL05BA0011",0.508,0.002,0.087,"mg/L",51.4433,-116.2117,"River/Stream"
"55",2000-02-16,"AL05BE0013",0.578666666666667,0.023,0.0795,"mg/L",51.1228,-115.3867,"River/Stream"
"56",2000-02-16,"AL07DD0001",5.63,0.045,0.219,"mg/L",58.1725,-111.3703,"River/Stream"
"57",2000-02-16,"MA05KH0001",4.12,0.02,0.238,"mg/L",53.8417,-101.3344,"River/Stream"
"58",2000-02-16,"SA05KH0002",4.86,0.038,0.029,"mg/L",53.6,-102.1167,"River/Stream"
"59",2000-02-16,"SA06EA0003",5.02,0.009,0.046,"mg/L",55.6081,-102.1956,"River/Stream"
"60",2000-02-17,"NW06MA0001",3.7,0.021,0.024,"mg/L",64.7731,-97.0678,"River/Stream"
"61",2000-02-21,"BC08NB0002",0.5,0.006,0.19,"mg/L",51.3834,-117.4504,"River/Stream"
"62",2000-02-21,"BC08ND0003",0.5,0.005,0.246,"mg/L",51.2138,-117.6958,"River/Stream"
"63",2000-02-21,"NW07OB0002",33.1,0.107,0.432,"mg/L",60.0044,-116.9692,"River/Stream"
"64",2000-02-23,"BC08EF0001",1.7,0.01,0.114,"mg/L",54.6344,-128.4092,"River/Stream"
"65",2000-02-23,"YT10AA0001",0.9,0.007,0.1,"mg/L",60.0477,-128.9018,"River/Stream"
"66",2000-02-27,"YT09FB0003",0.9,0.003,0.242,"mg/L",67.58,-139.78,"River/Stream"
"67",2000-02-28,"BC08NA0033",0.5,0.002,0.158,"mg/L",51.4192,-116.4378,"River/Stream"
"68",2000-02-28,"BC08NF0001",0.5,0.004,0.114,"mg/L",50.8856,-116.0431,"River/Stream"
"69",2000-02-28,"BC08NK0003",0.5,0.007,0.358,"mg/L",49.1797,-115.167,"River/Stream"
"70",2000-03-06,"BC08EF0001",1.8,0.011,0.11,"mg/L",54.6344,-128.4092,"River/Stream"
"71",2000-03-06,"YT08AA0010",1,0.012,0.054,"mg/L",60.7478,-137.5036,"River/Stream"
"72",2000-03-07,"AL05AK0001",1.48,0.016,0.851,"mg/L",50.7375,-110.0956,"River/Stream"
"73",2000-03-07,"AL05CK0001",3.43,0.036,0.491,"mg/L",50.9028,-110.2969,"River/Stream"
"74",2000-03-07,"MA05PF0022",9.21,0.021,0.082,"mg/L",50.3008,-95.5556,"River/Stream"
"75",2000-03-07,"SA05JM0014",1.53,0.132,0.207,"mg/L",50.4839,-101.5431,"River/Stream"
"76",2000-03-08,"AL05EF0003",1.68,0.043,0.51,"mg/L",53.6014,-110.0083,"River/Stream"
"77",2000-03-08,"AL06AD0001",11.1,0.034,0.036,"mg/L",54.3542,-110.2119,"River/Stream"
"78",2000-03-08,"MA05OB0001",11.6,0.488,2.74,"mg/L",49.0314,-98.2778,"River/Stream"
"79",2000-03-08,"MA05OC0001",13.9,0.39,3.9,"mg/L",49.0081,-97.2108,"River/Stream"
"80",2000-03-08,"SA05FE0001",8.09,0.027,0.24,"mg/L",52.9403,-109.8733,"River/Stream"
"81",2000-03-08,"SA06AF0001",6.74,0.023,0.011,"mg/L",54.5667,-109.8361,"River/Stream"
