"","SITE_ID","LAT","LON","ECO_TYPE"
"1","QU02OB9004",45.8744,-73.2806,"River/Stream"
"2","QU02NG3020",46.6776,-72.8652,"River/Stream"
"3","QU02NG3013",46.382,-72.6105,"River/Stream"
"4","QU02OD9009",46.3116,-72.546,"River/Stream"
"5","QU02LB9001",45.5676,-74.3799,"River/Stream"
"6","QU02OJ0052",46.034,-73.1176,"River/Stream"
"7","QU02PH9024",46.8071,-71.19,"River/Stream"
"8","QU02OD3004",46.2454,-72.6512,"River/Stream"
"9","QU02OF3004",46.0664,-72.8122,"River/Stream"
"10","QU02OG3007",46.0051,-72.9101,"River/Stream"
