"","SITE_ID","LAT","LON","ECO_TYPE"
"1","BC08NA0033",51.4192,-116.4378,"River/Stream"
"2","BC08NF0001",50.8856,-116.0431,"River/Stream"
"3","BC08MH0027",49.0024,-122.2323,"River/Stream"
"4","BC08EF0001",54.6344,-128.4092,"River/Stream"
"5","YT10AA0001",60.0477,-128.9018,"River/Stream"
"6","AL05DA0001",52.0028,-116.4719,"River/Stream"
"7","AL07AA0015",52.6644,-117.8808,"River/Stream"
"8","AL07AA0023",53.0417,-118.0872,"River/Stream"
"9","MA05OB0001",49.0314,-98.2778,"River/Stream"
"10","SA05MD0002",51.5331,-101.8889,"River/Stream"
"11","AL05BA0011",51.4433,-116.2117,"River/Stream"
"12","AL05BE0013",51.1228,-115.3867,"River/Stream"
"13","MA05KH0001",53.8417,-101.3344,"River/Stream"
"14","MA05PF0022",50.3008,-95.5556,"River/Stream"
"15","SA05KH0002",53.6,-102.1167,"River/Stream"
"16","MA05OC0001",49.0081,-97.2108,"River/Stream"
"17","YT09FB0003",67.58,-139.78,"River/Stream"
"18","NW07RD0001",62.8889,-108.4719,"River/Stream"
"19","AL07DD0001",58.1725,-111.3703,"River/Stream"
"20","BC08NK0003",49.1797,-115.167,"River/Stream"
"21","AL05AK0001",50.7375,-110.0956,"River/Stream"
"22","AL05CK0001",50.9028,-110.2969,"River/Stream"
"23","SA05FE0001",52.9403,-109.8733,"River/Stream"
"24","AL05EF0003",53.6014,-110.0083,"River/Stream"
"25","AL06AD0001",54.3542,-110.2119,"River/Stream"
"26","AL07KC0001",59.1139,-112.4264,"River/Stream"
"27","PE01CD0050",46.4531,-62.3825,"River/Stream"
"28","PE01CA0001",46.7442,-64.1817,"River/Stream"
"29","PE01CB0143",46.3933,-63.6586,"River/Stream"
"30","SA05LC0001",52.8667,-102.1831,"River/Stream"
"31","SA06EA0003",55.6081,-102.1956,"River/Stream"
"32","NW06MA0001",64.7731,-97.0678,"River/Stream"
"33","BC08NB0002",51.3834,-117.4504,"River/Stream"
"34","BC08ND0003",51.2138,-117.6958,"River/Stream"
"35","NW07OB0002",60.0044,-116.9692,"River/Stream"
"36","YT08AA0010",60.7478,-137.5036,"River/Stream"
"37","SA05JM0014",50.4839,-101.5431,"River/Stream"
"38","SA06AF0001",54.5667,-109.8361,"River/Stream"
"39","NW10LA0003",67.4561,-133.7369,"River/Stream"
"40","US05NF0001",48.9997,-100.9,"River/Stream"
"41","NW10JC0001",65.1358,-123.5139,"River/Stream"
"42","YT10MD0001",69.3264,-139.5672,"River/Stream"
"43","NW10PC0019",67.2289,-115.8881,"River/Stream"
"44","NW10MC0001",67.2206,-134.9456,"River/Stream"
"45","NW10TB0002",73.2269,-119.5422,"River/Stream"
"46","NW10OB0003",68.7542,-122.4022,"River/Stream"
"47","NW10OB0006",68.3308,-121.9633,"River/Stream"
"48","NW10UF0002",66.3736,-65.4811,"River/Stream"
"49","NW10UF0003",66.6,-65.2297,"River/Stream"
"50","NW10VK0001",81.79416,-70.44221,"River/Stream"
"51","NW10VK0003",81.84288,-70.92143,"River/Stream"
"52","US05ND0004",48.99,-101.9578,"River/Stream"
"53","NW10KA0001",65.2817,-126.8492,"River/Stream"
"54","AL07NB0001",59.8692,-111.5858,"River/Stream"
"55","YT08AB0009",60.1192,-137.9742,"River/Stream"
"56","BC08NK0004",49.6643,-114.9041,"River/Stream"
"57","BC08NA0048",51.2438,-116.9126,"River/Stream"
"58","BC08MH0269",49.2421,-122.5961,"River/Stream"
"59","BC08HB0019",49.3011,-124.2756,"River/Stream"
"60","BC08MB0007",52.072,-123.2614,"River/Stream"
"61","NW10ED0001",60.2431,-123.4792,"River/Stream"
"62","BC08LE0004",50.6914,-119.3289,"River/Stream"
"63","BC08NM0001",49.1144,-119.565,"River/Stream"
"64","YT09EA0001",64.1554,-139.3973,"River/Stream"
"65","YT09DD0008",63.9141,-135.7232,"River/Stream"
"66","YT09AB0006",60.5792,-134.6865,"River/Stream"
"67","YT09AB0008",60.8353,-135.1803,"River/Stream"
"68","AL05AD0005",49.1139,-113.8389,"River/Stream"
"69","AL05AD0060",49.0517,-113.6853,"River/Stream"
"70","NW10EA0004",61.5331,-125.4056,"River/Stream"
"71","NW10EA0008",61.4278,-126.63,"River/Stream"
"72","NW10EB0016",61.6364,-125.7967,"River/Stream"
"73","NW10EC0006",61.5469,-124.7889,"River/Stream"
"74","NW10EC0014",61.2839,-124.4464,"River/Stream"
"75","NW10EC0017",61.0989,-123.59,"River/Stream"
"76","NW10EC0019",61.3478,-124.4164,"River/Stream"
"77","NW10EC0020",61.605,-124.8173,"River/Stream"
"78","NW10ED0002",61.7397,-121.2194,"River/Stream"
"79","NW10FB0006",61.8181,-120.7903,"River/Stream"
"80","NW06OA0001",65.9356,-91.0666,"River/Stream"
"81","NW10UE0002",66.8928,-64.6883,"River/Stream"
"82","BC08HD0004",50.0267,-125.2967,"River/Stream"
"83","NW10VK0004",81.9356,-68.86446,"River/Stream"
"84","NW10VK0002",81.64549,-72.95293,"River/Stream"
"85","BC08MF0001",49.3872,-121.4508,"River/Stream"
"86","BC08GA0010",50.058,-123.099,"River/Stream"
"87","BC08KH0012",52.4033,-121.4342,"River/Stream"
"88","BC08LG0001",50.425,-121.3164,"River/Stream"
"89","AL11AA0002",49.0897,-112.4017,"River/Stream"
"90","AL11AA0003",49.1242,-110.8942,"River/Stream"
"91","YT09FC0002",67.634,-139.7,"River/Stream"
"92","BC08NL0001",49.4586,-120.504,"River/Stream"
"93","BC08NL0005",49.0788,-119.7098,"River/Stream"
"94","BC08NN0011",49.0047,-118.7762,"River/Stream"
"95","BC08NN0021",49.0197,-118.4747,"River/Stream"
"96","BC08KA0007",52.9878,-119.0101,"River/Stream"
"97","BC08LF0001",50.4208,-121.3414,"River/Stream"
"98","YT09BC0021",62.3751,-133.5437,"River/Stream"
"99","BC08FC0001",52.4676,-125.2936,"River/Stream"
"100","BC08NE0001",49.0161,-117.6039,"River/Stream"
"101","BC08NE0029",49.0031,-117.6167,"River/Stream"
"102","BC08NG0009",49.5279,-115.5492,"River/Stream"
"103","BC08KE0010",53.9272,-122.765,"River/Stream"
"104","BC08NH0005",49.1169,-116.5794,"River/Stream"
"105","BC08NE0005",49.1769,-117.7175,"River/Stream"
"106","BC08MH0453",49.1485,-123.0387,"River/Stream"
"107","BC08HB0018",49.8128,-125.2028,"River/Stream"
"108","AK08DC0001",56.0217,-130.0714,"River/Stream"
"109","BC08MC0001",52.5296,-122.4423,"River/Stream"
"110","BC07FD0005",56.1261,-120.0564,"River/Stream"
