"SITE_NO","DATE_TIME_HEURE","FLAG_MARQUEUR","VALUE_VALEUR","SDL_LDE","MDL_LDM","VMV_CODE","UNIT_UNITE","VARIABLE","VARIABLE_FR","STATUS_STATUT"
"NW10OB0003","2000-07-12 20:19","<","21.6000","","","102127","NG/L","1-METHYLNAPHTHALENE","1-MÉTHYLNAPHTALÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","22.3000","","","102128","NG/L","2-CHLORONAPHTHALENE","2-CHLORONAPHTALÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","26.4000","","","102126","NG/L","2-METHYLNAPHTHALENE","2-MÉTHYLNAPHTALÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","23.9000","","","102130","NG/L","ACENAPHTHENE","ACÉNAPHTÈNE","P"
"NW10OB0003","2000-07-12 20:19","<","16.2000","","","102129","NG/L","ACENAPHTHYLENE","ACÉNAPHTHYLÈNE","P"
"NW10OB0003","2000-07-12 20:19","<",".6100","","","102097","NG/L","ALDRIN","ALDRINE","P"
"NW10OB0003","2000-07-12 20:19","","98.4000","","","10101","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P"
"NW10OB0003","2000-07-12 20:19","<",".2000","","","102091","NG/L","ALPHA-BENZENEHEXACHLORIDE","ALPHA-HEXACHLORURE DE BENZÈNE","P"
"NW10OB0003","2000-07-12 20:19","<",".3100","","","102101","NG/L","ALPHA-CHLORDANE","ALPHA-CHLORDANE","P"
"NW10OB0003","2000-07-12 20:19","<",".2200","","","102100","NG/L","ALPHA-ENDOSULFAN","ALPHA-ENDOSULFAN","P"
"NW10OB0003","2000-07-12 20:19","",".0900","","","100081","MG/L","ALUMINUM EXTRACTABLE","ALUMINIUM EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".1960","","","100216","MG/L","ALUMINUM TOTAL","ALUMINIUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<",".0050","","","7563","MG/L","AMMONIA DISSOLVED","AZOTE AMMONIACAL DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","<",".0001","","","100253","MG/L","ARSENIC DISSOLVED","ARSENIC DISSOUS","P"
"NW10OB0003","2000-07-12 20:19","",".0280","","","100082","MG/L","BARIUM EXTRACTABLE","BARYUM EXTRACTIBLE","P"
"NW10OB0003","2000-07-12 20:19","",".0279","","","100217","MG/L","BARIUM TOTAL","BARYUM TOTAL","P"
"NW10OB0003","2000-07-12 20:19","<","20.0000","","","102136","NG/L","BENZO(A)ANTHRACENE","BENZO(A)ANTHRACÈNE","P"
