SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
NF02XA0001,2001-03-25 10:30, ,8.3,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NF02XA0001,2001-03-25 10:30, ,0.031,,,100216,MG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
NF02XA0001,2001-03-25 10:30,<,0.0001,,,100250,MG/L,ARSENIC  TOTAL,ARSENIC  TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.005,,,100217,MG/L,BARIUM TOTAL,BARYUM TOTAL,P
NF02XA0001,2001-03-25 10:30,<,0.05,,,100218,µG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
NF02XA0001,2001-03-25 10:30,<,0.0001,,,100219,MG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NF02XA0001,2001-03-25 10:30, ,2.45,,,100232,MG/L,CALCIUM  TOTAL,CALCIUM TOTAL,P
NF02XA0001,2001-03-25 10:30, ,2.49,,,20108,MG/L,CALCIUM DISSOLVED,CALCIUM DISSOUS,P
NF02XA0001,2001-03-25 10:30, ,2,,,100300,MG/L,CARBON DISSOLVED INORGANIC,CARBONE INORGANIQUE DISSOUS,P
NF02XA0001,2001-03-25 10:30, ,3,,,6104,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
NF02XA0001,2001-03-25 10:30, ,0.37,,,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NF02XA0001,2001-03-25 10:30, ,0.48,,,17208,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NF02XA0001,2001-03-25 10:30, ,0.0003,,,100221,MG/L,CHROMIUM TOTAL,CHROME TOTAL,P
NF02XA0001,2001-03-25 10:30,<,0.0001,,,100220,MG/L,COBALT TOTAL,COBALT TOTAL,P
NF02XA0001,2001-03-25 10:30, ,25.4,,,102558,CTU,COLOUR APPARENT,COULEUR APPARENTE,P
NF02XA0001,2001-03-25 10:30, ,0.0002,,,100222,MG/L,COPPER  TOTAL,CUIVRE TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.04,,,7315,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NF02XA0001,2001-03-25 10:30, ,0.241,,,100223,MG/L,IRON TOTAL,FER TOTAL,P
NF02XA0001,2001-03-25 10:30,<,0.0002,,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P
NF02XA0001,2001-03-25 10:30,<,0.0001,,,100224,MG/L,LITHIUM TOTAL,LITHIUM TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.7,,,12106,MG/L,MAGNESIUM DISSOLVED,MAGNÉSIUM DISSOUS,P
NF02XA0001,2001-03-25 10:30, ,0.68,,,100233,MG/L,MAGNESIUM TOTAL,MAGNÉSIUM TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.0013,,,100225,MG/L,MANGANESE TOTAL,MANGANÈSE TOTAL,P
NF02XA0001,2001-03-25 10:30,<,0.005,,,100249,µG/L,MERCURY TOTAL,MERCURE TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.0001,,,100226,MG/L,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.0003,,,100227,MG/L,NICKEL  TOTAL,NICKEL  TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.147,,,77,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
NF02XA0001,2001-03-25 10:30, ,7.05,,,10301,PH,PH,PH,P
NF02XA0001,2001-03-25 10:30, ,0.0101,,,15413,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.39,,,100235,MG/L,POTASSIUM TOTAL,POTASSIUM TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.45,,,101946,MG/L,POTASSIUM UNFILTERED,POTASSIUM NON FILTRÉ,P
NF02XA0001,2001-03-25 10:30,<,0.0001,,,100251,MG/L,SELENIUM TOTAL,SÉLÉNIUM TOTAL,P
NF02XA0001,2001-03-25 10:30,<,0.0001,,,100324,MG/L,SILVER TOTAL,ARGENT TOTAL,P
NF02XA0001,2001-03-25 10:30, ,7.88,,,14109,MG/L,SIO2,SIO2,P
NF02XA0001,2001-03-25 10:30, ,0.79,,,100234,MG/L,SODIUM TOTAL,SODIUM TOTAL,P
NF02XA0001,2001-03-25 10:30, ,1.04,,,101947,MG/L,SODIUM UNFILTERED,SODIUM NON FILTRÉ,P
NF02XA0001,2001-03-25 10:30, ,21.6,,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NF02XA0001,2001-03-25 10:30, ,0.0171,,,100229,MG/L,STRONTIUM TOTAL,STRONTIUM TOTAL,P
NF02XA0001,2001-03-25 10:30, ,2,,,16307,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NF02XA0001,2001-03-25 10:30, ,1.68,,,16309,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NF02XA0001,2001-03-25 10:30, ,0.56,,,2073,JTU,TURBIDITY,TURBIDITÉ,P
NF02XA0001,2001-03-25 10:30, ,0.0002,,,100230,MG/L,VANADIUM TOTAL,VANADIUM TOTAL,P
NF02XA0001,2001-03-25 10:30, ,0.0002,,,100231,MG/L,ZINC TOTAL,ZINC TOTAL,P
NF02XA0001,2001-05-30 11:30, ,2.2,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NF02XA0001,2001-05-30 11:30, ,0.078,,,100216,MG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
NF02XA0001,2001-05-30 11:30, ,0.0001,,,100250,MG/L,ARSENIC  TOTAL,ARSENIC  TOTAL,P
NF02XA0001,2001-05-30 11:30, ,0.0032,,,100217,MG/L,BARIUM TOTAL,BARYUM TOTAL,P
NF02XA0001,2001-05-30 11:30,<,0.05,,,100218,µG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
NF02XA0001,2001-05-30 11:30,<,0.0001,,,100219,MG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NF02XA0001,2001-05-30 11:30, ,0.93,,,100232,MG/L,CALCIUM  TOTAL,CALCIUM TOTAL,P
NF02XA0001,2001-05-30 11:30, ,0.97,,,20108,MG/L,CALCIUM DISSOLVED,CALCIUM DISSOUS,P
NF02XA0001,2001-05-30 11:30, ,0.9,,,100300,MG/L,CARBON DISSOLVED INORGANIC,CARBONE INORGANIQUE DISSOUS,P
