"SITE_NO","DATE_TIME_HEURE","FLAG_MARQUEUR","VALUE_VALEUR","SDL_LDE","MDL_LDM","VMV_CODE","UNIT_UNITE","VARIABLE","VARIABLE_FR","STATUS_STATUT"
"AL11AA0002","2006-08-28 11:00","","5.6000","","","10151","MG/L","ALKALINITY PHENOLPHTHALEIN CACO3","TITRE ALCALIMÉTRIQUE CACO3","P"
"AL11AA0002","2006-08-28 11:00","","205.0000","","","10111","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P"
"AL11AA0002","2006-08-28 11:00","",".0260","","","7540","MG/L","AMMONIA DISSOLVED","AZOTE AMMONIACAL DISSOUS","P"
"AL11AA0002","2006-08-28 11:00","",".0020","","","7570","MG/L","AMMONIA UN-IONIZED (CALCD.)","AZOTE AMMONIACAL NON IONISÉ (CALC.)","P"
"AL11AA0002","2006-08-28 11:00","","236.2420","","","6201","MG/L","BICARBONATE (CALCD.)","BICARBONATE (CALC.)","P"
"AL11AA0002","2006-08-28 11:00","","56.2000","","","20103","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P"
"AL11AA0002","2006-08-28 11:00","","1.2730","","","6401","MG/L","CARBON DIOXIDE FREE (CALC)","DIOXYDE DE CARBONE LIBRE (CALC.)","P"
"AL11AA0002","2006-08-28 11:00","","12.8000","","","6104","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P"
"AL11AA0002","2006-08-28 11:00","",".6690","","","6901","MG/L","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P"
"AL11AA0002","2006-08-28 11:00","","13.4690","","","6002","MG/L","CARBON TOTAL ORGANIC (CALCD.)","CARBONE ORGANIQUE TOTAL (CALC.)","P"
"AL11AA0002","2006-08-28 11:00","","6.7200","","","6301","MG/L","CARBONATE (CALCD.)","CARBONATE (CALC)","P"
"AL11AA0002","2006-08-28 11:00","","26.3000","","","17209","MG/L","CHLORIDE DISSOLVED","CHLORURE DISSOUS","P"
"AL11AA0002","2006-08-28 11:00","","260.0000","","","36012","NO/100ML","COLIFORMS FECAL","COLIFORMES FÉCAUX","P"
"AL11AA0002","2006-08-28 11:00","","200.0000","","","97703","NO/100ML","E. COLI","E. COLI","P"
"AL11AA0002","2006-08-28 11:00","",".1800","","","97958","MG/L","FLUORIDE DISSOLVED","FLUORURE DISSOUS","P"
"AL11AA0002","2006-08-28 11:00","","187.7030","","","10650","MG/L","HARDNESS NON-CARB. (CALCD.)","DURETÉ NON-CARB. (CALC.)","P"
"AL11AA0002","2006-08-28 11:00","","392.7030","","","10602","MG/L","HARDNESS TOTAL (CALCD.) CACO3","DURETÉ TOTALE (CALC.) CACO3","P"
"AL11AA0002","2006-08-28 11:00","",".0000","","","8501","MG/L","HYDROXIDE (CALCD.)","HYDROXYDE (CALC.)","P"
"AL11AA0002","2006-08-28 11:00","","61.3000","","","12102","MG/L","MAGNESIUM DISSOLVED","MAGNÉSIUM DISSOUS","P"
"AL11AA0002","2006-08-28 11:00","<",".0100","","","7110","MG/L","NITROGEN DISSOLVED NO3 & NO2","AZOTE DISSOUS NO3 & NO2","P"
"AL11AA0002","2006-08-28 11:00","",".1080","","","7901","MG/L","NITROGEN PARTICULATE","AZOTE PARTICULAIRE","P"
"AL11AA0002","2006-08-28 11:00","","1.0390","","","7603","MG/L","NITROGEN TOTAL (CALCD.)","AZOTE TOTAL (CALC.)","P"
"AL11AA0002","2006-08-28 11:00","",".9310","","","7657","MG/L","NITROGEN TOTAL DISSOLVED","AZOTE TOTAL DISSOUS","P"
"AL11AA0002","2006-08-28 11:00","<",".0020","","","15265","MG/L","ORTHOPHOSPHORUS DISSOLVED","ORTHOPHOSPHORE DISSOUS","P"
"AL11AA0002","2006-08-28 11:00","","8.5100","","","8102","MG/L","OXYGEN DISSOLVED","OXYGÈNE DISSOUS","P"
"AL11AA0002","2006-08-28 11:00","","8.4800","","","10301","PH UNITS","PH","PH","P"
"AL11AA0002","2006-08-28 11:00","","8.6800","","","109026","PH UNITS","PH","PH","P"
"AL11AA0002","2006-08-28 11:00","",".0220","","","15901","MG/L","PHOSPHORUS PARTICULATE (CALCD.)","PHOSPHORE PARTICULAIRE (CALC.)","P"
"AL11AA0002","2006-08-28 11:00","",".0330","","","15423","MG/L","PHOSPHORUS TOTAL","PHOSPHORE TOTAL","P"
