SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
QU02LB9001,2016-04-05 10:20,,0.019,0.002,0.002,104254,MG/L,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORUS TOTAL DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.077,0.002,0.002,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
QU02LB9001,2016-04-05 10:20,,0.78,0.02,0.02,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.009,0.002,0.002,104254,MG/L,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORUS TOTAL DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.022,0.002,0.002,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
QU02LB9001,2016-04-19 09:35,,2.32,0.03,0.03,109747,NG/L,MERCURY TOTAL,MERCURE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.88,0.1,0.1,8250,µG/L,CHLOROPHYLL A,CHLOROPHYLLE A,P
QU02LB9001,2016-04-19 09:35,,0.04,0.02,0.02,8251,MG/L,NITROGEN PARTICULATE ORGANIC,AZOTE ORGANIQUE PARTICULAIRE,P
QU02LB9001,2016-04-19 09:35,,6.28,0.25,0.25,8258,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.57,0.02,0.02,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
QU02LB9001,2016-04-19 09:35,,534,,,8225,µG/L,IRON TOTAL RECOVERABLE,FER RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.7,,,8226,µG/L,LITHIUM TOTAL RECOVERABLE,LITHIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,13.3,,,8227,µG/L,MANGANESE TOTAL RECOVERABLE,MANGANÈSE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,2.4,,,8228,µG/L,ZINC TOTAL RECOVERABLE,ZINC RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.04,,,8229,µG/L,ANTIMONY TOTAL RECOVERABLE,ANTIMOINE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.34,,,8230,µG/L,ARSENIC TOTAL RECOVERABLE,ARSENIC RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,<,0.01,0.01,0.01,8231,µG/L,CADMIUM TOTAL RECOVERABLE,CADMIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,1.01,,,8232,µG/L,CHROMIUM TOTAL RECOVERABLE,CHROME  RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.2,0.02,0.02,8233,µG/L,COBALT TOTAL RECOVERABLE,COBALT RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.23,0.03,0.03,8236,µG/L,LEAD TOTAL RECOVERABLE,PLOMB RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.2,0.02,0.02,8237,µG/L,MOLYBDENUM TOTAL RECOVERABLE,MOLYBDÈNE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.87,,,8238,µG/L,NICKEL  TOTAL RECOVERABLE,NICKEL  RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,0.11,,,8240,µG/L,SELENIUM TOTAL RECOVERABLE,SÉLÉNIUM TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-04-19 09:35,,59.1,,,8241,µG/L,STRONTIUM TOTAL RECOVERABLE,STRONTIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,,1.07,,,8244,µG/L,VANADIUM TOTAL RECOVERABLE,VANADIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-19 09:35,<,0.005,0.005,0.005,8247,µG/L,SILVER TOTAL RECOVERABLE,ARGENT TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-04-19 09:35,,7,1,1,951,MG/L,TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUES OR TOTAL SUSPENDED MATERIALS),SOLIDES TOTAUX EN SUSPENSION (OU RÉSIDUS NON FILTRABLES TOTAUX OU MATIÈRES EN SUSPENSION TOTALES),P
QU02LB9001,2016-04-19 09:35,,0.013,0.003,0.003,962,MG/L N,AMMONIA DISSOLVED,AZOTE AMMONIACAL DISSOUS,P
QU02LB9001,2016-04-19 09:35,,6.25,0.002,0.002,967,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.024,0.001,0.001,968,MG/L N,NITROGEN DISSOLVED NITRITE,AZOTE DISSOUS NITRITES,P
QU02LB9001,2016-04-19 09:35,,5.66,0.002,0.002,969,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.279,0.001,0.001,970,MG/L N,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
QU02LB9001,2016-04-19 09:35,,0.27,0.06,0.06,977,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
QU02LB9001,2016-04-19 09:35,,0.005,0.002,0.002,1043,MG/L P,ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHATE DISSOUS,P
QU02LB9001,2016-04-19 09:35,,1.41,0.03,0.03,1328,NG/L,MERCURY DISSOLVED,MERCURE DISSOUS,P
QU02LB9001,2016-04-19 09:35,,8.1,0.2,0.2,4755,NTU,TURBIDITY,TURBIDITÉ,P
QU02LB9001,2016-04-19 09:35,,40.5,1.5,1.5,6207,µG/L,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.04,0.01,0.01,6208,µG/L,ANTIMONY DISSOLVED,ANTIMOINE DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.244,0.025,0.025,6209,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
QU02LB9001,2016-04-19 09:35,,13.7,0.07,0.07,6210,µG/L,BARIUM DISSOLVED,BARYUM DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.063,0.005,0.005,6214,µG/L,CADMIUM DISSOLVED,CADMIUM DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.207,0.015,0.015,6215,µG/L,CHROMIUM DISSOLVED,CHROME DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.04,0.01,0.01,6216,µG/L,COBALT DISSOLVED,COBALT DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.82,0.06,0.06,6217,µG/L,COPPER DISSOLVED,CUIVRE DISSOUS,P
QU02LB9001,2016-04-19 09:35,,66.2,0.25,0.25,6219,µG/L,IRON DISSOLVED,FER DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.03,0.01,0.01,6221,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.4,0.1,0.1,6222,µG/L,LITHIUM DISSOLVED,LITHIUM DISSOUS,P
QU02LB9001,2016-04-19 09:35,,3.28,0.15,0.15,6223,µG/L,MANGANESE DISSOLVED,MANGANÈSE DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.19,0.05,0.05,6224,µG/L,MOLYBDENUM DISSOLVED,MOLYBDÈNE DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.463,0.025,0.025,6225,µG/L,NICKEL DISSOLVED,NICKEL  DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.057,0.025,0.025,6227,µG/L,SELENIUM DISSOLVED,SÉLÉNIUM DISSOUS,P
QU02LB9001,2016-04-19 09:35,<,0.002,0.002,0.002,6228,µG/L,SILVER DISSOLVED,ARGENT DISSOUS,P
