"SITE_NO","DATE_TIME_HEURE","FLAG_MARQUEUR","VALUE_VALEUR","SDL_LDE","MDL_LDM","VMV_CODE","UNIT_UNITE","VARIABLE","VARIABLE_FR","STATUS_STATUT"
"NW06MA0001","2000-02-17 14:30","","7.2000","","","10111","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P"
"NW06MA0001","2000-02-17 14:30","<",".0500","","","100081","MG/L","ALUMINUM EXTRACTABLE","ALUMINIUM EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","",".0080","","","100216","MG/L","ALUMINUM TOTAL","ALUMINIUM TOTAL","P"
"NW06MA0001","2000-02-17 14:30","",".0210","","","7557","MG/L","AMMONIA DISSOLVED","AMMONIAQUE DISSOUS","P"
"NW06MA0001","2000-02-17 14:30","",".0000","","","7570","MG/L","AMMONIA UN-IONIZED (CALCD.)","AZOTE AMMONIACAL NON IONISÉ (CALC.)","P"
"NW06MA0001","2000-02-17 14:30","",".0001","","","100253","MG/L","ARSENIC DISSOLVED","ARSENIC DISSOUS","P"
"NW06MA0001","2000-02-17 14:30","",".0200","","","100082","MG/L","BARIUM EXTRACTABLE","BARYUM EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","",".0196","","","100217","MG/L","BARIUM TOTAL","BARYUM TOTAL","P"
"NW06MA0001","2000-02-17 14:30","<",".0010","","","100083","MG/L","BERYLLIUM EXTRACTABLE","BÉRYLLIUM EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","<",".0500","","","100218","UG/L","BERYLLIUM TOTAL","BÉRYLLIUM TOTAL","P"
"NW06MA0001","2000-02-17 14:30","",".0100","","","100097","MG/L","BORON EXTRACTABLE","BORE EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","<",".0050","","","100084","MG/L","CADMIUM EXTRACTABLE","CADMIUM EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","<",".0001","","","100219","MG/L","CADMIUM TOTAL","CADMIUM TOTAL","P"
"NW06MA0001","2000-02-17 14:30","","2.1200","","","100431","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P"
"NW06MA0001","2000-02-17 14:30","","2.3000","","","100098","MG/L","CALCIUM EXTRACTABLE/UNFILTERED","CALCIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW06MA0001","2000-02-17 14:30","","2.2800","","","100232","MG/L","CALCIUM TOTAL","CALCIUM TOTAL","P"
"NW06MA0001","2000-02-17 14:30","","1.2720","","","6401","MG/L","CARBON DIOXIDE FREE (CALC)","DIOXYDE DE CARBONE LIBRE (CALC.)","P"
"NW06MA0001","2000-02-17 14:30","","1.2000","","","100300","MG/L","CARBON DISSOLVED INORGANIC","CARBONE INORGANIQUE DISSOUS","P"
"NW06MA0001","2000-02-17 14:30","","3.7000","","","6104","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P"
"NW06MA0001","2000-02-17 14:30","",".0460","","","6902","MG/L","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P"
"NW06MA0001","2000-02-17 14:30","","3.7460","","","6002","MG/L","CARBON TOTAL ORGANIC (CALCD.)","CARBONE ORGANIQUE TOTAL (CALC.)","P"
"NW06MA0001","2000-02-17 14:30","","1.6400","","","17206","MG/L","CHLORIDE DISSOLVED","CHLORURE DISSOUS","P"
"NW06MA0001","2000-02-17 14:30","<",".0050","","","100086","MG/L","CHROMIUM EXTRACTABLE","CHROME EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","<",".0002","","","100221","MG/L","CHROMIUM TOTAL","CHROME TOTAL","P"
"NW06MA0001","2000-02-17 14:30","<",".0050","","","100085","MG/L","COBALT EXTRACTABLE","COBALT EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","<",".0001","","","100220","MG/L","COBALT TOTAL","COBALT TOTAL","P"
"NW06MA0001","2000-02-17 14:30","","10.0000","","","2021","REL UNITS","COLOUR TRUE","COULEUR VRAIE","P"
"NW06MA0001","2000-02-17 14:30","<",".0050","","","100087","MG/L","COPPER EXTRACTABLE","CUIVRE EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","",".0006","","","100222","MG/L","COPPER TOTAL","CUIVRE TOTAL","P"
"NW06MA0001","2000-02-17 14:30","",".0500","","","9117","MG/L","FLUORIDE DISSOLVED","FLUORURE DISSOUS","P"
"NW06MA0001","2000-02-17 14:30","","2.3750","","","10650","MG/L","HARDNESS NON-CARB. (CALCD.)","DURETÉ NON-CARB. (CALC.)","P"
"NW06MA0001","2000-02-17 14:30","","9.5750","","","10602","MG/L","HARDNESS TOTAL (CALCD.) CACO3","DURETÉ TOTALE (CALC.) CACO3","P"
"NW06MA0001","2000-02-17 14:30","",".0120","","","100088","MG/L","IRON EXTRACTABLE","FER EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","",".0116","","","100223","MG/L","IRON TOTAL","FER TOTAL","P"
"NW06MA0001","2000-02-17 14:30","<",".0200","","","100093","MG/L","LEAD EXTRACTABLE","PLOMB EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","<",".0002","","","100228","MG/L","LEAD TOTAL","PLOMB TOTAL","P"
"NW06MA0001","2000-02-17 14:30","<",".0050","","","100089","MG/L","LITHIUM EXTRACTABLE","LITHIUM EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","",".0009","","","100224","MG/L","LITHIUM TOTAL","LITHIUM TOTAL","P"
"NW06MA0001","2000-02-17 14:30","","1.0400","","","100432","MG/L","MAGNESIUM DISSOLVED","MAGNÉSIUM DISSOUS","P"
"NW06MA0001","2000-02-17 14:30","","1.1000","","","100099","MG/L","MAGNESIUM EXTRACTABLE/UNFILTERED","MAGNÉSIUM EXTRACTIBLE/NON FILTRÉ","P"
"NW06MA0001","2000-02-17 14:30","","1.0200","","","100233","MG/L","MAGNESIUM TOTAL","MAGNÉSIUM TOTAL","P"
"NW06MA0001","2000-02-17 14:30","",".0020","","","100090","MG/L","MANGANESE EXTRACTABLE","MANGANÈSE EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","",".0016","","","100225","MG/L","MANGANESE TOTAL","MANGANÈSE TOTAL","P"
"NW06MA0001","2000-02-17 14:30","<",".0050","","","100091","MG/L","MOLYBDENUM EXTRACTABLE","MOLYBDÈNE EXTRACTIBLE","P"
"NW06MA0001","2000-02-17 14:30","<",".0001","","","100226","MG/L","MOLYBDENUM TOTAL","MOLYBDÈNE TOTAL","P"
"NW06MA0001","2000-02-17 14:30","<",".0100","","","100092","MG/L","NICKEL EXTRACTABLE","NICKEL EXTRACTIBLE","P"
