SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
NB01AJ0008,2006-09-08 08:30, ,146.8,,,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NB01AJ0008,2006-09-08 08:30, ,147.4,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NB01AJ0008,2006-09-08 08:30, ,24.2,,,110688,µG/L,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30,<,0.1,,,110689,µG/L,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,0.5,,,110690,µG/L,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,16.1,,,110691,µG/L,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30,<,0.1,,,110692,µG/L,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30,<,0.1,,,110694,µG/L,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,57.88,,,102952,MG/L,CALCIUM DISSOLVED,CALCIUM DISSOUS,P
NB01AJ0008,2006-09-08 08:30, ,36.4,,,3022,MG/L,CARBON TOTAL INORGANIC,CARBONE INORGANIQUE TOTAL,P
NB01AJ0008,2006-09-08 08:30, ,5.2,,,3019,MG/L,"CARBON, TOTAL ORGANIC (NON PURGEABLE)","CARBONE, TOTAL ORGANIQUE (NON PURGEABLE)",P
NB01AJ0008,2006-09-08 08:30, ,9.88,,,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NB01AJ0008,2006-09-08 08:30,<,0.4,,,110695,µG/L,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,0.1,,,110696,µG/L,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,11,,,2011,REL UNIT,COLOUR APPARENT,COULEUR APPARENTE,P
NB01AJ0008,2006-09-08 08:30, ,324.7,,,109027,µS/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NB01AJ0008,2006-09-08 08:30, ,0.7,,,110697,µG/L,COPPER  EXTRACTABLE,CUIVRE EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,0.19,,,7315,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NB01AJ0008,2006-09-08 08:30, ,0.09,,,102082,MG/L,IRON EXTRACTABLE,FER EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30,<,0.1,,,110698,µG/L,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,4.89,,,102953,MG/L,MAGNESIUM DISSOLVED,MAGNÉSIUM DISSOUS,P
NB01AJ0008,2006-09-08 08:30, ,22.1,,,110699,µG/L,MANGANESE EXTRACTABLE,MANGANÈSE EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30,<,0.1,,,110700,µG/L,MOLYBDENUM EXTRACTABLE,MOLYBDÈNE EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,0.3,,,110701,µG/L,NICKEL EXTRACTABLE,NICKEL  EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,0.43,,,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
NB01AJ0008,2006-09-08 08:30, ,8.15,,,110002,MG/L,OXYGEN DISSOLVED,OXYGÈNE DISSOUS,P
NB01AJ0008,2006-09-08 08:30, ,8.39,,,10301,PH,PH,PH,P
NB01AJ0008,2006-09-08 08:30, ,7.52,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NB01AJ0008,2006-09-08 08:30, ,0.014,,,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NB01AJ0008,2006-09-08 08:30, ,1.52,,,102954,MG/L,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,2006-09-08 08:30,<,0.1,,,110706,µG/L,SILVER EXTRACTABLE,ARGENT EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,5.1,,,102955,MG/L,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,P
NB01AJ0008,2006-09-08 08:30, ,340,,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NB01AJ0008,2006-09-08 08:30, ,428.6,,,110702,µG/L,STRONTIUM EXTRACTABLE,STRONTIUM EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,7.66,,,16309,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NB01AJ0008,2006-09-08 08:30, ,14.65,,,109028,DEG C,TEMPERATURE WATER (FIELD),TEMPÉRATURE DE L'EAU (TERRAIN),P
NB01AJ0008,2006-09-08 08:30, ,0.5,,,110703,µG/L,TITANIUM EXTRACTABLE,TITANE EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,0.2,,,2073,JTU,TURBIDITY,TURBIDITÉ,P
NB01AJ0008,2006-09-08 08:30, ,1.6,,,110001,NTU,TURBIDITY (FIELD),TURBIDITÉ (TERRAIN),P
NB01AJ0008,2006-09-08 08:30, ,0.2,,,110704,µG/L,VANADIUM EXTRACTABLE,VANADIUM EXTRACTIBLE,P
NB01AJ0008,2006-09-08 08:30, ,0.4,,,110705,µG/L,ZINC EXTRACTABLE,ZINC EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,104.4,,,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NB01AJ0008,2006-11-01 08:00, ,104.7,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NB01AJ0008,2006-11-01 08:00, ,76.8,,,110688,µG/L,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00,<,0.1,,,110689,µG/L,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,0.5,,,110690,µG/L,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,10.8,,,110691,µG/L,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00,<,0.1,,,110692,µG/L,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00,<,0.1,,,110694,µG/L,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,42.1,,,102952,MG/L,CALCIUM DISSOLVED,CALCIUM DISSOUS,P
NB01AJ0008,2006-11-01 08:00, ,24.9,,,100531,MG/L,CARBON TOTAL INORGANIC,CARBONE INORGANIQUE TOTAL,P
NB01AJ0008,2006-11-01 08:00, ,6.1,,,6010,MG/L,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,P
NB01AJ0008,2006-11-01 08:00, ,7.24,,,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NB01AJ0008,2006-11-01 08:00,<,0.4,,,110695,µG/L,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,0.1,,,110696,µG/L,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,24,,,2011,REL UNIT,COLOUR APPARENT,COULEUR APPARENTE,P
NB01AJ0008,2006-11-01 08:00, ,236.8,,,109027,µS/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NB01AJ0008,2006-11-01 08:00, ,0.8,,,110697,µG/L,COPPER  EXTRACTABLE,CUIVRE EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,0.48,,,7315,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NB01AJ0008,2006-11-01 08:00, ,0.11,,,102082,MG/L,IRON EXTRACTABLE,FER EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,0.1,,,110698,µG/L,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,3.34,,,102953,MG/L,MAGNESIUM DISSOLVED,MAGNÉSIUM DISSOUS,P
NB01AJ0008,2006-11-01 08:00, ,22.5,,,110699,µG/L,MANGANESE EXTRACTABLE,MANGANÈSE EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00,<,0.1,,,110700,µG/L,MOLYBDENUM EXTRACTABLE,MOLYBDÈNE EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,0.4,,,110701,µG/L,NICKEL EXTRACTABLE,NICKEL  EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,0.71,,,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
NB01AJ0008,2006-11-01 08:00, ,12.34,,,110002,MG/L,OXYGEN DISSOLVED,OXYGÈNE DISSOUS,P
NB01AJ0008,2006-11-01 08:00, ,8.21,,,10301,PH,PH,PH,P
NB01AJ0008,2006-11-01 08:00, ,7.95,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NB01AJ0008,2006-11-01 08:00, ,0.018,,,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NB01AJ0008,2006-11-01 08:00, ,1,,,102954,MG/L,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,2006-11-01 08:00,<,0.1,,,110706,µG/L,SILVER EXTRACTABLE,ARGENT EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,3.67,,,102955,MG/L,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,P
NB01AJ0008,2006-11-01 08:00, ,246,,,2041,µS/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NB01AJ0008,2006-11-01 08:00, ,272,,,110702,µG/L,STRONTIUM EXTRACTABLE,STRONTIUM EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,7.85,,,16309,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NB01AJ0008,2006-11-01 08:00, ,5.14,,,109028,DEG C,TEMPERATURE WATER (FIELD),TEMPÉRATURE DE L'EAU (TERRAIN),P
NB01AJ0008,2006-11-01 08:00, ,1,,,110703,µG/L,TITANIUM EXTRACTABLE,TITANE EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,0.5,,,2073,JTU,TURBIDITY,TURBIDITÉ,P
NB01AJ0008,2006-11-01 08:00, ,2.2,,,110001,NTU,TURBIDITY (FIELD),TURBIDITÉ (TERRAIN),P
NB01AJ0008,2006-11-01 08:00, ,0.2,,,110704,µG/L,VANADIUM EXTRACTABLE,VANADIUM EXTRACTIBLE,P
NB01AJ0008,2006-11-01 08:00, ,0.4,,,110705,µG/L,ZINC EXTRACTABLE,ZINC EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00, ,139.4,,,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NB01AJ0008,2006-12-05 16:00, ,140,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NB01AJ0008,2006-12-05 16:00, ,33.6,,,110688,µG/L,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00,<,0.1,,,110689,µG/L,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00, ,0.4,,,110690,µG/L,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00, ,13,,,110691,µG/L,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00,<,0.1,,,110692,µG/L,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00,<,0.1,,,110694,µG/L,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00, ,57.4,,,102952,MG/L,CALCIUM DISSOLVED,CALCIUM DISSOUS,P
NB01AJ0008,2006-12-05 16:00, ,34.1,,,100531,MG/L,CARBON TOTAL INORGANIC,CARBONE INORGANIQUE TOTAL,P
NB01AJ0008,2006-12-05 16:00, ,4,,,6010,MG/L,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,P
NB01AJ0008,2006-12-05 16:00, ,9.1,,,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NB01AJ0008,2006-12-05 16:00,<,0.4,,,110695,µG/L,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00,<,0.1,,,110696,µG/L,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00, ,7,,,2011,REL UNIT,COLOUR APPARENT,COULEUR APPARENTE,P
NB01AJ0008,2006-12-05 16:00, ,306,,,109027,µS/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NB01AJ0008,2006-12-05 16:00, ,0.5,,,110697,µG/L,COPPER  EXTRACTABLE,CUIVRE EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00, ,1.22,,,7315,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NB01AJ0008,2006-12-05 16:00, ,0.08,,,102082,MG/L,IRON EXTRACTABLE,FER EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00,<,0.1,,,110698,µG/L,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,P
NB01AJ0008,2006-12-05 16:00, ,4.36,,,102953,MG/L,MAGNESIUM DISSOLVED,MAGNÉSIUM DISSOUS,P
