COL_TITLE_TITRE,COL_TITLE_FULL,COL_TITRE_COMPLET,COL_DESCRIPTION,COL_DESCRIPTION_FR
COL_DESCRIPTION,COLUMN HEADER DESCRIPTION,DESCRIPTION DE L'EN-TÊTE DE COLONNE,COLUMN HEADER DESCRIPTION,DESCRIPTION DE L'EN-TÊTE DE COLONNE
COL_DESCRIPTION_FR,COLUMN HEADER DESCRIPTION (FRENCH),DESCRIPTION DE L'EN-TÊTE DE COLONNE (FRANÇAIS),COLUMN HEADER DESCRIPTION (FRENCH),DESCRIPTION DE L'EN-TÊTE DE COLONNE (FRANÇAIS)
COL_TITLE_FULL,FULL COLUMN HEADER TITLE,TITRE COMPLET DE L'EN-TÊTE DE COLONNE,FULL COLUMN HEADER TITLE,TITRE COMPLET DE L'EN-TÊTE DE COLONNE
COL_TITLE_TITRE,COLUMN HEADER TITLE,TITRE DE L'EN-TÊTE DE COLONNE,COLUMN HEADER TITLE,TITRE DE L'EN-TÊTE DE COLONNE
COL_TITRE_COMPLETE,FULL COLUMN HEADER TITLE (FRENCH),TITRE COMPLET DE L'EN-TÊTE DE COLONNE (FRANÇAIS),FULL COLUMN HEADER TITLE (FRENCH),TITRE COMPLET DE L'EN-TÊTE DE COLONNE (FRANÇAIS)
DATA_URL,URL LINK TO DATA ,HYPERLIEN URL VERS LES DONNÉES,"LINK TO EXTERNAL DATA, OR DATA AVAILABLE THROUGH AN EXISTING ONLINE APPLICATION","HYPERLIEN VERS LES DONNÉES EXTERNES, OU VERS LES DONNÉES DISPONIBLES À TRAVERS UNE APPLICATION EN LIGNE EXISTANTE"
DATA_URL_FR,URL LINK TO DATA (FRENCH),HYPERLIEN URL VERS DONNÉES (FRANÇAIS),"LINK TO EXTERNAL DATA, OR DATA AVAILABLE THROUGH AN EXISTING ONLINE APPLICATION (FRENCH)","HYPERLIEN VERS LES DONNÉES EXTERNES, OU VERS LES DONNÉES DISPONIBLES À TRAVERS UNE APPLICATION EN LIGNE EXISTANTE (FRANÇAIS)"
DATE_TIME_HEURE,SAMPLE DATE AND TIME,DATE ET HEURE DE L'ÉCHANTILLON,SAMPLE DATE AND TIME IN DD/MM/YYYY HH:MM FORMAT USING LOCAL TIME ZONE,DATE ET HEURE DE L'ÉCHANTILLON EN FORMAT JJ/MM/AAAA HH:MM UTILISANT LA FUSEAU HORAIRE LOCAL
DATUM,DATUM,SYSTÈME GÉODÉSIQUE,DATUM USED FOR LATITUDE AND LONGITUDE,SYSTÈME GÉODÉSIQUE UTILISÉ POUR LA LATITUDE ET LA LONGITUDE
FLAG_MARQUEUR,MEASUREMENT FLAG,MARQUEUR DE MESURE,"FLAG APPLICABLE TO MEASUREMENT VALUE (<-LESS THAN, T-TRACE VALUE REPORTED BELOW DETECTION LIMIT BY LABORATORY)","MARQUEUR APPLICABLE À LA VALEUR DE MESURE (< PLUS PETIT QUE, T-VALEUR TRACE RAPPORTÉE SOUS LA LIMITE DE DÉTECTION PAR LE LABORATOIRE)"
LATITUDE,LATITUDE,LATITUDE,LATITUDE IN DECIMAL DEGREES FOR THE NOTED DATUM,LATITUDE EN DEGRÉS DÉCIMAUX POUR LE SYSTÈME GÉODÉSIQUE NOTÉ
LONGITUDE,LONGITUDE,LONGITUDE,LONGITUDE IN DECIMAL DEGREES FOR THE NOTED DATUM,LONGITUDE EN DEGRÉS DÉCIMAUX POUR LE SYSTÈME GÉODÉSIQUE NOTÉ
MDL_LDM,METHOD DETECTION LIMIT,LIMITE DE DÉTECTION DE LA MÉTHODE,METHOD DETECTION LIMIT REPORTED BY THE LABORATORY FOR THE NOTED METHOD,LIMITE DE DÉTECTION DE LA MÉTHODE RAPPORTÉE PAR LE LABORATOIRE POUR LA MÉTHODE NOTÉE
METHOD_CODE,METHOD CODE,CODE DE LA MÉTHODE,NUMERIC ANALYTICAL METHOD CODE FROM THE NATIONAL VMV DICTIONARY,CODE NUMÉRIQUE DE LA MÉTHODE ANALYTIQUE DU DICTIONNAIRE VMV NATIONAL
METHOD_TITLE,SHORT METHOD TITLE,TITRE ABRÉGÉ DE LA MÉTHODE,SHORT METHOD TITLE FROM THE NATIONAL VMV DICTIONARY.  FULL METHOD DESCRIPTIONS AVAILABLE UPON REQUEST AT EC.MSQEINFORMATION-WQMSINFORMATION.EC@CANADA.CA,TITRE ABRÉGÉ DE LA MÉTHODE DU DICTIONNAIRE VMV NATIONAL.  LES DESCRIPTIONS COMPLÈTES DES MÉTHODE SONT DISPONIBLES SUR DEMANDE À EC.MSQEINFORMATION-WQMSINFORMATION.EC@CANADA.CA
MÉTHODE_TITRE,SHORT METHOD TITLE (FRENCH),TITRE ABRÉGÉ DE LA MÉTHODE (FRANÇAIS),SHORT METHOD TITLE FROM THE NATIONAL VMV DICTIONARY.  FULL METHOD DESCRIPTIONS AVAILABLE UPON REQUEST AT EC.MSQEINFORMATION-WQMSINFORMATION.EC@CANADA.CA (FRENCH),TITRE ABRÉGÉ DE LA MÉTHODE (FRANÇAIS). LES DESCRIPTIONS COMPLÈTES DES MÉTHODES SONT DISPONIBLES SUR DEMANDE À EC.MSQEINFORMATION-WQMSINFORMATION.EC@CANADA.CA
OCEANDA,OCEAN DRAINAGE AREA,BASSIN VERSANT OCÉANIQUE,OCEAN DRAINAGE AREA THAT MONITORING SITE IS LOCATED IN ,BASSIN VERSANT OCÉANIQUE OÙ LE SITE DE MONITORING EST SITUÉ
OCEANDA_FR,OCEAN DRAINAGE AREA (FRENCH),BASSIN VERSANT OCÉANIQUE (FRANÇAIS),OCEAN DRAINAGE AREA THAT MONITORING SITE IS LOCATED IN (FRENCH),BASSIN VERSANT OCÉANIQUE OÙ LE SITE DE MONITORING EST SITUÉ (FRANÇAIS)
PEARSEDA,PEARSE DRAINAGE AREA,BASSIN VERSANT PEARSE,PEARSE DRAINAGE AREA THAT MONITORING SITE IS LOCATED IN ,BASSIN VERSANT PEARSE OÙ LE SITE DE MONITORING EST SITUÉ
PEARSEDA_FR,PEARSE DRAINAGE AREA (FRENCH),BASSIN VERSANT PEARSE (FRANÇAIS),PEARSE DRAINAGE AREA THAT MONITORING SITE IS LOCATED IN (FRENCH),BASSIN VERSANT PEARSE OÙ LE SITE DE MONITORING EST SITUÉ (FRANÇAIS)
PROV_TERR,PROVINCE/TERRITORY,PROVINCE/TERRITOIRE,PROVINCE OR TERRITORY THAT MONITORING SITE IS LOCATED IN,PROVINCE OU TERRITOIRE OÙ LE SITE DE MONITORING EST SITUÉ
SDL_LDE,SAMPLE DETECTION LIMIT,LIMITE DE DÉTECTION DE L'ÉCHANTILLON,"SAMPLE DETECTION LIMIT REPORTED BY THE LABORATORY FOR THE SPECIFIC ANALYIS OF THE REPORTED MEASUREMENT.  ELEVATED SAMPLE DETECTION LIMIT ABOVE METHOD DETECTION LIMITS MAY INDICATE DILUTION, MATRIX INTERFERENCE OR OTHER ISSUES WITH THE SPECIFIC ANALYSIS.","LA LIMITE DE DÉTECTION DE L'ÉCHANTILLON RAPPORTÉE PAR LE LABORATOIRE POUR L'ANALYSE SPÉCIFIQUE DE LA MESURE RAPPORTÉE.  DES LIMITES DE DÉTECTION DE L'ÉCHANTILLON ÉLEVÉES  SUPÉRIEURES AUX LIMITES DE DÉTECTION DE LA MÉTHODE PEUVENT INDIQUER UNE DILUTION, UNE INTERFÉRENCE MATRICIELLE OU D'AUTRES ENJEUX AVEC L'ANALYSE SPÉCIFIQUE."
SITE_DESC,SITE DESCRIPTION,DESCRIPTION DU SITE,"SITE DESCRIPTION THAT MAY INCLUDE SPECIFIC SAMPLING LOCATION, RATIONALE FOR MONITORING LOCATION (E.G. REFERENCE, UPSTREAM/DOWNSTREAM, ETC.), AND LOCAL LAND-USE INFORMATION. ","LA DESCRIPTION DU SITE QUI PEUT INCLURE UNE LOCALISATION D'ÉCHANTILLONNAGE SPÉCIFIQUE, UNE JUSTIFICATION POUR LA LOCALISATION DU MONITORING (P.EX., RÉFÉRENCE, AMONT/AVAL, ETC.) ET DE L'INFORMATION SUR L'UTILISATION LOCALE DU TERRITOIRE. "
SITE_DESC_FR,SITE DESCRIPTION (FRENCH),DESCRIPTION DU SITE (FRANÇAIS),"SITE DESCRIPTION THAT MAY INCLUDE SPECIFIC SAMPLING LOCATION, RATIONALE FOR MONITORING LOCATION (E.G. REFERENCE, UPSTREAM/DOWNSTREAM, ETC.), AND LOCAL LAND-USE INFORMATION. (FRENCH)","LA DESCRIPTION DU SITE QUI PEUT INCLURE UNE LOCALISATION D'ÉCHANTILLONNAGE SPÉCIFIQUE, UNE JUSTIFICATION POUR LA LOCALISATION DU SUIVI (P.EX., RÉFÉRENCE, AMONT/AVAL, ETC.) ET DE L'INFORMATION SUR L'UTILISATION LOCALE DU TERRITOIRE. (FRANÇAIS)"
SITE_NAME,SITE NAME,NOM DU SITE,FULL SITE NAME FROM MONITORING PROGRAM,NOM COMPLET DU SITE DU PROGRAMME DE MONITORING
SITE_NO,SITE NUMBER,NUMÉRO DU SITE,UNIQUE SITE NUMBER/IDENTIFICATION FROM MONITORING PROGRAM,NUMÉRO UNIQUE DU SITE DU PROGRAMME DE MONITORING
SITE_NOM_FR,SITE NAME (FRENCH),NOM DU SITE (FRANÇAIS),FULL SITE NAME FROM MONITORING PROGRAM (FRENCH),NOM COMPLET DU SITE DU PROGRAMME DE MONITORING (FRANÇAIS)
