"","SITE_ID","ECO_TYPE","DATE_COL","UNITS","LAT","LON","DOC","NO3 as N","PO4 as P"
"1","ECN_T02_1","River/Stream",2000-01-05,"mg/L",56.909267,-2.553372,5.57,0.168,0.003
"2","ECN_T04_3","River/Stream",2000-01-05,"mg/L",54.695042,-2.38785,7.6,0.13,0
"3","ECN_T04_4","River/Stream",2000-01-05,"mg/L",54.695042,-2.38785,9.4,0.07,0
"4","ECN_T04_2","River/Stream",2000-01-05,"mg/L",54.695042,-2.38785,8.7,0.05,0
"5","ECN_T04_1","River/Stream",2000-01-05,"mg/L",54.695042,-2.38785,8.7,0.05,0
"6","ECN_T07_1","River/Stream",2000-01-05,"mg/L",55.489853,-2.212033,4.81,0.512,0.021
"7","ECN_T04_5","River/Stream",2000-01-05,"mg/L",54.695042,-2.38785,8.8,0.02,0
"8","ECN_T08_3","River/Stream",2000-01-05,"mg/L",51.78135,-1.336058,3.8,1.37,0
"9","ECN_T08_2","River/Stream",2000-01-05,"mg/L",51.78135,-1.336058,2,7.1,0
"10","ECN_T08_1","River/Stream",2000-01-05,"mg/L",51.78135,-1.336058,3.9,24,0.016
"11","ECN_T07_2","River/Stream",2000-01-05,"mg/L",55.489853,-2.212033,1.1,0.269,0.02
"12","ECN_T11_1","River/Stream",2000-01-05,"mg/L",53.07455,-4.033511,0.33,0.227,0
"13","ECN_T08_4","River/Stream",2000-01-05,"mg/L",51.78135,-1.336058,5.8,0.706,0
"14","ECN_T08_4","River/Stream",2000-01-12,"mg/L",51.78135,-1.336058,6.4,0.312,0
"15","ECN_T11_1","River/Stream",2000-01-12,"mg/L",53.07455,-4.033511,0.29,0.177,0
"16","ECN_T08_3","River/Stream",2000-01-12,"mg/L",51.78135,-1.336058,3.6,1.06,0.005
"17","ECN_T08_2","River/Stream",2000-01-12,"mg/L",51.78135,-1.336058,2.6,6.02,0
"18","ECN_T08_1","River/Stream",2000-01-12,"mg/L",51.78135,-1.336058,3.8,21.3,0.005
"19","ECN_T07_1","River/Stream",2000-01-12,"mg/L",55.489853,-2.212033,1.09,0.372,0.023
"20","ECN_T07_2","River/Stream",2000-01-12,"mg/L",55.489853,-2.212033,2.35,0.292,0.018
"21","ECN_T05_2","River/Stream",2000-01-12,"mg/L",50.781933,-3.917806,10.72,0.076,0
"22","ECN_T05_3","River/Stream",2000-01-12,"mg/L",50.781933,-3.917806,2.99,0.718,0
"23","ECN_T05_1","River/Stream",2000-01-12,"mg/L",50.781933,-3.917806,1.28,0.966,0
"24","ECN_T04_5","River/Stream",2000-01-12,"mg/L",54.695042,-2.38785,6,0,0
"25","ECN_T04_4","River/Stream",2000-01-12,"mg/L",54.695042,-2.38785,7.1,0.069,0
"26","ECN_T04_3","River/Stream",2000-01-12,"mg/L",54.695042,-2.38785,6.1,0.118,0
"27","ECN_T04_2","River/Stream",2000-01-12,"mg/L",54.695042,-2.38785,6.5,0.03,0
"28","ECN_T04_1","River/Stream",2000-01-12,"mg/L",54.695042,-2.38785,7,0.069,0
