"","DATE_COL","SITE_ID","LAT","LON","ECO_TYPE","DOC","NO3 as N","PO4 as P","UNITS"
"1",2009,"EU_464","54.26571","13.02165","Lake",15.28,0.020001186,0.0156,"mg/L"
"2",2011,"EU_466","53.05711","15.79141","Lake",19.15,0.080004744,0.02375,"mg/L"
"3",2009,"EU_474","53.54579","12.3641","Lake",5.325,0.043752594375,0.0469,"mg/L"
"4",2010,"EU_512","53.80811","12.85865","Lake",9.55,0.6933741146469,0.03125,"mg/L"
"5",2009,"EU_525","53.49248","12.34323","Lake",8.175,0.088755262875,0.09675,"mg/L"
"6",2010,"EU_528","51.73846","10.89115","Lake",3.1,1.220072346,0.009,"mg/L"
"7",2009,"EU_544","53.73704","11.44971","Lake",7.7833,0.08833853816469,0.0326667,"mg/L"
"8",2012,"EU_550","49.87511","4.58871","Lake",4.6,0.3217930811982,0.00265132,"mg/L"
"9",2012,"EU_551","48.68901","6.92694","Lake",7.425,0.09879615826479,0.00342632,"mg/L"
"10",2012,"EU_552","48.75205","6.95191","Lake",7.075,0.1496058711021,0.0201908,"mg/L"
"11",2012,"EU_553","48.87073","7.02192","Lake",11.75,0.09879615826479,0.0177434,"mg/L"
"12",2012,"EU_555","50.78098","2.28893","Lake",9.39,1.063613068515,0.185184,"mg/L"
"13",2012,"EU_556","50.34443","3.49949","Lake",6.4375,0.03556660897485,0.0428289,"mg/L"
"14",2011,"EU_602","59.55165","25.78497","River/Stream",16.222,2.780164854,0.02025,"mg/L"
"15",2011,"EU_603","58.38563","26.13426","River/Stream",13.75,0.3916902258531,0.01125,"mg/L"
"16",2012,"EU_773","57.04211","24.32553","Lake",12.05,0.1523420333469,0.0361167,"mg/L"
"17",2012,"EU_779","56.1877","25.48058","Lake",9.4,0.090005337,0.0027,"mg/L"
"18",2011,"EU_862","52.4919","15.5387","Lake",12,0.10000593,0.02,"mg/L"
"19",2011,"EU_886","55.04826","-7.95364","Lake",18.5667,0.040002372,0.01,"mg/L"
"20",2011,"EU_890","55.03012","-7.9821","Lake",10.8833,0.0480028464,0.01,"mg/L"
"21",2011,"EU_891","54.99348","-8.28172","Lake",9.5,0.0440026092,0.01,"mg/L"
"22",2011,"EU_893","54.95433","-8.10431","Lake",7.21667,0.05466994173531,0.01,"mg/L"
"23",2011,"EU_895","55.05901","-7.72028","Lake",16.6,0.1570093101,0.0116667,"mg/L"
"24",2012,"EU_900","52.51794","-8.53273","Lake",6,0.18781113654,0.00906818,"mg/L"
"25",2007,"EU_1011","43.97803","11.26775","Lake",3.31,0.350020755,0.00958333,"mg/L"
"26",2012,"EU_1186","57.39759","-4.3347","Lake",4.0768,0.15740933382,0.0045,"mg/L"
"27",2012,"EU_1192","58.34294","-4.94774","Lake",4.5115,0.09380556234,0.0045,"mg/L"
"28",2012,"EU_1193","58.47385","-4.62181","Lake",5.9364,0.09380556234,0.0045,"mg/L"
"29",2012,"EU_1202","56.83758","24.43136","River/Stream",20.4,0.4673607128469,0.051,"mg/L"
"30",2009,"EU_1219","47.04019","16.10841","River/Stream",2.3417,1.968446721969,0.0260833,"mg/L"
"31",2010,"EU_1219","47.04019","16.10841","River/Stream",1.95833,1.69760066175,0.0246667,"mg/L"
"32",2011,"EU_1219","47.04019","16.10841","River/Stream",2.51818,1.609265423781,0.0257778,"mg/L"
"33",2012,"EU_1219","47.04019","16.10841","River/Stream",2.08889,1.596454664148,0.0357778,"mg/L"
"34",2009,"EU_1226","47.0764","16.08784","River/Stream",2.35,2.550151215,0.0323333,"mg/L"
"35",2010,"EU_1226","47.0764","16.08784","River/Stream",2.19167,2.49264780525,0.03525,"mg/L"
"36",2011,"EU_1226","47.0764","16.08784","River/Stream",2.59,2.450975334219,0.0372727,"mg/L"
"37",2012,"EU_1226","47.0764","16.08784","River/Stream",2.4,2.290135797,0.0428182,"mg/L"
"38",2010,"EU_1229","50.51583","3.42299","River/Stream",4.8769,4.65877624905,0.248,"mg/L"
"39",2011,"EU_1229","50.51583","3.42299","River/Stream",4.68845,4.7635533,0.2361,"mg/L"
"40",2012,"EU_1229","50.51583","3.42299","River/Stream",5.484615,4.7764296,0.227155,"mg/L"
"41",2009,"EU_1233","46.96774","15.48848","River/Stream",2.2917,1.088394537969,0.0183333,"mg/L"
"42",2010,"EU_1233","46.96774","15.48848","River/Stream",2.56667,1.1650690845,0.0248333,"mg/L"
"43",2011,"EU_1233","46.96774","15.48848","River/Stream",2.7875,1.150978248963,0.0229091,"mg/L"
"44",2012,"EU_1233","46.96774","15.48848","River/Stream",2.7,1.229162885037,0.0234545,"mg/L"
"45",2009,"EU_1237","46.7098","15.63399","River/Stream",2.5565,1.393122607272,0.0210435,"mg/L"
"46",2010,"EU_1237","46.7098","15.63399","River/Stream",2.53333,1.503009123156,0.0217917,"mg/L"
"47",2011,"EU_1237","46.7098","15.63399","River/Stream",3.05333,1.350510080499,0.0177941,"mg/L"
"48",2012,"EU_1237","46.7098","15.63399","River/Stream",2.41333,1.288826422875,0.0223529,"mg/L"
"49",2011,"EU_1267","55.1114","-7.83766","Lake",10.04,0.040002372,0.01,"mg/L"
"50",2011,"EU_757","54.95399","-8.33898","Lake",14.2833,0.06467053473531,0.0116667,"mg/L"
"51",2010,"EU_1275","49.75872","9.51558","River/Stream",2.516,7.440441192,0.13284,"mg/L"
"52",2011,"EU_1275","49.75872","9.51558","River/Stream",2.06154,7.073499433644,0.127731,"mg/L"
"53",2012,"EU_1275","49.75872","9.51558","River/Stream",2.45769,6.588850695678,0.147577,"mg/L"
"54",2010,"EU_1276","47.67529","8.79545","River/Stream",1.52308,0.8962071419322,0.005,"mg/L"
"55",2011,"EU_1276","47.67529","8.79545","River/Stream",1.51539,0.7346585626695,0.005,"mg/L"
"56",2012,"EU_1276","47.67529","8.79545","River/Stream",1.44231,0.7769690715339,0.005,"mg/L"
"57",2010,"EU_1277","47.57099","8.33859","River/Stream",1.86923,1.238533440678,0.012692,"mg/L"
"58",2011,"EU_1277","47.57099","8.33859","River/Stream",1.67692,1.115456142627,0.012615,"mg/L"
