"","SITE_ID","DATE_COL","DOC","NO3.as.N","PO4.as.P","UNITS","LAT","LON","ECO_TYPE"
"1","LAGOS_142130",2005-05-16,3.4,3.49,0.004,"mg/L",38.59432,-75.29099,"Lake"
"2","LAGOS_390649",2012-06-26,5.24,0.043,0.017,"mg/L",35.10417,-93.65028,"Lake"
"3","LAGOS_142130",2006-10-23,4.3,2.38,0.004,"mg/L",38.59432,-75.29099,"Lake"
"4","LAGOS_408132",2013-07-22,6.26,0.031,0.043,"mg/L",33.69667,-93.96111,"Lake"
"5","LAGOS_153842",2008-10-23,10.7,0.038,0.006,"mg/L",36.15083,-78.83,"Lake"
"6","LAGOS_152390",2008-04-28,5.18,0.01,0.0029349,"mg/L",35.6625,-78.61139,"Lake"
"7","LAGOS_142130",2011-09-08,7.6,1.44,0.013,"mg/L",38.59432,-75.29099,"Lake"
"8","LAGOS_142130",2006-02-21,3.6,3.92,0.007,"mg/L",38.59432,-75.29099,"Lake"
"9","LAGOS_142130",2008-11-17,7,2.22,0.016,"mg/L",38.59432,-75.29099,"Lake"
"10","LAGOS_142130",2008-03-24,3.6,3,0.01,"mg/L",38.59432,-75.29099,"Lake"
"11","LAGOS_142394",2005-07-25,7.2,1.16,0.003,"mg/L",38.6718,-75.18588,"Lake"
"12","LAGOS_142394",2010-01-19,2.6,1.23,0.006,"mg/L",38.6718,-75.18588,"Lake"
"13","LAGOS_142130",2010-07-26,3.9,1.66,0.022,"mg/L",38.59432,-75.29099,"Lake"
"14","LAGOS_142394",2013-01-28,4.7,2.48,0.018,"mg/L",38.6718,-75.18588,"Lake"
"15","LAGOS_142130",2013-11-18,3.5,3.64,0.016,"mg/L",38.59432,-75.29099,"Lake"
"16","LAGOS_142130",2013-06-11,10,1.08,0.022,"mg/L",38.59432,-75.29099,"Lake"
"17","LAGOS_142130",2012-12-11,4.3,3.27,0.015,"mg/L",38.59432,-75.29099,"Lake"
"18","LAGOS_142130",2002-09-16,5.5,2.01,0.008,"mg/L",38.59432,-75.29099,"Lake"
"19","LAGOS_142130",2014-08-18,5.6,1.65,0.011,"mg/L",38.59432,-75.29099,"Lake"
"20","LAGOS_142130",2000-06-13,4,2.62,0.005,"mg/L",38.59432,-75.29099,"Lake"
"21","LAGOS_142394",2000-07-19,6,0.104,0.005,"mg/L",38.6718,-75.18588,"Lake"
"22","LAGOS_141830",2000-07-20,5,0.62,0.01,"mg/L",38.59506,-75.31243,"Lake"
"23","LAGOS_142394",2001-05-16,4,0.485,0.01,"mg/L",38.6718,-75.18588,"Lake"
"24","LAGOS_248118",2002-08-20,3.958,0.16,0.01,"mg/L",32.89492,-87.78727,"Lake"
"25","LAGOS_409269",2012-05-22,6.58,0.153,0.01,"mg/L",34.14556,-94.09611,"Lake"
