"","SITE_ID","DATE_COL","DOC","NO3 as N","TP","UNITS","LAT","LON","ECO_TYPE"
"1","ARIK",2012-01-31,3.68,0.02,0.0156,"mg/L",39.758206,-102.447148,"River/Stream"
"2","ARIK",2012-03-07,5.46,0.02,0.0182,"mg/L",39.758206,-102.447148,"River/Stream"
"3","ARIK",2012-03-14,4.66,0.02,0.0216,"mg/L",39.758206,-102.447148,"River/Stream"
"4","ARIK",2012-03-26,5.45,0.02,0.0317,"mg/L",39.758206,-102.447148,"River/Stream"
"5","ARIK",2012-11-08,7.6,0.041,0.0426,"mg/L",39.758206,-102.447148,"River/Stream"
"6","ARIK",2012-12-04,4.68,0.02,0.0328,"mg/L",39.758206,-102.447148,"River/Stream"
"7","ARIK",2013-01-03,4.19,0.132,0.0172,"mg/L",39.758206,-102.447148,"River/Stream"
"8","ARIK",2013-02-12,4.52,0.053,0.0148,"mg/L",39.758206,-102.447148,"River/Stream"
"9","ARIK",2013-02-26,4.17,0.02,0.0153,"mg/L",39.758206,-102.447148,"River/Stream"
"10","ARIK",2013-03-12,4.91,0.02,0.0174,"mg/L",39.758206,-102.447148,"River/Stream"
"11","ARIK",2013-07-09,5.58,0.02,0.0299,"mg/L",39.758206,-102.447148,"River/Stream"
"12","ARIK",2013-07-23,6.1,0.02,0.0273,"mg/L",39.758206,-102.447148,"River/Stream"
"13","ARIK",2013-08-06,6.47,0.02,0.0512,"mg/L",39.758206,-102.447148,"River/Stream"
"14","ARIK",2013-08-20,6.03,0.02,0.0237,"mg/L",39.758206,-102.447148,"River/Stream"
"15","ARIK",2013-10-22,6.96,0.02,0.0224,"mg/L",39.758206,-102.447148,"River/Stream"
"16","ARIK",2013-11-19,5.7,0.02,0.0179,"mg/L",39.758206,-102.447148,"River/Stream"
"17","ARIK",2013-12-03,4.75,0.02,0.0143,"mg/L",39.758206,-102.447148,"River/Stream"
"18","ARIK",2013-12-17,4.13,0.02,0.0146,"mg/L",39.758206,-102.447148,"River/Stream"
"19","ARIK",2013-12-31,3.77,0.05,0.0118,"mg/L",39.758206,-102.447148,"River/Stream"
"20","ARIK",2014-01-14,4.1,0.041,0.0103,"mg/L",39.758206,-102.447148,"River/Stream"
"21","ARIK",2014-01-28,3.51,0.045,0.0112,"mg/L",39.758206,-102.447148,"River/Stream"
"22","ARIK",2014-02-11,3.88,0.048,0.0079,"mg/L",39.758206,-102.447148,"River/Stream"
"23","ARIK",2014-02-25,4.88,0.02,0.0102,"mg/L",39.758206,-102.447148,"River/Stream"
"24","ARIK",2014-03-11,4.88,0.02,0.0168,"mg/L",39.758206,-102.447148,"River/Stream"
"25","ARIK",2014-03-25,4.52,0.02,0.0146,"mg/L",39.758206,-102.447148,"River/Stream"
"26","ARIK",2014-04-08,5.34,0.02,0.0241,"mg/L",39.758206,-102.447148,"River/Stream"
"27","ARIK",2014-05-06,6.56,0.02,0.0273,"mg/L",39.758206,-102.447148,"River/Stream"
"28","ARIK",2014-05-20,7.29,0.02,0.0221,"mg/L",39.758206,-102.447148,"River/Stream"
"29","ARIK",2014-06-03,8.55,0.02,0.031,"mg/L",39.758206,-102.447148,"River/Stream"
"30","ARIK",2014-06-17,7.81,0.02,0.0334,"mg/L",39.758206,-102.447148,"River/Stream"
"31","ARIK",2016-10-04,5.307,0.004,0.006,"mg/L",39.758206,-102.447148,"River/Stream"
"32","ARIK",2016-11-01,9.054,0.008,0.031,"mg/L",39.758206,-102.447148,"River/Stream"
"33","ARIK",2016-12-06,4.811,0.032,0.002,"mg/L",39.758206,-102.447148,"River/Stream"
"34","ARIK",2017-01-18,4.281,0.072,0.002,"mg/L",39.758206,-102.447148,"River/Stream"
"35","ARIK",2017-02-07,3.675,0.023,0.009,"mg/L",39.758206,-102.447148,"River/Stream"
"36","ARIK",2017-02-14,4.313,0.015,0.008,"mg/L",39.758206,-102.447148,"River/Stream"
"37","ARIK",2017-03-01,4.126,0.012,0.018,"mg/L",39.758206,-102.447148,"River/Stream"
"38","ARIK",2017-03-09,4.669,0.006,0.008,"mg/L",39.758206,-102.447148,"River/Stream"
"39","ARIK",2017-03-14,3.96,0.005,0.004,"mg/L",39.758206,-102.447148,"River/Stream"
"40","ARIK",2017-04-12,5.228,0.006,0.012,"mg/L",39.758206,-102.447148,"River/Stream"
"41","ARIK",2017-04-26,5.399,0.004,0.023,"mg/L",39.758206,-102.447148,"River/Stream"
"42","ARIK",2017-05-02,5.033,0.001,0.018,"mg/L",39.758206,-102.447148,"River/Stream"
"43","ARIK",2017-05-31,5.915,0.016,0.005,"mg/L",39.758206,-102.447148,"River/Stream"
"44","ARIK",2017-06-06,6.635,0.018,0.024,"mg/L",39.758206,-102.447148,"River/Stream"
"45","ARIK",2017-07-05,4.715,0.022,0.009,"mg/L",39.758206,-102.447148,"River/Stream"
"46","ARIK",2017-07-19,4.606,0.012,0.091,"mg/L",39.758206,-102.447148,"River/Stream"
"47","ARIK",2017-08-01,4.722,0.0461,0.036,"mg/L",39.758206,-102.447148,"River/Stream"
"48","ARIK",2017-08-16,4.434,0.0455,0.1038,"mg/L",39.758206,-102.447148,"River/Stream"
"49","ARIK",2017-09-05,5.144,0.0193,0.031,"mg/L",39.758206,-102.447148,"River/Stream"
"50","ARIK",2017-10-12,4.617,0.0273,0.021,"mg/L",39.758206,-102.447148,"River/Stream"
"51","ARIK",2017-10-24,5.138,0.0049,0.0325,"mg/L",39.758206,-102.447148,"River/Stream"
"52","ARIK",2017-11-07,5.487,0.0261,0.014,"mg/L",39.758206,-102.447148,"River/Stream"
"53","ARIK",2017-11-30,4.215,7e-04,0.026,"mg/L",39.758206,-102.447148,"River/Stream"
"54","ARIK",2017-12-05,4.014,0.0123,0.0035,"mg/L",39.758206,-102.447148,"River/Stream"
"55","ARIK",2017-12-20,3.202,0.0062,0.012,"mg/L",39.758206,-102.447148,"River/Stream"
"56","ARIK",2018-01-04,4.218,0.0955,0.028,"mg/L",39.758206,-102.447148,"River/Stream"
"57","ARIK",2018-01-18,3.313,0.0457,0.002,"mg/L",39.758206,-102.447148,"River/Stream"
"58","ARIK",2018-02-07,4.151,0.0201,0.009,"mg/L",39.758206,-102.447148,"River/Stream"
"59","ARIK",2018-02-15,3.607,0.0186,0.003,"mg/L",39.758206,-102.447148,"River/Stream"
"60","ARIK",2018-02-28,3.569,2.5479,0.005,"mg/L",39.758206,-102.447148,"River/Stream"
"61","ARIK",2018-03-06,4.109,0.0045,0.0304,"mg/L",39.758206,-102.447148,"River/Stream"
"62","ARIK",2018-03-13,4.323,0.0016,0.008,"mg/L",39.758206,-102.447148,"River/Stream"
"63","ARIK",2018-03-27,10.31,0.0027,0.012,"mg/L",39.758206,-102.447148,"River/Stream"
"64","ARIK",2018-04-03,8.74,0.0185,0.0216,"mg/L",39.758206,-102.447148,"River/Stream"
"65","ARIK",2018-04-18,3.049,0.012,0.031,"mg/L",39.758206,-102.447148,"River/Stream"
"66","ARIK",2018-05-15,6.038,0.0099,0.0979,"mg/L",39.758206,-102.447148,"River/Stream"
"67","ARIK",2018-05-30,6.133,0.0154,0.0593,"mg/L",39.758206,-102.447148,"River/Stream"
"68","ARIK",2018-06-06,4.793,0.0164,0.0678,"mg/L",39.758206,-102.447148,"River/Stream"
"69","ARIK",2018-06-13,3.801,0.0187,0.026,"mg/L",39.758206,-102.447148,"River/Stream"
"70","ARIK",2018-07-02,6.292,0.0015,0.034,"mg/L",39.758206,-102.447148,"River/Stream"
"71","ARIK",2018-07-12,4.474,0.0329,0.14,"mg/L",39.758206,-102.447148,"River/Stream"
"72","ARIK",2018-07-18,4.13,0.028,0.076,"mg/L",39.758206,-102.447148,"River/Stream"
"73","ARIK",2018-08-07,4.717,0.0305,0.2339,"mg/L",39.758206,-102.447148,"River/Stream"
"74","ARIK",2018-08-20,5.672,0.0034,0.1221,"mg/L",39.758206,-102.447148,"River/Stream"
"75","ARIK",2018-09-04,5.291,0.0182,0.01,"mg/L",39.758206,-102.447148,"River/Stream"
"76","ARIK",2018-10-02,3.54,0.0239,0.0893,"mg/L",39.758206,-102.447148,"River/Stream"
"77","ARIK",2019-05-14,5.695,0.008,0.11,"mg/L",39.758206,-102.447148,"River/Stream"
"78","ARIK",2019-06-18,5.656,0.0123,0.041,"mg/L",39.758206,-102.447148,"River/Stream"
"79","ARIK",2019-07-08,4.61433333333333,0.0162333333333333,0.0121333333333333,"mg/L",39.758206,-102.447148,"River/Stream"
"80","ARIK",2019-07-18,5.729,0.0036,0.2825,"mg/L",39.758206,-102.447148,"River/Stream"
"81","ARIK",2019-08-06,5.538,0.0103,0.081,"mg/L",39.758206,-102.447148,"River/Stream"
"82","ARIK",2019-08-19,5.478,0.0201,0.104,"mg/L",39.758206,-102.447148,"River/Stream"
"83","ARIK",2019-09-03,5.506,0.0085,0.3018,"mg/L",39.758206,-102.447148,"River/Stream"
"84","ARIK",2019-10-02,5.937,0.0025,0.14,"mg/L",39.758206,-102.447148,"River/Stream"
"85","ARIK",2019-11-05,6.0365,6e-04,0.306666666666667,"mg/L",39.758206,-102.447148,"River/Stream"
"86","ARIK",2019-12-12,3.988,0.0028,0.114,"mg/L",39.758206,-102.447148,"River/Stream"
"87","ARIK",2019-12-18,4.467,0.0206,0.107,"mg/L",39.758206,-102.447148,"River/Stream"
"88","BARC",2014-01-15,0.83,0.02,0.002,"mg/L",29.675982,-82.008414,"Lake"
"89","BARC",2014-02-11,0.94,0.02,0.002,"mg/L",29.675982,-82.008414,"Lake"
"90","BARC",2014-03-11,1.05,0.02,0.002,"mg/L",29.675982,-82.008414,"Lake"
"91","BARC",2014-04-15,0.54,0.02,0.002,"mg/L",29.675982,-82.008414,"Lake"
"92","BARC",2014-05-13,0.28,0.02,0.002,"mg/L",29.675982,-82.008414,"Lake"
"93","BARC",2014-06-03,0.393333333333333,0.02,0.002,"mg/L",29.675982,-82.008414,"Lake"
"94","BARC",2016-10-12,1.63466666666667,0.0025,0.0556666666666667,"mg/L",29.675982,-82.008414,"Lake"
"95","BARC",2016-11-02,1.88866666666667,0.00366666666666667,0.014,"mg/L",29.675982,-82.008414,"Lake"
"96","BARC",2016-12-13,3.93533333333333,0.011,0.00166666666666667,"mg/L",29.675982,-82.008414,"Lake"
"97","BARC",2017-03-09,1.35333333333333,0.0025,0.0116666666666667,"mg/L",29.675982,-82.008414,"Lake"
"98","BARC",2017-04-05,1.74233333333333,0.0255,0.00566666666666667,"mg/L",29.675982,-82.008414,"Lake"
"99","BARC",2017-05-02,1.22466666666667,0.00533333333333333,0.011,"mg/L",29.675982,-82.008414,"Lake"
"100","BARC",2017-06-08,1.5706,0.0286,0.0098,"mg/L",29.675982,-82.008414,"Lake"
"101","BARC",2017-06-27,1.86233333333333,0.0136666666666667,0.0265333333333333,"mg/L",29.675982,-82.008414,"Lake"
"102","BARC",2017-08-02,1.88566666666667,0.0478333333333333,0.00283333333333333,"mg/L",29.675982,-82.008414,"Lake"
"103","BARC",2017-09-05,2.0166,0.01934,0.0092,"mg/L",29.675982,-82.008414,"Lake"
"104","BARC",2017-10-10,2.44566666666667,0.0213666666666667,0.03,"mg/L",29.675982,-82.008414,"Lake"
"105","BARC",2017-11-07,2.341,0.0331333333333333,0.00333333333333333,"mg/L",29.675982,-82.008414,"Lake"
"106","BARC",2017-12-05,2.44966666666667,0.0096,0.011,"mg/L",29.675982,-82.008414,"Lake"
"107","BARC",2018-01-04,2.204,0.0118,0.021,"mg/L",29.675982,-82.008414,"Lake"
"108","BARC",2018-02-06,2.196,0.0172,0.001,"mg/L",29.675982,-82.008414,"Lake"
"109","BARC",2018-03-05,2.259,0.0379,0.001,"mg/L",29.675982,-82.008414,"Lake"
