"","DATE_COL","SITE_ID","DOC","NO3 as N","TP","LAT","LON","ECO_TYPE","UNITS"
"1","2008-06-03","NLA_1",1.22,1.04716,0.030745,41.9215,-119.4433,"River/Stream","mg/L"
"2","2008-06-03","NLA_2",12.01,0,0.15695,41.9957,-117.7707,"River/Stream","mg/L"
"3","2008-06-03","NLA_3",1.76,0.02787,0.0253113,32.8996,-116.5887,"River/Stream","mg/L"
"4","2008-06-04","NLA_4",8.92,0,0.1749388,41.7718,-117.806,"River/Stream","mg/L"
"5","2008-06-04","NLA_5",0.87,0,0.012555,33.7606,-116.5497,"River/Stream","mg/L"
"6","2008-06-05","NLA_6",5.12,0.13965,0.308615,41.3974,-117.4647,"River/Stream","mg/L"
"7","2008-06-05","NLA_7",2.13,0.00093,0.06284,41.7713,-117.383,"River/Stream","mg/L"
"8","2008-06-10","NLA_8",0.62,0.44778,0.0234713,38.3275,-114.2775,"River/Stream","mg/L"
"9","2008-06-10","NLA_9",0.92,0.2079,0.0145688,36.6417,-114.5318,"River/Stream","mg/L"
"10","2008-06-11","NLA_10",0.8,0.06962,0.0364075,39.2143,-114.5413,"River/Stream","mg/L"
"11","2008-06-11","NLA_11",0.67,0,0.0342513,38.8586,-115.6673,"River/Stream","mg/L"
"12","2008-06-11","NLA_12",3.7,0.96913,0.026735,40.2661,-81.8741,"River/Stream","mg/L"
"13","2008-06-12","NLA_13",0.5,0.13709,0.018155,39.2179,-117.0595,"River/Stream","mg/L"
"14","2008-06-12","NLA_14",1.08,0.0307,0.0136,38.4925,-96.5833,"River/Stream","mg/L"
"15","2008-06-16","NLA_15",2.39,0.01755,0.3700925,40.3166,-116.9015,"River/Stream","mg/L"
"16","2008-06-16","NLA_16",14.78,0.00062,0.0927463,43.295,-104.8345,"River/Stream","mg/L"
"17","2008-06-16","NLA_17",2.5,0.08194,0.0497338,36.0383,-99.9305,"River/Stream","mg/L"
"18","2008-06-17","NLA_18",2.49,0.00124,0.1030988,41.4088,-118.9109,"River/Stream","mg/L"
"19","2008-06-17","NLA_19",13.83,0.05671,0.0548063,40.686,-116.7625,"River/Stream","mg/L"
"20","2008-06-17","NLA_20",17.81,0.36132,0.2690138,46.7414,-101.4838,"River/Stream","mg/L"
"21","2008-06-17","NLA_21",2.2,2.14241,0.0539263,35.5454,-99.7227,"River/Stream","mg/L"
"22","2008-06-18","NLA_22",13.52,0,0.08844,40.8147,-115.8061,"River/Stream","mg/L"
"23","2008-06-18","NLA_23",4.09,0.14348,0.0415063,39.8925,-105.0565,"River/Stream","mg/L"
"24","2008-06-18","NLA_24",5.47,0.07346,0.0215263,43.5166,-104.8414,"River/Stream","mg/L"
"25","2008-06-18","NLA_25",2.7,1.74733,0.07881,40.0641,-82.5339,"River/Stream","mg/L"
"26","2008-06-18","NLA_26",2.95,0.9198,0.0827838,39.0872,-95.2902,"River/Stream","mg/L"
"27","2008-06-19","NLA_27",2.76,0.057,0.0455425,38.4541,-81.7807,"River/Stream","mg/L"
"28","2008-06-20","NLA_28",5.83,0,0.1214675,43.5307,-104.101,"River/Stream","mg/L"
"29","2008-06-23","NLA_29",14,0.1829,1.09775,46.5346,-100.4418,"River/Stream","mg/L"
"30","2008-06-23","NLA_30",2.5,2.90105,0.1760063,39.6927,-84.2325,"River/Stream","mg/L"
"31","2008-06-23","NLA_31",3.6,0.53932,0.1303275,39.5445,-95.7311,"River/Stream","mg/L"
"32","2008-06-24","NLA_32",1.52,0.0325,0.031205,41.4177,-116.0343,"River/Stream","mg/L"
"33","2008-06-24","NLA_33",2.8,0,0.0477663,41.9578,-115.8638,"River/Stream","mg/L"
"34","2008-06-24","NLA_34",1.94,0.17426,0.0031988,44.2142,-72.9655,"River/Stream","mg/L"
"35","2008-06-24","NLA_5",1.12,0,0.0118675,33.7606,-116.5497,"River/Stream","mg/L"
"36","2008-06-24","NLA_35",3.37,0.35747,0.0181638,41.4898,-111.2582,"River/Stream","mg/L"
"37","2008-06-24","NLA_36",1.61,0.24332,0.0243463,38.3299,-81.5853,"River/Stream","mg/L"
"38","2008-06-24","NLA_37",0.89,0.31177,0.0262138,34.3459,-96.6995,"River/Stream","mg/L"
"39","2008-06-25","NLA_38",1.45,0,0.03154,41.8068,-115.7046,"River/Stream","mg/L"
"40","2008-06-25","NLA_39",3.27,0.01204,0.13494,41.214,-116.3987,"River/Stream","mg/L"
"41","2008-06-25","NLA_40",2.26,1.98315,0.03076,39.6485,-77.1809,"River/Stream","mg/L"
"42","2008-06-25","NLA_42",0.92,0.17662,0.0167363,41.6246,-111.7299,"River/Stream","mg/L"
"43","2008-06-25","NLA_43",2.79,0.0513,0.0342688,39.7475,-82.7787,"River/Stream","mg/L"
