"","DATE_COL","SITE_ID","DOC","NO3 as N","PO4 as P","UNITS","LAT","LON","ECO_TYPE"
"1",2017-03-14,"QU02OB9004",6.12,0.78,0.0535,"mg/L",45.8744,-73.2806,"River/Stream"
"2",2017-03-15,"QU02NG3020",6.96,0.09,0.0455,"mg/L",46.6776,-72.8652,"River/Stream"
"3",2017-03-16,"QU02NG3013",6.34,0.12,0.045,"mg/L",46.382,-72.6105,"River/Stream"
"4",2017-03-16,"QU02OD9009",4.87,0.77,0.0475,"mg/L",46.3116,-72.546,"River/Stream"
"5",2017-03-21,"QU02LB9001",6.93,0.26,0.054,"mg/L",45.5676,-74.3799,"River/Stream"
"6",2017-03-22,"QU02OJ0052",3.2,0.28,0.0435,"mg/L",46.034,-73.1176,"River/Stream"
"7",2017-03-23,"QU02PH9024",3.84,0.36,0.0465,"mg/L",46.8071,-71.19,"River/Stream"
"8",2017-04-03,"QU02LB9001",6.67,0.36,0.054,"mg/L",45.5676,-74.3799,"River/Stream"
"9",2017-04-04,"QU02OB9004",5.96,0.81,0.061,"mg/L",45.8744,-73.2806,"River/Stream"
"10",2017-04-05,"QU02OJ0052",5.12,0.73,0.0615,"mg/L",46.034,-73.1176,"River/Stream"
"11",2017-04-10,"QU02NG3013",6.08,0.16,0.059,"mg/L",46.382,-72.6105,"River/Stream"
"12",2017-04-10,"QU02OD9009",6.36,0.69,0.0625,"mg/L",46.3116,-72.546,"River/Stream"
"13",2017-04-12,"QU02PH9024",5.45,0.56,0.058,"mg/L",46.8071,-71.19,"River/Stream"
"14",2017-04-19,"QU02NG3020",6.93,0.08,0.0515,"mg/L",46.6776,-72.8652,"River/Stream"
"15",2017-04-20,"QU02LB9001",7.66,0.23,0.0565,"mg/L",45.5676,-74.3799,"River/Stream"
"16",2017-04-25,"QU02PH9024",5.39,0.38,0.0575,"mg/L",46.8071,-71.19,"River/Stream"
"17",2017-05-08,"QU02OD3004",7.01,1.21,0.0605,"mg/L",46.2454,-72.6512,"River/Stream"
"18",2017-05-08,"QU02OF3004",7.35,0.33,0.0575,"mg/L",46.0664,-72.8122,"River/Stream"
"19",2017-05-08,"QU02OG3007",7.89,2.02,0.0735,"mg/L",46.0051,-72.9101,"River/Stream"
"20",2017-05-08,"QU02OJ0052",4.02,0.48,0.051,"mg/L",46.034,-73.1176,"River/Stream"
"21",2017-05-09,"QU02PH9024",5.71,0.33,0.0555,"mg/L",46.8071,-71.19,"River/Stream"
"22",2017-05-10,"QU02LB9001",7.55,0.27,0.064,"mg/L",45.5676,-74.3799,"River/Stream"
"23",2017-05-11,"QU02OB9004",6.6,0.38,0.074,"mg/L",45.8744,-73.2806,"River/Stream"
"24",2017-05-15,"QU02OD3004",5.47,1.01,0.043,"mg/L",46.2454,-72.6512,"River/Stream"
"25",2017-05-15,"QU02OF3004",5.97,0.34,0.0415,"mg/L",46.0664,-72.8122,"River/Stream"
"26",2017-05-15,"QU02OG3007",7.19,1.82,0.0485,"mg/L",46.0051,-72.9101,"River/Stream"
"27",2017-05-16,"QU02NG3013",7.59,0.08,0.043,"mg/L",46.382,-72.6105,"River/Stream"
"28",2017-05-16,"QU02OD9009",4.72,0.4,0.041,"mg/L",46.3116,-72.546,"River/Stream"
"29",2017-05-24,"QU02PH9024",4.82,0.23,0.0415,"mg/L",46.8071,-71.19,"River/Stream"
"30",2017-05-25,"QU02OD3004",5.68,0.52,0.0385,"mg/L",46.2454,-72.6512,"River/Stream"
"31",2017-05-25,"QU02OF3004",6.04,0.28,0.0385,"mg/L",46.0664,-72.8122,"River/Stream"
"32",2017-05-25,"QU02OG3007",6.45,0.87,0.0375,"mg/L",46.0051,-72.9101,"River/Stream"
