"","SITE_ID","ECO_TYPE","LAT","LON"
"1","CBP_WQX-LE1.1","River/Stream",38.42535,-76.60176
"2","CBP_WQX-EE3.2","River/Stream",37.98139,-75.92423
"3","CBP_WQX-EE3.0","River/Stream",38.28093,-76.01033
"4","CBP_WQX-ET5.2","River/Stream",38.5807,-76.0587
"5","CBP_WQX-TF1.5","River/Stream",38.71012,-76.70146
"6","CBP_WQX-RET2.4","River/Stream",38.3626,-76.99063
"7","CBP_WQX-ET4.1","River/Stream",39.2437,-75.9249
"8","CBP_WQX-EE2.2","River/Stream",38.52609,-76.30408
"9","CBP_WQX-MAT0016","River/Stream",38.56508,-77.19345
"10","CBP_WQX-TF1.0","River/Stream",38.95557,-76.69411
"11","CBP_WQX-WT3.1","River/Stream",39.30538,-76.40954
"12","CBP_WQX-RET1.1","River/Stream",38.4909,-76.66429
"13","CBP_WQX-WXT0001","River/Stream",38.78538,-76.71343
"14","CBP_WQX-WT8.2","River/Stream",38.88696,-76.5349
"15","CBP_WQX-TF2.3","River/Stream",38.6082,-77.1739
"16","CBP_WQX-ET7.1","River/Stream",38.26783,-75.78793
"17","CBP_WQX-TF1.6","River/Stream",38.65845,-76.68381
"18","CBP_WQX-WT4.1","River/Stream",39.27755,-76.44368
"19","CBP_WQX-TF2.4","River/Stream",38.5301,-77.2654
"20","CBP_WQX-LE2.2","River/Stream",38.1576,-76.598
"21","CBP_WQX-ET3.1","River/Stream",39.36415,-75.88203
"22","CBP_WQX-ET1.1","River/Stream",39.56976,-75.96782
"23","CBP_WQX-LE1.2","River/Stream",38.37887,-76.51132
"24","CBP_WQX-CB5.1W","River/Stream",38.32522,-76.37574
"25","CBP_WQX-LE1.3","River/Stream",38.3398,-76.4849
"26","CBP_WQX-ET8.1","River/Stream",38.13794,-75.81411
"27","CBP_WQX-TF1.7","River/Stream",38.58211,-76.68101
"28","CBP_WQX-ET6.2","River/Stream",38.34133,-75.88834
"29","CBP_WQX-ET9.1","River/Stream",38.055,-75.80167
"30","CBP_WQX-LE1.4","River/Stream",38.312,-76.42151
"31","CBP_WQX-ET2.2","River/Stream",39.46704,-75.87368
"32","CBP_WQX-TF2.2","River/Stream",38.69067,-77.11111
"33","CBP_WQX-TF2.1","River/Stream",38.70664,-77.04876
"34","CBP_WQX-TF1.3","River/Stream",38.81092,-76.71227
"35","CBP_WQX-ET4.2","River/Stream",38.99233,-76.2151
"36","CBP_WQX-WT1.1","River/Stream",39.43511,-76.24205
"37","CBP_WQX-PIS0033","River/Stream",38.69842,-76.98673
"38","CBP_WQX-EE2.1","River/Stream",38.6549,-76.2643
"39","CBP_WQX-XFB1986","River/Stream",38.69787,-77.02317
"40","CBP_WQX-MAT0078","River/Stream",38.58852,-77.11865
"41","CBP_WQX-TF1.2","Channelized Stream",38.8143,-76.75087
"42","CBP_WQX-SMNT07","River/Stream",38.27267,-76.512
"43","CBP_WQX-WT8.1","River/Stream",38.9496,-76.5461
"44","CBP_WQX-EE3.1","River/Stream",38.19685,-75.97321
"45","CBP_WQX-ET2.3","River/Stream",39.50873,-75.89783
"46","CBP_WQX-RET2.2","River/Stream",38.3525,-77.2051
"47","CBP_WQX-ET6.1","River/Stream",38.54833,-75.70306
"48","CBP_WQX-WT5.1","River/Stream",39.21309,-76.52254
"49","CBP_WQX-ET2.1","River/Stream",39.5293,-75.81135
"50","CBP_WQX-ET5.1","River/Stream",38.80645,-75.90971
"51","CBP_WQX-TF1.4","River/Stream",38.77302,-76.70927
"52","CBP_WQX-EE1.1","River/Stream",38.88,-76.2515
"53","CBP_WQX-RET2.1","River/Stream",38.4035,-77.2691
"54","CBP_WQX-WT7.1","River/Stream",39.00764,-76.5035
"55","CBP_WQX-WT6.1","River/Stream",39.07851,-76.51005
"56","CBP_WQX-SMNT03","River/Stream",38.25217,-76.53267
"57","CBP_WQX-SMNT11","River/Stream",38.22434,-76.45533
"58","CBP_WQX-WT2.1","River/Stream",39.37747,-76.33465
"59","CBP_WQX-SMNT13","River/Stream",38.20167,-76.41917
"60","CBP_WQX-ET10.1","River/Stream",38.07614,-75.57125
"61","CBP_WQX-WT8.3","River/Stream",38.8425,-76.5341
"62","CBP_WQX-SMNT09","River/Stream",38.24166,-76.5035
"63","CBP_WQX-EE3.3","River/Stream",37.91455,-75.80148
"64","CBP_WQX-SMNT10","River/Stream",38.23067,-76.465
"65","CBP_WQX-SMNT08","River/Stream",38.25267,-76.50684
"66","CBP_WQX-SMNT02","River/Stream",38.22066,-76.48967
"67","CBP_WQX-SMNT14","River/Stream",38.16239,-76.40046
