"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
"1",40.36715,-83.05952,"LAGOS_3386","Lake",2012-09-05,"DOC",6.32,"mg/L"
"2",40.36715,-83.05952,"LAGOS_3386","Lake",2012-09-05,"colort_pcu",30,"pcu"
"3",40.36715,-83.05952,"LAGOS_3386","Lake",2012-09-05,"turb_ntu",11.56,"ntu"
"4",40.36715,-83.05952,"LAGOS_3386","Lake",2012-09-05,"secchi_m",0.435,"m"
"5",38.59432,-75.29099,"LAGOS_142130","Lake",2005-05-16,"DOC",3.4,"mg/L"
"6",38.59432,-75.29099,"LAGOS_142130","Lake",2005-05-16,"turb_ntu",3,"ntu"
"7",38.59432,-75.29099,"LAGOS_142130","Lake",2005-05-16,"secchi_m",1.2,"m"
"8",38.59432,-75.29099,"LAGOS_142130","Lake",2005-05-16,"tss",5,"mg/L"
"9",35.10417,-93.65028,"LAGOS_390649","Lake",2012-06-26,"DOC",5.24,"mg/L"
"10",35.10417,-93.65028,"LAGOS_390649","Lake",2012-06-26,"turb_ntu",19.7,"ntu"
"11",35.10417,-93.65028,"LAGOS_390649","Lake",2012-06-26,"secchi_m",0.47244,"m"
"12",35.10417,-93.65028,"LAGOS_390649","Lake",2012-06-26,"tss",12.8,"mg/L"
"13",38.59432,-75.29099,"LAGOS_142130","Lake",2006-10-23,"DOC",4.3,"mg/L"
"14",38.59432,-75.29099,"LAGOS_142130","Lake",2006-10-23,"turb_ntu",2,"ntu"
"15",38.59432,-75.29099,"LAGOS_142130","Lake",2006-10-23,"secchi_m",1.3,"m"
"16",38.59432,-75.29099,"LAGOS_142130","Lake",2006-10-23,"tss",8,"mg/L"
"17",33.69667,-93.96111,"LAGOS_408132","Lake",2013-07-22,"DOC",6.26,"mg/L"
"18",33.69667,-93.96111,"LAGOS_408132","Lake",2013-07-22,"turb_ntu",175,"ntu"
"19",33.69667,-93.96111,"LAGOS_408132","Lake",2013-07-22,"secchi_m",0.25908,"m"
"20",33.69667,-93.96111,"LAGOS_408132","Lake",2013-07-22,"tss",21.5,"mg/L"
"21",36.15083,-78.83,"LAGOS_153842","Lake",2008-10-23,"DOC",10.7,"mg/L"
"22",36.15083,-78.83,"LAGOS_153842","Lake",2008-10-23,"colort_pcu",80,"pcu"
"23",36.15083,-78.83,"LAGOS_153842","Lake",2008-10-23,"secchi_m",0.8,"m"
"24",34.59528,-112.4166,"LAGOS_454733","Lake",2011-07-08,"DOC",10.3,"mg/L"
"25",34.59528,-112.4166,"LAGOS_454733","Lake",2011-07-08,"secchi_m",6,"m"
"26",35.6625,-78.61139,"LAGOS_152390","Lake",2008-04-28,"DOC",5.18,"mg/L"
"27",35.6625,-78.61139,"LAGOS_152390","Lake",2008-04-28,"colort_pcu",25,"pcu"
"28",35.6625,-78.61139,"LAGOS_152390","Lake",2008-04-28,"secchi_m",1,"m"
"29",34.59528,-112.4166,"LAGOS_454733","Lake",2003-08-06,"DOC",13.7,"mg/L"
"30",34.59528,-112.4166,"LAGOS_454733","Lake",2003-08-06,"turb_ntu",12.6,"ntu"
"31",34.59528,-112.4166,"LAGOS_454733","Lake",2003-08-06,"secchi_m",0.9,"m"
"32",34.59528,-112.4166,"LAGOS_454733","Lake",2003-08-06,"tss",14,"mg/L"
"33",38.59432,-75.29099,"LAGOS_142130","Lake",2011-09-08,"DOC",7.6,"mg/L"
"34",38.59432,-75.29099,"LAGOS_142130","Lake",2011-09-08,"turb_ntu",10,"ntu"
"35",38.59432,-75.29099,"LAGOS_142130","Lake",2011-09-08,"secchi_m",0.9,"m"
"36",38.59432,-75.29099,"LAGOS_142130","Lake",2011-09-08,"tss",21,"mg/L"
"37",38.59432,-75.29099,"LAGOS_142130","Lake",2006-02-21,"DOC",3.6,"mg/L"
"38",38.59432,-75.29099,"LAGOS_142130","Lake",2006-02-21,"turb_ntu",3,"ntu"
"39",38.59432,-75.29099,"LAGOS_142130","Lake",2006-02-21,"secchi_m",1.3,"m"
"40",38.59432,-75.29099,"LAGOS_142130","Lake",2006-02-21,"tss",4,"mg/L"
"41",38.59432,-75.29099,"LAGOS_142130","Lake",2008-11-17,"DOC",7,"mg/L"
"42",38.59432,-75.29099,"LAGOS_142130","Lake",2008-11-17,"turb_ntu",2,"ntu"
"43",38.59432,-75.29099,"LAGOS_142130","Lake",2008-11-17,"secchi_m",1.7,"m"
"44",38.59432,-75.29099,"LAGOS_142130","Lake",2008-11-17,"tss",3,"mg/L"
"45",38.59432,-75.29099,"LAGOS_142130","Lake",2008-03-24,"DOC",3.6,"mg/L"
"46",38.59432,-75.29099,"LAGOS_142130","Lake",2008-03-24,"turb_ntu",2,"ntu"
"47",38.59432,-75.29099,"LAGOS_142130","Lake",2008-03-24,"secchi_m",1.5,"m"
"48",38.59432,-75.29099,"LAGOS_142130","Lake",2008-03-24,"tss",3,"mg/L"
"49",38.6718,-75.18588,"LAGOS_142394","Lake",2005-07-25,"DOC",7.2,"mg/L"
