"SITE_ID","DOC_Median","TN_Median","TP_Median"
"NLA06608-0001",0.63,151,6
"NLA06608-0002",13.8,507,25
"NLA06608-0003",5.935,790.5,46.5
"NLA06608-0004",7.86,584,44
"NLA06608-0005",1.39,68,3
"NLA06608-0006",2.97,223,6
"NLA06608-0007",6.6,508,7.5
"NLA06608-0008",7.365,1163,72.5
"NLA06608-0010",4.55,485,10
"NLA06608-0012",7.075,1039,150.5
"NLA06608-0013",4.41,264,20
"NLA06608-0014",40.88,4325,175
"NLA06608-0015",3.78,454,100
"NLA06608-0016",4.53,685,39
"NLA06608-0019",49.67,6578,1376
"NLA06608-0020",4.71,466,20
"NLA06608-0021",2.81,426.5,9
"NLA06608-0023",4.29,455.5,18
"NLA06608-0024",9.025,901.5,32
"NLA06608-0025",3.13,97,5
"NLA06608-0029",5.51,2146,162
"NLA06608-0031",3.91,411,28
"NLA06608-0033",10.66,440,34
"NLA06608-0036",4.37,241,9
"NLA06608-0037",3.23,301,14
"NLA06608-0038",3.31,113,3
"NLA06608-0041",1.58,400,1
"NLA06608-0042",4.76,213,15
"NLA06608-0043",7.235,679.5,10
"NLA06608-0044",16.92,6741,554
"NLA06608-0045",4.57,488,59
"NLA06608-0048",4.77,943,84
"NLA06608-0049",1.88,256,15
"NLA06608-0050",6.13,361,17
"NLA06608-0053",2.84,260.5,24
"NLA06608-0057",9.86,1219,212
"NLA06608-0061",6.12,495,19
"NLA06608-0062",29.49,2834,141
"NLA06608-0064",37.23,3663,1359
"NLA06608-0065",1.34,70.5,2
"NLA06608-0066",1.9,626,6
"NLA06608-0068",0.75,131,1
"NLA06608-0069",17.27,754,45
"NLA06608-0071",8.15,2369,399
"NLA06608-0072",9.26,1994.5,175
"NLA06608-0073",20.475,1402.5,4772
"NLA06608-0076",5.37,710,32
"NLA06608-0077",7.25,1630,151
"NLA06608-0078",49.81,4541,111
"NLA06608-0079",1.69,108,6
"NLA06608-0080",5.34,1047,113
"NLA06608-0081",7.06,826,23
"NLA06608-0083",43.64,3925,58
"NLA06608-0085",12.15,1518,417
"NLA06608-0086",2.78,789,31
"NLA06608-0089",2.09,401,32
"NLA06608-0090",5.78,350,15
"NLA06608-0091",7.47,2216,167
"NLA06608-0099",5.805,612,8.5
"NLA06608-0101",1.18,63,1
"NLA06608-0102",3.67,137,1
"NLA06608-0104",6.16,1101,91
"NLA06608-0105",3.25,433,134
"NLA06608-0107",7.05,520,3
"NLA06608-0110",5.81,491,12
"NLA06608-0111",3.79,343,6
"NLA06608-0112",6.87,1266,96
"NLA06608-0113",3.76,190,9
"NLA06608-0115",2.65,540,5
"NLA06608-0116",3.87,271,26
"NLA06608-0120",4.645,1215,247.5
"NLA06608-0124",290.57,340,213
"NLA06608-0126",35.48,7019,605
"NLA06608-0127",11,641,19
"NLA06608-0128",18.58,3956,480
"NLA06608-0129",2.585,144.5,2.5
"NLA06608-0130",10.24,2234,36
"NLA06608-0132",5.96,466,56
"NLA06608-0134",2.21,156,4
"NLA06608-0137",0.9,82,3
"NLA06608-0139",8.21,763,33
"NLA06608-0140",7.53,1158,173
"NLA06608-0141",3.4,975,73
"NLA06608-0142",3.84,293,7
"NLA06608-0144",6.05,824.5,68.5
"NLA06608-0148",3.57,342,16
"NLA06608-0149",3.49,220,12
"NLA06608-0150",4.27,366,16
"NLA06608-0152",5.35,521,21
"NLA06608-0153",2.91,656,34
"NLA06608-0155",11.98,1520,114
"NLA06608-0158",3.81,651,16
"NLA06608-0161",10.72,1069,30
"NLA06608-0162",5.03,244,14
"NLA06608-0167",19.09,14538,1076
"NLA06608-0168",6.56,866,61
"NLA06608-0169",2.95,353,33
"NLA06608-0170",6.94,780,8
"NLA06608-0173",12.72,2218,57
"NLA06608-0174",8.77,803,13
"NLA06608-0175",4,698,55
"NLA06608-0176",5.64,848,207
"NLA06608-0177",3.59,177,6
"NLA06608-0179",78.53,7522,263
"NLA06608-0180",5.9,721,61
"NLA06608-0181",5.06,514,6
"NLA06608-0183",3.73,907,68
"NLA06608-0184",4.65,1049,100
"NLA06608-0185",4.01,284,9
"NLA06608-0189",4.03,678,72
"NLA06608-0190",10.52,666,16
"NLA06608-0191",1.05,48,1
"NLA06608-0193",1.07,71,3
"NLA06608-0195",16.66,1955,447
"NLA06608-0196",6.35,1250,94
"NLA06608-0198",1.99,353,25
"NLA06608-0201",1.47,40,3
"NLA06608-0203",1.71,239,1
"NLA06608-0204",7.26,1355,125
"NLA06608-0207",4.07,384,17
"NLA06608-0208",5.12,1687,162
"NLA06608-0209",2.51,205,5
"NLA06608-0211",16.91,1340,42
"NLA06608-0212",3,88,8
"NLA06608-0215",7.95,1463,83
"NLA06608-0216",10.93,1367,619
"NLA06608-0217",7.1,508,6
"NLA06608-0219",10.91,1826,36
"NLA06608-0220",114.54,22613,872
"NLA06608-0221",6.11,594,38
"NLA06608-0222",22.93,2008,114
"NLA06608-0223",3.35,705,44
"NLA06608-0224",3.61,375,8
"NLA06608-0225",3.05,178,8
"NLA06608-0226",3.69,328,8
"NLA06608-0228",5.28,411,25
"NLA06608-0229",4.23,219,4
"NLA06608-0234",6.21,584,14
"NLA06608-0235",7.8,626,8
"NLA06608-0237",5.915,633,24
"NLA06608-0238",3.17,265,7
"NLA06608-0239",2.07,383,36
"NLA06608-0240",5.02,396,14
"NLA06608-0241",3.18,774,80
"NLA06608-0242",4.74,300,20
"NLA06608-0243",3.31,203,7
"NLA06608-0244",4.66,436,15
"NLA06608-0245",3.75,329,11
"NLA06608-0247",12.69,1625,202
"NLA06608-0253",13.05,968,127
"NLA06608-0254",16.3,2816,175
"NLA06608-0255",4.19,276,4
"NLA06608-0257",1.67,79,1
"NLA06608-0259",21.94,3172,613
"NLA06608-0260",2.44,136,8
"NLA06608-0268",7.21,464,20
"NLA06608-0271",5.59,857,99
"NLA06608-0275",26.13,3084,331
"NLA06608-0276",2.02,254,7
"NLA06608-0277",2.33,451,117
"NLA06608-0279",18.8,4600,239
"NLA06608-0280",15.41,1229,81
"NLA06608-0281",5.36,639,44
"NLA06608-0283",2.39,381,33
"NLA06608-0284",4.37,865,79
"NLA06608-0285",3.67,4222,138
"NLA06608-0286",4.46,413,5
"NLA06608-0290",5.94,1231,573
"NLA06608-0291",4.33,553,13
"NLA06608-0293",4.31,759,30
"NLA06608-0294",2.33,343,1
"NLA06608-0295",17.18,2026,242
"NLA06608-0297",5.83,587,31
"NLA06608-0299",8.07,915,18
"NLA06608-0302",38.4,6934,1871
"NLA06608-0303",6.45,1523,79
"NLA06608-0306",9.64,1525,271
"NLA06608-0312",5.83,355,35
"NLA06608-0313",5.03,279,24
"NLA06608-0318",8.57,847,43
"NLA06608-0319",2.08,251,16
"NLA06608-0324",2.72,248,21
"NLA06608-0325",12.48,814,50
"NLA06608-0326",3.38,225,5
"NLA06608-0327",3.48,281,13
"NLA06608-0328",9.02,1093,75
"NLA06608-0330",4.37,289,13
"NLA06608-0332",2.16,260,11
"NLA06608-0333",3.03,282,15
"NLA06608-0334",17.18,1834,142
"NLA06608-0337",14.08,586,23
"NLA06608-0339",17.45,1659,376
"NLA06608-0340",6.5,333,23
"NLA06608-0341",3.24,333,23
"NLA06608-0343",16.95,2606,117
"NLA06608-0344",7.1,848,53
"NLA06608-0345",3.72,511,22
"NLA06608-0350",14.52,902,18
"NLA06608-0354",2.29,188,5
"NLA06608-0356",9.47,2897,167
"NLA06608-0357",4.39,276,14
"NLA06608-0358",5.45,209,7
"NLA06608-0359",9.9,1296,191
"NLA06608-0361",2.32,171,19
"NLA06608-0363",5.3,567,18
"NLA06608-0366",3.59,601,14
"NLA06608-0367",4.66,2157,54
"NLA06608-0369",2.67,163,1
"NLA06608-0372",3.26,229,16
"NLA06608-0373",3.18,104,1
"NLA06608-0376",5.62,324,6
"NLA06608-0377",4.63,850,46
"NLA06608-0378",2.54,223,9
"NLA06608-0384",51.51,4291,68
"NLA06608-0385",25.52,1834,51
"NLA06608-0386",1.39,475,9
"NLA06608-0388",1.45,49,3
"NLA06608-0393",1.75,101,8
"NLA06608-0395",4.04,231,13
"NLA06608-0399",14.26,586,13
"NLA06608-0401",4.39,279,10
"NLA06608-0402",3.94,1523,154
"NLA06608-0403",5.64,485,20
"NLA06608-0405",3.31,458,16
"NLA06608-0406",2.34,172,4
"NLA06608-0407",26.01,2872,762
"NLA06608-0408",2.29,270,15
"NLA06608-0413",7.34,581,106
"NLA06608-0414",27.44,1296,40
"NLA06608-0418",3.34,296,8
"NLA06608-0421",2.6,537,9
"NLA06608-0425",7,1433,234
"NLA06608-0426",6.2,574,5
"NLA06608-0432",3.88,644,218
"NLA06608-0433",2.77,422,7
"NLA06608-0435",17.78,1824,78
"NLA06608-0436",3.12,398,29
"NLA06608-0439",66.98,19200,1056
"NLA06608-0440",4.85,853,182
"NLA06608-0442",67.34,6559,385
"NLA06608-0444",3.72,383,42
"NLA06608-0445",3.54,336,15
"NLA06608-0447",2.48,79,3
"NLA06608-0449",2.81,404,16
"NLA06608-0452",5.32,604,37
"NLA06608-0453",19.64,1056,48
"NLA06608-0454",4.88,367,16
"NLA06608-0456",5.11,681,29
"NLA06608-0458",10.56,947,39
"NLA06608-0459",3.66,200,8
"NLA06608-0462",2.17,194,3
"NLA06608-0463",6.91,1031,82
"NLA06608-0467",6.22,788,15
"NLA06608-0468",1.24,179,8
"NLA06608-0469",2.41,191,11
"NLA06608-0470",4.15,193,8
"NLA06608-0471",7.87,839,24
"NLA06608-0472",9.57,803,78
"NLA06608-0473",3.09,714,55
"NLA06608-0479",3.08,318,14
"NLA06608-0480",2.75,232,4
"NLA06608-0483",2.93,461,4
"NLA06608-0484",5.41,1519,190
"NLA06608-0488",7.85,1070,162
"NLA06608-0489",11.7,1275,107
"NLA06608-0491",7,665,16
"NLA06608-0493",3.48,353,15
"NLA06608-0494",5.02,401,4
"NLA06608-0495",2.26,136,11
"NLA06608-0496",41.92,4372,620
"NLA06608-0497",1.44,156,17
"NLA06608-0498",3.66,820,44
"NLA06608-0500",2.51,266,21
"NLA06608-0501",3.05,182,6
"NLA06608-0502",7.37,648,5
"NLA06608-0503",17.18,5916,430
"NLA06608-0508",6.91,756,283
"NLA06608-0509",2,821,4
"NLA06608-0510",16.28,2916,165
"NLA06608-0511",1.14,112,13
"NLA06608-0512",27.8,2447,61
"NLA06608-0514",2.36,1009,7
"NLA06608-0515",26.13,4984,335
"NLA06608-0523",11.03,1738,115
"NLA06608-0526",14.15,651,17
"NLA06608-0528",5.25,814,65
"NLA06608-0529",3.28,508,42
"NLA06608-0530",4.78,1016,117
"NLA06608-0531",23.96,2697,57
"NLA06608-0533",2.33,178,6
"NLA06608-0537",2.01,256,11
"NLA06608-0540",9.72,2250,235
"NLA06608-0541",3.99,329,14
"NLA06608-0542",13.49,1303,15
"NLA06608-0546",5.61,4022,181
"NLA06608-0547",6.34,519,10
"NLA06608-0550",2.48,234,1
"NLA06608-0551",6.68,1361,54
"NLA06608-0555",5.65,578,8
"NLA06608-0558",11.8,1154,17
"NLA06608-0560",4.75,532,27
"NLA06608-0561",1.99,86,5
"NLA06608-0562",3.82,280,5
"NLA06608-0564",4.09,217,14
"NLA06608-0565",4.02,704,81
"NLA06608-0569",17.75,2188,518
"NLA06608-0570",3.57,300,12
"NLA06608-0579",23.78,2694,229
"NLA06608-0580",2.39,183,10
"NLA06608-0581",2.68,241,8
"NLA06608-0582",3.31,2709,315
"NLA06608-0583",14.18,4897,590
"NLA06608-0585",3.02,505,105
"NLA06608-0587",6.965,1212,29.5
"NLA06608-0588",6,1729,589
"NLA06608-0590",6.17,884,46
"NLA06608-0591",1.91,182,5
"NLA06608-0593",3.37,203,4
"NLA06608-0594",10.67,821,41
"NLA06608-0595",26.23,3828,258
"NLA06608-0596",1.29,96,1
"NLA06608-0597",2.84,361,22
"NLA06608-0599",8.49,1012,90
"NLA06608-0606",8.4,708,15
"NLA06608-0608",6.89,2184,327
"NLA06608-0609",14.15,3334,239
"NLA06608-0610",4.13,549,11
"NLA06608-0611",5.96,903,53
"NLA06608-0614",2.82,259,8
"NLA06608-0616",6.09,483,14
"NLA06608-0617",6.36,513,40
"NLA06608-0618",4.49,257,23
"NLA06608-0619",4.58,733,7
"NLA06608-0622",6.51,508,16
"NLA06608-0623",4.75,628,43
"NLA06608-0624",6.13,1274,49
"NLA06608-0625",1.46,55,1
"NLA06608-0627",7.61,616,11
"NLA06608-0628",7.37,793,40
"NLA06608-0630",8.23,771,8
"NLA06608-0632",6.06,746,44
"NLA06608-0634",44.7,6800,288
"NLA06608-0635",3.33,224,18
"NLA06608-0637",3.99,454,21
"NLA06608-0641",6.27,737,49
"NLA06608-0648",73.44,8603,349
"NLA06608-0649",2.01,95,9
"NLA06608-0650",4.27,466,23
"NLA06608-0651",2.78,290,12
"NLA06608-0654",9.06,698,22
"NLA06608-0657",7.43,559,20
"NLA06608-0658",1.82,110,5
"NLA06608-0659",12.8,1593,432
"NLA06608-0660",4,1546,8
"NLA06608-0661",3.86,601,22
"NLA06608-0662",2.88,256,12
"NLA06608-0663",27.7,6603,618
"NLA06608-0665",2.8,86,1
"NLA06608-0671",1.21,380,19
"NLA06608-0672",7.51,2273,213
"NLA06608-0674",3.33,243,3
"NLA06608-0677",17.86,1864,150
"NLA06608-0678",2.2,462,52
"NLA06608-0679",6.19,635,13
"NLA06608-0681",1.74,249,9
"NLA06608-0686",18.17,1343,122
"NLA06608-0687",1.97,198,13
"NLA06608-0690",3.61,352,15
"NLA06608-0692",5.14,631,23
"NLA06608-0693",1.59,79,4
"NLA06608-0696",9.29,829,252
"NLA06608-0707",37.93,4034,127
"NLA06608-0709",15.81,2492,202
"NLA06608-0710",2.94,302,21
"NLA06608-0711",6.76,523,74
"NLA06608-0712",6.54,417,14
"NLA06608-0713",2.01,138,7
"NLA06608-0715",2.77,123,4
"NLA06608-0717",7.43,2030,225
"NLA06608-0718",27.63,1869,616
"NLA06608-0720",9.53,1435,195
"NLA06608-0721",3.71,441,21
"NLA06608-0723",28.51,1433,24
"NLA06608-0724",3.07,273,9
"NLA06608-0726",2.76,202,6
"NLA06608-0727",21.55,3722,191
"NLA06608-0731",6.51,1221,17
"NLA06608-0733",9.7,993,28
"NLA06608-0734",12.5,364,16
"NLA06608-0738",3.75,223,3
"NLA06608-0743",6.07,406,5
"NLA06608-0744",5.83,1243,100
"NLA06608-0749",5.47,464,50
"NLA06608-0751",1.34,99,1
"NLA06608-0753",3.06,367,15
"NLA06608-0754",2.77,251,3
"NLA06608-0755",16.6,2216,1104
"NLA06608-0756",5.75,326,3
"NLA06608-0759",8.69,4153,360
"NLA06608-0761",5.25,403,12
"NLA06608-0762",16.29,3940,264
"NLA06608-0764",3.78,1386,58
"NLA06608-0765",2.51,507,29
"NLA06608-0766",14.63,1673,40
"NLA06608-0769",3.61,384,16
"NLA06608-0770",4.05,1455,28
"NLA06608-0771",9.2,622,20
"NLA06608-0775",6.57,569,18
"NLA06608-0779",14.18,3916,1543
"NLA06608-0781",4.39,729,34
"NLA06608-0782",10.04,443,7
"NLA06608-0783",9.58,1896,819
"NLA06608-0785",2.52,2621,15
"NLA06608-0792",5.33,760,47
"NLA06608-0793",2.72,340,19
"NLA06608-0794",1.18,79,1
"NLA06608-0797",5.12,418,24
"NLA06608-0802",6.9,361,18
"NLA06608-0804",4.98,335,13
"NLA06608-0805",4.07,755,51
"NLA06608-0806",7.26,427,20
"NLA06608-0807",21.43,1505,511
"NLA06608-0808",7.98,1748,126
"NLA06608-0809",8.72,546,13
"NLA06608-0811",12.06,1224,51
"NLA06608-0812",7.29,357,11
"NLA06608-0815",3.16,269,39
"NLA06608-0820",3.38,2841,323
"NLA06608-0823",5.92,331,7
"NLA06608-0824",3.39,309,22
"NLA06608-0825",5.65,1001,88
"NLA06608-0827",5.35,543,23
"NLA06608-0828",10.74,1510,114
"NLA06608-0830",79.82,15563,1617
"NLA06608-0831",1.21,44,4
"NLA06608-0833",0.48,104,1
"NLA06608-0834",5.24,583,23
"NLA06608-0836",15.53,1184,51
"NLA06608-0837",9.05,1460,109
"NLA06608-0842",0.79,71,13
"NLA06608-0843",2.32,196,8
