"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median"
"ALLS-1037",31.11972,-86.15249,4.51,475,37
"ALLS-1039",31.65539,-86.71585,5.52,874,49
"ALLS-1041",30.69485,-87.92435,6.42,441,43
"ALLS-1042",33.09741,-85.84587,1.03,346,26
"ALR9-0901",34.95092177,-87.042028,2.07,1041.5,249.9
"ALR9-0902",32.48594217,-85.72031495,3.18,575.5,49.5
"ALR9-0903",31.08686327,-87.08175172,4.45,300,44
"ALR9-0904",33.41281268,-86.75189942,2.22,629,76
"ALR9-0905",31.34380862,-85.60881312,3.61,649,48
"ALR9-0906",31.68739652,-88.05213311,3.64,239,53
"ALRF-0001",34.917856,-86.13294466,1.05,184,19
"ALRF-0002",33.22326014,-86.88807657,1.09,145,56
"ALRF-0003",34.08128827,-88.02124812,1.5,283,24
"ALRF-0004",31.05288349,-87.8369997,3.66,181,22
"ALRM-1001",32.22869,-87.14828,4.58,621,89
"ALRM-1002",31.74166,-88.0956,3.63,538,64
"ALRM-1003",33.01342,-87.08608,1.69,514,36
"ALRO-1020",31.41142,-86.06452,4.11,769,54
"ALRO-1021",33.58483,-87.09572,2.95,1051,86
"ALRO-1023",31.07464,-87.08873,2.38,193,20
"ALS9-0916",33.26014982,-85.50357137,4.645,1050,236.5
"ALS9-0917",34.69505835,-87.76208738,1.555,326.5,28
"ALS9-0918",32.93231611,-86.36246869,0.95,84,40
"ALS9-0919",32.91383014,-87.5326477,3.74,503,63
"ALS9-0920",32.12422056,-87.52831805,8.56,645,89
"ALS9-0921",31.86806513,-85.76601507,6.35,424,48
"ALS9-0922",34.50734375,-88.05036704,1.57,234,25
"ALS9-0923",33.79214422,-86.13073021,1.31,129,31
"ALSS-1063",33.35583,-86.60633,1.95,218,45
"ALSS-1064",33.11467,-87.11905,1.78,368,39
"ALSS-1065",34.07899,-86.50564,3.52,886,48
"ALSS-1066",32.25358,-87.00951,1.49,3008,20
"ARLS-1045",34.78806,-91.87005,5.1886,1085,124
"ARLS-1046",33.99517,-93.38717,39.0284,190,19
"ARLS-1047",35.56233,-93.28855,1.2853,179,10
"ARLS-1048",36.1023,-91.6197,3.7177,180,10
"ARR9-0901",35.62598092,-89.87932864,3.3948,1060.5,130.5
"ARR9-0902",34.35270394,-91.10541947,2.06615,173.5,51
"ARR9-0903",34.69500093,-90.64588479,3.6204,311,189
"ARR9-0904",35.67817479,-93.74408948,2.5793,135,10
"ARR9-0905",33.55630442,-92.02261248,2.624,235,15
"ARR9-0906",34.92887774,-93.36068491,12.6981,390,20
"ARR9-0907",34.8014198,-90.77003066,7.6788,720,152
"ARR9-0908",33.61703373,-93.86000774,4.8651,2287,76
"ARR9-0909",35.5326437,-90.44201227,4.0081,6661,255
"ARRM-1001",35.60184,-89.90212,3.1794,796,104
"ARRM-1002",33.32053,-91.16849,3.3162,683,108
"ARRM-1003",33.63585,-93.90638,4.3874,363,67
"ARRM-1004",35.0758,-92.63969,4.7799,863,68
"ARRM-1005",35.12047,-90.09057,3.1991,741,125
"ARRO-1021",35.54235,-93.16002,1.7289,118,10
"ARRO-1022",35.51034,-91.92887,2.6289,7746,10
"ARRO-1023",33.19634,-93.39313,19.605,1357,45
"ARRO-1024",34.37759,-91.62511,9.2443,625,181
"ARS9-0944",34.06488091,-93.44225956,3.5304,182,11.5
"ARS9-0945",36.23849513,-91.90776753,2.33445,325,10
"ARS9-0946",35.34665559,-91.32230048,9.9504,13294,260
"ARS9-0949",36.11488648,-91.96699076,1.4546,752,10
"ARS9-0950",35.51270345,-91.61686914,2.2992,355,32
"ARSS-1090",34.48397,-92.84216,9.1506,281,20
"ARSS-1091",34.39702,-91.53054,22.8802,1328,269
"AZLS-1048",36.70098,-110.5256,3.5,469,164
"AZLS-1054",31.51466,-110.1282,2.765,497,128.5
"AZLS-1055",34.86995,-112.0693,0.75,123,32
"AZLS-1063",36.72811,-110.5395,1.94,471,106
"AZLS-1072",33.71384,-110.8185,0.76,83,53
"AZLS-1083",33.87832,-109.2865,1.89,209,85
"AZR9-0901",36.08766,-111.8706,2.45,236,2
"AZR9-0902",36.43346,-111.8641,2.73,166,2
"AZR9-0903",32.40882,-111.1606,6.53,19212.5,3855
"AZR9-0904",33.29395,-109.4947,0.79,168,119
"AZR9-0913",33.47634,-114.6053,2.56,454,16
"AZRM-1001",33.6684,-114.5313,2.43,508,19
"AZRM-1002",35.9166,-113.3347,2.94,251,54
"AZRM-1003",34.16182,-109.3017,6.01,1669,481
"AZRM-1004",33.62222,-110.9257,2.89,429,234
"AZRO-1028",33.97792,-111.3063,3.79,419,119.4
