"SITE_ID","DOC_Median","NO3_Median","TP_Median"
"NRS18_AL_10002",1.85,0.84205,204.846
"NRS18_AL_10004",4.985,0.0101,44.4385
"NRS18_AL_10005",4.39,0.0111,77.468
"NRS18_AL_10006",3.78,0.1177,24.868
"NRS18_AL_10007",2.3,1.071,27.466
"NRS18_AL_10008",3.04,0.5437,31.398
"NRS18_AL_10009",5.645,0.28025,20.127
"NRS18_AL_10010",2.78,0.11715,36.448
"NRS18_AL_10013",9.08,0.068,176.416
"NRS18_AL_10014",4.72,6e-04,37.996
"NRS18_AL_10015",4.32,1.006,320.616
"NRS18_AL_10016",2.69,0.9987,77.591
"NRS18_AL_10017",3.7,0.0165,38.696
"NRS18_AL_10018",1.52,0.4444,15.948
"NRS18_AL_10019",2.45,0.1134,18.738
"NRS18_AL_10020",1.32,0.0568,13.149
"NRS18_AL_10022",9.76,9e-04,216.096
"NRS18_AL_10023",4.53,0.0427,30.086
"NRS18_AL_10025",1.43,0.0054,9.47
"NRS18_AL_10031",1.62,0.17,15.825
"NRS18_AL_10039",1.55,1.6764,9.505
"NRS18_AL_10188",1.89,0.1328,39.025
"NRS18_AL_10189",0.52,1.7739,11.976
"NRS18_AL_10191",1.19,0.0349,17.155
"NRS18_AL_10638",5.6,0.0013,101.809
"NRS18_AL_10938",2.35,0.166,18.22
"NRS18_AL_11088",1.82,0.1326,58.009
"NRS18_AL_RF001",2.46,0.0219,8.8
"NRS18_AL_RF002",1.51,0.0036,50.933
"NRS18_AR_10001",3.03,0.28525,12.8145
"NRS18_AR_10002",3.57,2.5338,240.235
"NRS18_AR_10004",0.93,0.1845,28.055
"NRS18_AR_10006",3.68,0.176,181.055
"NRS18_AR_10007",0.83,0.0272,8.88
"NRS18_AR_10008",3.2,6e-04,37.555
"NRS18_AR_10009",6.025,0.28525,265.1285
"NRS18_AR_10010",3.84,2.50215,329.9675
"NRS18_AR_10014",0.68,0.0385,13.181
"NRS18_AR_10015",1.24,0.0041,9.719
"NRS18_AR_10016",1.72,0.165,4.548
"NRS18_AR_10017",3.03,2.1028,247.913
"NRS18_AR_10018",3.7,0.0533,121.466
"NRS18_AR_10021",2.75,0.34,130.44
"NRS18_AR_10022",2.05,0.094,50.301
"NRS18_AR_10024",2.67,0.1032,149.829
"NRS18_AR_10025",0.95,0.1485,19.555
"NRS18_AR_10026",3.56,2.645,344.805
"NRS18_AR_10027",2.62,0.4013,50.651
"NRS18_AR_10034",1.47,0.0154,20.031
"NRS18_AR_10039",5.55,0.2429,217.788
"NRS18_AR_10040",2.12,0.078,55.055
"NRS18_AR_10046",4.45,0.0637,132.268
"NRS18_AR_10190",1.44,0.104,12.243
"NRS18_AR_10191",0.76,0.0344,4.215
"NRS18_AR_10192",0.42,0.2518,12.238
"NRS18_AR_10489",1.33,0.075,18.48
"NRS18_AZ_10001",6.76,6.6886,2917.375
"NRS18_AZ_10002",2.44,0.3182,14.654
"NRS18_AZ_10003",1.97,0.0069,147.441
"NRS18_AZ_10004",2.64,0.2135,181.534
"NRS18_AZ_10005",2.78,0.2111,58.451
"NRS18_AZ_10006",2.01,0.0315,165.808
"NRS18_AZ_10007",2.72,0.3272,14.176
"NRS18_AZ_10008",4.39,0,46.744
"NRS18_AZ_10009",8.51,0.0108,79.99
"NRS18_AZ_10010",1.79,1e-04,76.923
"NRS18_AZ_10011",0.62,0.1151,22.443
"NRS18_AZ_10012",2.24,0.0078,19.394
"NRS18_AZ_10013",2.09,0.0094,110.899
"NRS18_AZ_10014",2.66,0.1996,36.135
"NRS18_AZ_10015",4.42,0.0015,108.451
"NRS18_AZ_10016",1.23,0.5745,71.168
"NRS18_AZ_10020",2.43,0.372,7.698
"NRS18_AZ_10021",0.7,0.0335,28.039
"NRS18_AZ_10024",0.89,0.013,48.693
"NRS18_AZ_10027",2.12,0.6372,269.423
"NRS18_AZ_10456",5.15,0.3158,611.498
"NRS18_AZ_10457",2.82,1.8497,37.898
"NRS18_AZ_10843",2.49,0,48.479
"NRS18_AZ_12037",0.91,0.4945,99.983
"NRS18_AZ_12038",1.31,0.5593,75.189
"NRS18_AZ_12837",2.51,0.3176,15.844
"NRS18_AZ_12844",2.79,0.1875,35.778
"NRS18_CA_10001",1.68,0.004,30.9245
"NRS18_CA_10002",1.795,0.0012,45.381
"NRS18_CA_10004",0.62,0.0012,26.855
"NRS18_CA_10005",0.54,0.0188,27.893
"NRS18_CA_10006",1.24,0,76.774
"NRS18_CA_10007",4.1,0.0329,43.744
"NRS18_CA_10008",1.02,0.027,12.468
"NRS18_CA_10009",0.35,0.0018,9.75
"NRS18_CA_10010",1.46,0.022,16.735
"NRS18_CA_10011",2.6,4.6293,45.764
"NRS18_CA_10012",1.36,0.0054,26.059
"NRS18_CA_10013",2.38,0.0012,56.07
"NRS18_CA_10014",1.51,0.012,32.05
"NRS18_CA_10015",1.26,0.0035,17.379
"NRS18_CA_10016",1.8,2.8207,61.698
"NRS18_CA_10018",1.42,0.0194,11.153
"NRS18_CA_10019",0.65,0.0232,18.523
"NRS18_CA_10020",3.155,0.0491,25.791
"NRS18_CA_10021",0.6,0.0323,28.305
"NRS18_CA_10022",0.92,0.076,59.538
