SITE_ID,DOC_Median,TN_Median,NO3_Median,TP_Median,TNtoTP_Median,NO3toTP_Median,TPtoTN
IAW02344-0096,2.61,23300,1554.6,48,485.4166667,32.3875,0.002060086
IAW02344-0097,1.77,8644,595.2,287,30.1184669,2.073867596,0.033202221
IAW02344-0098,2.28,9838,663.2,15,655.8666667,44.21333333,0.0015247
IAW02344-0099,3.41,2214,132.4,24,92.25,5.516666667,0.010840108
IAW02344-0100,2,5288,348.9,81,65.28395062,4.307407407,0.0153177
IAW02344-0102,2.85,6250,433.6,61,102.4590164,7.108196721,0.00976
IAW02344-0103,6.18,1938,75.4,403,4.808933002,0.187096774,0.207946336
IAW02344-0104,2.48,16588,1160.6,84,197.4761905,13.81666667,0.005063902
IAW02344-0105,2.54,10750,708.3,225,47.77777778,3.148,0.020930233
IAW02344-0106,1.34,15925,1073.9,182,87.5,5.900549451,0.011428571
IAW02344-0108,2.59,3638,234.7,102,35.66666667,2.300980392,0.028037383
IAW02344-0109,2.11,4638,303.5,77,60.23376623,3.941558442,0.016601984
IAW02344-0110,2.17,5363,352.2,83,64.61445783,4.243373494,0.015476412
IAW02344-0111,4.33,10475,684.6,593,17.66441821,1.154468803,0.056610979
IAW02344-0112,3.86,13138,879.3,45,291.9555556,19.54,0.003425179
IAW02344-0113,2.36,20250,1372.1,153,132.3529412,8.967973856,0.007555556
IAW02344-0114,6.43,5863,320.4,557,10.52603232,0.575224417,0.095002558
IAW02344-0115,2.44,5063,347.3,141,35.90780142,2.463120567,0.027849101
IAW02344-0117,3.23,9094,598.3,423,21.49881797,1.414420804,0.046514185
IAW02344-0118,2.32,6413,431.5,103,62.26213592,4.189320388,0.016061126
IAW02344-0119,2,3450,231.8,116,29.74137931,1.998275862,0.033623188
IAW02344-0120,1.79,15588,1067.8,97,160.7010309,11.00824742,0.006222735
IAW02344-0121,4.53,14475,985.9,25,579,39.436,0.001727116
IAW02344-0122,2.62,13250,903.3,189,70.10582011,4.779365079,0.014264151
IAW02344-0123,1.88,9225,653.5,194,47.55154639,3.368556701,0.02102981
IAW02344-0125,2.28,2214,134.4,82,27,1.63902439,0.037037037
IAW02344-0128,1.89,21538,1452.6,134,160.7313433,10.84029851,0.006221562
IAW02344-0130,2.84,11988,794.6,147,81.55102041,5.405442177,0.012262262
IAW02344-0132,3.8,13338,888.1,37,360.4864865,24.0027027,0.002774029
IAW02344-0133,1.59,6838,448,91,75.14285714,4.923076923,0.013307985
IAW02344-0134,4.67,639,21,65,9.830769231,0.323076923,0.10172144
IAW02344-0135,7.04,5581,299.2,129,43.26356589,2.319379845,0.023114137
IAW02344-0139,4.68,887,18.7,103,8.611650485,0.181553398,0.116121759
IAW02344-0232,1.52,19125,1286,68,281.25,18.91176471,0.003555556
IAW02344-0250,4.5,12550,835.3,56,224.1071429,14.91607143,0.004462151
IAW02344-0253,2.93,10344,709.1,168,61.57142857,4.220833333,0.016241299
IAW02344-0261,2.41,8763,574.1,129,67.93023256,4.450387597,0.014720986
NEWS04-0101,4.66,150,1.5,1,150,1.5,0.006666667
NEWS04-0108,1.75,245,13.8,6,40.83333333,2.3,0.024489796
NEWS04-0203,4.92,351,15.6,4,87.75,3.9,0.011396011
NEWS04-0305,10.98,401,3.8,5,80.2,0.76,0.012468828
NEWS04-0401,7.45,268,1.5,6,44.66666667,0.25,0.02238806
NEWS04-0502,5.68,439,15.3,8,54.875,1.9125,0.018223235
NEWS04-0602,6.45,285,1.3,4,71.25,0.325,0.014035088
NEWS04-0703,2.66,275,12,2,137.5,6,0.007272727
NEWS04-0806,6.23,715,1.9,192,3.723958333,0.009895833,0.268531469
NEWS04-0905,4.06,405,8.3,23,17.60869565,0.360869565,0.056790123
NEWS04-1001,7.5,375,3.3,17,22.05882353,0.194117647,0.045333333
NEWS04-1105,6.24,283,0.7,1,283,0.7,0.003533569
NEWS04-1106,6.52,290,4.7,2,145,2.35,0.006896552
NEWS04-1202,5.02,270,4.6,3,90,1.533333333,0.011111111
NEWS04-1302,5.05,178,0.6,1,178,0.6,0.005617978
NEWS04-1303,7.88,483,10.7,5,96.6,2.14,0.010351967
NEWS04-1410,9.73,304,1.6,3,101.3333333,0.533333333,0.009868421
NEWS04-1702,4.14,320,7.3,19,16.84210526,0.384210526,0.059375
NEWS04-1801,3.73,341,12.1,4,85.25,3.025,0.011730205
NEWS04-1901,1.67,159,1.4,21,7.571428571,0.066666667,0.132075472
NEWS04-1903,3.23,115,1.6,1,115,1.6,0.008695652
NEWS04-2002,5.55,212,2.2,2,106,1.1,0.009433962
NEWS04-2101,8.71,283,0,5,56.6,0,0.017667845
NEWS04-2301,1.51,239,11.8,2,119.5,5.9,0.008368201
NEWS04-2302,1.23,109,4.7,1,109,4.7,0.009174312
NEWS04-2401,5.1,308,5.8,10,30.8,0.58,0.032467532
NEWS04-2502,3.81,268,3.5,9,29.77777778,0.388888889,0.03358209
NEWS04-2805,0.98,324,20.4,1,324,20.4,0.00308642
NEWS04-2907,1.89,213,7.9,2,106.5,3.95,0.009389671
NEWS04-3004,3.35,671,29,28,23.96428571,1.035714286,0.041728763
NEWS04-3102,12.55,603,14.1,27,22.33333333,0.522222222,0.044776119
NEWS04-3206,2.63,436,22,8,54.5,2.75,0.018348624
NEWS04-3303,4.94,271,0,8,33.875,0,0.029520295
NEWS04-3406,4.01,824,30.5,16,51.5,1.90625,0.019417476
NEWS04-3504,4.83,605,16.5,52,11.63461538,0.317307692,0.085950413
NEWS04-3603,4.06,491,12.9,18,27.27777778,0.716666667,0.036659878
NEWS04-3701,4.93,788,25,143,5.51048951,0.174825175,0.181472081
NEWS04-3802,3.42,1276,74.4,21,60.76190476,3.542857143,0.01645768
NEWS04-3901,2.61,368,9.7,23,16,0.42173913,0.0625
NEWS04-4003,2.39,890,52.2,19,46.84210526,2.747368421,0.021348315
NEWS04-4104,3.62,2319,136.9,49,47.32653061,2.793877551,0.021129797
NEWS04-4201,9.01,849,25.8,95,8.936842105,0.271578947,0.111896349
OWW04440-0004,1.37,815,49.9,1,815,49.9,0.001226994
OWW04440-0008,5.93,909,9.6,27,33.66666667,0.355555556,0.02970297
OWW04440-0010,1.16,2475,167.7,15,165,11.18,0.006060606
OWW04440-0011,1.8,154,3.2,2,77,1.6,0.012987013
OWW04440-0014,2.06,963,53.5,24,40.125,2.229166667,0.024922118
OWW04440-0015,1.72,7856,496.3,6,1309.333333,82.71666667,0.000763747
OWW04440-0016,2.69,9994,676.7,72,138.8055556,9.398611111,0.007204323
OWW04440-0017,1.78,93,3.6,3,31,1.2,0.032258065
OWW04440-0019,4.47,3156,159,524,6.022900763,0.303435115,0.166032953
OWW04440-0020,1.05,231,8.3,4,57.75,2.075,0.017316017
OWW04440-0021,14.25,1694,2.3,369,4.590785908,0.006233062,0.217827627
OWW04440-0023,12.32,1075,6,334,3.218562874,0.017964072,0.310697674
OWW04440-0026,2.36,339,0,39,8.692307692,0,0.115044248
OWW04440-0029,3.71,546,15.2,8,68.25,1.9,0.014652015
OWW04440-0030,0.57,130,5.2,23,5.652173913,0.226086957,0.176923077
OWW04440-0032,2.76,220,4.6,9,24.44444444,0.511111111,0.040909091
OWW04440-0034,4.26,564,24.6,24,23.5,1.025,0.042553191
OWW04440-0039,3.08,3876,203.5,534,7.258426966,0.381086142,0.137770898
OWW04440-0040,3.74,474,10,151,3.139072848,0.066225166,0.318565401
OWW04440-0041,18.61,2400,23.2,1334,1.79910045,0.017391304,0.555833333
OWW04440-0043,7.03,391,0,21,18.61904762,0,0.05370844
OWW04440-0045,0.78,143,1.6,12,11.91666667,0.133333333,0.083916084
OWW04440-0046,0.69,150,5.7,8,18.75,0.7125,0.053333333
OWW04440-0048,1.67,15650,1099.4,67,233.5820896,16.40895522,0.00428115
OWW04440-0050,2.82,604,24.8,24,25.16666667,1.033333333,0.039735099
OWW04440-0051,6.7,699,4.6,114,6.131578947,0.040350877,0.163090129
OWW04440-0054,1.02,521,35.3,24,21.70833333,1.470833333,0.046065259
OWW04440-0055,24.55,1024,1.2,51,20.07843137,0.023529412,0.049804688
OWW04440-0056,2.95,634,19.5,114,5.561403509,0.171052632,0.179810726
OWW04440-0058,2.39,209,2.3,6,34.83333333,0.383333333,0.028708134
OWW04440-0059,12.05,3438,151.1,41,83.85365854,3.685365854,0.011925538
OWW04440-0060,8.68,9538,25.8,1632,5.844362745,0.015808824,0.171105053
OWW04440-0061,11.35,1350,13.2,254,5.31496063,0.051968504,0.188148148
OWW04440-0063,1.89,258,10.5,10,25.8,1.05,0.03875969
OWW04440-0064,3.88,509,13.1,27,18.85185185,0.485185185,0.053045187
OWW04440-0066,8.27,4163,46.5,95,43.82105263,0.489473684,0.022820082
OWW04440-0070,1.53,1868,120.6,22,84.90909091,5.481818182,0.011777302
OWW04440-0071,8.08,898,29.6,55,16.32727273,0.538181818,0.061247216
OWW04440-0077,1.65,106,1.1,51,2.078431373,0.021568627,0.481132075
OWW04440-0078,0.84,414,28.8,20,20.7,1.44,0.048309179
OWW04440-0080,4.43,1406,81.8,118,11.91525424,0.693220339,0.083926031
OWW04440-0081,1.1,379,22.7,7,54.14285714,3.242857143,0.018469657
OWW04440-0085,2,254,3.1,24,10.58333333,0.129166667,0.094488189
OWW04440-0087,16.21,924,0,78,11.84615385,0,0.084415584
OWW04440-0093,3.59,169,3.9,64,2.640625,0.0609375,0.378698225
OWW04440-0094,1.97,1026,1.2,2,513,0.6,0.001949318
OWW04440-0096,3.26,1700,93.2,45,37.77777778,2.071111111,0.026470588
OWW04440-0102,1.56,1818,119.3,8,227.25,14.9125,0.00440044
OWW04440-0103,8.6,324,0,15,21.6,0,0.046296296
OWW04440-0106,1.7,1026,60.4,17,60.35294118,3.552941176,0.016569201
OWW04440-0107,7.29,545,18.5,7,77.85714286,2.642857143,0.012844037
OWW04440-0108,10.38,476,2.6,22,21.63636364,0.118181818,0.046218487
OWW04440-0112,3.18,941,18.9,74,12.71621622,0.255405405,0.078639745
OWW04440-0114,2.92,1595,103.8,39,40.8974359,2.661538462,0.024451411
OWW04440-0115,8.35,1969,6.8,608,3.238486842,0.011184211,0.308786186
OWW04440-0122,3,231,3.6,14,16.5,0.257142857,0.060606061
OWW04440-0124,7.22,1379,36.1,292,4.72260274,0.123630137,0.211747643
OWW04440-0125,1.71,155,3.1,3,51.66666667,1.033333333,0.019354839
OWW04440-0127,2.76,2969,191.9,50,59.38,3.838,0.016840687
OWW04440-0128,2.24,245,4.7,15,16.33333333,0.313333333,0.06122449
OWW04440-0130,3.6,516,11.2,25,20.64,0.448,0.048449612
OWW04440-0131,1.67,1214,21.9,309,3.928802589,0.070873786,0.254530478
OWW04440-0132,1.01,1640,112.1,4,410,28.025,0.002439024
OWW04440-0133,6.08,1069,8.4,147,7.272108844,0.057142857,0.137511693
OWW04440-0134,2.06,881,48,15,58.73333333,3.2,0.017026107
OWW04440-0138,7.62,1266,0.9,140,9.042857143,0.006428571,0.110584518
OWW04440-0139,1.9,468,24.7,52,9,0.475,0.111111111
OWW04440-0142,0.82,890,59.6,5,178,11.92,0.005617978
OWW04440-0146,1.82,191,8.9,6,31.83333333,1.483333333,0.031413613
OWW04440-0147,7.14,2233,78.9,255,8.756862745,0.309411765,0.114196149
OWW04440-0149,3.71,1858,8.9,753,2.467463479,0.011819389,0.405274489
OWW04440-0151,9.48,610,13.4,157,3.885350318,0.085350318,0.257377049
OWW04440-0157,5.6,505,0,27,18.7037037,0,0.053465347
OWW04440-0158,3.7,2189,139.5,100,21.89,1.395,0.04568296
OWW04440-0163,1.15,1956,129.7,24,81.5,5.404166667,0.012269939
OWW04440-0164,1.4,99,3.2,5,19.8,0.64,0.050505051
OWW04440-0165,2.86,412,5.3,49,8.408163265,0.108163265,0.118932039
OWW04440-0166,0.83,5881,409.6,5,1176.2,81.92,0.000850196
OWW04440-0168,7.82,1135,25.1,80,14.1875,0.31375,0.070484581
OWW04440-0169,1.53,109,2.1,144,0.756944444,0.014583333,1.321100918
OWW04440-0170,3.34,999,48.4,35,28.54285714,1.382857143,0.035035035
OWW04440-0171,4.78,234,1.7,9,26,0.188888889,0.038461538
OWW04440-0172,5.51,524,10.6,32,16.375,0.33125,0.061068702
OWW04440-0176,2.55,4606,303.9,408,11.28921569,0.744852941,0.088580113
OWW04440-0178,12.62,2049,1.4,128,16.0078125,0.0109375,0.062469497
OWW04440-0179,4.04,403,4.6,165,2.442424242,0.027878788,0.40942928
OWW04440-0181,9.31,603,2.5,104,5.798076923,0.024038462,0.172470978
OWW04440-0182,1.91,856,50.3,22,38.90909091,2.286363636,0.025700935
OWW04440-0184,3,2469,150.4,22,112.2272727,6.836363636,0.00891049
OWW04440-0185,1.36,114,6.7,3,38,2.233333333,0.026315789
OWW04440-0186,1.52,586,35,7,83.71428571,5,0.011945392
OWW04440-0191,3.4,834,43.2,22,37.90909091,1.963636364,0.026378897
OWW04440-0192,3.62,513,15.8,29,17.68965517,0.544827586,0.056530214
OWW04440-0195,2.24,1958,103.2,43,45.53488372,2.4,0.021961185
OWW04440-0196,2.41,1550,4,526,2.946768061,0.007604563,0.339354839
OWW04440-0197,2.18,428,9,47,9.106382979,0.191489362,0.109813084
OWW04440-0199,24.49,1129,1.4,18,62.72222222,0.077777778,0.015943313
OWW04440-0200,6.15,759,3.9,180,4.216666667,0.021666667,0.23715415
OWW04440-0203,6.84,640,21.1,17,37.64705882,1.241176471,0.0265625
OWW04440-0205,3.6,152,0.4,14,10.85714286,0.028571429,0.092105263
OWW04440-0206,0.67,1000,69.3,21,47.61904762,3.3,0.021
OWW04440-0210,4.99,355,1.6,23,15.43478261,0.069565217,0.064788732
OWW04440-0211,1.53,976,62.4,28,34.85714286,2.228571429,0.028688525
OWW04440-0212,0.82,844,9.1,138,6.115942029,0.065942029,0.163507109
OWW04440-0218,2.99,1099,66.9,14,78.5,4.778571429,0.012738854
OWW04440-0219,3.16,43650,1827.4,313,139.456869,5.838338658,0.007170676
OWW04440-0221,7.7,658,8.3,47,14,0.176595745,0.071428571
OWW04440-0224,16.48,2647,2.6,618,4.283171521,0.00420712,0.233471855
OWW04440-0226,3.04,687,29.1,26,26.42307692,1.119230769,0.037845706
OWW04440-0231,9.82,625,3.4,185,3.378378378,0.018378378,0.296
OWW04440-0233,2.77,576,20.1,74,7.783783784,0.271621622,0.128472222
OWW04440-0234,0.87,263,15,3,87.66666667,5,0.011406844
