"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"NWCA16-1001",30.38402,-88.114115,10.85,0.3545,104,0.034328358
"NWCA16-1002",30.261675,-87.7289705,32.55,1.555,33,0.0702056385
"NWCA16-1004",30.77347,-87.97992,17.8,0.824,335,0.046292135
"NWCA16-1005",30.94802,-87.89606,7.78,0.81,29,0.104113111
"NWCA16-1006",30.430753,-87.905017,23.8,1.96,40,0.082352941
"NWCA16-1007",31.14303,-85.07616,16.3,1.3,44,0.079754601
"NWCA16-1009",33.54762,-87.78324,14.9,2.69,124,0.180536913
"NWCA16-1012",30.78019,-87.96371,17,0.772,75,0.045411765
"NWCA16-1016",30.78353,-87.97691,19.2,1.78,80,0.092708333
"NWCA16-1017",33.93278,-86.03287,3.55,0.646,50,0.181971831
"NWCA16-1020",33.64435,-88.24795,2.34,0.497,7,0.212393162
"NWCA16-1021",34.11377,-85.58848,5.72,1.05,66,0.183566434
"NWCA16-1023",31.29244,-85.89408,7.21,0.431,51,0.059778086
"NWCA16-1030",33.09282,-85.89217,1.68,0.283,50,0.168452381
"NWCA16-1078",33.67792,-92.58488,36.2,1.63,55,0.045027624
"NWCA16-1079",33.18773,-92.729065,17.65,5.86,381.5,0.425304724
"NWCA16-1083",33.36039,-92.97276,10,0.554,100,0.0554
"NWCA16-1086",35.07287,-90.92999,31.1,5.61,935,0.180385852
"NWCA16-1087",33.4533,-91.48141,8.16,1.75,415,0.214460784
"NWCA16-1088",34.21963,-93.52356,22.2,1.12,125,0.05045045
"NWCA16-1104",35.67982,-90.41549,11.6,0.518,190,0.044655172
"NWCA16-1105",34.23478,-91.99283,9.29,0.907,138,0.097631862
"NWCA16-1112",34.80608,-92.17603,12.9,0.842,312,0.065271318
"NWCA16-1116",34.88688,-92.4865,18.2,0.653,320,0.035879121
"NWCA16-1136",33.86269,-109.23836,15.65,1.168,207,0.0749293475
"NWCA16-1175",36.87543,-111.565003,3.69,0.647,14,0.175338753
"NWCA16-1191",36.875789,-111.563749,3.67,0.734,18,0.2
"NWCA16-1218",37.51957,-122.21666,4.53,0.642,256,0.141721854
"NWCA16-1219",38.163945,-122.553135,21.1,2.985,419,0.132811871
"NWCA16-1225",36.11831,-121.46561,10.8,0.664,58,0.061481481
"NWCA16-1234",39.22628,-121.94772,9.3,2.76,242,0.296774194
"NWCA16-1243",38.05896,-122.81339,5.24,3.16,500,0.603053435
"NWCA16-1245",36.5386,-117.96482,8.21,0.602,114,0.073325213
"NWCA16-1248",34.22954,-119.25962,8.86,1.69,710,0.190744921
"NWCA16-1255",41.49143,-120.95077,33.6,3.37,850,0.100297619
"NWCA16-1263",38.1926,-122.02563,19.2,1.06,168,0.055208333
"NWCA16-1269",37.24572,-120.81126,70.8,21.9,1950,0.309322034
"NWCA16-1270",38.448,-121.48193,11.3,1.77,246,0.156637168
"NWCA16-1274",40.00393,-121.40842,1.49,0.212,46,0.142281879
"NWCA16-1275",38.18042,-122.55477,14,1.47,372,0.105
"NWCA16-1281",37.26365,-120.7523,16.6,13.3,2150,0.801204819
"NWCA16-1298",40.06908,-120.26296,2.02,0.443,122,0.219306931
"NWCA16-1303",41.62983,-120.27531,2.4,0.37,80,0.154166667
"NWCA16-1308",40.84381,-124.08006,10.6,1.5,56,0.141509434
"NWCA16-1311",38.19569,-122.0125,33.5,2.32,174,0.069253731
"NWCA16-1466",39.264,-106.2538,5.72,0.512,38,0.08951049
"NWCA16-1470",39.25726,-106.25648,2.04,28.9,15,14.16666667
"NWCA16-1471",37.35736,-104.79102,NA,0.389,55,NA
"NWCA16-1475",40.20965,-105.87671,13.7,0.659,178,0.04810219
"NWCA16-1476",39.91195,-105.87337,8.16,3.7,346,0.453431373
"NWCA16-1478",37.94527,-108.00763,6.1,0.377,270,0.061803279
"NWCA16-1482",40.59554,-106.43311,9.54,0.496,160,0.051991614
"NWCA16-1483",40.10499,-106.59307,3.18,0.22,34,0.06918239
"NWCA16-1486",40.59145,-106.4425,14.9,0.757,96,0.050805369
"NWCA16-1492",39.61736,-105.94992,3.84,0.334,62,0.086979167
"NWCA16-1493",37.39729,-105.53799,9.54,0.605,54,0.063417191
"NWCA16-1499",40.67759,-107.17379,12.5,1.05,122,0.084
"NWCA16-1502",40.6641,-106.5938,3.95,0.319,34,0.080759494
"NWCA16-1504",39.00528,-106.89394,0.646,26.2,8,40.55727554
"NWCA16-1508",39.50606,-105.87259,1.02,0.34,26,0.333333333
