LAT_DD83	LON_DD83
41.9215	-119.4433
41.9957	-117.7707
32.8996	-116.5887
41.7718	-117.8060
33.7606	-116.5497
41.3974	-117.4647
41.7713	-117.3830
38.3275	-114.2775
36.6417	-114.5318
39.2143	-114.5413
38.8586	-115.6673
40.2661	-81.8741
39.2179	-117.0595
38.4925	-96.5833
40.3166	-116.9015
43.2950	-104.8345
36.0383	-99.9305
41.4088	-118.9109
40.6860	-116.7625
46.7414	-101.4838
35.5454	-99.7227
40.8147	-115.8061
39.8925	-105.0565
43.5166	-104.8414
40.0641	-82.5339
39.0872	-95.2902
38.4541	-81.7807
43.5307	-104.1010
46.5346	-100.4418
39.6927	-84.2325
39.5445	-95.7311
41.4177	-116.0343
41.9578	-115.8638
44.2142	-72.9655
41.4898	-111.2582
38.3299	-81.5853
34.3459	-96.6995
41.8068	-115.7046
41.2140	-116.3987
39.6485	-77.1809
46.7997	-101.1068
41.6246	-111.7299
39.7475	-82.7787
38.8171	-82.1004
39.1066	-96.6064
35.9655	-96.3681
40.7413	-115.5544
41.8773	-115.6285
39.6427	-78.4987
46.7468	-100.7428
41.0158	-116.0833
32.4610	-94.7020
39.0822	-119.7573
39.2414	-104.9580
33.0684	-94.4684
45.9583	-103.1202
39.2008	-119.6299
39.3890	-104.8672
43.9461	-72.7111
41.6947	-85.9174
41.6026	-86.1112
43.3110	-83.9679
34.2461	-84.6861
39.5967	-79.0839
47.0818	-111.5943
46.4179	-103.5124
37.8707	-91.9297
43.6029	-115.5733
39.3443	-104.9728
30.2872	-98.8956
41.6674	-85.9420
41.2742	-112.1539
39.6484	-79.9875
36.7094	-90.6967
42.7527	-116.0744
41.6753	-86.0759
34.0695	-84.5363
33.9267	-85.0505
31.5415	-97.4166
30.5976	-98.0699
34.5267	-84.0911
44.3729	-123.8363
43.0044	-82.5250
46.1106	-106.4504
46.7758	-101.1706
35.5376	-96.3158
38.8224	-75.4304
39.0157	-95.8406
41.2739	-118.4606
41.3204	-115.6571
44.8064	-123.9730
30.8737	-97.6210
39.1848	-77.4862
46.5660	-107.9657
40.3370	-74.9385
43.1932	-71.5235
47.0465	-101.1047
37.5160	-89.3805
44.2812	-72.4538
39.9238	-95.0612
39.0283	-93.6812
42.7673	-103.9276
42.6906	-103.5487
44.8440	-113.8167
35.8040	-96.4834
38.8297	-75.6463
40.9031	-115.2243
45.3005	-123.4775
37.0614	-105.9829
32.2804	-97.9706
43.3415	-83.6244
32.0083	-83.2955
38.2701	-75.2766
46.9902	-102.8888
37.5063	-88.5368
37.5519	-113.4091
39.7343	-93.9403
37.4297	-93.2445
39.7379	-101.8769
42.4497	-103.2627
40.4803	-101.5834
45.0232	-114.4462
48.9561	-119.6933
40.3949	-116.1207
41.1572	-86.5854
43.0563	-85.5942
38.6891	-75.7699
47.0152	-108.1650
43.4326	-71.6500
38.5904	-88.7480
37.3186	-113.7169
37.3659	-108.5933
41.1726	-86.5170
43.0223	-86.0240
42.0905	-71.2976
37.0769	-113.5970
32.5481	-93.7810
40.3946	-82.5034
38.4803	-93.6143
32.0662	-93.4141
40.9064	-86.7115
36.5347	-89.4672
39.9881	-108.7780
30.1884	-83.6082
39.4573	-77.7981
46.5856	-111.2657
43.4303	-72.3950
36.6087	-89.3058
43.3496	-104.2957
32.7846	-91.9574
38.5881	-80.8945
39.2088	-92.5346
39.3588	-75.6755
37.7866	-96.4300
41.7152	-115.2290
39.7309	-108.6747
39.9689	-87.4721
39.5986	-77.8846
46.4577	-110.3713
36.4729	-89.4374
42.2040	-72.5905
44.3869	-104.6773
41.7978	-113.7102
44.7831	-72.8590
39.3098	-82.9643
48.2525	-120.1167
37.7783	-91.0322
40.1107	-97.0579
46.8603	-116.0390
35.0468	-98.3083
32.9748	-92.0764
41.1316	-115.4998
39.6430	-107.7110
40.3174	-87.3004
39.1799	-77.5074
46.9309	-110.8698
41.0421	-74.0473
43.3512	-72.3934
36.5617	-89.3962
44.7331	-106.1027
44.6254	-105.3017
41.7932	-113.8370
47.4629	-120.6611
38.7815	-117.3402
45.1145	-116.8564
40.8675	-85.6082
44.0295	-85.0382
39.0664	-77.3896
47.4990	-110.7164
36.9116	-89.1159
42.1588	-72.5767
47.2558	-101.8084
40.5821	-94.1479
40.8346	-93.8599
45.0792	-116.0948
45.1931	-118.7041
44.6475	-84.0945
41.1105	-74.8429
31.3742	-92.5609
44.9015	-118.4770
40.8149	-75.0403
31.8147	-93.0575
44.8515	-118.1429
45.0829	-83.4906
42.6317	-72.1290
31.6265	-92.9092
44.8984	-117.4242
38.8280	-76.9811
46.1668	-110.5491
47.3046	-102.1929
39.2106	-81.1528
42.0073	-115.2197
38.1989	-95.4277
40.7024	-116.5235
40.4102	-118.3154
45.3681	-119.4463
46.5548	-85.1166
38.4407	-76.6971
34.5573	-119.2497
41.2537	-103.6114
36.1106	-105.7319
46.2712	-119.5705
31.1524	-92.8090
39.1314	-81.3443
40.6078	-91.6834
42.1790	-114.2220
31.9345	-95.4334
47.3791	-102.7053
40.6497	-116.7790
41.0056	-117.3393
44.6232	-119.6383
43.4299	-85.7194
38.6517	-77.1246
46.2509	-109.7696
42.8138	-71.0010
34.7477	-120.0540
47.1296	-102.2342
36.4358	-105.2366
46.2762	-118.1925
39.4783	-80.8802
37.8895	-93.7208
42.0475	-114.4203
30.8817	-93.5725
40.9100	-117.9097
40.7882	-117.0442
46.8843	-88.5344
44.2682	-85.9963
38.6158	-77.1686
45.8377	-110.0458
37.3288	-121.6749
41.5408	-102.7160
44.5908	-85.0781
41.0955	-74.1483
36.5977	-106.5009
46.6064	-90.6885
44.8453	-84.8329
40.6246	-74.4744
33.1087	-91.1507
45.6660	-91.1797
40.6972	-118.1007
37.7972	-103.3775
44.6125	-84.4574
33.3205	-91.1685
42.8982	-100.4854
44.0067	-90.0538
38.3571	-82.2241
47.8436	-121.6946
37.9745	-101.7880
38.0651	-102.3364
45.1416	-109.0399
33.6201	-91.1344
41.5629	-73.8456
43.2870	-102.8175
38.6754	-121.4472
46.3240	-101.8133
42.8028	-100.5568
32.3605	-104.1852
44.8835	-87.8572
31.5512	-91.8054
42.4612	-111.9126
33.8636	-97.0060
47.6921	-121.9663
39.7028	-75.6940
39.6387	-102.1137
43.0500	-72.7215
39.4149	-86.0084
45.0342	-107.5853
33.7140	-91.1547
43.3821	-102.3896
46.5892	-101.7333
42.9480	-99.4477
39.9768	-84.1702
42.9098	-112.3271
33.0557	-97.2531
38.8506	-116.6049
33.4322	-91.1230
43.4873	-102.4814
38.7321	-119.9293
46.4780	-102.2405
42.7972	-100.0455
35.3771	-104.5056
42.9464	-72.8718
31.3336	-92.5020
43.3106	-123.2115
38.8349	-86.5233
42.6053	-73.4799
43.6968	-102.1639
35.7715	-105.0074
31.7433	-91.5778
43.5775	-123.5017
30.5188	-87.2978
35.2433	-104.9109
31.3944	-91.8034
43.0970	-122.4115
38.7112	-87.1776
30.6702	-87.2665
42.5011	-74.4389
36.7889	-106.2405
38.3509	-86.6183
39.7001	-75.6334
36.7833	-108.1187
43.3127	-114.1156
39.0149	-98.0105
44.1464	-122.5770
38.6182	-75.6309
47.9095	-113.8707
43.0071	-76.6811
46.0545	-102.0751
35.9711	-106.6050
37.9537	-112.0634
32.7124	-92.2788
41.4431	-75.6606
40.5150	-83.0257
46.2089	-121.7939
44.2099	-115.5467
41.8867	-114.6866
39.6101	-84.9596
38.6681	-75.5603
48.0775	-114.0187
41.8749	-71.0940
42.9369	-76.6192
45.7285	-101.9844
46.9092	-103.5473
44.8019	-106.1480
46.1317	-121.5873
40.0758	-84.8443
43.2560	-71.6225
41.9618	-70.9198
42.9601	-75.7886
45.6873	-101.8395
46.9258	-103.5407
44.6958	-106.3383
37.7431	-112.0986
40.8692	-76.0834
38.8267	-83.0177
30.9349	-85.8502
40.5449	-84.9255
41.9576	-70.9336
30.8455	-86.4667
30.5855	-85.8938
30.3079	-93.1135
40.7609	-84.9884
30.7272	-85.8257
33.7759	-91.0740
37.3953	-98.9263
41.0938	-85.8011
30.2949	-85.2938
33.8671	-91.0641
42.6221	-103.7164
37.4770	-98.3653
44.4907	-122.8137
40.1597	-105.1184
40.8737	-95.5977
34.3709	-90.6784
46.2215	-101.5025
42.4336	-103.6993
45.0796	-88.6239
39.9903	-111.0284
37.4635	-80.3480
42.8731	-109.1806
37.5414	-82.0336
37.0275	-90.6428
29.2389	-98.4517
39.7303	-75.5980
44.7527	-122.5141
42.0613	-86.4237
41.2501	-74.8555
34.0173	-90.9879
41.6341	-72.7488
47.1603	-102.0421
42.7154	-102.0302
45.3629	-89.7292
40.6622	-111.1799
37.6003	-82.1568
47.9345	-120.3067
44.7792	-122.8165
42.0642	-85.1474
34.1855	-90.8765
41.5749	-73.4154
42.0974	-101.1665
44.9781	-89.6304
41.2081	-88.0021
29.1572	-97.3838
38.8653	-108.3981
44.7476	-91.9196
44.7482	-91.1514
43.9035	-72.8253
43.3591	-93.8684
32.3167	-90.9051
41.8629	-75.5134
36.0065	-97.3312
42.4132	-123.1580
41.8505	-94.0261
32.6530	-91.1407
44.2431	-72.0482
45.9451	-69.8480
43.4135	-98.8779
36.9637	-119.2314
46.0309	-101.6171
41.1442	-101.2123
40.6249	-100.5746
39.2525	-96.3266
38.6967	-109.4113
38.3056	-78.9009
41.8317	-76.3324
40.0164	-83.2530
47.5038	-119.2924
38.5426	-75.5231
42.4683	-124.3453
42.7025	-91.9231
47.1154	-111.3768
43.8658	-72.1782
46.4354	-69.4381
43.6071	-102.9970
46.3896	-100.8728
43.5647	-89.6543
39.0897	-109.1016
48.6694	-118.5003
42.0721	-124.0083
44.8061	-72.1363
42.7679	-92.3559
44.8733	-71.5295
45.8787	-68.6203
43.6422	-101.8385
38.3108	-119.3439
46.2769	-101.0280
40.2352	-100.3105
43.3078	-90.8549
40.6578	-90.2315
37.6333	-78.9030
29.9105	-95.4918
39.8477	-76.1397
44.9603	-68.9970
43.5279	-101.7976
40.2454	-99.7008
43.2179	-89.8245
34.6060	-90.5824
46.9756	-69.3784
42.8969	-88.8954
30.6182	-94.2930
37.9932	-99.3213
42.9798	-91.6729
39.0135	-85.5011
44.9763	-112.9966
34.7342	-90.4576
47.1112	-69.0144
42.6502	-90.0329
42.1329	-106.0715
30.6855	-95.2021
42.1942	-91.3922
39.8342	-86.6845
45.5316	-112.1075
34.7707	-90.4627
42.0558	-73.9320
47.1543	-68.9442
44.1564	-103.2287
41.6528	-106.3135
30.9594	-95.8309
35.7686	-93.1660
34.8872	-90.2832
47.1699	-68.9074
44.3951	-102.8051
41.3822	-107.2276
38.2034	-77.6395
31.5347	-96.5877
34.9612	-90.2726
43.5316	-74.5517
45.8846	-67.8618
47.1318	-67.8981
43.7858	-103.0622
41.0327	-105.6756
37.7079	-77.9893
31.5907	-98.1272
37.9815	-86.0340
28.3660	-97.5699
46.6377	-67.7962
44.2850	-103.7937
42.1098	-104.6280
44.7382	-73.4766
30.5130	-98.5103
44.3188	-74.5234
39.3694	-106.4524
41.5876	-94.3974
44.8645	-74.1280
44.9834	-69.5565
38.7064	-95.8073
37.8851	-79.1587
33.0255	-96.9194
42.8493	-72.5531
44.5885	-74.8084
45.6904	-70.0993
45.3523	-96.7089
40.8857	-76.8015
42.0029	-122.7643
42.8971	-88.6935
40.8949	-110.4231
37.5933	-79.3832
33.7584	-97.2940
35.9522	-83.7958
39.9188	-80.7968
41.2182	-93.8645
43.0681	-72.4487
44.7374	-67.5498
45.0014	-98.6377
43.0096	-88.8335
40.8645	-110.5394
38.0457	-79.8778
35.9514	-83.5507
39.3987	-81.4191
41.4896	-120.6046
41.1725	-87.3896
45.2573	-68.9497
35.8291	-83.4846
34.5066	-94.1886
47.4597	-96.8766
36.2227	-82.9720
40.0019	-121.2682
35.0216	-90.2366
45.9789	-98.1676
39.6398	-83.0154
36.1251	-83.1816
31.5396	-91.4526
35.1475	-90.0655
42.9082	-75.4783
47.2803	-101.1779
36.9653	-82.0518
40.8057	-81.3899
38.5723	-121.3577
43.0441	-84.8637
42.9422	-85.1856
44.7996	-93.5331
31.6306	-91.3992
45.9072	-113.4809
35.2197	-90.0728
43.0157	-76.8546
45.6564	-100.8508
41.0904	-124.0858
37.8236	-97.4628
38.1824	-111.1541
41.4531	-81.8234
41.3724	-77.4240
36.3756	-84.2559
31.7625	-100.1405
37.2212	-88.9269
47.6798	-117.2172
38.8084	-121.6352
40.8288	-95.2048
